ID;BedrijfstakkenBranchesSBI2008;Perioden;IndexcijfersOmzet_1;OmzetontwikkelingTOVEenJaarEerder_2
0;46 Groothandel en handelsbemiddeling;2005 1e kwartaal;75.1;
1;46 Groothandel en handelsbemiddeling;2005 2e kwartaal;77.3;
2;46 Groothandel en handelsbemiddeling;2005 3e kwartaal;75.5;
3;46 Groothandel en handelsbemiddeling;2005 4e kwartaal;83.5;
4;46 Groothandel en handelsbemiddeling;2005;77.9;
5;46 Groothandel en handelsbemiddeling;2006 1e kwartaal;80.3;6.9
6;46 Groothandel en handelsbemiddeling;2006 2e kwartaal;83.5;8.0
7;46 Groothandel en handelsbemiddeling;2006 3e kwartaal;80.4;6.6
8;46 Groothandel en handelsbemiddeling;2006 4e kwartaal;88.1;5.4
9;46 Groothandel en handelsbemiddeling;2006;83.1;6.7
10;46 Groothandel en handelsbemiddeling;2007 1e kwartaal;87.7;9.2
11;46 Groothandel en handelsbemiddeling;2007 2e kwartaal;91.4;9.5
12;46 Groothandel en handelsbemiddeling;2007 3e kwartaal;89.1;10.8
13;46 Groothandel en handelsbemiddeling;2007 4e kwartaal;101.2;14.9
14;46 Groothandel en handelsbemiddeling;2007;92.4;11.2
15;46 Groothandel en handelsbemiddeling;2008 1e kwartaal;98.0;11.8
16;46 Groothandel en handelsbemiddeling;2008 2e kwartaal;103.7;13.5
17;46 Groothandel en handelsbemiddeling;2008 3e kwartaal;101.2;13.6
18;46 Groothandel en handelsbemiddeling;2008 4e kwartaal;99.0;-2.2
19;46 Groothandel en handelsbemiddeling;2008;100.5;8.8
20;46 Groothandel en handelsbemiddeling;2009 1e kwartaal;89.2;-9.0
21;46 Groothandel en handelsbemiddeling;2009 2e kwartaal;90.9;-12.4
22;46 Groothandel en handelsbemiddeling;2009 3e kwartaal;88.7;-12.3
23;46 Groothandel en handelsbemiddeling;2009 4e kwartaal;96.3;-2.8
24;46 Groothandel en handelsbemiddeling;2009;91.3;-9.2
25;46 Groothandel en handelsbemiddeling;2010 1e kwartaal;93.7;5.0
26;46 Groothandel en handelsbemiddeling;2010 2e kwartaal;100.4;10.4
27;46 Groothandel en handelsbemiddeling;2010 3e kwartaal;97.1;9.4
28;46 Groothandel en handelsbemiddeling;2010 4e kwartaal;107.7;11.9
29;46 Groothandel en handelsbemiddeling;2010;99.7;9.2
30;46 Groothandel en handelsbemiddeling;2011 1e kwartaal;106.6;13.8
31;46 Groothandel en handelsbemiddeling;2011 2e kwartaal;109.2;8.8
32;46 Groothandel en handelsbemiddeling;2011 3e kwartaal;106.2;9.4
33;46 Groothandel en handelsbemiddeling;2011 4e kwartaal;108.0;0.2
34;46 Groothandel en handelsbemiddeling;2011;107.5;7.8
35;46 Groothandel en handelsbemiddeling;2012 1e kwartaal;106.3;-0.3
36;46 Groothandel en handelsbemiddeling;2012 2e kwartaal;107.2;-1.8
37;46 Groothandel en handelsbemiddeling;2012 3e kwartaal;106.8;0.6
38;46 Groothandel en handelsbemiddeling;2012 4e kwartaal;108.4;0.4
39;46 Groothandel en handelsbemiddeling;2012;107.2;-0.3
40;46 Groothandel en handelsbemiddeling;2013 1e kwartaal;102.3;-3.8
41;46 Groothandel en handelsbemiddeling;2013 2e kwartaal;104.3;-2.7
42;46 Groothandel en handelsbemiddeling;2013 3e kwartaal;102.7;-3.8
43;46 Groothandel en handelsbemiddeling;2013 4e kwartaal;103.6;-4.4
44;46 Groothandel en handelsbemiddeling;2013;103.2;-3.7
45;46 Groothandel en handelsbemiddeling;2014 1e kwartaal;99.4;-2.8
46;46 Groothandel en handelsbemiddeling;2014 2e kwartaal;102.5;-1.7
47;46 Groothandel en handelsbemiddeling;2014 3e kwartaal;99.6;-3.0
48;46 Groothandel en handelsbemiddeling;2014 4e kwartaal;100.2;-3.3
49;46 Groothandel en handelsbemiddeling;2014;100.4;-2.7
50;46 Groothandel en handelsbemiddeling;2015 1e kwartaal;96.3;-3.2
51;46 Groothandel en handelsbemiddeling;2015 2e kwartaal;100.9;-1.5
52;46 Groothandel en handelsbemiddeling;2015 3e kwartaal;100.0;0.4
53;46 Groothandel en handelsbemiddeling;2015 4e kwartaal;102.8;2.5
54;46 Groothandel en handelsbemiddeling;2015;100.0;-0.4
55;46 Groothandel en handelsbemiddeling;2016 1e kwartaal;97.0;0.8
56;46 Groothandel en handelsbemiddeling;2016 2e kwartaal;103.1;2.2
