ID;EconomicActivitiesNaceRev2;Periods;CompensationOfEmployees_1;WagesAndSalaries_2;EmployersSocialContributions_3;CompensationOfEmployeesPerFte_4;WagesPerFte_5;CompensationPerHoursWorked_6;WagesPerHoursWorked_7;FullTimeEquivalentFte_8;HoursWorked_9;HoursPaid_10;HoursAgreed_11;PaidExtraHours_12;TotalMaleAndFemale_13;Male_14;Female_15;TotalMaleAndFemale_16;Male_17;Female_18;TotalMaleAndFemale_19;Male_20;Female_21
0;A-U All economic activities;1969;27744.0;22398.0;5346.0;6.7;5.4;3.4;2.8;4161;8093;8679;8526;152;4677;3451;1226;;;;;;
1;A-U All economic activities;1970;31770.0;25610.0;6160.0;7.5;6.0;3.9;3.2;4236;8055;8638;8488;150;4769;3497;1272;;;;;;
2;A-U All economic activities;1971;36510.0;29194.0;7316.0;8.5;6.8;4.6;3.7;4278;7985;8562;8414;148;4828;3511;1317;;;;;;
3;A-U All economic activities;1972;40890.0;32535.0;8355.0;9.6;7.7;5.2;4.1;4246;7929;8495;8353;143;4800;3457;1343;;;;;;
4;A-U All economic activities;1973;47392.0;37026.0;10366.0;11.1;8.7;6.0;4.7;4272;7881;8436;8261;175;4850;3467;1383;;;;;;
5;A-U All economic activities;1974;55074.0;42796.0;12278.0;12.8;10.0;7.2;5.6;4296;7666;8299;8148;151;4892;3470;1422;;;;;;
6;A-U All economic activities;1975;62325.0;48391.0;13934.0;14.5;11.3;8.4;6.5;4284;7399;8065;7937;128;4902;3448;1454;;;;;;
7;A-U All economic activities;1976;69266.0;53595.0;15671.0;16.1;12.4;9.3;7.2;4313;7459;8139;8004;135;4962;3475;1488;;;;;;
8;A-U All economic activities;1977;75741.0;58833.0;16908.0;17.4;13.5;10.1;7.8;4360;7510;8194;8073;121;5030;3496;1534;;;;;;
9;A-U All economic activities;1978;82188.0;63838.0;18350.0;18.6;14.5;11.0;8.5;4410;7470;8251;8132;119;5104;3529;1575;;;;;;
10;A-U All economic activities;1979;88494.0;68370.0;20124.0;19.7;15.2;11.8;9.1;4491;7529;8370;8242;128;5218;3585;1634;;;;;;
11;A-U All economic activities;1980;94001.0;72414.0;21587.0;20.7;16.0;12.3;9.5;4532;7637;8410;8303;107;5286;3591;1695;;;;;;
12;A-U All economic activities;1981;96120.0;74133.0;21987.0;21.5;16.6;12.6;9.8;4473;7603;8271;8170;101;5251;3520;1730;;;;;;
13;A-U All economic activities;1982;99040.0;76717.0;22323.0;22.7;17.6;13.4;10.4;4356;7391;8021;7930;91;5156;3412;1744;;;;;;
14;A-U All economic activities;1983;100344.0;76829.0;23515.0;23.5;18.0;13.9;10.6;4274;7228;7802;7714;88;5096;3349;1747;;;;;;
15;A-U All economic activities;1984;100809.0;77456.0;23353.0;23.6;18.1;13.9;10.7;4277;7233;7751;7652;100;5135;3342;1792;;;;;;
16;A-U All economic activities;1985;104641.0;80723.0;23918.0;24.0;18.5;14.4;11.1;4363;7281;7811;7700;111;5233;3404;1829;;;;;;
17;A-U All economic activities;1986;109164.0;84351.0;24813.0;24.5;18.9;14.7;11.4;4459;7417;7915;7802;113;5361;3468;1892;;;;;;
18;A-U All economic activities;1987;112894.0;87380.0;25514.0;24.9;19.3;15.1;11.7;4538;7489;8018;7907;111;5475;3521;1954;;;;;;
19;A-U All economic activities;1988;116037.0;90554.0;25483.0;25.2;19.6;15.2;11.8;4611;7655;8138;8016;122;5592;3589;2003;;;;;;
20;A-U All economic activities;1989;119628.0;94712.0;24916.0;25.4;20.1;15.2;12.0;4718;7870;8321;8188;134;5758;3651;2107;;;;;;
21;A-U All economic activities;1990;127116.0;109225.0;17891.0;26.2;22.5;15.7;13.5;4857;8116;8577;8437;140;5968;3748;2220;;;;;;
22;A-U All economic activities;1991;135023.0;115946.0;19077.0;27.4;23.6;16.5;14.1;4921;8198;8690;8544;146;6090;3783;2306;;;;;;
23;A-U All economic activities;1992;142980.0;122527.0;20453.0;28.7;24.6;17.2;14.7;4977;8321;8777;8638;139;6191;3795;2397;;;;;;
24;A-U All economic activities;1993;147027.0;126702.0;20325.0;29.7;25.6;17.9;15.4;4954;8219;8731;8598;133;6201;3765;2437;;;;;;
25;A-U All economic activities;1994;150603.0;130352.0;20251.0;30.6;26.5;18.2;15.8;4917;8269;8671;8540;132;6234;3742;2492;;;;;;
26;A-U All economic activities;1995;155837.0;133469.0;22368.0;31.2;26.7;18.3;15.7;5001;8503;8829;8688;141;6376;3730;2647;;;;;;
27;A-U All economic activities;1996;161820.0;138394.0;23426.0;31.7;27.1;18.6;15.9;5106;8681;8999;8863;137;6533;3827;2706;;;;;;
28;A-U All economic activities;1997;171222.0;146979.0;24243.0;32.5;27.9;19.2;16.5;5270;8933;9261;9117;144;6737;3936;2801;;;;;;
29;A-U All economic activities;1998;184054.0;148291.0;35763.0;33.7;27.2;20.1;16.2;5457;9176;9510;9363;147;6986;4055;2930;;;;;;
30;A-U All economic activities;1999;197344.0;159361.0;37983.0;35.1;28.3;20.9;16.9;5628;9444;9784;9635;149;7227;4161;3065;;;;;;
31;A-U All economic activities;2000;211803.0;170718.0;41085.0;36.8;29.7;22.0;17.7;5750;9648;10001;9845;156;7410;4237;3173;;;;;;
32;A-U All economic activities;2001;227390.0;182607.0;44783.0;38.8;31.2;23.1;18.6;5858;9833;10187;10039;148;7559;4283;3275;4193.0;3205.0;988.0;3366.0;1078.0;2287.0
33;A-U All economic activities;2002;238825.0;189544.0;49281.0;40.8;32.4;24.3;19.3;5850;9812;10165;10040;126;7607;4263;3344;4104.0;3147.0;957.0;3503.0;1116.0;2387.0
34;A-U All economic activities;2003;245752.0;193799.0;51953.0;42.5;33.6;25.3;19.9;5776;9726;10039;9917;122;7560;4209;3352;4022.0;3090.0;932.0;3538.0;1118.0;2420.0
35;A-U All economic activities;2004;251030.0;195648.0;55382.0;44.0;34.3;26.2;20.4;5699;9580;9912;9799;113;7472;4132;3340;3875.0;2993.0;882.0;3597.0;1139.0;2458.0
36;A-U All economic activities;2005;254563.0;199011.0;55552.0;44.8;35.0;26.6;20.8;5683;9554;9895;9775;121;7497;4116;3381;3767.0;2943.0;824.0;3730.0;1173.0;2557.0
37;A-U All economic activities;2006;264925.0;207545.0;57380.0;45.9;36.0;27.3;21.4;5773;9704;10054;9932;122;7626;4201;3425;3821.0;2969.0;852.0;3805.0;1232.0;2573.0
38;A-U All economic activities;2007;280309.0;220159.0;60150.0;47.5;37.3;28.2;22.1;5905;9946;10264;10138;126;7837;4305;3532;3889.0;3015.0;874.0;3947.0;1290.0;2657.0
39;A-U All economic activities;2008;294716.0;230750.0;63966.0;49.0;38.4;28.9;22.7;6013;10181;10461;10326;135;7972;4353;3619;3963.0;3038.0;925.0;4010.0;1315.0;2694.0
40;A-U All economic activities;2009;298488.0;233570.0;64918.0;50.3;39.3;29.8;23.3;5940;10028;10363;10243;119;7905;4273;3632;3844.0;2962.0;881.0;4061.0;1310.0;2751.0
41;A-U All economic activities;2010;300491.0;234552.0;65939.0;51.0;39.8;30.2;23.6;5892;9943;10239;10102;137;7862;4218;3644;3815.0;2949.0;866.0;4047.0;1269.0;2778.0
42;A-U All economic activities;2011;306215.0;238903.0;67312.0;51.8;40.4;30.6;23.9;5910;9997;10271;10132;139;7905;4229;3676;3811.0;2943.0;868.0;4094.0;1286.0;2807.0
43;A-U All economic activities;2012;309190.0;239022.0;70168.0;52.8;40.8;31.2;24.1;5858;9913;10182;10045;137;7847;4173;3674;3768.0;2902.0;866.0;4079.0;1271.0;2808.0
44;A Agriculture, forestry and fishing;1969;378.0;290.0;88.0;5.7;4.4;3.1;2.4;66;123;134;132;2;76;68;8;;;;;;
45;A Agriculture, forestry and fishing;1970;396.0;305.0;91.0;6.2;4.8;3.4;2.6;63;116;126;124;2;73;65;8;;;;;;
46;A Agriculture, forestry and fishing;1971;416.0;317.0;99.0;6.9;5.3;3.9;3.0;60;106;117;115;2;69;61;8;;;;;;
47;A Agriculture, forestry and fishing;1972;454.0;345.0;109.0;7.7;5.8;4.4;3.3;59;104;115;113;2;68;60;8;;;;;;
48;A Agriculture, forestry and fishing;1973;522.0;393.0;129.0;8.8;6.6;5.1;3.8;59;103;114;111;2;68;59;9;;;;;;
49;A Agriculture, forestry and fishing;1974;565.0;427.0;138.0;9.7;7.3;5.8;4.4;58;98;109;108;2;68;58;10;;;;;;
50;A Agriculture, forestry and fishing;1975;644.0;479.0;165.0;11.2;8.3;6.9;5.1;57;94;105;104;2;67;57;10;;;;;;
51;A Agriculture, forestry and fishing;1976;698.0;517.0;181.0;12.1;9.0;7.4;5.5;58;94;106;104;2;67;56;11;;;;;;
