ID;Sectoren;Jaren;Totaal_1;MetAutomatisering_2;MetExterneCommunicatie_3;MetInternet_4;MetAnderNet_5;AlsGebruikerVanNetwerk_6;AlsAanbiederOpNetwerk_7;ElektronischeEtalage_8;ElektronischBestellen_9;ElektronischBetalen_10;Klantondersteuning_11;OpvragenGratisInformatie_12;VerzendenOntvangenBerichten_13;FinancieleTransacties_14;WervenVanPersoneel_15;ContactMetOverheid_16;OpvragenBetaaldeInfo_17;BestellenGoederen_18;BetalingNaBestellen_19;Aantal_20;Telewerk_21;ITPersoneel_22;ArbeidsjVoorSoftwareOntwikkeling_23;ITVacatures_24;PCSTerminals_25;GekoppeldePCS_26;InternetPC_27;Totaal_28;Hardware_29;Software_30;Totaal_31;Hardware_32;Software_33;LoonkostenITPersoneel_34;InhuurITPersoneel_35;OverigeITKosten_36
0;Totaal;1997;97856.0;73005.0;50054.0;25075.0;;22781.0;12804.0;9337.0;3155.0;2282.0;4230.0;19794.0;19718.0;;;;6732.0;;;4170275.0;;83941.0;29133.0;7161.0;1824436.0;1360075.0;274974.0;2911.0;2106.0;805.0;10591.0;3114.0;1498.0;3808.0;1471.0;701.0
1;Totaal;1998;101655.0;85408.0;60599.0;42290.0;;;;;;;;37440.0;35966.0;;;;14276.0;;;4466971.0;84392.0;111429.0;37528.0;15039.0;2085133.0;1817162.0;711367.0;3859.0;2267.0;1592.0;13998.0;3104.0;1854.0;5186.0;2548.0;1306.0
2;Totaal;1999;104944.0;89021.0;70075.0;58016.0;51326.0;67113.0;34748.0;27113.0;18875.0;8843.0;12098.0;52008.0;54594.0;49549.0;10431.0;15485.0;13847.0;21026.0;11911.0;4812621.0;69126.0;130042.0;31468.0;15659.0;2304807.0;1972805.0;833491.0;4214.0;2370.0;1844.0;15724.0;2989.0;2242.0;5765.0;2855.0;1873.0
3;Totaal;2000;104944.0;89987.0;;;;;;;;;;;;;;;;;;;;140002.0;;;2515075.0;2165367.0;1119330.0;;;;16428.0;;;;;
4;Totaal;2001;104944.0;90119.0;77955.0;63863.0;53072.0;75679.0;53297.0;45993.0;29926.0;13767.0;19713.0;63107.0;67417.0;55745.0;15850.0;20481.0;19583.0;31815.0;17198.0;;;150976.0;;;2662851.0;2336847.0;1400484.0;;;;17105.0;;;;;
5;5 tot 20 werknemers van totaal;1997;69073.0;47155.0;30543.0;13802.0;;12165.0;7278.0;5029.0;1725.0;1510.0;2614.0;10349.0;10411.0;;;;3873.0;;;711654.0;;6068.0;1650.0;815.0;248026.0;146058.0;35669.0;286.0;205.0;81.0;553.0;220.0;96.0;197.0;29.0;12.0
6;5 tot 20 werknemers van totaal;1998;71583.0;57789.0;38054.0;25467.0;;;;;;;;22301.0;21058.0;;;;8613.0;;;790438.0;17337.0;11631.0;7164.0;2572.0;339001.0;271190.0;114330.0;410.0;273.0;137.0;857.0;229.0;130.0;398.0;54.0;46.0
7;5 tot 20 werknemers van totaal;1999;73985.0;61208.0;46188.0;36909.0;32849.0;43831.0;21321.0;16095.0;12177.0;5847.0;7619.0;32599.0;34025.0;32315.0;4965.0;9356.0;8482.0;13033.0;7726.0;898257.0;12357.0;17666.0;5539.0;3315.0;405230.0;309608.0;159471.0;613.0;413.0;200.0;1109.0;265.0;172.0;520.0;95.0;58.0
8;5 tot 20 werknemers van totaal;2000;73985.0;62059.0;;;;;;;;;;;;;;;;;;;;21412.0;;;445625.0;345175.0;213868.0;;;;1157.0;;;;;
9;5 tot 20 werknemers van totaal;2001;73985.0;62172.0;52003.0;41357.0;34193.0;50166.0;33694.0;28439.0;19021.0;8901.0;12395.0;40716.0;43317.0;37198.0;7559.0;12439.0;12375.0;19960.0;11101.0;;;25714.0;;;474119.0;380378.0;255261.0;;;;1300.0;;;;;
10;20 tot 100 werknemers van totaal;1997;23262.0;20645.0;15199.0;7916.0;;7466.0;3787.0;2902.0;1091.0;612.0;1133.0;6587.0;6504.0;;;;1879.0;;;994300.0;;14156.0;4079.0;1699.0;356688.0;241876.0;51136.0;528.0;379.0;149.0;1222.0;435.0;162.0;520.0;74.0;32.0
11;20 tot 100 werknemers van totaal;1998;24360.0;22318.0;17890.0;12777.0;;;;;;;;11397.0;11287.0;;;;4239.0;;;1115825.0;24666.0;20357.0;9075.0;2653.0;424749.0;362569.0;145556.0;653.0;401.0;253.0;1821.0;407.0;244.0;805.0;216.0;150.0
