ID;Diensten;Landen;Perioden;InvoerVanDiensten_1;UitvoerVanDiensten_2;SaldoDiensten_3
0;S Totaal Diensten;Totaal landen;2020 1e kwartaal;50763.0;52363.0;1600.0
1;S Totaal Diensten;Totaal landen;2020 2e kwartaal;43924.0;47763.0;3839.0
2;S Totaal Diensten;Totaal landen;2020 3e kwartaal;45645.0;47888.0;2242.0
3;S Totaal Diensten;Totaal landen;2020 4e kwartaal;50488.0;52184.0;1696.0
4;S Totaal Diensten;Totaal landen;2020;190820.0;200197.0;9377.0
5;S Totaal Diensten;Totaal landen;2021 1e kwartaal;45376.0;45715.0;339.0
6;S Totaal Diensten;Totaal landen;2021 2e kwartaal;50459.0;51822.0;1363.0
7;S Totaal Diensten;Totaal landen;2021 3e kwartaal;53149.0;57416.0;4267.0
8;S Totaal Diensten;Totaal landen;2021 4e kwartaal;61932.0;66817.0;4885.0
9;S Totaal Diensten;Totaal landen;2021;210917.0;221770.0;10853.0
10;S Totaal Diensten;Totaal landen;2022 1e kwartaal;56977.0;56777.0;-200.0
11;S Totaal Diensten;Totaal landen;2022 2e kwartaal;63928.0;69801.0;5873.0
12;S Totaal Diensten;Totaal landen;2022 3e kwartaal;67929.0;71820.0;3891.0
13;S Totaal Diensten;Totaal landen;2022 4e kwartaal;73453.0;82313.0;8860.0
14;S Totaal Diensten;Totaal landen;2022;262287.0;280711.0;18424.0
15;S Totaal Diensten;Totaal landen;2023 1e kwartaal;62129.0;66370.0;4242.0
16;S Totaal Diensten;Totaal landen;2023 2e kwartaal;65560.0;71888.0;6328.0
17;S Totaal Diensten;Totaal landen;2023 3e kwartaal;67281.0;73332.0;6050.0
18;S Totaal Diensten;Totaal landen;2023 4e kwartaal;73230.0;82406.0;9176.0
19;S Totaal Diensten;Totaal landen;2023;268200.0;293996.0;25796.0
20;S Totaal Diensten;Totaal landen;2024 1e kwartaal;64940.0;67618.0;2678.0
21;S Totaal Diensten;Totaal landen;2024 2e kwartaal;68507.0;76614.0;8108.0
22;S Totaal Diensten;Totaal landen;2024 3e kwartaal;71413.0;76414.0;5000.0
23;S Totaal Diensten;Totaal landen;2024 4e kwartaal;77708.0;85947.0;8240.0
24;S Totaal Diensten;Totaal landen;2024;282568.0;306593.0;24025.0
25;S Totaal Diensten;Algerije;2020 1e kwartaal;6.0;9.0;2.0
26;S Totaal Diensten;Algerije;2020 2e kwartaal;3.0;6.0;3.0
27;S Totaal Diensten;Algerije;2020 3e kwartaal;2.0;6.0;4.0
28;S Totaal Diensten;Algerije;2020 4e kwartaal;2.0;6.0;4.0
29;S Totaal Diensten;Algerije;2020;13.0;27.0;14.0
30;S Totaal Diensten;Algerije;2021 1e kwartaal;2.0;9.0;6.0
31;S Totaal Diensten;Algerije;2021 2e kwartaal;3.0;10.0;7.0
32;S Totaal Diensten;Algerije;2021 3e kwartaal;3.0;9.0;6.0
33;S Totaal Diensten;Algerije;2021 4e kwartaal;3.0;10.0;7.0
34;S Totaal Diensten;Algerije;2021;11.0;38.0;27.0
35;S Totaal Diensten;Algerije;2022 1e kwartaal;7.0;10.0;3.0
36;S Totaal Diensten;Algerije;2022 2e kwartaal;3.0;10.0;7.0
37;S Totaal Diensten;Algerije;2022 3e kwartaal;4.0;11.0;7.0
38;S Totaal Diensten;Algerije;2022 4e kwartaal;4.0;14.0;11.0
39;S Totaal Diensten;Algerije;2022;17.0;45.0;28.0
40;S Totaal Diensten;Algerije;2023 1e kwartaal;6.0;12.0;5.0
41;S Totaal Diensten;Algerije;2023 2e kwartaal;15.0;11.0;-4.0
42;S Totaal Diensten;Algerije;2023 3e kwartaal;5.0;11.0;6.0
43;S Totaal Diensten;Algerije;2023 4e kwartaal;11.0;10.0;0.0
44;S Totaal Diensten;Algerije;2023;37.0;44.0;7.0
45;S Totaal Diensten;Algerije;2024 1e kwartaal;8.0;11.0;3.0
46;S Totaal Diensten;Algerije;2024 2e kwartaal;11.0;23.0;12.0
47;S Totaal Diensten;Algerije;2024 3e kwartaal;6.0;10.0;4.0
48;S Totaal Diensten;Algerije;2024 4e kwartaal;12.0;13.0;2.0
49;S Totaal Diensten;Algerije;2024;37.0;58.0;21.0
50;S Totaal Diensten;Andere internationale organisaties;2020 1e kwartaal;;;
51;S Totaal Diensten;Andere internationale organisaties;2020 2e kwartaal;;;
52;S Totaal Diensten;Andere internationale organisaties;2020 3e kwartaal;;;
53;S Totaal Diensten;Andere internationale organisaties;2020 4e kwartaal;;;
54;S Totaal Diensten;Andere internationale organisaties;2020;;;
55;S Totaal Diensten;Andere internationale organisaties;2021 1e kwartaal;;;
56;S Totaal Diensten;Andere internationale organisaties;2021 2e kwartaal;;;
57;S Totaal Diensten;Andere internationale organisaties;2021 3e kwartaal;;;
58;S Totaal Diensten;Andere internationale organisaties;2021 4e kwartaal;;;
59;S Totaal Diensten;Andere internationale organisaties;2021;;;
60;S Totaal Diensten;Andere internationale organisaties;2022 1e kwartaal;;;
61;S Totaal Diensten;Andere internationale organisaties;2022 2e kwartaal;;;
62;S Totaal Diensten;Andere internationale organisaties;2022 3e kwartaal;;;
63;S Totaal Diensten;Andere internationale organisaties;2022 4e kwartaal;;;
64;S Totaal Diensten;Andere internationale organisaties;2022;;;
65;S Totaal Diensten;Andere internationale organisaties;2023 1e kwartaal;;;
66;S Totaal Diensten;Andere internationale organisaties;2023 2e kwartaal;;;
67;S Totaal Diensten;Andere internationale organisaties;2023 3e kwartaal;;;
68;S Totaal Diensten;Andere internationale organisaties;2023 4e kwartaal;;;
69;S Totaal Diensten;Andere internationale organisaties;2023;;;
70;S Totaal Diensten;Andere internationale organisaties;2024 1e kwartaal;;;
71;S Totaal Diensten;Andere internationale organisaties;2024 2e kwartaal;;;
72;S Totaal Diensten;Andere internationale organisaties;2024 3e kwartaal;;;
73;S Totaal Diensten;Andere internationale organisaties;2024 4e kwartaal;;;
74;S Totaal Diensten;Andere internationale organisaties;2024;;;
75;S Totaal Diensten;Argentinië;2020 1e kwartaal;70.0;157.0;87.0
76;S Totaal Diensten;Argentinië;2020 2e kwartaal;65.0;129.0;64.0
77;S Totaal Diensten;Argentinië;2020 3e kwartaal;48.0;122.0;74.0
78;S Totaal Diensten;Argentinië;2020 4e kwartaal;52.0;149.0;96.0
79;S Totaal Diensten;Argentinië;2020;236.0;557.0;321.0
80;S Totaal Diensten;Argentinië;2021 1e kwartaal;56.0;73.0;16.0
81;S Totaal Diensten;Argentinië;2021 2e kwartaal;56.0;76.0;19.0
82;S Totaal Diensten;Argentinië;2021 3e kwartaal;53.0;108.0;55.0
83;S Totaal Diensten;Argentinië;2021 4e kwartaal;76.0;132.0;56.0
84;S Totaal Diensten;Argentinië;2021;242.0;389.0;147.0
85;S Totaal Diensten;Argentinië;2022 1e kwartaal;89.0;123.0;34.0
86;S Totaal Diensten;Argentinië;2022 2e kwartaal;101.0;125.0;24.0
87;S Totaal Diensten;Argentinië;2022 3e kwartaal;96.0;163.0;67.0
88;S Totaal Diensten;Argentinië;2022 4e kwartaal;135.0;175.0;41.0
89;S Totaal Diensten;Argentinië;2022;421.0;586.0;165.0
90;S Totaal Diensten;Argentinië;2023 1e kwartaal;83.0;185.0;102.0
91;S Totaal Diensten;Argentinië;2023 2e kwartaal;89.0;176.0;87.0
92;S Totaal Diensten;Argentinië;2023 3e kwartaal;100.0;178.0;78.0
93;S Totaal Diensten;Argentinië;2023 4e kwartaal;139.0;248.0;109.0
94;S Totaal Diensten;Argentinië;2023;410.0;787.0;377.0
95;S Totaal Diensten;Argentinië;2024 1e kwartaal;98.0;233.0;135.0
96;S Totaal Diensten;Argentinië;2024 2e kwartaal;125.0;208.0;83.0
97;S Totaal Diensten;Argentinië;2024 3e kwartaal;107.0;218.0;110.0
98;S Totaal Diensten;Argentinië;2024 4e kwartaal;172.0;260.0;88.0
99;S Totaal Diensten;Argentinië;2024;502.0;919.0;417.0
100;S Totaal Diensten;Australië;2020 1e kwartaal;282.0;803.0;522.0
101;S Totaal Diensten;Australië;2020 2e kwartaal;212.0;776.0;565.0
102;S Totaal Diensten;Australië;2020 3e kwartaal;221.0;495.0;274.0
103;S Totaal Diensten;Australië;2020 4e kwartaal;263.0;568.0;305.0
104;S Totaal Diensten;Australië;2020;977.0;2642.0;1665.0
105;S Totaal Diensten;Australië;2021 1e kwartaal;231.0;526.0;295.0
106;S Totaal Diensten;Australië;2021 2e kwartaal;273.0;592.0;319.0
107;S Totaal Diensten;Australië;2021 3e kwartaal;257.0;562.0;305.0
108;S Totaal Diensten;Australië;2021 4e kwartaal;312.0;651.0;340.0
109;S Totaal Diensten;Australië;2021;1072.0;2330.0;1258.0
110;S Totaal Diensten;Australië;2022 1e kwartaal;329.0;518.0;190.0
111;S Totaal Diensten;Australië;2022 2e kwartaal;318.0;626.0;307.0
112;S Totaal Diensten;Australië;2022 3e kwartaal;352.0;674.0;322.0
113;S Totaal Diensten;Australië;2022 4e kwartaal;525.0;866.0;341.0
114;S Totaal Diensten;Australië;2022;1525.0;2684.0;1160.0
115;S Totaal Diensten;Australië;2023 1e kwartaal;393.0;687.0;295.0
116;S Totaal Diensten;Australië;2023 2e kwartaal;415.0;719.0;304.0
117;S Totaal Diensten;Australië;2023 3e kwartaal;462.0;777.0;315.0
118;S Totaal Diensten;Australië;2023 4e kwartaal;458.0;788.0;330.0
119;S Totaal Diensten;Australië;2023;1728.0;2971.0;1243.0
120;S Totaal Diensten;Australië;2024 1e kwartaal;458.0;645.0;187.0
121;S Totaal Diensten;Australië;2024 2e kwartaal;416.0;786.0;370.0
122;S Totaal Diensten;Australië;2024 3e kwartaal;493.0;852.0;359.0
123;S Totaal Diensten;Australië;2024 4e kwartaal;486.0;900.0;414.0
124;S Totaal Diensten;Australië;2024;1853.0;3182.0;1329.0
125;S Totaal Diensten;Bahama's;2020 1e kwartaal;4.0;8.0;5.0
126;S Totaal Diensten;Bahama's;2020 2e kwartaal;1.0;7.0;7.0
127;S Totaal Diensten;Bahama's;2020 3e kwartaal;3.0;7.0;5.0
128;S Totaal Diensten;Bahama's;2020 4e kwartaal;1.0;13.0;12.0
129;S Totaal Diensten;Bahama's;2020;8.0;36.0;28.0
130;S Totaal Diensten;Bahama's;2021 1e kwartaal;7.0;9.0;2.0
131;S Totaal Diensten;Bahama's;2021 2e kwartaal;6.0;4.0;-2.0
132;S Totaal Diensten;Bahama's;2021 3e kwartaal;5.0;6.0;1.0
133;S Totaal Diensten;Bahama's;2021 4e kwartaal;6.0;5.0;-2.0
134;S Totaal Diensten;Bahama's;2021;25.0;23.0;-2.0
135;S Totaal Diensten;Bahama's;2022 1e kwartaal;3.0;4.0;0.0
136;S Totaal Diensten;Bahama's;2022 2e kwartaal;2.0;4.0;2.0
137;S Totaal Diensten;Bahama's;2022 3e kwartaal;12.0;12.0;0.0
138;S Totaal Diensten;Bahama's;2022 4e kwartaal;4.0;7.0;4.0
139;S Totaal Diensten;Bahama's;2022;21.0;26.0;5.0
140;S Totaal Diensten;Bahama's;2023 1e kwartaal;7.0;5.0;-2.0
141;S Totaal Diensten;Bahama's;2023 2e kwartaal;10.0;6.0;-4.0
142;S Totaal Diensten;Bahama's;2023 3e kwartaal;21.0;11.0;-10.0
143;S Totaal Diensten;Bahama's;2023 4e kwartaal;13.0;8.0;-5.0
144;S Totaal Diensten;Bahama's;2023;51.0;31.0;-20.0
145;S Totaal Diensten;Bahama's;2024 1e kwartaal;7.0;4.0;-3.0
146;S Totaal Diensten;Bahama's;2024 2e kwartaal;1.0;5.0;4.0
147;S Totaal Diensten;Bahama's;2024 3e kwartaal;13.0;13.0;0.0
148;S Totaal Diensten;Bahama's;2024 4e kwartaal;6.0;13.0;6.0
149;S Totaal Diensten;Bahama's;2024;27.0;34.0;7.0
150;S Totaal Diensten;België;2020 1e kwartaal;2953.0;2835.0;-118.0
151;S Totaal Diensten;België;2020 2e kwartaal;2695.0;2408.0;-287.0
