ID;Perioden;TotaalUitgaven_1;TotaalAlgemeenBestuur_2;ProvincialeStaten_3;GedeputeerdeStaten_4;OverigAlgemeenBestuur_5;OpenbareOrdeEnVeiligheid_6;TotaalVerkeerEnVervoer_7;VerkeerEnVervoerAlgemeen_8;Landwegen_9;BootEnVeerdiensten_10;Waterwegen_11;Vervoer_12;TotaalWaterhuishouding_13;WaterhuishoudingAlgemeen_14;Waterschapsaangelegenheden_15;Waterkeringen_16;KwantitatiefBeheerOppervlaktewater_17;KwantitatiefBeheerGrondwater_18;TotaalMilieubeheer_19;MilieubeheerAlgemeen_20;KwalitatiefBeheerOppervlaktewater_21;KwalitatiefBeheerGrondwaterEnBodem_22;BestrijdingLuchtverontreiniging_23;BestrijdingGeluidhinder_24;VergunningverleningEnHandhaving_25;Ontgrondingen_26;RecreatieEnNatuur_27;TotaalEconomischeEnAgrarischeZaken_28;AlgemeneEconomischeAangelegenheden_29;BevorderingEconomischeActiviteiten_30;Nutsvoorzieningen_31;AgrarischeAangelegenheden_32;TotaalWelzijn_33;WelzijnAlgemeen_34;KunstEnOudheidkunde_35;SociaalCultureelwerkEnOntwikkeling_36;Ouderenzorg_37;Jeugdhulpverlening_38;OverigWelzijn_39;TotaalRuimtOrdeningEnVolkshuisv_40;RuimteOrdeningEnVolkshuisvAlgemeen_41;RuimtelijkeOrdening_42;Volkshuisvesting_43;StadsEnDorpsvernieuwing_44;FinancieringAlgemeneDekkingsmiddelen_45;TotaalInkomsten_46;TotaalAlgemeenBestuur_47;ProvincialeStaten_48;GedeputeerdeStaten_49;OverigAlgemeenBestuur_50;OpenbareOrdeEnVeiligheidTotaal_51;TotaalVerkeerEnVervoer_52;Algemeen_53;Landwegen_54;BootEnVeerdiensten_55;Waterwegen_56;Vervoer_57;TotaalWaterhuishouding_58;WaterhuishoudingAlgemeen_59;Waterschapsaangelegenheden_60;Waterkeringen_61;KwantitatiefBeheerOppervlaktewater_62;KwantitatiefBeheerGrondwater_63;TotaalMilieubeheer_64;MilieubeheerAlgemeen_65;KwalitatiefBeheerOppervlaktewater_66;KwalitatiefBeheerGrondwaterEnBodem_67;BestrijdingLuchtverontreiniging_68;BestrijdingGeluidhinder_69;VergunningverleningEnHandhaving_70;Ontgrondingen_71;RecreatieEnNatuur_72;TotaalEconomischeEnAgrarischeZaken_73;AlgemeneEconomischeAangelegenheden_74;BevorderingEconomischeActiviteiten_75;Nutsvoorzieningen_76;AgrarischeAangelegenheden_77;TotaalWelzijn_78;WelzijnAlgemeen_79;KunstEnOudheidkunde_80;SociaalCultureelWerkEnOntwikkeling_81;Ouderenzorg_82;Jeugdhulpverlening_83;OverigWelzijn_84;TotaalRuimtOrdeningEnVolkshuisv_85;RuimteOrdeningEnVolkshuisvAlgemeen_86;RuimtelijkeOrdening_87;Volkshuisvesting_88;StadsEnDorpsvernieuwing_89;FinancieringEnAlgDekkingsmiddelen_90
0;1998;3107;152;19;29;103;5;960;72;471;41;84;293;136;9;6;93;11;17;405;54;40;214;7;6;71;11;126;272;35;180;20;36;766;106;110;57;20;402;70;162;20;65;28;49;124;3176;20;0;1;19;0;466;44;60;39;47;275;33;2;1;15;3;12;232;13;38;168;0;3;4;6;31;197;14;118;51;15;498;68;21;5;8;389;7;87;6;18;15;49;1611
1;1999;3636;175;22;34;120;6;999;85;475;40;95;304;152;19;5;95;13;19;394;65;54;180;6;6;72;10;150;535;35;266;196;38;813;102;123;65;51;393;79;167;19;61;28;59;245;3818;19;0;1;18;0;479;48;56;39;49;288;45;13;1;14;3;13;210;13;57;128;0;3;3;6;49;599;15;195;376;13;524;56;34;6;37;382;9;93;8;18;16;50;1799
2;2000;3706;191;22;51;118;6;1141;102;561;43;109;326;143;12;6;95;10;20;417;83;25;204;7;6;83;9;134;207;20;121;15;51;902;131;131;68;39;463;70;143;15;56;24;48;422;3821;31;0;15;16;0;533;59;64;42;64;305;28;2;1;9;1;15;219;27;19;157;1;3;8;4;25;264;5;41;203;16;547;38;27;4;29;447;2;66;5;5;13;44;2106
3;2001;4240;235;23;45;166;9;1234;171;523;57;105;378;184;18;5;128;10;23;483;96;44;231;6;5;91;9;156;285;21;183;22;59;980;129;131;85;23;531;80;300;15;80;109;96;376;4415;28;0;6;22;1;609;100;52;55;51;351;49;6;0;26;1;15;252;32;33;176;0;2;6;2;40;317;8;86;208;14;597;34;23;11;8;514;6;195;5;6;91;92;2328
4;2002;4468;251;29;42;180;9;1404;157;671;67;118;391;169;20;6;111;12;20;459;109;26;196;8;6;107;10;170;310;42;159;43;66;1082;130;159;101;17;581;94;242;19;90;46;87;372;4589;33;0;2;31;1;768;96;198;66;50;358;49;5;0;26;1;17;213;34;17;150;0;3;6;3;37;308;12;81;193;22;657;32;31;21;9;556;8;127;7;6;31;83;2396
5;2003;4693;269;33;47;189;13;1290;122;644;20;101;403;161;21;5;101;13;21;469;100;22;198;9;9;123;8;172;385;37;251;23;74;1162;140;175;120;9;615;103;256;15;84;53;104;516;5110;51;1;4;46;0;662;68;167;19;47;361;33;5;0;11;1;16;210;31;12;147;0;5;12;3;40;629;17;136;448;28;682;32;34;22;3;584;7;148;4;9;40;95;2655
6;2004;5546;227;37;43;147;13;1517;208;607;13;123;566;172;30;8;103;10;21;509;110;44;203;8;6;131;7;209;414;42;308;8;56;1172;145;184;114;4;625;100;299;19;87;55;138;1014;5629;14;0;2;12;1;829;107;146;16;63;497;34;3;1;11;1;18;235;40;48;125;1;1;16;4;31;328;18;78;185;47;682;31;30;21;0;595;5;182;3;5;54;120;3293
7;2005;6033;264;40;52;172;15;1583;196;634;1;200;551;154;34;3;87;12;18;450;95;3;205;11;4;126;6;228;374;28;279;8;59;1390;149;194;116;6;827;97;305;14;88;101;102;1271;6033;18;1;1;16;1;1007;80;164;0;265;498;31;2;1;10;3;16;196;20;1;163;2;1;6;3;35;403;1;107;261;34;865;28;30;20;0;784;3;183;3;16;74;90;3294
