ID;Bedrijfsgrootte;RegioS;Perioden;BoomteeltEnVastePlantenTotaal_1;GewassenTotaal_2;BosEnHaagplantsoen_3;LaanEnParkbomenTotaal_4;Onderstammen_5;Spillen_6;Opzetters_7;Rozenstruiken_8;Sierconiferen_9;SierheestersEnKlimplantenTotaal_10;Buxus_11;Ericaceae_12;TrekEnBesheester_13;OverigeSierheestersEnKlimplanten_14;VastePlanten_15;VruchtbomenTotaal_16;Moerbomen_17;Onderstammen_18;OverigeVruchtbomen_19;TeeltwijzeTotaal_20;TeeltInDeVolleGrond_21;TeeltInPottenEnContainers_22;OnderGlasTotaal_23;Vermeerdering_24;VolledigeTeeltOnderGlas_25;BoomteeltEnVastePlantenTotaal_26;GewassenTotaal_27;BosEnHaagplantsoen_28;LaanEnParkbomenTotaal_29;Onderstammen_30;Spillen_31;Opzetters_32;Rozenstruiken_33;Sierconiferen_34;SierheestersEnKlimplantenTotaal_35;Buxus_36;Ericaceae_37;TrekEnBesheester_38;OverigeSierheestersEnKlimplanten_39;VastePlanten_40;VruchtbomenTotaal_41;Moerbomen_42;Onderstammen_43;OverigeVruchtbomen_44;TeeltwijzeTotaal_45;TeeltInDeVolleGrond_46;TeeltInPottenEnContainers_47;OnderGlasTotaal_48;Vermeerdering_49;VolledigeTeeltOnderGlas_50
77;Alle bedrijfsgroottes;Drenthe (PV);2007;363;356;58;10;7.0;1.0;1.0;0;67;112;54.0;4.0;3.0;51.0;106;3;1.0;1.0;1.0;356;336;20;7;1;6;102;99;19;9;3.0;4.0;3.0;1;40;58;27.0;7.0;4.0;35.0;25;7;2.0;1.0;4.0;99;89;28;26;20;11
78;Alle bedrijfsgroottes;Drenthe (PV);2008;414;407;74;9;0.0;1.0;7.0;3;86;126;59.0;7.0;16.0;44.0;107;2;0.0;0.0;2.0;407;390;17;7;1;6;98;95;19;8;3.0;4.0;3.0;3;38;54;28.0;5.0;8.0;27.0;19;6;2.0;0.0;4.0;95;87;24;19;12;9
79;Alle bedrijfsgroottes;Drenthe (PV);2009;435;429;35;10;0.0;1.0;8.0;3;141;139;47.0;7.0;4.0;81.0;99;2;0.0;0.0;2.0;429;413;15;6;1;5;88;86;16;5;1.0;3.0;2.0;1;37;46;24.0;4.0;3.0;24.0;16;5;1.0;0.0;4.0;86;80;20;16;11;7
80;Alle bedrijfsgroottes;Overijssel (PV);2000;601;590;50;32;;;;5;359;84;;;;;36;24;;;;590;556;34;11;5;5;226;224;41;36;;;;9;147;99;;;;;55;14;;;;224;206;57;37;30;14
81;Alle bedrijfsgroottes;Overijssel (PV);2001;578;568;37;26;;;;5;335;127;;;;;36;2;;;;568;535;34;10;4;6;207;207;34;29;;;;7;126;103;;;;;47;12;;;;207;190;60;38;31;14
82;Alle bedrijfsgroottes;Overijssel (PV);2002;649;637;46;28;;;;5;394;120;;;;;41;4;;;;637;594;43;12;6;6;211;207;40;33;;;;7;118;96;;;;;48;12;;;;207;190;52;42;34;20
83;Alle bedrijfsgroottes;Overijssel (PV);2003;691;673;57;33;;;;4;375;141;;;;;57;6;;;;673;636;37;18;10;7;204;196;29;28;;;;2;107;81;;;;;52;4;;;;196;181;44;41;34;17
84;Alle bedrijfsgroottes;Overijssel (PV);2004;732;718;60;39;;;;4;368;155;;;;;86;6;;;;718;684;34;14;5;9;194;188;27;29;;;;2;99;84;;;;;48;6;;;;188;173;47;38;31;16
85;Alle bedrijfsgroottes;Overijssel (PV);2005;815;802;43;44;;;;5;436;209;;;;;58;7;;;;802;760;42;12;3;9;184;181;26;28;;;;3;100;85;;;;;39;6;;;;181;166;50;34;26;18
86;Alle bedrijfsgroottes;Overijssel (PV);2006;939;927;78;76;5.0;7.0;64.0;12;433;257;142.0;4.0;0.0;111.0;58;14;0.0;2.0;13.0;927;896;31;12;3;10;190;188;38;26;8.0;8.0;13.0;4;106;98;45.0;4.0;0.0;74.0;37;9;0.0;2.0;7.0;188;175;41;32;23;17
