ID;Bedrijfsgrootte;RegioS;Perioden;BoomteeltEnVastePlantenTotaal_1;GewassenTotaal_2;BosEnHaagplantsoen_3;LaanEnParkbomenTotaal_4;Onderstammen_5;Spillen_6;Opzetters_7;Rozenstruiken_8;Sierconiferen_9;SierheestersEnKlimplantenTotaal_10;Buxus_11;Ericaceae_12;TrekEnBesheester_13;OverigeSierheestersEnKlimplanten_14;VastePlanten_15;VruchtbomenTotaal_16;Moerbomen_17;Onderstammen_18;OverigeVruchtbomen_19;TeeltwijzeTotaal_20;TeeltInDeVolleGrond_21;TeeltInPottenEnContainers_22;OnderGlasTotaal_23;Vermeerdering_24;VolledigeTeeltOnderGlas_25;BoomteeltEnVastePlantenTotaal_26;GewassenTotaal_27;BosEnHaagplantsoen_28;LaanEnParkbomenTotaal_29;Onderstammen_30;Spillen_31;Opzetters_32;Rozenstruiken_33;Sierconiferen_34;SierheestersEnKlimplantenTotaal_35;Buxus_36;Ericaceae_37;TrekEnBesheester_38;OverigeSierheestersEnKlimplanten_39;VastePlanten_40;VruchtbomenTotaal_41;Moerbomen_42;Onderstammen_43;OverigeVruchtbomen_44;TeeltwijzeTotaal_45;TeeltInDeVolleGrond_46;TeeltInPottenEnContainers_47;OnderGlasTotaal_48;Vermeerdering_49;VolledigeTeeltOnderGlas_50
29;Alle bedrijfsgroottes;Oost-Nederland (LD);2009;3954;3892;145;1664;177.0;580.0;907.0;11;832;666;407.0;25.0;15.0;218.0;131;444;79.0;94.0;271.0;3892;3778;115;62;20;42;714;684;84;186;98.0;124.0;98.0;8;224;258;143.0;23.0;20.0;146.0;121;62;13.0;19.0;41.0;684;643;101;136;90;74
30;Alle bedrijfsgroottes;West-Nederland (LD);2000;2463;2299;94;181;;;;38;331;916;;;;;589;150;;;;2299;1941;358;164;72;92;1962;1863;116;94;;;;77;579;1026;;;;;690;100;;;;1863;1689;626;733;572;302
31;Alle bedrijfsgroottes;West-Nederland (LD);2001;2536;2368;96;186;;;;37;318;1040;;;;;561;131;;;;2368;2003;365;168;69;99;1849;1758;104;94;;;;67;525;990;;;;;639;95;;;;1758;1605;614;663;512;279
32;Alle bedrijfsgroottes;West-Nederland (LD);2002;2558;2379;106;169;;;;46;349;933;;;;;624;152;;;;2379;2010;369;179;79;100;1753;1668;100;84;;;;69;489;921;;;;;603;85;;;;1668;1492;597;645;492;279
33;Alle bedrijfsgroottes;West-Nederland (LD);2003;2326;2160;98;173;;;;35;290;818;;;;;623;121;;;;2160;1819;341;167;71;96;1666;1587;87;86;;;;62;460;886;;;;;568;75;;;;1587;1434;536;632;498;273
34;Alle bedrijfsgroottes;West-Nederland (LD);2004;2427;2254;109;177;;;;35;274;946;;;;;621;91;;;;2254;1862;392;173;67;106;1611;1521;101;86;;;;54;432;855;;;;;536;62;;;;1521;1357;587;633;490;293
35;Alle bedrijfsgroottes;West-Nederland (LD);2005;2229;2033;92;142;;;;26;260;813;;;;;622;78;;;;2033;1662;371;196;72;124;1528;1428;90;83;;;;47;402;804;;;;;514;54;;;;1428;1269;567;623;483;282
36;Alle bedrijfsgroottes;West-Nederland (LD);2006;2407;2227;150;154;41.0;55.0;58.0;49;250;961;203.0;14.0;157.0;586.0;529;135;17.0;9.0;108.0;2227;1844;383;179;59;121;1455;1384;88;74;29.0;28.0;23.0;48;352;870;257.0;35.0;122.0;639.0;418;74;12.0;16.0;51.0;1384;1242;543;528;400;266
37;Alle bedrijfsgroottes;West-Nederland (LD);2007;2506;2339;200;230;41.0;86.0;103.0;53;249;933;221.0;19.0;168.0;525.0;555;119;9.0;13.0;97.0;2339;2009;330;167;54;113;1373;1306;109;78;33.0;36.0;27.0;42;319;808;277.0;42.0;125.0;568.0;397;74;10.0;19.0;52.0;1306;1167;515;480;364;236
38;Alle bedrijfsgroottes;West-Nederland (LD);2008;2471;2312;174;254;29.0;32.0;193.0;50;224;947;225.0;24.0;193.0;505.0;565;98;9.0;6.0;83.0;2312;2019;294;159;55;104;1294;1236;95;70;29.0;33.0;31.0;36;303;753;257.0;48.0;152.0;497.0;378;47;8.0;13.0;36.0;1236;1137;415;431;332;211
39;Alle bedrijfsgroottes;West-Nederland (LD);2009;2390;2213;106;225;37.0;37.0;151.0;31;185;948;245.0;28.0;162.0;513.0;614;105;10.0;17.0;77.0;2213;1953;261;176;42;135;1228;1158;73;62;33.0;26.0;27.0;29;274;722;258.0;54.0;131.0;481.0;368;44;7.0;14.0;29.0;1158;1087;319;408;282;230
40;Alle bedrijfsgroottes;Zuid-Nederland (LD);2000;7077;6938;1866;1710;;;;519;1220;571;;;;;394;657;;;;6938;6506;432;139;71;68;2029;1994;706;358;;;;217;756;554;;;;;285;139;;;;1994;1827;479;460;344;201
41;Alle bedrijfsgroottes;Zuid-Nederland (LD);2001;7084;6941;1914;1791;;;;442;1321;593;;;;;321;558;;;;6941;6482;458;144;80;63;1918;1878;657;348;;;;176;721;552;;;;;251;109;;;;1878;1729;454;453;351;190
42;Alle bedrijfsgroottes;Zuid-Nederland (LD);2002;7562;7412;1905;1970;;;;423;1399;628;;;;;426;661;;;;7412;6957;456;150;88;62;1974;1939;644;355;;;;162;702;541;;;;;301;114;;;;1939;1792;450;442;357;176
43;Alle bedrijfsgroottes;Zuid-Nederland (LD);2003;7582;7437;1922;1865;;;;433;1425;704;;;;;412;675;;;;7437;7034;403;145;70;75;1890;1851;625;346;;;;148;667;528;;;;;287;104;;;;1851;1715;425;438;335;189
44;Alle bedrijfsgroottes;Zuid-Nederland (LD);2004;8027;7876;1849;2078;;;;411;1659;771;;;;;428;679;;;;7876;7339;537;151;67;84;1823;1781;588;340;;;;139;623;514;;;;;280;100;;;;1781;1636;433;440;334;191
45;Alle bedrijfsgroottes;Zuid-Nederland (LD);2005;8841;8680;2125;2214;;;;470;1799;869;;;;;428;775;;;;8680;8235;445;161;80;81;1800;1761;610;335;;;;136;598;509;;;;;266;87;;;;1761;1616;441;425;329;179
