ID;Households;Regions;Periods;MixedIncomeNet_1;TotalCompensationOfEmployees_2;TotalPropertyIncome_3;TotalPropertyIncome_4;PrimaryIncomeNet_5;PrimaryIncomeNet_6;TotalSocialBenefits_7;TotalOtherCurrentTransfers_8;TotalCurrentTaxesOnIncomeAndWealth_9;TotalSocialContributions_10;TotalOtherCurrentTransfers_11;DisposableIncomeNet_12;MixedIncomeNet_13;TotalCompensationOfEmployees_14;TotalPropertyIncome_15;TotalPropertyIncome_16;PrimaryIncomeNet_17;PrimaryIncomeNet_18;TotalSocialBenefits_19;TotalOtherCurrentTransfers_20;TotalCurrentTaxesOnIncomeAndWealth_21;TotalSocialContributions_22;TotalOtherCurrentTransfers_23;DisposableIncomeNet_24;MixedIncomeNet_25;TotalCompensationOfEmployees_26;TotalPropertyIncome_27;TotalPropertyIncome_28;PrimaryIncomeNet_29;PrimaryIncomeNet_30;TotalSocialBenefits_31;TotalOtherCurrentTransfers_32;TotalCurrentTaxesOnIncomeAndWealth_33;TotalSocialContributions_34;TotalOtherCurrentTransfers_35;DisposableIncomeNet_36
0;Households, total;Netherlands;1995;26016.0;155847.0;40208.0;12261.0;209810.0;209810.0;63833.0;10227.0;27545.0;86031.0;11767.0;158527.0;1683.0;10081.0;2601.0;793.0;13572.0;13572.0;4129.0;662.0;1782.0;5565.0;761.0;10255.0;;;;;;;;;;;;
1;Households, total;Netherlands;1996;27329.0;161903.0;40851.0;11727.0;218356.0;218356.0;65469.0;10769.0;27603.0;88018.0;12807.0;166166.0;1760.0;10425.0;2630.0;755.0;14060.0;14060.0;4216.0;693.0;1777.0;5668.0;825.0;10700.0;;;;;;;;;;;;
2;Households, total;Netherlands;1997;30262.0;171272.0;43995.0;13279.0;232250.0;232250.0;66093.0;11762.0;26037.0;93244.0;13884.0;176940.0;1939.0;10971.0;2818.0;851.0;14878.0;14878.0;4234.0;753.0;1668.0;5973.0;889.0;11335.0;;;;;;;;;;;;
3;Households, total;Netherlands;1998;31548.0;183916.0;46740.0;14884.0;247320.0;247320.0;66616.0;13255.0;26860.0;98571.0;15067.0;186693.0;2009.0;11709.0;2976.0;948.0;15746.0;15746.0;4241.0;844.0;1710.0;6276.0;959.0;11886.0;;;;;;;;;;;;
4;Households, total;Netherlands;1999;32619.0;197214.0;48918.0;17232.0;261519.0;261519.0;69230.0;14433.0;28313.0;106267.0;16435.0;194167.0;2063.0;12472.0;3094.0;1090.0;16539.0;16539.0;4378.0;913.0;1791.0;6721.0;1039.0;12280.0;;;;;;;;;;;;
5;Households, total;Netherlands;2000;35395.0;211596.0;51939.0;21083.0;277847.0;277847.0;71657.0;15495.0;30427.0;111669.0;17705.0;205198.0;2223.0;13287.0;3261.0;1324.0;17447.0;17447.0;4500.0;973.0;1911.0;7012.0;1112.0;12885.0;;;;;;;;;;;;
6;Households, total;Netherlands;2001;36592.0;227243.0;53500.0;20818.0;296517.0;296517.0;75832.0;16910.0;32443.0;111066.0;19343.0;226407.0;2280.0;14162.0;3334.0;1297.0;18479.0;18479.0;4726.0;1054.0;2022.0;6922.0;1205.0;14110.0;;;;;;;;;;;;
7;Households, total;Netherlands;2002;34897.0;238501.0;52605.0;20071.0;305932.0;305932.0;79946.0;19501.0;36735.0;114892.0;22217.0;231535.0;2161.0;14769.0;3257.0;1243.0;18944.0;18944.0;4951.0;1208.0;2275.0;7114.0;1376.0;14337.0;;;;;;;;;;;;
8;Households, total;Netherlands;2003;33794.0;245075.0;48339.0;17987.0;309221.0;309221.0;82998.0;21172.0;36328.0;122151.0;24005.0;230907.0;2083.0;15104.0;2979.0;1109.0;19058.0;19058.0;5115.0;1305.0;2239.0;7528.0;1479.0;14231.0;;;;;;;;;;;;
9;Households, total;Netherlands;2004;34248.0;250018.0;48364.0;18247.0;314383.0;314383.0;85479.0;21729.0;34932.0;126943.0;25139.0;234577.0;2111.0;15383.0;2979.0;1125.0;19349.0;19349.0;5269.0;1339.0;2151.0;7815.0;1550.0;14442.0;;;;;;;;;;;;
10;Households, total;Netherlands;2005;35501.0;253431.0;52933.0;18760.0;323105.0;323105.0;87427.0;21637.0;39747.0;128017.0;25543.0;238862.0;2182.0;15548.0;3252.0;1153.0;19829.0;19829.0;5374.0;1330.0;2441.0;7858.0;1570.0;14664.0;;;;;;;;;;;;
