ID;Periods;IndexFiguresFinancialTurnover_1;IndexFiguresFinancialTurnover_2;TurnoverAfterAdjustment_3;TurnoverBeforeAdjustment_4;TurnoverDevelopments_5;CumulatedTurnoverDevelopment_6
0;1998 week 01 - 04;91.9;108.5;1590;1544.0;5.5;5.5
1;1998 week 05 - 08;91.2;107.6;1577;1531.0;6.0;5.7
2;1998 week 09 - 12;92.7;109.3;1603;1556.0;5.4;5.6
3;1998 week 13 - 16;95.7;112.9;1656;1608.0;7.2;6.0
4;1998 week 17 - 20;96.1;113.4;1662;1613.0;4.7;5.8
5;1998 week 21 - 24;97.4;115.0;1685;1636.0;6.4;5.9
6;1998 week 25 - 28;96.8;114.2;1674;1625.0;6.1;5.9
7;1998 week 29 - 32;91.7;108.2;1586;1540.0;2.8;5.5
8;1998 week 33 - 36;93.4;110.2;1615;1568.0;1.3;5.0
9;1998 week 37 - 40;93.5;110.3;1617;1570.0;3.2;4.8
10;1998 week 41 - 44;94.1;111.1;1628;1581.0;3.4;4.7
11;1998 week 45 - 48;96.6;114.0;1671;1622.0;4.5;4.7
12;1998 week 49 - 52;101.8;120.1;1761;1710.0;3.7;4.6
13;1998 week 01 - 52 (average);94.8;111.9;1640;1593.0;4.6;4.6
14;1999 week 01 - 04;95.0;112.1;1644;1596.0;3.3;3.3
15;1999 week 05 - 08;94.2;111.2;1630;1582.0;3.4;3.4
16;1999 week 09 - 12;95.6;112.8;1653;1605.0;3.1;3.3
17;1999 week 13 - 16;97.7;115.3;1690;1641.0;2.0;3.0
18;1999 week 17 - 20;99.7;117.7;1725;1675.0;3.8;3.1
19;1999 week 21 - 24;99.7;117.7;1725;1675.0;2.4;3.0
20;1999 week 25 - 28;98.3;116.0;1701;1652.0;1.6;2.8
21;1999 week 29 - 32;94.5;111.5;1635;1587.0;3.1;2.8
22;1999 week 33 - 36;95.9;113.2;1659;1611.0;2.7;2.8
23;1999 week 37 - 40;95.4;112.5;1650;1602.0;2.0;2.7
24;1999 week 41 - 44;95.1;112.3;1646;1598.0;1.1;2.6
25;1999 week 45 - 48;99.7;117.6;1724;1674.0;3.2;2.6
26;1999 week 49 - 52;102.4;120.8;1771;1719.0;0.5;2.5
27;1999 week 01 - 52 (average);97.2;114.7;1681;1632.0;2.5;2.5
28;2000 week 01 - 04;94.7;111.7;1638;1590.0;-0.4;-0.4
29;2000 week 05 - 08;95.6;112.8;1653;1605.0;1.4;0.5
30;2000 week 09 - 12;96.3;113.6;1666;1617.0;0.8;0.6
31;2000 week 13 - 16;102.7;121.2;1776;1725.0;5.1;1.8
32;2000 week 17 - 20;98.8;116.5;1708;1659.0;-1.0;1.2
33;2000 week 21 - 24;102.5;120.9;1773;1721.0;2.8;1.5
34;2000 week 25 - 28;99.8;117.8;1727;1677.0;1.5;1.5
35;2000 week 29 - 32;95.1;112.2;1645;1597.0;0.6;1.4
36;2000 week 33 - 36;99.4;117.2;1719;1669.0;3.6;1.6
