ID;Perioden;InEnBuitenNederlandGeborenMoeders_1;InNederlandGeborenMoeders_2;NietInNederlandGeborenMoeders_3;TotaalNietWesterseLanden_4;TotaalAfrika_5;Marokko_6;OverigeAfrika_7;Azie_8;LatijnsAmerika_9;NederlandseAntilllenEnAruba_10;Suriname_11;Turkije_12;TotaalWesterseLanden_13;EuropeseEconomischeRuimteEER_14;OverigEuropa_15;Indonesie_16;OverigBuitenEuropa_17
0;2000;206590;163854;42736;30913;11584;6965;4619;4926;1296;2058;4540;6509;11823;6326;3129;1099;1269
1;2001;206480;162616;43864;31508;11895;6997;4898;5315;1376;2260;4362;6300;12356;6414;3548;1109;1285
2;2002;204958;160059;44899;31995;12139;7002;5137;5717;1455;2451;4169;6064;12904;6496;3977;1125;1306
3;2003;202328;156507;45821;32371;12271;6922;5349;6129;1531;2628;3978;5834;13450;6583;4394;1143;1330
4;2004;199532;152870;46662;32682;12361;6820;5541;6536;1605;2779;3786;5615;13980;6671;4795;1161;1353
5;2005;196647;149158;47489;33000;12478;6766;5712;6953;1676;2902;3595;5396;14489;6758;5177;1176;1378
6;2006;193886;145674;48212;33236;12539;6676;5863;7355;1747;2998;3408;5189;14976;6845;5538;1189;1404
7;2007;191382;142553;48829;33399;12554;6561;5993;7758;1812;3064;3231;4980;15430;6932;5874;1194;1430
8;2008;189366;140013;49353;33500;12526;6425;6101;8149;1875;3106;3062;4782;15853;7016;6189;1194;1454
9;2009;187657;137863;49794;33554;12463;6269;6194;8534;1937;3128;2906;4586;16240;7097;6482;1183;1478
10;2010;186581;136430;50151;33567;12369;6102;6267;8905;1996;3137;2760;4400;16584;7175;6743;1166;1500
11;2011;186042;135610;50432;33550;12240;5922;6318;9267;2051;3141;2626;4225;16882;7251;6967;1144;1520
12;2012;185894;135240;50654;33526;12092;5737;6355;9615;2106;3137;2508;4068;17128;7321;7157;1111;1539
13;2013;186179;135358;50821;33489;11925;5552;6373;9946;2158;3129;2405;3926;17332;7388;7313;1075;1556
14;2014;186753;135820;50933;33441;11744;5372;6372;10259;2208;3115;2313;3802;17492;7451;7434;1036;1571
15;2015;187550;136552;50998;33385;11549;5196;6353;10557;2257;3096;2232;3694;17613;7511;7524;993;1585
16;2016;188548;137527;51021;33331;11354;5028;6326;10847;2297;3066;2165;3602;17690;7565;7582;947;1596
17;2017;189718;138707;51011;33272;11150;4869;6281;11124;2336;3032;2108;3522;17739;7614;7613;904;1608
18;2018;190988;140016;50972;33210;10947;4721;6226;11381;2374;2998;2058;3452;17762;7659;7621;864;1618
19;2019;192265;141356;50909;33144;10748;4585;6163;11620;2409;2966;2012;3389;17765;7701;7611;826;1627
20;2020;193491;142664;50827;33074;10550;4462;6088;11839;2444;2935;1972;3334;17753;7737;7586;794;1636
21;2021;194629;143885;50744;33009;10358;4349;6009;12044;2478;2907;1936;3286;17735;7771;7555;765;1644
22;2022;195681;145027;50654;32944;10178;4250;5928;12228;2509;2882;1903;3244;17710;7800;7518;740;1652
23;2023;196627;146051;50576;32894;10010;4165;5845;12397;2540;2862;1876;3209;17682;7827;7481;717;1657
24;2024;197474;146969;50505;32847;9852;4089;5763;12550;2570;2846;1852;3177;17658;7852;7443;700;1663
25;2025;198226;147789;50437;32805;9704;4023;5681;12689;2599;2831;1830;3152;17632;7872;7407;685;1668
26;2026;198873;148500;50373;32766;9569;3966;5603;12812;2625;2819;1812;3129;17607;7892;7370;673;1672
27;2027;199431;149113;50318;32736;9444;3916;5528;12924;2652;2807;1798;3111;17582;7908;7338;661;1675
28;2028;199912;149647;50265;32706;9330;3874;5456;13023;2677;2793;1787;3096;17559;7923;7307;651;1678
29;2029;200302;150083;50219;32680;9227;3838;5389;13113;2699;2780;1778;3083;17539;7936;7279;643;1681
30;2030;200549;150376;50173;32657;9133;3807;5326;13193;2721;2765;1772;3073;17516;7947;7253;634;1682
31;2031;200681;150549;50132;32639;9049;3781;5268;13267;2740;2749;1769;3065;17493;7956;7228;626;1683
32;2032;200620;150526;50094;32620;8971;3757;5214;13333;2760;2730;1766;3060;17474;7965;7205;619;1685
33;2033;200384;150323;50061;32606;8902;3737;5165;13393;2777;2712;1766;3056;17455;7972;7183;614;1686
34;2034;199957;149927;50030;32593;8839;3719;5120;13448;2794;2693;1766;3053;17437;7979;7163;607;1688
35;2035;199392;149388;50004;32585;8783;3704;5079;13498;2808;2676;1768;3052;17419;7985;7143;602;1689
36;2036;198702;148718;49984;32581;8732;3689;5043;13545;2824;2660;1769;3051;17403;7991;7125;598;1689
37;2037;197976;148008;49968;32581;8687;3678;5009;13589;2837;2645;1771;3052;17387;7995;7108;593;1691
38;2038;197208;147247;49961;32588;8649;3669;4980;13631;2850;2633;1772;3053;17373;8000;7092;590;1691
39;2039;196485;146523;49962;32600;8615;3661;4954;13670;2861;2623;1775;3056;17362;8005;7077;588;1692
40;2040;195835;145869;49966;32617;8587;3654;4933;13706;2873;2615;1777;3059;17349;8008;7064;585;1692
41;2041;195294;145309;49985;32642;8564;3650;4914;13741;2885;2610;1780;3062;17343;8013;7053;583;1694
42;2042;194887;144882;50005;32671;8546;3647;4899;13775;2895;2607;1782;3066;17334;8017;7043;580;1694
43;2043;194639;144606;50033;32707;8533;3645;4888;13807;2906;2606;1784;3071;17326;8020;7034;578;1694
44;2044;194553;144484;50069;32747;8525;3645;4880;13838;2915;2606;1787;3076;17322;8024;7027;576;1695
45;2045;194635;144527;50108;32790;8520;3645;4875;13869;2924;2607;1789;3081;17318;8027;7021;575;1695
46;2046;194861;144706;50155;32840;8523;3648;4875;13897;2933;2608;1792;3087;17315;8030;7017;573;1695
47;2047;195214;145005;50209;32894;8530;3652;4878;13926;2941;2611;1794;3092;17315;8033;7014;571;1697
48;2048;195641;145377;50264;32950;8539;3656;4883;13955;2948;2614;1796;3098;17314;8036;7011;570;1697
49;2049;196192;145859;50333;33017;8555;3662;4893;13983;2956;2618;1800;3105;17316;8040;7011;568;1697
50;2050;196780;146393;50387;33071;8566;3666;4900;14010;2963;2620;1801;3111;17316;8043;7009;566;1698
