ID;SoortKoopwoning;Perioden;PrijsindexVerkoopprijzen_1;OntwikkelingTOVVoorgaandePeriode_2;OntwikkelingTOVEenJaarEerder_3;Aantal_4;OntwikkelingTOVVoorgaandePeriode_5;OntwikkelingTOVEenJaarEerder_6;GemiddeldeVerkoopprijs_7;TotaleWaardeVerkoopprijzen_8
0;Totaal koopwoningen;2015 1e kwartaal;68.2;;;39556;;;225216;8909
1;Totaal koopwoningen;2015 2e kwartaal;68.9;0.9;;47372;19.8;;232155;10998
2;Totaal koopwoningen;2015 3e kwartaal;70.1;1.8;;56958;20.2;;237519;13529
3;Totaal koopwoningen;2015 4e kwartaal;70.5;0.5;;60788;6.7;;240009;14590
4;Totaal koopwoningen;2015;69.4;;;204674;;;234639;48025
5;Totaal koopwoningen;2016 1e kwartaal;71.2;1.0;4.3;48465;-20.3;22.5;241247;11692
6;Totaal koopwoningen;2016 2e kwartaal;72.2;1.5;4.9;57154;17.9;20.6;245030;14004
7;Totaal koopwoningen;2016 3e kwartaal;74.0;2.5;5.5;67256;17.7;18.1;253303;17036
8;Totaal koopwoningen;2016 4e kwartaal;75.0;1.4;6.4;69653;3.6;14.6;252997;17622
9;Totaal koopwoningen;2016;73.1;5.3;5.3;242528;18.5;18.5;248856;60355
10;Totaal koopwoningen;2017 1e kwartaal;76.5;2.0;7.5;62698;-10.0;29.4;261461;16393
11;Totaal koopwoningen;2017 2e kwartaal;77.8;1.7;7.7;65902;5.1;15.3;266544;17566
12;Totaal koopwoningen;2017 3e kwartaal;80.0;2.8;8.1;68112;3.4;1.3;272812;18582
13;Totaal koopwoningen;2017 4e kwartaal;81.7;2.2;9.0;76349;12.1;9.6;276133;21083
14;Totaal koopwoningen;2017;79.0;8.1;8.1;273061;12.6;12.6;269621;73623
15;Totaal koopwoningen;2018 1e kwartaal;83.5;2.2;9.2;58256;-23.7;-7.1;285799;16650
16;Totaal koopwoningen;2018 2e kwartaal;85.1;1.9;9.4;59998;3.0;-9.0;291484;17488
17;Totaal koopwoningen;2018 3e kwartaal;87.8;3.1;9.7;63074;5.1;-7.4;300901;18979
18;Totaal koopwoningen;2018 4e kwartaal;89.0;1.4;8.9;65291;3.5;-14.5;303562;19820
19;Totaal koopwoningen;2018;86.4;9.3;9.3;246619;-9.7;-9.7;295747;72937
20;Totaal koopwoningen;2019 1e kwartaal;90.5;1.7;8.3;53177;-18.6;-8.7;308267;16393
21;Totaal koopwoningen;2019 2e kwartaal;91.7;1.4;7.8;58811;10.6;-2.0;310573;18265
22;Totaal koopwoningen;2019 3e kwartaal;93.4;1.8;6.4;64748;10.1;2.7;319710;20701
23;Totaal koopwoningen;2019 4e kwartaal;94.8;1.5;6.5;66701;3.0;2.2;321609;21452
24;Totaal koopwoningen;2019;92.6;7.2;7.2;243437;-1.3;-1.3;315523;76810
25;Totaal koopwoningen;2020 1e kwartaal;96.7;2.0;6.9;58082;-12.9;9.2;335341;19477
26;Totaal koopwoningen;2020 2e kwartaal;99.0;2.4;7.9;62911;8.3;7.0;338037;21266
27;Totaal koopwoningen;2020 3e kwartaal;101.3;2.4;8.6;69310;10.2;7.0;347113;24058
28;Totaal koopwoningen;2020 4e kwartaal;103.0;1.6;8.7;77516;11.8;16.2;353256;27383
29;Totaal koopwoningen;2020;100.0;8.0;8.0;267819;10.0;10.0;344206;92185
30;Totaal koopwoningen;2021 1e kwartaal;106.7;3.6;10.4;73437;-5.3;26.4;385044;28276
31;Totaal koopwoningen;2021 2e kwartaal;111.4;4.4;12.6;61536;-16.2;-2.2;376357;23160
32;Totaal koopwoningen;2021 3e kwartaal;117.7;5.6;16.2;61793;0.4;-10.8;409658;25314
33;Totaal koopwoningen;2021 4e kwartaal;122.1;3.7;18.6;63429;2.6;-18.2;415797;26374
34;Totaal koopwoningen;2021;114.5;14.5;14.5;260195;-2.8;-2.8;396332;103124
35;Totaal koopwoningen;2022 1e kwartaal;127.0;4.0;19.0;50791;-19.9;-30.8;435139;22101
36;Totaal koopwoningen;2022 2e kwartaal;130.9;3.1;17.5;54911;8.1;-10.8;440446;24185
37;Totaal koopwoningen;2022 3e kwartaal;131.9;0.7;12.0;55764;1.6;-9.8;447834;24973
38;Totaal koopwoningen;2022 4e kwartaal;129.0;-2.1;5.7;56667;1.6;-10.7;423326;23989
39;Totaal koopwoningen;2022;129.7;13.3;13.3;218133;-16.2;-16.2;436652;95248
40;Totaal koopwoningen;2023 1e kwartaal;127.1;-1.5;0.1;43777;-22.7;-13.8;423598;18544
41;Totaal koopwoningen;2023 2e kwartaal;125.6;-1.2;-4.1;47832;9.3;-12.9;413201;19764
42;Totaal koopwoningen;2023 3e kwartaal;127.0;1.1;-3.7;50827;6.3;-8.9;424181;21560
43;Totaal koopwoningen;2023 4e kwartaal;129.2;1.7;0.1;56739;11.6;0.1;431064;24458
44;Totaal koopwoningen;2023;127.2;-1.9;-1.9;199175;-8.7;-8.7;423377;84326
45;Totaal koopwoningen;2024 1e kwartaal;131.8;2.0;3.7;49143;-13.4;12.3;438008;21525
46;Totaal koopwoningen;2024 2e kwartaal;135.2;2.6;7.7;54062;10.0;13.0;445759;24099
47;Totaal koopwoningen;2024 3e kwartaal;140.2;3.7;10.4;60711;12.3;19.4;465631;28269
48;Totaal koopwoningen;2024 4e kwartaal;143.1;2.1;10.8;68520;12.9;20.8;466439;31960
49;Totaal koopwoningen;2024;137.6;8.1;8.1;232436;16.7;16.7;455407;105853
50;Nieuwbouw koopwoningen;2015 1e kwartaal;66.9;;;5029;;;250118;1258
51;Nieuwbouw koopwoningen;2015 2e kwartaal;68.0;1.5;;6650;32.2;;261338;1738
52;Nieuwbouw koopwoningen;2015 3e kwartaal;70.3;3.4;;6349;-4.5;;271142;1721
53;Nieuwbouw koopwoningen;2015 4e kwartaal;69.7;-0.7;;8353;31.6;;271207;2265
54;Nieuwbouw koopwoningen;2015;68.7;;;26381;;;264683;6983
55;Nieuwbouw koopwoningen;2016 1e kwartaal;69.4;-0.5;3.7;5568;-33.3;10.7;279104;1554
56;Nieuwbouw koopwoningen;2016 2e kwartaal;70.9;2.2;4.3;6839;22.8;2.8;285405;1952
57;Nieuwbouw koopwoningen;2016 3e kwartaal;72.0;1.6;2.5;6549;-4.2;3.2;287697;1884
58;Nieuwbouw koopwoningen;2016 4e kwartaal;73.6;2.3;5.6;8779;34.1;5.1;295039;2590
59;Nieuwbouw koopwoningen;2016;71.5;4.0;4.0;27735;5.1;5.1;287731;7980
60;Nieuwbouw koopwoningen;2017 1e kwartaal;75.0;1.9;8.1;6787;-22.7;21.9;298194;2024
61;Nieuwbouw koopwoningen;2017 2e kwartaal;74.5;-0.7;5.1;7532;11.0;10.1;312819;2356
62;Nieuwbouw koopwoningen;2017 3e kwartaal;77.5;4.0;7.6;6721;-10.8;2.6;321659;2162
63;Nieuwbouw koopwoningen;2017 4e kwartaal;81.6;5.3;10.8;10161;51.2;15.7;334696;3401
64;Nieuwbouw koopwoningen;2017;77.2;7.9;7.9;31201;12.5;12.5;318666;9943
65;Nieuwbouw koopwoningen;2018 1e kwartaal;81.8;0.3;9.1;6151;-39.5;-9.4;350520;2156
66;Nieuwbouw koopwoningen;2018 2e kwartaal;82.8;1.2;11.2;7068;14.9;-6.2;342740;2422
67;Nieuwbouw koopwoningen;2018 3e kwartaal;87.2;5.2;12.4;6153;-12.9;-8.5;381897;2350
68;Nieuwbouw koopwoningen;2018 4e kwartaal;87.6;0.5;7.3;8756;42.3;-13.8;370405;3243
69;Nieuwbouw koopwoningen;2018;84.9;10.0;10.0;28128;-9.8;-9.8;361619;10172
70;Nieuwbouw koopwoningen;2019 1e kwartaal;89.1;1.8;8.9;5746;-34.4;-6.6;365947;2103
71;Nieuwbouw koopwoningen;2019 2e kwartaal;91.1;2.3;10.0;6305;9.7;-10.8;377484;2380
72;Nieuwbouw koopwoningen;2019 3e kwartaal;92.7;1.7;6.4;5813;-7.8;-5.5;385147;2239
73;Nieuwbouw koopwoningen;2019 4e kwartaal;94.8;2.2;8.2;6978;20.0;-20.3;396398;2766
74;Nieuwbouw koopwoningen;2019;91.9;8.3;8.3;24842;-11.7;-11.7;381921;9488
75;Nieuwbouw koopwoningen;2020 1e kwartaal;95.3;0.6;7.0;6503;-6.8;13.2;410751;2671
76;Nieuwbouw koopwoningen;2020 2e kwartaal;99.5;4.4;9.2;7988;22.8;26.7;407963;3259
77;Nieuwbouw koopwoningen;2020 3e kwartaal;102.9;3.3;11.0;7104;-11.1;22.2;413255;2936
78;Nieuwbouw koopwoningen;2020 4e kwartaal;102.3;-0.6;7.9;10713;50.8;53.5;424122;4544
79;Nieuwbouw koopwoningen;2020;100.0;8.8;8.8;32308;30.1;30.1;415046;13409
80;Nieuwbouw koopwoningen;2021 1e kwartaal;106.3;3.9;11.5;6810;-36.4;4.7;442495;3013
81;Nieuwbouw koopwoningen;2021 2e kwartaal;110.4;3.9;10.9;8749;28.5;9.5;440646;3855
82;Nieuwbouw koopwoningen;2021 3e kwartaal;111.9;1.4;8.8;7918;-9.5;11.5;469009;3714
83;Nieuwbouw koopwoningen;2021 4e kwartaal;115.6;3.3;13.0;10631;34.3;-0.8;480711;5110
84;Nieuwbouw koopwoningen;2021;111.1;11.0;11.0;34108;5.6;5.6;460087;15693
85;Nieuwbouw koopwoningen;2022 1e kwartaal;119.7;3.5;12.6;6868;-35.4;0.9;488552;3355
86;Nieuwbouw koopwoningen;2022 2e kwartaal;125.2;4.6;13.4;7529;9.6;-13.9;512414;3858
87;Nieuwbouw koopwoningen;2022 3e kwartaal;128.0;2.2;14.4;5311;-29.5;-32.9;493358;2620
88;Nieuwbouw koopwoningen;2022 4e kwartaal;128.6;0.5;11.3;5322;0.2;-49.9;498388;2652
89;Nieuwbouw koopwoningen;2022;125.4;12.9;12.9;25030;-26.6;-26.6;498841;12486
90;Nieuwbouw koopwoningen;2023 1e kwartaal;128.2;-0.3;7.1;3340;-37.2;-51.4;506067;1690
91;Nieuwbouw koopwoningen;2023 2e kwartaal;130.3;1.6;4.1;3332;-0.2;-55.7;502062;1673
92;Nieuwbouw koopwoningen;2023 3e kwartaal;129.8;-0.4;1.4;3879;16.4;-27.0;503152;1952
93;Nieuwbouw koopwoningen;2023 4e kwartaal;131.9;1.6;2.6;6221;60.4;16.9;498887;3104
94;Nieuwbouw koopwoningen;2023;130.1;3.7;3.7;16772;-33.0;-33.0;501934;8418
95;Nieuwbouw koopwoningen;2024 1e kwartaal;130.7;-0.9;2.0;4702;-24.4;40.8;494221;2324
96;Nieuwbouw koopwoningen;2024 2e kwartaal;130.7;0.0;0.3;6120;30.2;83.7;482895;2955
97;Nieuwbouw koopwoningen;2024 3e kwartaal;135.7;3.9;4.6;6564;7.3;69.2;484237;3179
98;Nieuwbouw koopwoningen;2024 4e kwartaal;138.2;1.8;4.8;8592;30.9;38.1;498817;4286
99;Nieuwbouw koopwoningen;2024;133.8;2.9;2.9;25978;54.9;54.9;490550;12744
100;Bestaande koopwoningen;2015 1e kwartaal;68.4;;;34527;;;221589;7651
101;Bestaande koopwoningen;2015 2e kwartaal;69.0;0.8;;40722;17.9;;227389;9260
102;Bestaande koopwoningen;2015 3e kwartaal;70.1;1.6;;50609;24.3;;233301;11807
103;Bestaande koopwoningen;2015 4e kwartaal;70.6;0.7;;52435;3.6;;235039;12324
104;Bestaande koopwoningen;2015;69.5;;;178293;;;230194;41042
105;Bestaande koopwoningen;2016 1e kwartaal;71.5;1.3;4.4;42897;-18.2;24.2;236333;10138
106;Bestaande koopwoningen;2016 2e kwartaal;72.4;1.4;5.0;50315;17.3;23.6;239542;12053
107;Bestaande koopwoningen;2016 3e kwartaal;74.3;2.6;6.0;60707;20.7;20.0;249593;15152
108;Bestaande koopwoningen;2016 4e kwartaal;75.2;1.2;6.6;60874;0.3;16.1;246934;15032
109;Bestaande koopwoningen;2016;73.4;5.5;5.5;214793;20.5;20.5;243837;52374
110;Bestaande koopwoningen;2017 1e kwartaal;76.7;2.0;7.4;55911;-8.2;30.3;257002;14369
111;Bestaande koopwoningen;2017 2e kwartaal;78.3;2.1;8.1;58370;4.4;16.0;260573;15210
112;Bestaande koopwoningen;2017 3e kwartaal;80.4;2.6;8.2;61391;5.2;1.1;267464;16420
113;Bestaande koopwoningen;2017 4e kwartaal;81.7;1.7;8.7;66188;7.8;8.7;267143;17682
114;Bestaande koopwoningen;2017;79.3;8.1;8.1;241860;12.6;12.6;263295;63680
115;Bestaande koopwoningen;2018 1e kwartaal;83.8;2.5;9.2;52105;-21.3;-6.8;278159;14493
116;Bestaande koopwoningen;2018 2e kwartaal;85.5;2.0;9.2;52930;1.6;-9.3;284639;15066
