ID;Periods;PriceIndexOfExistingOwnHomes_1;ChangesComparedToOnePeriodEarlier_2;ChangesComparedToOneYearEarlier_3;NumberOfSoldDwellings_4;ChangesComparedToOnePeriodEarlier_5;ChangesComparedToOneYearEarlier_6;AveragePurchasePrice_7;TotalValuePurchasePrices_8
0;1995 January;36.5;;;8793;;;88991;782
1;1995 February;36.7;0.6;;10103;14.9;;89741;907
2;1995 March ;36.6;-0.3;;11838;17.2;;90432;1071
3;1995 1st quarter;36.6;;;30734;;;89792;2760
4;1995 April;36.8;0.5;;10626;-10.2;;89808;954
5;1995 May;37.0;0.6;;12746;20.0;;92326;1177
6;1995 June;37.4;1.0;;13682;7.3;;93652;1281
7;1995 2nd quarter;37.1;1.2;;37054;20.6;;92094;3412
8;1995 July;37.8;1.1;;14346;4.9;;95222;1366
9;1995 August;38.2;1.2;;13580;-5.3;;96583;1312
10;1995 September;38.3;0.1;;12572;-7.4;;95676;1203
11;1995 3rd quarter;38.1;2.8;;40498;9.3;;95819;3880
12;1995 October;38.5;0.5;;13629;8.4;;95076;1296
13;1995 November;38.4;-0.1;;13363;-2.0;;95408;1275
14;1995 December;38.9;1.1;;19290;44.4;;96804;1867
15;1995 4th quarter;38.6;1.3;;46282;14.3;;95892;4438
16;1995;37.6;;;154568;;;93750;14491
17;1996 January;39.4;1.4;7.9;10193;-47.2;15.9;96767;986
18;1996 February;39.7;0.7;8.0;12061;18.3;19.4;96539;1164
19;1996 March ;40.0;0.7;9.1;13415;11.2;13.3;98188;1317
20;1996 1st quarter;39.7;2.8;8.3;35669;-22.9;16.1;97224;3468
21;1996 April;40.6;1.7;10.4;14610;8.9;37.5;99609;1455
22;1996 May;41.1;1.2;11.1;15548;6.4;22.0;101317;1575
23;1996 June;41.3;0.4;10.6;13652;-12.2;-0.2;99819;1363
24;1996 2nd quarter;41.0;3.4;10.7;43810;22.8;18.2;100280;4393
25;1996 July;42.0;1.6;11.1;17802;30.4;24.1;104167;1854
26;1996 August;42.5;1.2;11.1;14922;-16.2;9.9;105608;1576
27;1996 September;42.9;1.0;12.1;13858;-7.1;10.2;104589;1449
28;1996 3rd quarter;42.5;3.5;11.5;46582;6.3;15.0;104754;4880
29;1996 October;43.1;0.3;11.9;14781;6.7;8.5;104819;1549
30;1996 November;43.5;1.0;13.1;14700;-0.5;10.0;106055;1559
31;1996 December;43.6;0.3;12.2;20209;37.5;4.8;108073;2184
32;1996 4th quarter;43.4;2.2;12.4;49690;6.7;7.4;106508;5292
33;1996;41.6;10.8;10.8;175751;13.7;13.7;102607;18033
34;1997 January;44.2;1.3;12.1;10660;-47.3;4.6;105876;1129
35;1997 February;44.8;1.3;12.9;11837;11.0;-1.9;107567;1273
36;1997 March ;45.3;1.2;13.4;13266;12.1;-1.1;107769;1430
37;1997 1st quarter;44.8;3.2;12.8;35763;-28.0;0.3;107138;3832
38;1997 April;45.6;0.7;12.3;15328;15.5;4.9;109670;1681
39;1997 May;46.0;0.7;11.7;15688;2.3;0.9;110859;1739
40;1997 June;46.3;0.8;12.1;16144;2.9;18.3;112207;1811
41;1997 2nd quarter;46.0;2.7;12.1;47160;31.9;7.6;110934;5232
42;1997 July;46.9;1.2;11.7;18483;14.5;3.8;114344;2113
43;1997 August;47.5;1.4;11.8;15506;-16.1;3.9;116161;1801
44;1997 September;47.5;0.0;10.7;15630;0.8;12.8;116411;1820
45;1997 3rd quarter;47.3;2.9;11.4;49619;5.2;6.5;115563;5734
46;1997 October;48.1;1.2;11.7;16640;6.5;12.6;116785;1943
47;1997 November;48.5;0.7;11.4;14415;-13.4;-1.9;115768;1669
48;1997 December;48.5;0.0;11.1;22037;52.9;9.0;117870;2598
49;1997 4th quarter;48.3;2.2;11.4;53092;7.0;6.8;116960;6210
50;1997;46.6;11.9;11.9;185634;5.6;5.6;113163;21007
51;1998 January;48.9;0.9;10.7;10084;-54.2;-5.4;118196;1192
52;1998 February;49.6;1.4;10.8;12637;25.3;6.8;118483;1497
53;1998 March ;49.9;0.7;10.2;15407;21.9;16.1;119635;1843
54;1998 1st quarter;49.5;2.4;10.6;38128;-28.2;6.6;118873;4532
55;1998 April;50.3;0.7;10.1;15145;-1.7;-1.2;120019;1818
56;1998 May;50.8;1.0;10.5;16299;7.6;3.9;122503;1997
57;1998 June;51.2;0.9;10.5;15966;-2.0;-1.1;121460;1939
58;1998 2nd quarter;50.8;2.6;10.4;47410;24.3;0.5;121358;5754
59;1998 July;51.8;1.1;10.5;19679;23.3;6.5;126636;2492
60;1998 August;52.5;1.4;10.5;16435;-16.5;6.0;127865;2101
61;1998 September;53.1;1.2;11.8;15039;-8.5;-3.8;127758;1921
62;1998 3rd quarter;52.5;3.4;10.9;51153;7.9;3.1;127361;6515
63;1998 October;53.6;0.9;11.4;16428;9.2;-1.3;128238;2107
64;1998 November;54.1;0.9;11.6;16189;-1.5;12.3;127574;2065
65;1998 December;54.2;0.2;11.8;23314;44.0;5.8;129378;3016
66;1998 4th quarter;54.0;2.8;11.6;55931;9.3;5.3;128521;7188
67;1998;51.7;10.9;10.9;192622;3.8;3.8;124540;23989
68;1999 January;55.4;2.2;13.2;10756;-53.9;6.7;130266;1401
69;1999 February;56.0;1.2;12.9;13909;29.3;10.1;130784;1819
70;1999 March ;56.8;1.5;13.8;17558;26.2;14.0;133544;2345
71;1999 1st quarter;56.1;3.9;13.3;42223;-24.5;10.7;131800;5565
72;1999 April;57.6;1.4;14.6;17210;-2.0;13.6;138285;2380
73;1999 May;58.6;1.6;15.3;15879;-7.7;-2.6;138572;2200
74;1999 June;59.3;1.3;15.8;17122;7.8;7.2;141717;2426
75;1999 2nd quarter;58.5;4.3;15.2;50211;18.9;5.9;139546;7007
76;1999 July;60.5;2.0;16.8;20455;19.5;3.9;146087;2988
77;1999 August;61.8;2.1;17.7;18760;-8.3;14.1;148966;2795
78;1999 September;62.5;1.2;17.7;16360;-12.8;8.8;151863;2484
79;1999 3rd quarter;61.6;5.3;17.4;55575;10.7;8.6;148759;8267
80;1999 October;63.8;2.0;19.0;16691;2.0;1.6;154989;2587
81;1999 November;64.4;0.9;19.0;17482;4.7;8.0;155171;2713
82;1999 December;64.7;0.5;19.4;22356;27.9;-4.1;155389;3474
83;1999 4th quarter;64.3;4.4;19.1;56529;1.7;1.1;155204;8774
84;1999;60.1;16.3;16.3;204538;6.2;6.2;144778;29613
85;2000 January;66.3;2.5;19.7;10794;-51.7;0.4;157270;1698
86;2000 February;67.2;1.5;20.1;13563;25.7;-2.5;158416;2149
87;2000 March;68.1;1.3;19.8;15286;12.7;-12.9;161686;2472
88;2000 1st quarter;67.2;4.5;19.9;39643;-29.9;-6.1;159365;6318
89;2000 April;68.8;1.1;19.4;13875;-9.2;-19.4;164483;2282
90;2000 May;69.8;1.4;19.2;18593;34.0;17.1;168035;3124
91;2000 June;70.9;1.6;19.5;14630;-21.3;-14.6;169998;2487
92;2000 2nd quarter;69.8;3.9;19.4;47098;18.8;-6.2;167599;7894
93;2000 July;71.9;1.5;18.9;17197;17.5;-15.9;174945;3009
94;2000 August;72.8;1.2;17.8;16264;-5.4;-13.3;177859;2893
95;2000 September;73.7;1.3;17.9;15333;-5.7;-6.3;179940;2759
96;2000 3rd quarter;72.8;4.3;18.2;48794;3.6;-12.2;177486;8660
97;2000 October;74.2;0.7;16.3;15792;3.0;-5.4;180317;2848
98;2000 November;74.6;0.5;15.8;15121;-4.2;-13.5;176972;2676
99;2000 December;74.7;0.2;15.5;22910;51.5;2.5;182625;4184
100;2000 4th quarter;74.5;2.3;15.8;53823;10.3;-4.8;180360;9707
101;2000;71.1;18.2;18.2;189358;-7.4;-7.4;172050;32579
102;2001 January;75.2;0.7;13.4;10341;-54.9;-4.2;177558;1836
103;2001 February;76.7;2.1;14.1;12427;20.2;-8.4;182471;2268
104;2001 March;76.8;0.1;12.8;14961;20.4;-2.1;180494;2700
105;2001 1st quarter;76.3;2.4;13.5;37729;-29.9;-4.8;180341;6804
106;2001 April;77.9;1.4;13.2;14634;-2.2;5.5;185999;2722
107;2001 May;78.2;0.3;12.1;17049;16.5;-8.3;186441;3179
108;2001 June;78.8;0.7;11.1;16508;-3.2;12.8;187336;3093
109;2001 2nd quarter;78.3;2.7;12.1;48191;27.7;2.3;186614;8993
110;2001 July;79.6;1.0;10.6;18997;15.1;10.5;190801;3625
111;2001 August;80.3;1.0;10.4;18158;-4.4;11.6;192139;3489
112;2001 September;81.0;0.9;10.0;15343;-15.5;0.1;191693;2941
113;2001 3rd quarter;80.3;2.6;10.3;52498;8.9;7.6;191524;10055
114;2001 October;80.7;-0.5;8.7;17835;16.2;12.9;191792;3421
115;2001 November;81.3;0.8;9.1;17309;-2.9;14.5;193508;3349
116;2001 December;81.1;-0.3;8.5;22175;28.1;-3.2;191854;4254
117;2001 4th quarter;81.0;0.9;8.8;57319;9.2;6.5;192334;11024
118;2001;79.0;11.1;11.1;195737;3.4;3.4;188397;36876
119;2002 January;82.0;1.1;9.0;11891;-46.4;15.0;193092;2296
120;2002 February;82.5;0.6;7.4;14165;19.1;14.0;193162;2736
121;2002 March;83.0;0.7;8.0;18321;29.3;22.5;197257;3614
122;2002 1st quarter;82.5;1.8;8.2;44377;-22.6;17.6;194834;8646
123;2002 April;83.2;0.2;6.8;14544;-20.6;-0.6;197440;2872
124;2002 May;83.8;0.8;7.2;17569;20.8;3.1;199157;3499
125;2002 June;83.9;0.1;6.5;15968;-9.1;-3.3;199384;3184
126;2002 2nd quarter;83.6;1.4;6.8;48081;8.3;-0.2;198713;9554
127;2002 July;84.6;0.8;6.3;19813;24.1;4.3;201666;3996
128;2002 August;85.3;0.9;6.2;17150;-13.4;-5.6;204573;3508
129;2002 September;85.3;0.0;5.2;15634;-8.8;1.9;204417;3196
130;2002 3rd quarter;85.1;1.7;5.9;52597;9.4;0.2;203432;10700
131;2002 October;85.3;0.0;5.7;16200;3.6;-9.2;201799;3269
132;2002 November;85.1;-0.2;4.6;15815;-2.4;-8.6;200491;3171
133;2002 December;84.5;-0.7;4.2;21316;34.8;-3.9;201155;4288
134;2002 4th quarter;85.0;-0.1;4.9;53331;1.4;-7.0;201154;10728
135;2002;84.0;6.4;6.4;198386;1.4;1.4;199752;39628
136;2003 January;85.4;1.1;4.2;11832;-44.5;-0.5;201802;2388
137;2003 February;85.8;0.4;4.1;13396;13.2;-5.4;200118;2681
138;2003 March;85.9;0.1;3.5;14359;7.2;-21.6;199880;2870
139;2003 1st quarter;85.7;0.9;3.9;39587;-25.8;-10.8;200535;7939
140;2003 April;86.4;0.6;3.9;15163;5.6;4.3;202536;3071
141;2003 May;86.6;0.2;3.3;16675;10.0;-5.1;202497;3377
142;2003 June;87.0;0.4;3.7;14440;-13.4;-9.6;204760;2957
143;2003 2nd quarter;86.7;1.1;3.6;46278;16.9;-3.8;203216;9404
144;2003 July;87.3;0.4;3.2;17510;21.3;-11.6;204826;3587
