ID;Sectoren;Perioden;EenmaligeEnStandaardGaranties_1;TotaalEenmaligeGaranties_2;NietFinancieleOverheidsondernemingen_3;FinancieleOverheidsondernemingen_4;ParticuliereFinancieleInstellingen_5;OverigeInstellingen_6;StandaardGaranties_7;KapitaalgoederenBuitenBalansPPS_8;NietRenderendeLeningen_9;EenmaligeEnStandaardGaranties_10;TotaalEenmaligeGaranties_11;NietFinancieleOverheidsondernemingen_12;FinancieleOverheidsondernemingen_13;ParticuliereFinancieleInstellingen_14;OverigeInstellingen_15;StandaardGaranties_16;KapitaalgoederenBuitenBalansPPS_17;NietRenderendeLeningen_18
0;Overheid;2010;284992;284992;88824;9950;30013;156205;0;0;1346;44.3;44.3;13.8;1.5;4.7;24.3;0;0;0.2
1;Overheid;2011;291656;291656;90039;5897;28228;167492;0;0;1274;44.5;44.5;13.7;0.9;4.3;25.5;0;0;0.2
2;Overheid;2012;297929;297929;91384;3600;14593;188352;0;0;1241;45.3;45.3;13.9;0.5;2.2;28.6;0;0;0.2
3;Overheid;2013;302075;302075;90111;5087;5756;201121;0;0;5280;45.4;45.4;13.5;0.8;0.9;30.2;0;0;0.8
4;Overheid;2014;292785;292785;88419;0;0;204366;0;0;4871;43.1;43.1;13.0;0.0;0.0;30.1;0;0;0.7
5;Overheid;2015;305301;305301;87324;0;0;217977;0;0;4429;43.7;43.7;12.5;0.0;0.0;31.2;0;0;0.6
6;Overheid;2016;308600;308600;85517;0;0;223083;0;0;1110;42.9;42.9;11.9;0.0;0.0;31.0;0;0;0.2
7;Overheid;2017;312032;312032;83834;0;0;228198;0;0;1017;41.6;41.6;11.2;0.0;0.0;30.4;0;0;0.1
8;Overheid;2018;317043;317043;82523;0;0;234520;0;0;949;40.3;40.3;10.5;0.0;0.0;29.8;0;0;0.1
9;Overheid;2019;308096;308096;82582;0;0;225514;0;0;1027;37.1;37.1;10.0;0.0;0.0;27.2;0;0;0.1
10;Overheid;2020;332432;332432;83623;0;0;248809;0;0;1216;40.7;40.7;10.2;0.0;0.0;30.5;0;0;0.1
11;Overheid;2021;323326;323326;85454;0;0;237872;0;0;1222;36.3;36.3;9.6;0.0;0.0;26.7;0;0;0.1
12;Overheid;2022;317433;317433;87349;0;0;230084;0;0;2194;31.9;31.9;8.8;0.0;0.0;23.2;0;0;0.2
13;Overheid;2023;324702;324702;90657;0;0;234045;0;0;2102;30.4;30.4;8.5;0.0;0.0;21.9;0;0;0.2
14;Centrale overheid;2010;279168;279168;85795;9950;30013;153410;0;0;1072;43.4;43.4;13.3;1.5;4.7;23.9;0;0;0.2
15;Centrale overheid;2011;285472;285472;86581;5897;28228;164766;0;0;999;43.5;43.5;13.2;0.9;4.3;25.1;0;0;0.2
16;Centrale overheid;2012;291555;291555;87667;3600;14593;185695;0;0;964;44.3;44.3;13.3;0.5;2.2;28.2;0;0;0.1
17;Centrale overheid;2013;295640;295640;86453;5087;5756;198344;0;0;4995;44.4;44.4;13.0;0.8;0.9;29.8;0;0;0.8
18;Centrale overheid;2014;287135;287135;85340;0;0;201795;0;0;4570;42.3;42.3;12.6;0.0;0.0;29.7;0;0;0.7
19;Centrale overheid;2015;299498;299498;84002;0;0;215496;0;0;4130;42.8;42.8;12.0;0.0;0.0;30.8;0;0;0.6
20;Centrale overheid;2016;303372;303372;82389;0;0;220983;0;0;812;42.1;42.1;11.4;0.0;0.0;30.7;0;0;0.1
21;Centrale overheid;2017;307668;307668;81277;0;0;226391;0;0;743;41.0;41.0;10.8;0.0;0.0;30.2;0;0;0.1
22;Centrale overheid;2018;312788;312788;79964;0;0;232824;0;0;694;39.7;39.7;10.2;0.0;0.0;29.6;0;0;0.1
23;Centrale overheid;2019;304153;304153;80151;0;0;224002;0;0;843;36.7;36.7;9.7;0.0;0.0;27.0;0;0;0.1
24;Centrale overheid;2020;329074;329074;81439;0;0;247635;0;0;908;40.3;40.3;10.0;0.0;0.0;30.3;0;0;0.1
25;Centrale overheid;2021;319932;319932;83126;0;0;236806;0;0;921;35.9;35.9;9.3;0.0;0.0;26.6;0;0;0.1
26;Centrale overheid;2022;314220;314220;85113;0;0;229107;0;0;1973;31.6;31.6;8.6;0.0;0.0;23.1;0;0;0.2
27;Centrale overheid;2023;321641;321641;88500;0;0;233141;0;0;1874;30.1;30.1;8.3;0.0;0.0;21.8;0;0;0.2
28;Lokale overheid;2010;5824;5824;3029;0;0;2795;0;0;274;0.9;0.9;0.5;0.0;0.0;0.4;0;0;0.0
29;Lokale overheid;2011;6184;6184;3458;0;0;2726;0;0;275;0.9;0.9;0.5;0.0;0.0;0.4;0;0;0.0
30;Lokale overheid;2012;6374;6374;3717;0;0;2657;0;0;277;1.0;1.0;0.6;0.0;0.0;0.4;0;0;0.0
31;Lokale overheid;2013;6435;6435;3658;0;0;2777;0;0;285;1.0;1.0;0.5;0.0;0.0;0.4;0;0;0.0
32;Lokale overheid;2014;5650;5650;3079;0;0;2571;0;0;301;0.8;0.8;0.5;0.0;0.0;0.4;0;0;0.0
