ID;Leeftijd;Perioden;TotaalParen_1;GeenKinderen_2;k_1Kind_3;k_2Kinderen_4;k_3OfMeerKinderen_5;TotaalEenouders_6;k_1Kind_7;k_2Kinderen_8;k_3OfMeerKinderen_9
0;Totaal over alle leeftijden;2000;4081574;1998245;768809;908372;406148;385850;228666;115838;41346
1;Totaal over alle leeftijden;2001;4106207;2016049;764917;916237;409004;389730;231215;116813;41702
2;Totaal over alle leeftijden;2002;4124090;2026253;760644;925756;411437;393217;233599;117635;41983
3;Totaal over alle leeftijden;2003;4142021;2036256;756336;936150;413279;396512;235929;118366;42217
4;Totaal over alle leeftijden;2004;4160181;2046205;752467;947179;414330;399539;238163;118988;42388
5;Totaal over alle leeftijden;2005;4178651;2056213;749367;958405;414666;402332;240350;119500;42482
6;Totaal over alle leeftijden;2006;4196818;2066362;747248;969002;414206;404800;242445;119846;42509
7;Totaal over alle leeftijden;2007;4214469;2076738;746562;978522;412647;407018;244492;120064;42462
8;Totaal over alle leeftijden;2008;4231550;2087232;746733;987286;410299;408910;246439;120140;42331
9;Totaal over alle leeftijden;2009;4248270;2097260;748271;995300;407439;410458;248292;120031;42135
10;Totaal over alle leeftijden;2010;4264669;2107805;751013;1002035;403816;411704;250062;119782;41860
11;Totaal over alle leeftijden;2011;4280885;2118983;754526;1007482;399894;412674;251710;119433;41531
12;Totaal over alle leeftijden;2012;4296788;2130814;758156;1012057;395761;413324;253212;118958;41154
13;Totaal over alle leeftijden;2013;4312401;2143694;761430;1015629;391648;413762;254614;118394;40754
14;Totaal over alle leeftijden;2014;4327565;2157351;764513;1018448;387253;413940;255860;117743;40337
15;Totaal over alle leeftijden;2015;4342188;2171024;767310;1020923;382931;413872;256925;117024;39923
16;Totaal over alle leeftijden;2016;4356164;2184167;769912;1023336;378749;413656;257846;116283;39527
17;Totaal over alle leeftijden;2017;4369397;2195958;772454;1026106;374879;413264;258609;115505;39150
18;Totaal over alle leeftijden;2018;4381792;2206479;775277;1028859;371177;412748;259220;114724;38804
19;Totaal over alle leeftijden;2019;4393322;2215016;778481;1031888;367937;412209;259697;114002;38510
20;Totaal over alle leeftijden;2020;4403989;2222898;781907;1034230;364954;411649;260064;113319;38266
21;Totaal over alle leeftijden;2021;4413958;2230655;785244;1035743;362316;411130;260315;112731;38084
22;Totaal over alle leeftijden;2022;4423268;2238673;788028;1036481;360086;410710;260508;112247;37955
23;Totaal over alle leeftijden;2023;4431951;2247138;789780;1036685;358348;410389;260640;111867;37882
24;Totaal over alle leeftijden;2024;4439939;2256023;790166;1036641;357109;410238;260773;111597;37868
25;Totaal over alle leeftijden;2025;4447131;2264917;789199;1036632;356383;410221;260884;111440;37897
26;Totaal over alle leeftijden;2026;4453348;2273242;787112;1036869;356125;410395;261028;111401;37966
27;Totaal over alle leeftijden;2027;4458493;2280425;784193;1037583;356292;410740;261222;111460;38058
28;Totaal over alle leeftijden;2028;4462424;2285945;780736;1038916;356827;411218;261474;111580;38164
29;Totaal over alle leeftijden;2029;4465114;2289471;777048;1040943;357652;411804;261755;111760;38289
30;Totaal over alle leeftijden;2030;4466568;2290870;773334;1043669;358695;412461;262061;111979;38421
31;Totaal over alle leeftijden;2031;4466814;2290130;769780;1047022;359882;413151;262369;112235;38547
32;Totaal over alle leeftijden;2032;4465985;2287438;766476;1050922;361149;413838;262672;112495;38671
33;Totaal over alle leeftijden;2033;4464150;2283018;763521;1055182;362429;414517;262978;112749;38790
34;Totaal over alle leeftijden;2034;4461543;2277204;761041;1059611;363687;415141;263258;112989;38894
35;Totaal over alle leeftijden;2035;4458331;2270393;759110;1063971;364857;415724;263503;113232;38989
36;Totaal over alle leeftijden;2036;4454629;2262836;757751;1068134;365908;416232;263740;113422;39070
37;Totaal over alle leeftijden;2037;4450692;2254907;757072;1071897;366816;416641;263911;113594;39136
38;Totaal over alle leeftijden;2038;4446780;2246985;757077;1075165;367553;416930;264006;113732;39192
39;Totaal over alle leeftijden;2039;4442942;2239280;757676;1077875;368111;417122;264075;113821;39226
40;Totaal over alle leeftijden;2040;4439379;2232043;758854;1080010;368472;417163;264069;113860;39234
41;Totaal over alle leeftijden;2041;4436166;2225468;760493;1081579;368626;417110;264010;113864;39236
42;Totaal over alle leeftijden;2042;4433342;2219620;762523;1082614;368585;416937;263881;113840;39216
43;Totaal over alle leeftijden;2043;4431014;2214642;764801;1083201;368370;416660;263722;113767;39171
44;Totaal over alle leeftijden;2044;4429145;2210492;767266;1083397;367990;416282;263492;113675;39115
45;Totaal over alle leeftijden;2045;4427824;2207259;769823;1083262;367480;415820;263209;113565;39046
46;Totaal over alle leeftijden;2046;4427112;2204939;772406;1082897;366870;415288;262890;113426;38972
47;Totaal over alle leeftijden;2047;4426971;2203440;774986;1082365;366180;414678;262518;113272;38888
48;Totaal over alle leeftijden;2048;4427492;2202820;777511;1081714;365447;414017;262110;113105;38802
49;Totaal over alle leeftijden;2049;4428619;2203018;779930;1080983;364688;413326;261685;112928;38713
50;Totaal over alle leeftijden;2050;4430372;2203982;782264;1080195;363931;412605;261226;112745;38634
51;100;2000;171952;136271;26307;7804;1570;9186;7402;1529;255
52;100;2001;172049;136103;26732;7650;1564;9224;7437;1532;255
53;100;2002;172768;136188;27356;7690;1534;9293;7492;1544;257
54;100;2003;173763;136760;27808;7674;1521;9378;7561;1558;259
55;100;2004;174315;137846;27546;7397;1526;9437;7607;1568;262
56;100;2005;175105;138857;27373;7317;1558;9508;7665;1579;264
57;100;2006;174685;138801;27101;7207;1576;9511;7676;1572;263
58;100;2007;175186;139566;26883;7146;1591;9545;7715;1569;261
59;100;2008;177780;142073;26917;7169;1621;9688;7833;1591;264
60;100;2009;181244;145083;27213;7284;1664;9878;7986;1623;269
61;100;2010;184305;147680;27530;7391;1704;10055;8125;1655;275
62;100;2011;186843;149825;27794;7482;1742;10196;8237;1680;279
63;100;2012;188271;151123;27871;7508;1769;10281;8308;1692;281
64;100;2013;190000;152610;28032;7560;1798;10378;8385;1709;284
65;100;2014;191956;154213;28267;7639;1837;10486;8467;1731;288
66;100;2015;193375;155340;28445;7718;1872;10568;8527;1749;292
67;100;2016;192976;155096;28298;7696;1886;10559;8522;1745;292
68;100;2017;192214;154603;28071;7649;1891;10542;8515;1737;290
69;100;2018;192133;154644;27952;7637;1900;10564;8540;1735;289
70;100;2019;192403;154971;27893;7630;1909;10607;8582;1736;289
71;100;2020;192780;155426;27834;7607;1913;10650;8629;1734;287
72;100;2021;194699;157033;28067;7666;1933;10770;8729;1751;290
73;100;2022;197440;159214;28476;7783;1967;10925;8850;1780;295
74;100;2023;199651;160942;28818;7892;1999;11051;8948;1803;300
75;100;2024;200456;161584;28917;7937;2018;11095;8980;1813;302
76;100;2025;200889;161891;28974;7983;2041;11119;8994;1821;304
77;100;2026;199627;160900;28735;7946;2046;11051;8938;1810;303
78;100;2027;197860;159536;28398;7881;2045;10963;8869;1794;300
79;100;2028;195876;158006;28024;7809;2037;10860;8788;1775;297
80;100;2029;193939;156512;27666;7736;2025;10753;8704;1755;294
81;100;2030;192145;155138;27323;7670;2014;10663;8634;1738;291
82;100;2031;190602;153960;27031;7606;2005;10582;8572;1722;288
83;100;2032;189372;153028;26788;7557;1999;10518;8523;1709;286
84;100;2033;188494;152377;26603;7521;1993;10476;8493;1699;284
85;100;2034;187961;151993;26478;7497;1993;10455;8479;1693;283
86;100;2035;187790;151888;26419;7489;1994;10453;8481;1690;282
87;100;2036;187923;152019;26414;7493;1997;10466;8494;1690;282
88;100;2037;188298;152336;26455;7505;2002;10495;8520;1693;282
89;100;2038;188884;152809;26538;7527;2010;10532;8551;1698;283
90;100;2039;189621;153396;26648;7558;2019;10576;8588;1704;284
