ID;Partijen;GeldigeStemmen_1;InVanTotaalGeldigeStemmen_2;TotaalMannenEnVrouwen_3;Mannen_4;Vrouwen_5
0;Totaal alle partijen;9654475;100.0;150;95;55
1;1;990;0.0;0;0;0
2;2;2763480;28.6;44;30;14
3;3;204694;2.1;3;2;1
4;4;393333;4.1;6;4;2
5;5;2521;0.0;0;0;0
6;6;7271;0.1;0;0;0
7;7;495802;5.1;8;3;5
8;8;38894;0.4;0;0;0
9;9;549975;5.7;8;7;1
10;Lijst Veldhoen;296;0.0;0;0;0
11;NCPN;4854;0.1;0;0;0
12;PvdA;2631363;27.3;42;22;20
13;Partij van de Toekomst;13845;0.1;0;0;0
14;Partij voor de Dieren;47754;0.5;0;0;0
15;Ratelband;9045;0.1;0;0;0
16;SGP;150305;1.6;2;2;0
17;SP;609723;6.3;9;5;4
18;Vooruitstrevende Integratie Partij;1623;0.0;0;0;0
19;VVD;1728707;17.9;28;20;8
