ID;SamenstellingVanHetHuishouden;LeeftijdReferentiepersoon;BurgerlijkeStaatReferentiepersoon;Perioden;ParticuliereHuishoudens_1
0;Particulier huishouden;Totaal;Totaal burgerlijke staat;2019;7937545
1;Particulier huishouden;Totaal;Totaal burgerlijke staat;2020;8007354
2;Particulier huishouden;Totaal;Totaal burgerlijke staat;2021;8068933
3;Particulier huishouden;Totaal;Totaal burgerlijke staat;2022;8123436
4;Particulier huishouden;Totaal;Totaal burgerlijke staat;2023;8176704
5;Particulier huishouden;Totaal;Totaal burgerlijke staat;2024;8228108
6;Particulier huishouden;Totaal;Totaal burgerlijke staat;2025;8276892
7;Particulier huishouden;Totaal;Totaal burgerlijke staat;2026;8323919
8;Particulier huishouden;Totaal;Totaal burgerlijke staat;2027;8368739
9;Particulier huishouden;Totaal;Totaal burgerlijke staat;2028;8410903
10;Particulier huishouden;Totaal;Totaal burgerlijke staat;2029;8450562
11;Particulier huishouden;Totaal;Totaal burgerlijke staat;2030;8487481
12;Particulier huishouden;Totaal;Totaal burgerlijke staat;2031;8521339
13;Particulier huishouden;Totaal;Totaal burgerlijke staat;2032;8552053
14;Particulier huishouden;Totaal;Totaal burgerlijke staat;2033;8579684
15;Particulier huishouden;Totaal;Totaal burgerlijke staat;2034;8604490
16;Particulier huishouden;Totaal;Totaal burgerlijke staat;2035;8626577
17;Particulier huishouden;Totaal;Totaal burgerlijke staat;2036;8645858
18;Particulier huishouden;Totaal;Totaal burgerlijke staat;2037;8662324
19;Particulier huishouden;Totaal;Totaal burgerlijke staat;2038;8676327
20;Particulier huishouden;Totaal;Totaal burgerlijke staat;2039;8688216
21;Particulier huishouden;Totaal;Totaal burgerlijke staat;2040;8698484
22;Particulier huishouden;Totaal;Totaal burgerlijke staat;2041;8707505
23;Particulier huishouden;Totaal;Totaal burgerlijke staat;2042;8715513
24;Particulier huishouden;Totaal;Totaal burgerlijke staat;2043;8722922
25;Particulier huishouden;Totaal;Totaal burgerlijke staat;2044;8730118
26;Particulier huishouden;Totaal;Totaal burgerlijke staat;2045;8737283
27;Particulier huishouden;Totaal;Totaal burgerlijke staat;2046;8744500
28;Particulier huishouden;Totaal;Totaal burgerlijke staat;2047;8752059
29;Particulier huishouden;Totaal;Totaal burgerlijke staat;2048;8759929
30;Particulier huishouden;Totaal;Totaal burgerlijke staat;2049;8768005
31;Particulier huishouden;Totaal;Totaal burgerlijke staat;2050;8776022
32;Particulier huishouden;Totaal;Totaal burgerlijke staat;2051;8783941
33;Particulier huishouden;Totaal;Totaal burgerlijke staat;2052;8791568
34;Particulier huishouden;Totaal;Totaal burgerlijke staat;2053;8798989
35;Particulier huishouden;Totaal;Totaal burgerlijke staat;2054;8806006
36;Particulier huishouden;Totaal;Totaal burgerlijke staat;2055;8812753
37;Particulier huishouden;Totaal;Totaal burgerlijke staat;2056;8819174
38;Particulier huishouden;Totaal;Totaal burgerlijke staat;2057;8825441
39;Particulier huishouden;Totaal;Totaal burgerlijke staat;2058;8831532
40;Particulier huishouden;Totaal;Totaal burgerlijke staat;2059;8837666
41;Particulier huishouden;Totaal;Totaal burgerlijke staat;2060;8843915
42;Particulier huishouden;Totaal;Ongehuwd;2019;2711834
43;Particulier huishouden;Totaal;Ongehuwd;2020;2770563
44;Particulier huishouden;Totaal;Ongehuwd;2021;2823686
45;Particulier huishouden;Totaal;Ongehuwd;2022;2872463
46;Particulier huishouden;Totaal;Ongehuwd;2023;2921233
47;Particulier huishouden;Totaal;Ongehuwd;2024;2969449
48;Particulier huishouden;Totaal;Ongehuwd;2025;3016509
49;Particulier huishouden;Totaal;Ongehuwd;2026;3063082
50;Particulier huishouden;Totaal;Ongehuwd;2027;3108749
51;Particulier huishouden;Totaal;Ongehuwd;2028;3153235
52;Particulier huishouden;Totaal;Ongehuwd;2029;3196621
53;Particulier huishouden;Totaal;Ongehuwd;2030;3238733
54;Particulier huishouden;Totaal;Ongehuwd;2031;3279387
55;Particulier huishouden;Totaal;Ongehuwd;2032;3318531
56;Particulier huishouden;Totaal;Ongehuwd;2033;3356423
57;Particulier huishouden;Totaal;Ongehuwd;2034;3393069
58;Particulier huishouden;Totaal;Ongehuwd;2035;3428591
59;Particulier huishouden;Totaal;Ongehuwd;2036;3462944
60;Particulier huishouden;Totaal;Ongehuwd;2037;3496156
61;Particulier huishouden;Totaal;Ongehuwd;2038;3528364
62;Particulier huishouden;Totaal;Ongehuwd;2039;3559885
63;Particulier huishouden;Totaal;Ongehuwd;2040;3590968
64;Particulier huishouden;Totaal;Ongehuwd;2041;3621864
65;Particulier huishouden;Totaal;Ongehuwd;2042;3652688
