ID;Financieringsvorm;Wijken;Perioden;Gemeentenaam_1;SoortRegio_2;Codering_3;IndelingswijzigingWijken_4;WmoClienten_5;WmoClientenPer1000Inwoners_6
0;Totaal;Aa en Hunze;1e halfjaar 2024;Aa en Hunze                             ;Gemeente ;GM1680  ;1.0;1700.0;66.0
1;Totaal;Wijk 00 Annen;1e halfjaar 2024;Wijk 00 Annen                           ;Wijk     ;WK168000;1.0;245.0;68.0
2;Totaal;Wijk 01 Eext;1e halfjaar 2024;Wijk 01 Eext                            ;Wijk     ;WK168001;1.0;65.0;45.0
3;Totaal;Wijk 02 Anloo;1e halfjaar 2024;Wijk 02 Anloo                           ;Wijk     ;WK168002;1.0;20.0;46.0
4;Totaal;Wijk 03 Gasteren;1e halfjaar 2024;Wijk 03 Gasteren                        ;Wijk     ;WK168003;1.0;15.0;38.0
5;Totaal;Wijk 04 Anderen;1e halfjaar 2024;Wijk 04 Anderen                         ;Wijk     ;WK168004;1.0;20.0;85.0
6;Totaal;Wijk 05 Schipborg;1e halfjaar 2024;Wijk 05 Schipborg                       ;Wijk     ;WK168005;1.0;25.0;39.0
7;Totaal;Wijk 06 Eexterveen;1e halfjaar 2024;Wijk 06 Eexterveen                      ;Wijk     ;WK168006;1.0;10.0;17.0
8;Totaal;Wijk 07 Spijkerboor;1e halfjaar 2024;Wijk 07 Spijkerboor                     ;Wijk     ;WK168007;1.0;;
9;Totaal;Wijk 08 Nieuw-Annerveen;1e halfjaar 2024;Wijk 08 Nieuw-Annerveen                 ;Wijk     ;WK168008;1.0;;
10;Totaal;Wijk 09 Oud-Annerveen;1e halfjaar 2024;Wijk 09 Oud-Annerveen                   ;Wijk     ;WK168009;1.0;;
11;Totaal;Wijk 11 Annerveenschekanaal;1e halfjaar 2024;Wijk 11 Annerveenschekanaal             ;Wijk     ;WK168011;1.0;25.0;59.0
12;Totaal;Wijk 12 Eexterveenschekanaal;1e halfjaar 2024;Wijk 12 Eexterveenschekanaal            ;Wijk     ;WK168012;1.0;10.0;39.0
13;Totaal;Wijk 13 Eexterzandvoort;1e halfjaar 2024;Wijk 13 Eexterzandvoort                 ;Wijk     ;WK168013;1.0;;
14;Totaal;Wijk 14 Gasselte;1e halfjaar 2024;Wijk 14 Gasselte                        ;Wijk     ;WK168014;1.0;125.0;66.0
15;Totaal;Wijk 15 Gasselternijveen;1e halfjaar 2024;Wijk 15 Gasselternijveen                ;Wijk     ;WK168015;1.0;135.0;74.0
16;Totaal;Wijk 16 Gasselternijveenschemond;1e halfjaar 2024;Wijk 16 Gasselternijveenschemond        ;Wijk     ;WK168016;1.0;30.0;48.0
17;Totaal;Wijk 17 Gieten;1e halfjaar 2024;Wijk 17 Gieten                          ;Wijk     ;WK168017;1.0;360.0;73.0
18;Totaal;Wijk 18 Gieterveen;1e halfjaar 2024;Wijk 18 Gieterveen                      ;Wijk     ;WK168018;1.0;50.0;41.0
19;Totaal;Wijk 19 Rolde;1e halfjaar 2024;Wijk 19 Rolde                           ;Wijk     ;WK168019;1.0;470.0;95.0
20;Totaal;Wijk 20 Grolloo;1e halfjaar 2024;Wijk 20 Grolloo                         ;Wijk     ;WK168020;1.0;40.0;28.0
21;Totaal;Wijk 21 Ekehaar;1e halfjaar 2024;Wijk 21 Ekehaar                         ;Wijk     ;WK168021;1.0;20.0;42.0
22;Totaal;Aalsmeer;1e halfjaar 2024;Aalsmeer                                ;Gemeente ;GM0358  ;1.0;1795.0;54.0
23;Totaal;Wijk 00 Aalsmeer;1e halfjaar 2024;Wijk 00 Aalsmeer                        ;Wijk     ;WK035800;1.0;1015.0;75.0
24;Totaal;Wijk 01 Kudelstraat en Kalslagen;1e halfjaar 2024;Wijk 01 Kudelstraat en Kalslagen        ;Wijk     ;WK035801;1.0;425.0;46.0
25;Totaal;Wijk 02 Oosteinde;1e halfjaar 2024;Wijk 02 Oosteinde                       ;Wijk     ;WK035802;1.0;355.0;34.0
26;Totaal;Aalten;1e halfjaar 2024;Aalten                                  ;Gemeente ;GM0197  ;1.0;1950.0;71.0
27;Totaal;Wijk 01 Buitengebied Aalten;1e halfjaar 2024;Wijk 01 Buitengebied Aalten             ;Wijk     ;WK019701;1.0;125.0;31.0
28;Totaal;Wijk 02 Bredevoort;1e halfjaar 2024;Wijk 02 Bredevoort                      ;Wijk     ;WK019702;1.0;120.0;61.0
29;Totaal;Wijk 03 Aalten Kern;1e halfjaar 2024;Wijk 03 Aalten Kern                     ;Wijk     ;WK019703;1.0;1050.0;81.0
30;Totaal;Wijk 04 Dinxperlo;1e halfjaar 2024;Wijk 04 Dinxperlo                       ;Wijk     ;WK019704;1.0;640.0;77.0
