ID;BeveiligingsEnOpsporingsdiensten;Perioden;Prijsindexcijfers_1;Kwartaalmutatie_2;Jaarmutatie_3;Wegingsfactoren_4
0;Totaal Beveiliging en opsporing;2006 1e kwartaal;100.0;;;100
1;Totaal Beveiliging en opsporing;2006 2e kwartaal;101.5;1.5;;100
2;Totaal Beveiliging en opsporing;2006 3e kwartaal;99.8;-1.7;;100
3;Totaal Beveiliging en opsporing;2006 4e kwartaal;99.1;-0.7;;100
4;Totaal Beveiliging en opsporing;2006 jaargemiddelde;100.1;;;100
5;Totaal Beveiliging en opsporing;2007 1e kwartaal;100.9;1.8;0.9;100
6;Totaal Beveiliging en opsporing;2007 2e kwartaal;102.1;1.2;0.6;100
7;Totaal Beveiliging en opsporing;2007 3e kwartaal;102.6;0.5;2.8;100
8;Totaal Beveiliging en opsporing;2007 4e kwartaal;101.8;-0.8;2.7;100
9;Totaal Beveiliging en opsporing;2007 jaargemiddelde;101.9;;1.8;100
10;Beveiliging (ex. technische beveiliging);2006 1e kwartaal;100.0;;;71
11;Beveiliging (ex. technische beveiliging);2006 2e kwartaal;101.9;1.9;;71
12;Beveiliging (ex. technische beveiliging);2006 3e kwartaal;99.5;-2.4;;71
13;Beveiliging (ex. technische beveiliging);2006 4e kwartaal;97.9;-1.6;;71
14;Beveiliging (ex. technische beveiliging);2006 jaargemiddelde;99.8;;;71
15;Beveiliging (ex. technische beveiliging);2007 1e kwartaal;99.9;2.0;-0.1;71
16;Beveiliging (ex. technische beveiliging);2007 2e kwartaal;101.4;1.5;-0.5;71
17;Beveiliging (ex. technische beveiliging);2007 3e kwartaal;102.4;1.0;2.9;71
18;Beveiliging (ex. technische beveiliging);2007 4e kwartaal;101.5;-0.9;3.7;71
19;Beveiliging (ex. technische beveiliging);2007 jaargemiddelde;101.3;;1.5;71
20;Overige vakgebieden;2006 1e kwartaal;100.0;;;29
21;Overige vakgebieden;2006 2e kwartaal;100.3;0.3;;29
22;Overige vakgebieden;2006 3e kwartaal;100.4;0.1;;29
23;Overige vakgebieden;2006 4e kwartaal;102.5;2.1;;29
24;Overige vakgebieden;2006 jaargemiddelde;100.8;;;29
25;Overige vakgebieden;2007 1e kwartaal;104.1;1.6;4.1;29
26;Overige vakgebieden;2007 2e kwartaal;104.2;0.1;3.9;29
27;Overige vakgebieden;2007 3e kwartaal;103.7;-0.5;3.3;29
28;Overige vakgebieden;2007 4e kwartaal;102.7;-1.0;0.2;29
29;Overige vakgebieden;2007 jaargemiddelde;103.7;;2.9;29
