ID;HerkomstBestemming;Perioden;Arseen_1;Cadmium_2;Chroom_3;Koper_4;Kwik_5;Lood_6;Nikkel_7;Zink_8;ZwareMetaalequivalenten_9;Fosfor_10;Stikstof_11;Nutrientenequivalenten_12
0;1;1995;3500;765;3094;205712;275;64459;7659;181855;90.9;10470153;65712511;17041
1;1;1996;3560;768;3114;212505;276;64332;7683;181790;93.0;10820264;66338331;17454
2;1;1997;3587;771;3133;202639;277;64204;7708;181726;89.7;11053671;66755545;17729
3;1;1998;3608;777;3152;203703;279;63950;7756;181596;90.2;11287079;67172759;18004
4;1;1999;3626;783;3171;215678;280;63696;7804;181467;94.2;11520486;67589973;18279
5;1;2000;3631;789;3179;202558;284;63188;7901;181208;90.0;11637190;67798580;18417
6;1;2001;3633;796;3205;206412;285;63262;7946;182074;91.4;11889103;68400215;18729
7;1;2002;3636;805;3231;210333;285;63335;7992;182940;92.8;12141016;68801305;19021
8;1;2003;3668;807;3333;152248;289;63409;8173;186403;73.7;12392930;69202395;19313
9;1;2004;3679;809;3384;167883;291;63483;8264;188135;79.0;12644843;69402940;19585
10;1;2005;3695;813;3259;157261;292;63556;8139;193842;75.7;12896756;69855424;19882
11;1;2006;3697;815;3266;157460;293;63782;8153;192667;75.8;12923154;70000981;19923
12;1;2007;3702;817;3273;157761;294;62459;8181;190696;75.8;12964887;70225580;19987
13;1;2008;3709;820;3284;158127;295;61992;8210;191465;76.0;13007815;70457566;20054
14;2;1995;444;1;38;785;0;348;19;3903;0.7;0;0;0
15;2;1996;475;1;29;769;0;333;19;3901;0.5;0;0;0
16;2;1997;483;1;28;839;0;318;19;3898;0.5;0;0;0
17;2;1998;484;1;28;828;0;288;19;3893;0.5;0;0;0
18;2;1999;483;1;28;834;0;259;19;3888;0.5;0;0;0
19;2;2000;478;1;27;787;0;200;19;3878;0.5;0;0;0
20;2;2001;471;1;43;764;0;200;40;6967;0.5;0;0;0
21;2;2002;465;1;59;740;0;200;61;10057;0.6;0;0;0
22;2;2003;459;1;124;717;0;200;146;22414;1.1;0;0;0
23;2;2004;452;1;156;693;0;200;188;28593;1.2;0;0;0
24;2;2005;446;1;11;670;0;200;18;3504;0.4;0;0;0
25;2;2006;441;1;10;664;0;199;18;3477;0.4;0;0;0
26;2;2007;437;1;8;628;0;198;17;3380;0.4;0;0;0
27;2;2008;432;1;7;625;0;202;18;3423;0.4;0;0;0
28;3;1995;3056;764;3056;204928;275;64111;7640;177952;90.2;10470153;65712511;17041
29;3;1996;3085;767;3085;211736;276;63999;7664;177890;92.5;10820264;66338331;17454
30;3;1997;3104;770;3104;201801;277;63886;7689;177827;89.3;11053671;66755545;17729
31;3;1998;3124;776;3124;202874;279;63662;7737;177703;89.7;11287079;67172759;18004
32;3;1999;3143;782;3143;214843;280;63437;7785;177579;93.8;11520486;67589973;18279
33;3;2000;3153;788;3153;201770;284;62988;7882;177330;89.5;11637190;67798580;18417
34;3;2001;3162;795;3162;205649;285;63062;7906;175106;90.8;11889103;68400215;18729
35;3;2002;3172;804;3172;209593;285;63135;7931;172883;92.1;12141016;68801305;19021
36;3;2003;3209;806;3209;151531;289;63209;8028;163989;72.6;12392930;69202395;19313
37;3;2004;3228;808;3228;167190;291;63283;8076;159542;77.8;12644843;69402940;19585
38;3;2005;3248;812;3248;156591;292;63356;8121;190338;75.3;12896756;69855424;19882
39;3;2006;3256;814;3256;156797;293;63583;8135;189190;75.4;12923154;70000981;19923
40;3;2007;3265;816;3265;157133;294;62260;8163;187316;75.4;12964887;70225580;19987
41;3;2008;3277;819;3277;157502;295;61790;8192;188042;75.6;13007815;70457566;20054
42;4;1995;8773;1492;46913;102158;1308;38930;66740;418930;103.4;12661004;129295198;25591
43;4;1996;8304;1264;40508;96648;678;28307;62309;402209;78.1;10580546;85117415;19092
44;4;1997;8606;1191;37114;99530;620;28645;59119;381634;76.0;11778425;82927494;20071
45;4;1998;9591;1076;35691;97874;555;25681;58078;412053;73.6;16974368;150539190;32028
46;4;1999;9302;1023;33174;97239;526;25543;58274;393423;71.4;13482322;109055278;24388
47;4;2000;9158;1096;30576;92635;394;25345;54749;379048;65.3;10509564;121680588;22678
48;4;2001;9047;1060;29353;93232;375;23801;54284;385540;64.8;10523966;109563337;21480
49;4;2002;8703;907;26620;88847;369;22257;50483;379986;61.9;10295396;98818522;20177
50;4;2003;8500;868;26368;83882;340;20713;48122;366753;58.6;7108639;71427614;14251
51;4;2004;8250;793;26854;78738;259;19170;47088;378846;54.1;8032822;93261801;17359
52;4;2005;8039;657;27733;73881;221;17626;43248;307360;48.1;7561830;78673604;15429
53;4;2006;7636;620;27832;71014;205;16208;43301;292750;45.9;7064137;79256643;14990
54;4;2007;8420;900;25742;79708;173;17260;50247;347989;51.0;8743759;108219280;19566
55;4;2008;7947;768;23550;70737;153;15694;44407;310980;45.2;7896794;81528730;16050
56;5;1995;0;243;0;17364;0;2835;18713;116105;11.0;3743546;74629428;11206
57;5;1996;0;245;3;18109;0;2879;19175;117588;11.3;1999500;33480000;5348
58;5;1997;0;247;5;18605;0;2923;19637;119072;11.5;3414399;34133022;6828
59;5;1998;0;249;7;19102;0;3012;20562;122039;11.8;8503071;100412268;18544
60;5;1999;0;251;8;19598;0;3100;21486;125006;12.1;5441013;62171642;11658
61;5;2000;0;253;9;19846;0;3276;23335;130941;12.4;4175339;77956567;11971
62;5;2001;0;253;7;18787;0;3077;22611;126805;11.9;5335080;64860000;11821
63;5;2002;0;202;6;17727;0;2879;21886;122668;11.1;5350008;55899118;10940
64;5;2003;0;197;4;16668;0;2680;20438;114327;10.5;2377008;32446424;5622
65;5;2004;0;169;2;15608;0;2481;18989;106055;9.7;3442008;55237668;8966
66;5;2005;0;166;0;14548;0;2282;16091;89539;8.8;2951835;42615214;7213
67;5;2006;0;160;1;15583;0;2380;16478;92465;9.2;2749260;41811843;6930
68;5;2007;0;246;0;22901;0;3231;23595;141530;13.7;4350134;74852441;11835
69;5;2008;0;191;0;17637;0;2709;19371;111436;10.7;3309641;51145339;8424
70;6;1995;0;54;0;3381;0;598;4574;27131;2.3;857644;14164894;2274
71;6;1996;0;55;0;3577;0;610;4693;27510;2.4;480286;5097904;990
72;6;1997;0;55;0;3708;0;623;4811;27889;2.5;823442;5502699;1374
73;6;1998;0;56;1;3840;0;648;5048;28647;2.5;2020402;15987611;3619
74;6;1999;0;57;1;3971;0;674;5285;29404;2.6;1391499;10843715;2476
75;6;2000;0;57;1;4036;0;725;5759;30920;2.7;966291;13618658;2328
76;6;2001;0;57;1;3795;0;683;5601;29989;2.6;1496596;12648833;2761
77;6;2002;0;52;0;3554;0;642;5444;29059;2.4;1491763;11152692;2607
78;6;2003;0;46;0;3313;0;600;5129;27197;2.3;558294;5358645;1094
79;6;2004;0;41;0;3072;0;559;4814;25336;2.1;909837;10784528;1988
80;6;2005;0;39;0;2831;0;517;4185;21613;1.9;706068;7215862;1428
81;6;2006;0;41;0;3302;0;583;4586;23802;2.1;705265;7949569;1500
82;6;2007;0;72;0;5872;0;906;7217;41492;3.7;1274014;15415345;2816
83;6;2008;0;55;0;4322;0;735;5821;31784;2.8;941912;10524736;1994
84;7;1995;0;10;0;305;0;187;25;2192;0.2;132390;1877177;320
85;7;1996;0;10;1;309;0;186;25;2274;0.2;96321;1080157;204
86;7;1997;0;10;2;311;0;184;25;2356;0.2;168574;1180788;287
87;7;1998;0;10;2;314;0;182;26;2521;0.2;431531;3572672;789
88;7;1999;0;10;3;316;0;180;26;2685;0.3;309419;2495080;559
89;7;2000;0;10;3;318;0;175;28;3014;0.3;167440;2339999;401
90;7;2001;0;10;3;312;0;169;27;3129;0.3;332346;2874765;620
91;7;2002;0;10;2;307;0;163;26;3244;0.3;334733;2809512;616
92;7;2003;0;10;1;301;0;157;24;3474;0.3;221194;3719887;593
93;7;2004;0;9;1;296;0;151;22;3705;0.3;406743;6047712;1012
