ID;Gewassen;RegioS;Perioden;BeteeldeOppervlakte_1;GeoogsteOppervlakte_2;BrutoOpbrengstPerHa_3;TotaleBrutoOpbrengst_4
0;Tarwe (totaal);Nederland;1994;121587.0;121532.0;8.2;992682.0
1;Tarwe (totaal);Nederland;1995;135412.0;134686.0;8.8;1180560.0
2;Tarwe (totaal);Nederland;1996;141607.0;141594.0;9.1;1284044.0
3;Tarwe (totaal);Nederland;1997;137510.0;137494.0;7.8;1075274.0
4;Tarwe (totaal);Nederland;1998;139314.0;139153.0;7.8;1083121.0
5;Tarwe (totaal);Nederland;1999;102779.0;102195.0;8.4;861492.0
6;Tarwe (totaal);Nederland;2000;136686.0;136072.0;8.5;1156299.0
7;Tarwe (totaal);Nederland;2001;124722.0;123405.0;8.1;1002482.0
8;Tarwe (totaal);Nederland;2002;135849.0;134901.0;7.9;1069219.0
9;Tarwe (totaal);Nederland;2003;129945.0;128793.0;8.9;1143514.0
10;Tarwe (totaal);Nederland;2004;138088.0;136904.0;9.0;1238431.0
11;Tarwe (totaal);Nederland;2005;136710.0;135591.0;8.8;1188670.0
12;Tarwe (totaal);Nederland;2006;141123.0;140038.0;8.6;1198555.0
13;Tarwe (totaal);Nederland;2007;141321.0;141274.0;7.3;1030533.0
14;Tarwe (totaal);Nederland;2008;156510.0;156510.0;8.8;1382426.0
15;Tarwe (totaal);Nederland;2009;150981.0;150888.0;9.4;1418731.0
16;Tarwe (totaal);Nederland;2010;154013.0;153723.0;9.0;1378178.0
17;Tarwe (totaal);Nederland;2011;151524.0;151041.0;7.9;1189266.0
18;Tarwe (totaal);Nederland;2012;151625.0;151625.0;8.7;1317501.0
19;Tarwe (totaal);Nederland;2013;152754.0;152737.0;8.8;1350999.0
20;Tarwe (totaal);Nederland;2014;142212.0;142212.0;9.3;1319578.0
21;Tarwe (totaal);Nederland;2015;142468.0;142468.0;9.2;1315562.0
22;Tarwe (totaal);Nederland;2016;128065.0;127328.0;8.1;1028580.0
23;Tarwe (totaal);Nederland;2017;116429.0;115923.0;9.2;1066700.0
24;Tarwe (totaal);Nederland;2018;112044.0;111660.0;8.9;996599.0
25;Tarwe (totaal);Nederland;2019;121064.0;120546.0;9.7;1171208.0
26;Tarwe (totaal);Nederland;2020;109628.0;108908.0;8.9;965219.0
27;Tarwe (totaal);Nederland;2021;119383.0;118139.0;8.3;982055.0
28;Tarwe (totaal);Nederland;2022;124348.0;123788.0;9.7;1204667.0
29;Tarwe (totaal);Nederland;2023;130054.0;129536.0;8.6;1109145.0
30;Tarwe (totaal);Nederland;2024;96753.0;95852.0;7.1;676064.0
31;Tarwe (totaal);Noord Nederland (LD);1994;33180.0;33133.0;7.2;237130.0
32;Tarwe (totaal);Noord Nederland (LD);1995;38387.0;37667.0;8.2;309221.0
33;Tarwe (totaal);Noord Nederland (LD);1996;41310.0;41309.0;8.3;341385.0
34;Tarwe (totaal);Noord Nederland (LD);1997;40736.0;40735.0;8.0;326758.0
35;Tarwe (totaal);Noord Nederland (LD);1998;42671.0;42564.0;7.1;300247.0
36;Tarwe (totaal);Noord Nederland (LD);1999;27549.0;27137.0;7.7;209138.0
37;Tarwe (totaal);Noord Nederland (LD);2000;41183.0;41101.0;8.1;333257.0
38;Tarwe (totaal);Noord Nederland (LD);2001;36929.0;36367.0;8.5;307356.0
39;Tarwe (totaal);Noord Nederland (LD);2002;36372.0;36067.0;7.5;268857.0
40;Tarwe (totaal);Noord Nederland (LD);2003;39043.0;38795.0;8.4;327098.0
41;Tarwe (totaal);Noord Nederland (LD);2004;41034.0;40710.0;8.5;344084.0
42;Tarwe (totaal);Noord Nederland (LD);2005;39489.0;39175.0;8.3;324929.0
43;Tarwe (totaal);Noord Nederland (LD);2006;43949.0;43577.0;8.0;349988.0
44;Tarwe (totaal);Noord Nederland (LD);2007;43835.0;43835.0;7.2;315251.0
45;Tarwe (totaal);Noord Nederland (LD);2008;47495.0;47495.0;8.5;404958.0
46;Tarwe (totaal);Noord Nederland (LD);2009;46201.0;46185.0;9.2;422756.0
47;Tarwe (totaal);Noord Nederland (LD);2010;48668.0;48535.0;8.8;427334.0
48;Tarwe (totaal);Noord Nederland (LD);2011;45998.0;45880.0;7.6;348626.0
