ID;Taxpayers;Periods;TotalEnvironmentalTaxesAndFees_1;TotalEnvironmentalTaxRevenues_2;TotalEnvironmentalTaxesOnProducts_3;WasteTax_4;FuelTax_5;TaxOnElectricityAndGasUse_6;TapWaterAndGroundwaterTaxes_7;TaxOnPackaging_8;FlightTax_9;TotalMobilityTax_10;ExciseDuties_11;TaxOnPassengerCarsAndMotorcycles_12;MotorVehicleTax_13;ManureSurplusTax_14;TotalEnvironmentalFeesRevenues_15;WasteCollectionFee_16;NoiseTaxCivilAviation_17;FeesOnGroundwaterAndRefuseDumps_18;SewerageCharges_19;FeesOnWaterPollution_20
0;Total taxpayers;1987;6256.0;4828.0;0.0;;0.0;;;;;4828.0;2178.0;1197.0;1453.0;0.0;1428.0;680.0;5.0;4.0;177.0;562.0
1;Total taxpayers;1988;6330.0;4908.0;82.0;;82.0;;;;;4815.0;2188.0;1097.0;1530.0;11.0;1422.0;615.0;10.0;4.0;190.0;603.0
2;Total taxpayers;1989;6552.0;5030.0;163.0;;163.0;;;;;4850.0;2119.0;1098.0;1633.0;17.0;1522.0;662.0;7.0;3.0;213.0;637.0
3;Total taxpayers;1990;7443.0;5824.0;277.0;;277.0;;;;;5530.0;2554.0;1206.0;1770.0;17.0;1619.0;714.0;11.0;3.0;246.0;645.0
4;Total taxpayers;1991;7939.0;6168.0;413.0;;413.0;;;;;5738.0;2640.0;1284.0;1814.0;17.0;1771.0;791.0;9.0;3.0;286.0;682.0
5;Total taxpayers;1992;9147.0;7170.0;644.0;;644.0;;;;;6509.0;3020.0;1556.0;1933.0;17.0;1977.0;886.0;9.0;5.0;318.0;759.0
6;Total taxpayers;1993;10500.0;8251.0;658.0;;658.0;;;;;7574.0;3829.0;1457.0;2288.0;19.0;2249.0;1058.0;5.0;5.0;359.0;822.0
7;Total taxpayers;1994;11021.0;8716.0;594.0;;594.0;;;;;8104.0;4174.0;1661.0;2269.0;18.0;2305.0;1019.0;13.0;5.0;400.0;868.0
8;Total taxpayers;1995;11616.0;9249.0;858.0;110.0;607.0;;141.0;;;8374.0;4316.0;1813.0;2245.0;17.0;2367.0;1010.0;24.0;6.0;457.0;870.0
9;Total taxpayers;1996;12841.0;10412.0;1318.0;91.0;657.0;424.0;146.0;;;9084.0;4386.0;1892.0;2806.0;10.0;2429.0;1048.0;9.0;6.0;467.0;899.0
10;Total taxpayers;1997;13313.0;10869.0;1694.0;80.0;650.0;815.0;149.0;;;9159.0;4750.0;2061.0;2348.0;16.0;2444.0;980.0;6.0;9.0;522.0;927.0
11;Total taxpayers;1998;14295.0;11799.0;1714.0;80.0;659.0;823.0;152.0;;;10072.0;5056.0;2425.0;2591.0;13.0;2496.0;985.0;6.0;9.0;565.0;931.0
12;Total taxpayers;1999;15772.0;13082.0;2294.0;99.0;633.0;1408.0;154.0;;;10773.0;5168.0;2840.0;2765.0;15.0;2690.0;1103.0;7.0;24.0;594.0;962.0
13;Total taxpayers;2000;16879.0;13973.0;2849.0;220.0;612.0;1775.0;242.0;;;11106.0;5290.0;2875.0;2941.0;18.0;2906.0;1183.0;36.0;34.0;650.0;1003.0
14;Total taxpayers;2001;17516.0;14414.0;3352.0;191.0;607.0;2320.0;234.0;;;11051.0;5224.0;2939.0;2888.0;11.0;3102.0;1283.0;43.0;40.0;701.0;1035.0
15;Total taxpayers;2002;17588.0;14342.0;2953.0;182.0;516.0;2003.0;252.0;;;11381.0;5737.0;2741.0;2903.0;8.0;3246.0;1324.0;38.0;59.0;746.0;1079.0
16;Total taxpayers;2003;18384.0;14975.0;3081.0;121.0;538.0;2132.0;290.0;;;11892.0;5952.0;2874.0;3066.0;2.0;3409.0;1405.0;37.0;33.0;805.0;1129.0
17;Total taxpayers;2004;19647.0;16063.0;3278.0;88.0;52.0;2848.0;290.0;;;12789.0;6458.0;3003.0;3328.0;-4.0;3584.0;1513.0;33.0;34.0;831.0;1173.0
18;Total taxpayers;2005;20992.0;17270.0;4128.0;124.0;6.0;3716.0;282.0;;;13141.0;6420.0;3148.0;3573.0;1.0;3722.0;1555.0;48.0;36.0;886.0;1197.0
19;Total taxpayers;2006;22631.0;18677.0;4545.0;181.0;6.0;4070.0;288.0;;;14130.0;6818.0;3452.0;3860.0;2.0;3954.0;1629.0;54.0;35.0;1014.0;1222.0
20;Total taxpayers;2007;22619.0;18503.0;3789.0;170.0;1.0;3314.0;304.0;;;14718.0;6975.0;3647.0;4096.0;-4.0;4116.0;1694.0;55.0;35.0;1094.0;1238.0
21;Total taxpayers;2008;23952.0;19757.0;4785.0;112.0;14.0;4065.0;285.0;161.0;148.0;14970.0;7225.0;3236.0;4509.0;2.0;4195.0;1707.0;56.0;20.0;1163.0;1249.0
22;Total taxpayers;2009;23430.0;19285.0;4872.0;46.0;0.0;4148.0;285.0;275.0;118.0;14411.0;7397.0;2145.0;4869.0;2.0;4145.0;1745.0;49.0;17.0;1246.0;1088.0
23;Total taxpayers;2010;24135.0;19871.0;4905.0;41.0;1.0;4249.0;315.0;299.0;;14964.0;7659.0;2096.0;5209.0;2.0;4264.0;1778.0;42.0;15.0;1302.0;1127.0
24;Total taxpayers;2011;24010.0;19688.0;4788.0;17.0;1.0;4179.0;303.0;288.0;;14898.0;7745.0;1978.0;5175.0;2.0;4322.0;1756.0;35.0;15.0;1366.0;1150.0
