ID;Producten;Perioden;Beginvoorraad_1;BrutoProductie_2;Ontvangsten_3;UitvoerEntrepotuitvoer_4;Bunkering_5;BinnenlandseAfleveringen_6;Eindvoorraad_7
0;Totaal smeermiddelen;2000 1e kwartaal;131127;152613;145444;208119;30652.0;53885;136528
1;Totaal smeermiddelen;2000 2e kwartaal;136528;165106;156094;226133;40434.0;52244;138917
2;Totaal smeermiddelen;2000 1e halfjaar;131127;317719;301538;434252;71086.0;106129;138917
3;Totaal smeermiddelen;2000 3e kwartaal;138917;168762;149210;219699;38644.0;53183;145363
4;Totaal smeermiddelen;2000 4e kwartaal;145363;167798;160815;216419;41698.0;70538;145321
5;Totaal smeermiddelen;2000 2e halfjaar;138917;336560;310025;436118;80342.0;123721;145321
6;Totaal smeermiddelen;2000;131127;654279;611563;870370;151428.0;229850;145321
7;Totaal smeermiddelen;2001 1e kwartaal;145321;131673;183428;228569;43107.0;56263;132483
8;Totaal smeermiddelen;2001 2e kwartaal;132483;156758;146759;206816;49806.0;45885;133493
9;Totaal smeermiddelen;2001 1e halfjaar;145321;288431;330187;435385;92913.0;102148;133493
10;Totaal smeermiddelen;2001 3e kwartaal;133493;168461;164036;228073;41982.0;62258;133677
11;Totaal smeermiddelen;2001 4e kwartaal;133677;123365;180888;195509;37602.0;58190;146629
12;Totaal smeermiddelen;2001 2e halfjaar;133493;291826;344924;423582;79584.0;120448;146629
13;Totaal smeermiddelen;2001;145321;580257;675111;858967;172497.0;222596;146629
14;Totaal smeermiddelen;2002 1e kwartaal;146629;149816;145945;206997;34254.0;64719;136420
15;Totaal smeermiddelen;2002 2e kwartaal;136420;155991;143276;223669;27854.0;65452;118712
16;Totaal smeermiddelen;2002 1e halfjaar;146629;305807;289221;430666;62108.0;130171;118712
17;Totaal smeermiddelen;2002 3e kwartaal;118712;158236;156380;224313;27793.0;56857;124365
18;Totaal smeermiddelen;2002 4e kwartaal;124365;157149;141113;211074;28593.0;50419;132541
19;Totaal smeermiddelen;2002 2e halfjaar;118712;315385;297493;435387;56386.0;107276;132541
20;Totaal smeermiddelen;2002;146629;621192;586714;866053;118494.0;237447;132541
21;Totaal smeermiddelen;2003 1e kwartaal;132541;145638;162355;233739;25222.0;57045;124528
22;Totaal smeermiddelen;2003 2e kwartaal;124528;169793;135252;231639;27387.0;46902;123645
23;Totaal smeermiddelen;2003 1e halfjaar;132541;315431;297607;465378;52609.0;103947;123645
24;Totaal smeermiddelen;2003 3e kwartaal;123645;159831;144316;201804;33405.0;29808;162775
25;Totaal smeermiddelen;2003 4e kwartaal;162775;112253;156870;216390;28024.0;52596;134888
26;Totaal smeermiddelen;2003 2e halfjaar;123645;272084;301186;418194;61429.0;82404;134888
27;Totaal smeermiddelen;2003;132541;587515;598793;883572;114038.0;186351;134888
28;Basisoliën, totaal;2000 1e kwartaal;66592;142018;77751;128613;;80576;77172
29;Basisoliën, totaal;2000 2e kwartaal;77172;154861;75832;140457;;85680;81728
30;Basisoliën, totaal;2000 1e halfjaar;66592;296879;153583;269070;;166256;81728
31;Basisoliën, totaal;2000 3e kwartaal;81728;150714;58095;132203;;81506;76828
32;Basisoliën, totaal;2000 4e kwartaal;76828;144375;74473;131189;;80770;83717
33;Basisoliën, totaal;2000 2e halfjaar;81728;295089;132568;263392;;162276;83717
34;Basisoliën, totaal;2000;66592;591968;286151;532462;;328532;83717
35;Basisoliën, totaal;2001 1e kwartaal;83717;124880;69197;116839;;87311;73644
36;Basisoliën, totaal;2001 2e kwartaal;73644;145797;61249;130617;;71673;78400
37;Basisoliën, totaal;2001 1e halfjaar;83717;270677;130446;247456;;158984;78400
38;Basisoliën, totaal;2001 3e kwartaal;78400;148861;45211;126573;;69017;76882
39;Basisoliën, totaal;2001 4e kwartaal;76882;107658;51119;84969;;60040;90650
40;Basisoliën, totaal;2001 2e halfjaar;78400;256519;96330;211542;;129057;90650
41;Basisoliën, totaal;2001;83717;527196;226776;458998;;288041;90650
42;Basisoliën, totaal;2002 1e kwartaal;90650;137281;45531;127978;;70062;75422
43;Basisoliën, totaal;2002 2e kwartaal;75422;147921;52464;141374;;70081;64352
