ID;Omzetklassen;Perioden;Bedrijven_1;Bedrijfsopbrengsten_2;TotaalNettoOmzet_3;VerleendeDiensten_4;Handelsgoederen_5;OverigeOpbrengsten_6;TotaalBedrijfslasten_7;KostprijsVanDeOmzet_8;Personeelskosten_9;Afschrijvingen_10;OverigeBedrijfslasten_11;TotaalOverigeBedrijfslasten_12;Huisvestingskosten_13;InventarisEnMachinekosten_14;Autokosten_15;Verkoopkosten_16;AndereKosten_17;Bedrijfsresultaat_18;SaldoFinancieleResultaten_19;ResultaatVoorBelastingen_20;BrutoWinstmarge_21;OperationeleWinstmarge_22;WinstmargeVoorBelastingen_23;Investeringsquote_24;NettoOmzetPerFte_25;LoonkostenPerFte_26;NettoOmzet_27;NieuweMotorfietsen_28;GebruikteMotorfietsen_29;Bromfietsen_30;OnderdelenEnAccessoires_31;WOMotorkledingEnHelmen_32;OverigeActiviteiten_33;ReparatiesInclGebruikteOnderdelen_34;Verhuur_35;UitbesteedWerk_36;OverigeDienstverlening_37;OntvangstenVoorUitleenEnSubsidie_38;TotaalPersoneelskosten_39;BrutoLonenEnSalarissen_40;SocialeLasten_41;Pensioenpremies_42;KostenUitzendkrachten_43;KostenIngeleendPersoneel_44;OverigePersoneelskosten_45;TotaalOverigeBedrijfslasten_46;TotaalHuisvestingskosten_47;BetaaldeHurenPachtenEDVanLeasing_48;OnroerendeZaakbelastingMilieuheffing_49;Energiekosten_50;ReparatieEnOnderhoudskosten_51;Verzekeringen_52;OverigeHuisvestingskosten_53;TotaalInventarisEnMachinekosten_54;BetaaldeHurenEnKostenVanOperLease_55;Onderhoudskosten_56;OverigeInventarisEnMachinekosten_57;TotaalAutokosten_58;BetaaldeHurenEnKostenVanOperLease_59;Brandstof_60;OverigeAutokosten_61;TotaalVerkoopkosten_62;ReclameEnAdvertentiekosten_63;ReisVerblijfsEnRepresentatiekosten_64;OverigeVerkoopkosten_65;TotaalAndereKosten_66;AccountantsEnAdviesdiensten_67;KantoorbenodigdhDrukwerkVakliteratuur_68;OverigeVerzekeringen_69;OverigeKostprijsverhogendeBelastingen_70;Communicatiekosten_71;Beheerskosten_72;OverigeAutomatiseringskosten_73;NogNietEerderGenoemdeBedrijfskosten_74;TotaalAantalWerkzamePersonen_75;WerknemersOpDeLoonlijst_76;WerknemersNietOpLoonlijst_77;OverigPersoneel_78;AantalVte_79;TotaalInvesteringen_80;TotaalMaterieleVasteActiva_81;Bedrijfsruimten_82;Vervoermiddelen_83;Computers_84;OverigeMachinesApparatenED_85;OverigeMaterieleVasteActiva_86;TotaalImmaterieleVasteActiva_87
0;Totaal SBI 504;1996;7.2;753;750;27;723;3;715;84.0;6.8;1.8;7.5;54;14;2;4;17;17;37;-14;23;19.9;3.0;3.1;2.2;308.2;28.5;750;31.7;25.3;2.2;35.3;4.6;1.8;3.2;0.2;0.1;0.1;1.0;48;80.5;8.3;3.9;3.2;1.3;4.0;54;14;56.5;2.0;16.8;12.9;4.5;7.2;2;11.9;50.7;37.4;4;12.7;31.7;55.6;17;60.5;13.0;26.5;17;17.8;9.4;12.4;1.4;15.2;19.3;7.3;17.1;26;69.4;27.5;3.1;24;17;99.5;42.0;12.9;3.6;13.4;27.7;0.5
1;Totaal SBI 504;1997;7.5;756;755;39;716;1;717;84.0;7.1;1.9;7.0;50;12;2;4;16;16;39;-11;28;20.2;3.6;3.7;1.3;299.6;30.2;755;30.5;25.1;2.9;34.0;4.8;2.4;4.5;0.2;0.1;0.3;0.8;51;78.7;8.3;4.0;3.8;0.3;5.6;50;12;52.6;3.2;19.7;8.9;5.7;9.9;2;12.5;37.2;50.2;4;10.9;30.7;58.4;16;55.5;12.4;32.1;16;19.9;10.6;13.9;3.9;15.7;16.2;6.9;13.0;27;67.2;30.0;2.8;25;10;98.9;16.4;39.8;7.6;19.7;15.4;1.1
2;Totaal SBI 504;1998;7.7;776;774;33;741;2;740;84.5;7.0;1.9;6.6;49;13;2;4;15;15;35;-13;22;19.1;3.0;2.8;1.0;;;774;30.5;24.6;3.6;34.6;4.5;2.4;3.9;0.2;0.0;0.1;1.4;51;75.5;10.1;4.6;5.0;0.9;5.3;49;13;;;;;;;2;;;;4;;;;15;;;;15;;;;;;;;;28;67.1;29.2;3.7;25;8;99.1;12.1;38.3;15.6;11.4;21.6;0.9
3;Totaal SBI 504;1999;7.8;863;857;31;826;6;817;85.0;6.9;1.5;6.6;54;14;2;4;17;17;47;-11;36;19.0;4.1;4.2;2.9;;;857;31.7;23.0;3.8;35.8;2.9;2.1;3.2;0.0;0.1;0.1;0.8;56;71.2;9.7;5.0;7.0;1.3;6.7;54;14;;;;;;;2;;;;4;;;;17;;;;17;;;;;;;;;29;67.9;27.2;5.0;26;25;96.7;28.9;11.5;4.0;16.2;36.1;3.3
4;Tot 750 000 euro;1996;5.3;102;101;9;92;1;95;79.7;4.5;2.5;13.3;13;4;1;1;3;4;7;-2;5;25.5;5.0;5.0;4.8;124.0;18.0;101;17.3;36.1;0.4;34.8;1.2;2.5;7.3;0.4;0.5;0.8;2.3;4;78.3;7.8;3.9;2.1;5.1;5.1;13;4;60.6;3.2;16.6;7.5;4.3;7.7;1;6.1;57.1;36.9;1;2.3;37.9;59.7;3;63.1;18.8;18.0;4;22.1;8.3;13.8;1.9;13.3;11.6;1.4;27.7;9;33.2;66.4;0.5;8;5;99.5;41.6;17.2;1.7;13.3;25.7;0.5
5;Tot 750 000 euro;1997;5.8;118;118;13;104;0;108;82.5;4.3;2.4;10.8;12;3;0;2;3;4;10;-2;8;24.2;6.7;6.8;2.8;126.0;17.3;118;20.0;39.5;0.1;27.8;1.1;1.1;9.5;0.2;0.6;1.1;0.4;5;81.5;11.2;2.7;1.3;1.1;2.6;12;3;49.7;5.2;21.4;8.9;7.4;7.4;0;6.0;45.1;48.9;2;8.2;32.1;59.8;3;57.2;18.7;24.1;4;24.4;9.8;12.5;5.9;14.5;9.0;0.7;23.2;10;33.4;65.7;0.9;9;3;99.4;12.8;61.7;7.3;15.0;2.6;0.6
6;Tot 750 000 euro;1998;6.1;128;127;13;114;1;118;82.2;5.2;2.2;10.4;12;3;1;2;2;4;10;-2;8;24.1;6.2;6.6;1.7;;;127;17.0;41.0;2.9;27.4;1.5;1.2;9.8;0.2;0.1;0.5;0.9;6;82.2;13.0;3.1;0.4;0.2;2.0;12;3;;;;;;;1;;;;2;;;;2;;;;4;;;;;;;;;11;39.7;59.3;1.0;10;2;99.8;19.1;51.1;3.1;13.3;13.2;0.2
7;Tot 750 000 euro;1999;6.1;125;124;12;113;1;114;83.0;4.8;2.1;10.1;12;3;0;1;2;4;11;-2;9;23.8;7.1;7.1;3.0;;;124;16.1;41.4;4.9;27.3;0.8;1.0;9.0;0.1;0.1;0.2;1.8;5;79.6;10.3;3.2;1.9;3.9;2.9;12;3;;;;;;;0;;;;1;;;;2;;;;4;;;;;;;;;10;35.3;62.0;2.7;9;4;97.6;25.4;26.1;2.1;16.6;27.4;2.4
8;750 000 tot 2 000 000 euro;1996;1.2;132;131;7;124;1;127;83.7;6.9;1.2;8.2;10;3;0;1;3;4;5;-1;4;19.1;2.3;2.7;2.6;269.9;23.3;131;27.3;34.1;2.1;30.6;3.7;0.4;5.4;0.1;0.1;0.1;0.7;9;86.8;7.6;2.7;0.0;0.1;3.6;10;3;61.2;2.2;16.0;10.2;4.2;6.3;0;5.8;41.1;53.0;1;15.9;30.9;53.2;3;59.1;10.9;30.1;4;18.3;8.4;10.6;0.9;15.0;27.9;1.7;17.2;5;79.1;20.9;0.0;5;3;99.0;54.2;8.3;3.5;9.1;24.0;1.0
9;750 000 tot 2 000 000 euro;1997;1.1;137;137;9;128;0;129;82.8;8.0;1.6;7.6;10;2;0;1;2;4;8;-2;6;21.9;4.3;4.1;2.2;259.0;26.6;137;26.3;40.4;1.3;23.2;2.3;2.1;6.0;0.3;0.0;0.4;0.6;10;78.1;9.0;3.0;0.0;0.8;9.6;10;2;53.3;4.6;22.7;7.0;6.3;6.2;0;5.9;58.6;35.5;1;4.9;32.0;63.2;2;60.3;9.8;29.9;4;21.6;8.6;15.9;8.8;14.2;21.9;1.4;7.6;6;75.4;23.8;0.7;5;3;99.6;25.7;31.9;3.5;9.8;28.8;0.4
10;750 000 tot 2 000 000 euro;1998;1.1;132;131;10;121;1;124;85.2;6.8;1.6;6.4;8;2;0;1;2;3;7;-1;6;19.1;3.9;4.5;1.4;;;131;28.2;43.5;1.5;17.6;3.2;1.8;7.0;0.3;0.0;0.1;0.8;8;79.2;10.7;4.0;0.2;2.1;4.5;8;2;;;;;;;0;;;;1;;;;2;;;;3;;;;;;;;;5;73.2;25.8;1.0;4;2;99.9;4.0;62.1;9.1;9.7;15.0;0.1
11;750 000 tot 2 000 000 euro;1999;1.1;139;138;8;130;1;132;84.6;7.0;1.4;7.0;9;2;0;1;2;3;6;-1;5;18.8;2.6;3.3;1.3;;;138;27.8;42.8;3.1;19.9;5.0;0.7;5.3;0.0;0.0;0.3;1.1;9;75.8;11.3;4.8;0.3;4.2;4.9;9;2;;;;;;;0;;;;1;;;;2;;;;3;;;;;;;;;6;73.4;21.9;4.7;5;2;97.7;21.1;36.7;6.5;25.8;7.6;2.3
12;2 000 000 tot 3 000 000 euro;1996;0.2;52;52;1;51;0;50;87.8;6.6;0.9;4.7;2;1;0;0;1;1;2;0;2;15.9;3.8;3.9;0.8;361.5;24.7;52;33.7;36.8;0.5;24.9;7.6;1.5;2.2;0.1;0.2;0.0;0.5;3;83.0;7.7;2.9;0.0;3.4;3.4;2;1;50.5;1.2;20.3;12.8;4.1;11.1;0;7.9;23.0;69.0;0;0.0;39.6;60.4;1;62.5;10.1;27.4;1;21.5;13.9;17.5;0.1;18.0;11.4;3.1;14.6;1;90.0;5.4;4.7;1;0;100.0;22.4;37.8;11.1;22.8;5.9;0.0
13;2 000 000 tot 3 000 000 euro;1997;0.3;68;67;7;60;1;65;84.8;8.1;1.5;5.7;4;1;0;0;1;1;3;-1;2;18.3;2.8;2.8;1.0;351.0;28.9;67;25.7;33.7;2.6;24.5;6.0;2.8;10.3;0.2;0.1;0.0;1.3;5;86.4;6.8;3.2;0.0;0.6;4.4;4;1;56.6;1.9;20.8;10.3;1.7;8.7;0;9.5;23.4;67.2;0;0.0;45.2;54.8;1;66.5;8.0;25.5;1;19.1;12.9;19.3;0.1;13.4;13.8;1.7;19.8;2;95.6;4.4;0.0;2;1;98.5;16.2;34.9;13.6;26.2;7.6;1.5
14;2 000 000 tot 3 000 000 euro;1998;0.2;39;38;1;38;1;38;83.5;8.9;1.2;6.4;2;1;0;0;1;1;1;0;1;18.2;1.5;1.6;1.2;;;38;26.1;34.4;3.9;33.4;9.3;0.4;1.7;0.1;0.1;0.0;2.0;3;83.4;10.2;3.2;0.1;0.4;4.6;2;1;;;;;;;0;;;;0;;;;1;;;;1;;;;;;;;;1;92.8;7.9;-0.8;1;0;100.0;8.5;62.1;12.5;8.6;8.3;0.0
15;2 000 000 tot 3 000 000 euro;1999;0.2;40;40;1;39;0;39;84.0;8.9;1.2;5.9;2;1;0;0;1;1;1;0;1;17.9;2.2;2.5;1.9;;;40;30.8;34.6;1.1;30.6;1.9;0.2;2.1;0.0;0.0;0.6;2.0;3;81.5;11.7;3.3;0.4;0.2;4.9;2;1;;;;;;;0;;;;0;;;;1;;;;1;;;;;;;;;1;94.9;5.8;-0.7;1;1;97.5;24.7;15.5;9.4;5.2;42.6;2.5
16;3 000 000 euro en meer;1996;0.5;467;466;9;456;1;444;84.5;7.2;1.9;6.4;28;7;1;2;11;8;23;-11;12;19.3;2.7;2.6;1.7;471.7;33.8;466;35.9;19.3;2.8;38.0;5.3;2.1;1.8;0.2;0.0;0.0;1.0;32;78.8;8.6;4.3;4.5;0.9;4.0;28;7;53.0;1.4;17.0;16.9;4.8;6.9;1;19.7;51.8;28.5;2;20.0;26.7;53.3;11;60.1;12.3;27.6;8;14.9;9.9;12.0;1.6;16.1;20.2;13.6;11.7;10;92.2;1.0;6.8;10;8;99.7;38.0;10.9;4.4;14.7;31.7;0.3
17;3 000 000 euro en meer;1997;0.4;433;432;9;423;1;415;84.7;7.4;1.9;6.0;25;6;1;1;10;6;18;-6;12;18.8;2.7;2.8;0.7;501.4;36.5;432;35.4;15.0;4.2;40.6;6.4;2.8;1.7;0.2;0.0;0.1;0.8;31;77.2;7.8;4.6;6.1;0.0;4.9;25;6;52.9;2.2;17.7;9.3;5.5;12.4;1;16.3;30.5;53.2;1;19.6;25.6;54.8;10;52.8;11.9;35.4;6;15.9;12.0;12.5;0.0;17.9;17.9;15.9;7.9;9;92.8;0.5;6.7;9;3;97.7;11.1;25.4;10.8;32.9;17.5;2.3
18;3 000 000 euro en meer;1998;0.4;477;477;9;468;0;461;85.0;7.3;2.0;5.7;26;7;1;2;9;7;17;-10;7;17.9;2.0;1.4;0.7;;;477;35.1;14.3;4.4;41.4;5.3;3.0;1.7;0.1;0.0;0.1;1.5;34;72.5;9.4;5.2;7.5;0.8;6.2;26;7;;;;;;;1;;;;2;;;;9;;;;7;;;;;;;;;10;90.7;0.8;8.5;10;3;97.9;12.4;13.4;27.9;11.6;32.7;2.1
19;3 000 000 euro en meer;1999;0.4;560;555;10;545;5;531;85.6;7.2;1.5;5.8;31;8;1;2;11;9;28;-6;22;18.1;3.9;3.9;3.3;;;555;36.2;13.2;3.9;42.0;2.9;2.9;1.5;0.0;0.1;0.0;0.5;38;68.0;9.0;5.4;9.9;0.3;7.8;31;8;;;;;;;1;;;;2;;;;11;;;;9;;;;;;;;;11;91.2;1.0;7.9;10;18;96.3;30.5;6.0;3.9;15.6;40.3;3.7
