ID;AirportsCaribbeanNetherlands;Periods;AircraftMovements_1;TotalPassengerTransport_2;PassengerArrivals_3;PassengerDepartures_4
0;Total Caribbean Netherlands;2012 January;2080;33550;17540;16010
1;Total Caribbean Netherlands;2012 February;1930;29710;14980;14730
2;Total Caribbean Netherlands;2012 March;2200;35170;17240;17930
3;Total Caribbean Netherlands;2012 1st quarter;6210;98430;49760;48670
4;Total Caribbean Netherlands;2012 April;2170;34790;17430;17360
5;Total Caribbean Netherlands;2012 May;2220;32580;15790;16780
6;Total Caribbean Netherlands;2012 June;2060;32180;15930;16250
7;Total Caribbean Netherlands;2012 2nd quarter;6450;99550;49150;50400
8;Total Caribbean Netherlands;2012 July;2210;39840;20060;19770
9;Total Caribbean Netherlands;2012 August;2300;37080;18390;18690
10;Total Caribbean Netherlands;2012 September;1880;27270;13920;13340
11;Total Caribbean Netherlands;2012 3rd quarter;6390;104180;52370;51810
12;Total Caribbean Netherlands;2012 October;2070;33890;17680;16220
13;Total Caribbean Netherlands;2012 November;2040;32990;16740;16250
14;Total Caribbean Netherlands;2012 December;2080;35450;17240;18210
15;Total Caribbean Netherlands;2012 4th quarter;6190;102330;51660;50680
16;Total Caribbean Netherlands;2012;25240;404490;202940;201550
17;Total Caribbean Netherlands;2013 January;2090;33610;17620;15980
18;Total Caribbean Netherlands;2013 February;1890;32730;16620;16110
19;Total Caribbean Netherlands;2013 March;2130;37630;18500;19130
20;Total Caribbean Netherlands;2013 1st quarter;6110;103970;52740;51220
21;Total Caribbean Netherlands;2013 April;2050;34430;18040;16390
22;Total Caribbean Netherlands;2013 May;2040;34080;16210;17870
23;Total Caribbean Netherlands;2013 June;1970;34010;16990;17020
24;Total Caribbean Netherlands;2013 2nd quarter;6050;102520;51240;51270
25;Total Caribbean Netherlands;2013 July;2100;38350;19240;19110
26;Total Caribbean Netherlands;2013 August;2010;36400;17470;18930
27;Total Caribbean Netherlands;2013 September;1660;27470;14140;13330
28;Total Caribbean Netherlands;2013 3rd quarter;5770;102220;50850;51370
29;Total Caribbean Netherlands;2013 October;1760;31700;16220;15490
30;Total Caribbean Netherlands;2013 November;1770;31410;15690;15720
31;Total Caribbean Netherlands;2013 December;1900;35140;17480;17670
32;Total Caribbean Netherlands;2013 4th quarter;5430;98260;49380;48870
33;Total Caribbean Netherlands;2013;23360;406960;204220;202740
34;Total Caribbean Netherlands;2014 January;1830;35070;18310;16760
35;Total Caribbean Netherlands;2014 February;1550;32230;15660;16580
36;Total Caribbean Netherlands;2014 March;1650;36680;18130;18560
37;Total Caribbean Netherlands;2014 1st quarter;5040;103990;52100;51890
38;Total Caribbean Netherlands;2014 April;1620;32960;16420;16540
39;Total Caribbean Netherlands;2014 May;1650;34240;16930;17310
40;Total Caribbean Netherlands;2014 June;1500;29780;14600;15180
41;Total Caribbean Netherlands;2014 2nd quarter;4780;96970;47950;49020
42;Total Caribbean Netherlands;2014 July;1620;34870;17660;17210
43;Total Caribbean Netherlands;2014 August;1650;35190;17280;17910
44;Total Caribbean Netherlands;2014 September;1560;27630;14100;13530
45;Total Caribbean Netherlands;2014 3rd quarter;4830;97680;49040;48650
46;Total Caribbean Netherlands;2014 October;1730;33260;16490;16780
47;Total Caribbean Netherlands;2014 November;1710;31980;15850;16140
48;Total Caribbean Netherlands;2014 December;2080;36920;18450;18460
49;Total Caribbean Netherlands;2014 4th quarter;5520;102160;50780;51380
50;Total Caribbean Netherlands;2014;20150;400800;199870;200940
