ID;GemeentelijkeTaakvelden;RegioS;Perioden;BegroteKosten_1;GerealiseerdeKosten_2;BegroteKostenPer1000Inwoners_3;GerealiseerdeKostenPer1000Inwoners_4
0;Totaal;Aa en Hunze;1e halfjaar 2015;;;;
1;Totaal;Aa en Hunze;2e halfjaar 2015;;;;
2;Totaal;Aa en Hunze;2015;;;;
3;Totaal;Aa en Hunze;1e halfjaar 2016;;;;
4;Totaal;Aa en Hunze;2e halfjaar 2016;;;;
5;Totaal;Aa en Hunze;2016;;;;
6;Totaal;Aa en Hunze;1e halfjaar 2017;;;;
7;Totaal;Aa en Hunze;2e halfjaar 2017;;;;
8;Totaal;Aa en Hunze;2017;;;;
9;Totaal;Aa en Hunze;1e halfjaar 2018;;;;
10;Totaal;Aa en Hunze;2e halfjaar 2018;;;;
11;Totaal;Aa en Hunze;2018;;;;
12;Totaal;Aalburg;1e halfjaar 2015;;;;
13;Totaal;Aalburg;2e halfjaar 2015;;;;
14;Totaal;Aalburg;2015;;;;
15;Totaal;Aalburg;1e halfjaar 2016;;;;
16;Totaal;Aalburg;2e halfjaar 2016;;;;
17;Totaal;Aalburg;2016;;;;
18;Totaal;Aalburg;1e halfjaar 2017;;;;
19;Totaal;Aalburg;2e halfjaar 2017;;;;
20;Totaal;Aalburg;2017;;1117.0;;85.0
21;Totaal;Aalburg;1e halfjaar 2018;;;;
22;Totaal;Aalburg;2e halfjaar 2018;;;;
23;Totaal;Aalburg;2018;;985.0;;75.0
24;Totaal;Aalsmeer;1e halfjaar 2015;;;;
25;Totaal;Aalsmeer;2e halfjaar 2015;;;;
26;Totaal;Aalsmeer;2015;;;;
27;Totaal;Aalsmeer;1e halfjaar 2016;;;;
28;Totaal;Aalsmeer;2e halfjaar 2016;;;;
29;Totaal;Aalsmeer;2016;;;;
30;Totaal;Aalsmeer;1e halfjaar 2017;;;;
31;Totaal;Aalsmeer;2e halfjaar 2017;;;;
32;Totaal;Aalsmeer;2017;2874.0;2720.0;92.0;87.0
33;Totaal;Aalsmeer;1e halfjaar 2018;;;;
34;Totaal;Aalsmeer;2e halfjaar 2018;;;;
35;Totaal;Aalsmeer;2018;2641.0;2494.0;85.0;80.0
36;Totaal;Aalten;1e halfjaar 2015;;1322.0;;49.0
37;Totaal;Aalten;2e halfjaar 2015;;1099.0;;41.0
38;Totaal;Aalten;2015;;2421.0;;90.0
39;Totaal;Aalten;1e halfjaar 2016;;;;
40;Totaal;Aalten;2e halfjaar 2016;;;;
41;Totaal;Aalten;2016;;;;
42;Totaal;Aalten;1e halfjaar 2017;;;;
43;Totaal;Aalten;2e halfjaar 2017;;;;
44;Totaal;Aalten;2017;3659.0;2989.0;135.0;110.0
45;Totaal;Aalten;1e halfjaar 2018;;;;
46;Totaal;Aalten;2e halfjaar 2018;;;;
47;Totaal;Aalten;2018;3464.0;3125.0;133.0;120.0
