ID;Perioden;Totaal_1;Nieuwbouw_2;NietNieuwbouw_3;Totaal_4;Nieuwbouw_5;NietNieuwbouw_6;Totaal_7;Nieuwbouw_8;NietNieuwbouw_9;Totaal_10;Nieuwbouw_11;NietNieuwbouw_12;Totaal_13;Nieuwbouw_14;NietNieuwbouw_15;Totaal_16;Nieuwbouw_17;NietNieuwbouw_18
0;2007 1e kwartaal;274.4;306.6;148.9;307.1;322.5;187.5;245.5;289.2;135.3;;;;;;;;;
1;2007 2e kwartaal;258.5;285.7;152.8;284.0;299.9;159.8;236.0;270.1;150.3;;;;;;;;;
2;2007 3e kwartaal;230.9;262.0;109.7;215.8;230.5;100.9;244.2;296.4;112.8;;;;;;;;;
3;2007 4e kwartaal;216.3;232.6;152.9;204.6;211.7;148.7;226.7;255.4;154.4;;;;;;;;;
4;2007;245.0;271.7;141.1;252.9;266.2;149.2;238.1;277.8;138.2;;;;;;;;;
5;2008 1e kwartaal;195.5;207.6;148.2;215.1;221.7;163.1;178.2;192.2;143.0;-28.8;-32.3;-0.5;-30.0;-31.2;-13.0;-27.4;-33.6;5.6
6;2008 2e kwartaal;161.6;173.7;114.4;185.5;196.0;103.8;140.4;149.3;118.1;-37.5;-39.2;-25.1;-34.7;-34.6;-35.0;-40.5;-44.7;-21.4
7;2008 3e kwartaal;152.1;163.3;108.6;160.5;165.5;121.8;144.8;161.0;103.9;-34.1;-37.7;-1.0;-25.6;-28.2;20.7;-40.7;-45.7;-7.9
8;2008 4e kwartaal;149.2;159.5;108.9;167.5;171.0;140.2;133.1;147.0;97.9;-31.0;-31.4;-28.7;-18.1;-19.2;-5.7;-41.3;-42.4;-36.6
9;2008;164.6;176.0;120.0;182.1;188.6;132.2;149.1;162.4;115.7;-32.8;-35.2;-14.9;-28.0;-29.2;-11.4;-37.4;-41.5;-16.3
10;2009 1e kwartaal;103.3;109.6;78.7;105.5;106.5;97.7;101.4;113.0;72.0;-47.2;-47.2;-46.9;-51.0;-52.0;-40.1;-43.1;-41.2;-49.6
11;2009 2e kwartaal;96.4;101.3;77.2;113.4;119.6;64.8;81.4;81.3;81.6;-40.3;-41.7;-32.5;-38.9;-39.0;-37.6;-42.1;-45.6;-30.9
12;2009 3e kwartaal;100.4;104.2;85.3;92.1;89.3;113.3;107.7;120.5;75.4;-34.0;-36.2;-21.5;-42.6;-46.0;-7.0;-25.6;-25.1;-27.5
13;2009 4e kwartaal;83.2;81.4;90.3;75.5;74.4;84.0;90.1;89.1;92.5;-44.2;-49.0;-17.1;-54.9;-56.5;-40.0;-32.3;-39.4;-5.5
14;2009;95.8;99.1;82.9;96.6;97.5;89.9;95.1;101.0;80.4;-41.8;-43.7;-31.0;-47.0;-48.3;-32.0;-36.2;-37.8;-30.5
15;2010 1e kwartaal;107.2;109.1;99.6;91.3;87.8;118.4;121.1;132.3;92.9;3.7;-0.5;26.5;-13.4;-17.5;21.2;19.5;17.1;29.0
16;2010 2e kwartaal;114.4;119.9;92.9;135.0;139.8;97.8;96.2;98.1;91.2;18.7;18.3;20.3;19.1;16.9;50.8;18.2;20.7;11.7
17;2010 3e kwartaal;89.3;83.0;113.6;87.5;85.3;104.3;90.9;80.6;116.9;-11.0;-20.3;33.3;-5.0;-4.5;-7.9;-15.6;-33.1;55.1
18;2010 4e kwartaal;89.2;88.0;93.9;86.2;87.0;79.5;91.8;89.0;99.0;7.2;8.1;4.0;14.2;17.0;-5.4;2.0;-0.1;7.0
19;2010;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;4.4;0.9;20.7;3.5;2.6;11.2;5.1;-1.0;24.4
20;2011 1e kwartaal;91.1;90.0;95.2;87.2;90.3;62.8;94.6;89.7;106.7;-15.0;-17.5;-4.4;-4.5;2.8;-47.0;-21.9;-32.2;14.8
21;2011 2e kwartaal;97.3;96.4;100.9;96.9;95.3;109.2;97.7;97.6;97.9;-14.9;-19.6;8.6;-28.2;-31.8;11.7;1.6;-0.6;7.4
22;2011 3e kwartaal;71.3;65.1;95.6;71.6;66.5;111.2;71.1;63.6;90.1;-20.1;-21.6;-15.9;-18.1;-22.0;6.6;-21.8;-21.1;-22.9
23;2011 4e kwartaal;93.6;83.3;133.7;79.6;76.9;100.6;106.0;90.4;145.4;5.0;-5.3;42.4;-7.6;-11.6;26.6;15.4;1.5;46.9
24;2011;88.3;83.7;106.3;83.8;82.3;96.0;92.3;85.3;110.0;-11.7;-16.3;6.3;-16.2;-17.7;-4.0;-7.7;-14.7;10.0
25;2012 1e kwartaal;86.5;83.9;96.6;83.6;81.3;101.7;89.1;86.8;94.8;-5.1;-6.8;1.5;-4.1;-10.0;61.9;-5.8;-3.3;-11.1
26;2012 2e kwartaal;83.2;76.1;110.6;81.5;73.2;146.1;84.6;79.3;98.0;-14.5;-21.0;9.6;-15.9;-23.2;33.8;-13.4;-18.7;0.1
27;2012 3e kwartaal;67.2;62.0;87.8;52.9;52.0;59.7;79.9;72.8;97.7;-5.8;-4.8;-8.2;-26.1;-21.8;-46.3;12.4;14.6;8.4
28;2012 4e kwartaal;64.7;63.4;69.8;51.9;45.5;102.1;76.0;83.0;58.4;-30.8;-23.9;-47.8;-34.8;-40.8;1.5;-28.3;-8.1;-59.8
29;2012;75.4;71.4;91.2;67.5;63.0;102.4;82.4;80.5;87.2;-14.6;-14.8;-14.2;-19.5;-23.4;6.7;-10.8;-5.7;-20.7
30;2013 1e kwartaal;60.4;53.2;88.6;53.7;51.7;68.7;66.4;54.8;95.7;-30.1;-36.6;-8.2;-35.8;-36.3;-32.4;-25.5;-36.9;0.9
