ID;RegioS;Perioden;RijksmonumentenTotaal_1;OpenbareGebouwen_2;Verdedigingswerken_3;KerkelijkeGebouwen_4;ObjectInDelenVanKerkelijkeGebouwen_5;GebouwenWoonhuizen_6;DelenVanGebouwenWoonhuizen_7;LiefdadigeInstellingen_8;AgrarischeGebouwen_9;Molens_10;WegEnWaterwerken_11;HorecaInstellingen_12;Kastelen_13;LosseObjectenNietEerderGenoemd_14
0;Nederland;2013;61730;2051;1709;4172;192;36224;187;455;7529;1275;1087;210;1017;5622
1;Nederland;2014;61768;2053;1721;4184;190;36155;187;459;7526;1275;1078;210;1018;5712
2;Nederland;2015;61847;2071;1812;4191;189;36121;188;459;7512;1275;1068;211;1019;5731
3;Noord-Nederland (LD);2013;8009;284;77;785;64;4091;28;83;1424;280;215;47;78;553
4;Noord-Nederland (LD);2014;8005;289;74;786;64;4066;28;84;1422;280;215;47;78;572
5;Noord-Nederland (LD);2015;7996;289;75;785;64;4064;28;84;1418;280;214;47;78;570
6;Oost-Nederland (LD);2013;10114;387;393;721;30;4457;19;38;1971;221;111;25;306;1435
7;Oost-Nederland (LD);2014;10170;395;443;722;29;4446;19;39;1970;221;110;25;306;1445
8;Oost-Nederland (LD);2015;10213;404;481;723;29;4450;19;39;1963;221;110;25;307;1442
9;West-Nederland (LD);2013;28763;857;707;1155;52;19685;95;271;2077;433;580;85;383;2383
10;West-Nederland (LD);2014;28767;846;695;1158;52;19666;95;272;2077;433;572;85;384;2432
11;West-Nederland (LD);2015;28783;846;723;1160;52;19640;95;272;2073;433;568;86;384;2451
12;Zuid-Nederland (LD);2013;14844;523;532;1511;46;7991;45;63;2057;341;181;53;250;1251
13;Zuid-Nederland (LD);2014;14826;523;509;1518;45;7977;45;64;2057;341;181;53;250;1263
14;Zuid-Nederland (LD);2015;14855;532;533;1523;44;7967;46;64;2058;341;176;53;250;1268
15;Groningen (PV);2013;2556;86;16;250;12;1247;10;26;460;90;107;21;23;208
16;Groningen (PV);2014;2556;85;16;251;12;1228;10;26;460;90;107;21;23;227
17;Groningen (PV);2015;2557;85;17;251;12;1227;10;26;460;90;105;21;23;230
18;Friesland (PV);2013;4169;109;55;419;48;2484;17;38;445;153;93;21;30;257
19;Friesland (PV);2014;4158;107;52;420;48;2478;17;38;444;153;93;21;30;257
20;Friesland (PV);2015;4157;107;52;419;48;2478;17;38;443;153;94;21;30;257
21;Drenthe (PV);2013;1284;89;6;116;4;360;1;19;519;37;15;5;25;88
22;Drenthe (PV);2014;1291;97;6;115;4;360;1;20;518;37;15;5;25;88
23;Drenthe (PV);2015;1282;97;6;115;4;359;1;20;515;37;15;5;25;83
24;Overijssel (PV);2013;3945;88;139;203;9;1885;8;10;835;62;42;7;91;566
25;Overijssel (PV);2014;3943;88;139;203;9;1882;8;11;835;62;42;7;91;566
26;Overijssel (PV);2015;3943;89;140;204;9;1883;8;11;831;63;42;7;91;565
27;Flevoland (PV);2013;79;4;0;7;0;44;0;0;6;0;18;0;0;0
28;Flevoland (PV);2014;81;4;0;8;0;45;0;0;6;0;18;0;0;0
29;Flevoland (PV);2015;81;4;0;8;0;45;0;0;6;0;18;0;0;0
30;Gelderland (PV);2013;6169;299;254;518;21;2572;11;28;1136;159;69;18;215;869
31;Gelderland (PV);2014;6227;307;304;519;20;2564;11;28;1135;159;68;18;215;879
32;Gelderland (PV);2015;6270;315;341;519;20;2567;11;28;1132;158;68;18;216;877
33;Utrecht (PV);2013;5479;190;392;216;10;2795;3;37;622;43;136;23;176;836
34;Utrecht (PV);2014;5489;179;421;216;10;2792;3;37;622;43;131;23;176;836
35;Utrecht (PV);2015;5509;176;445;216;10;2793;3;37;622;43;131;23;176;834
36;Noord-Holland (PV);2013;14086;363;198;488;26;10896;67;121;564;146;176;49;88;904
37;Noord-Holland (PV);2014;14037;361;162;489;26;10838;67;122;564;146;174;49;88;951
38;Noord-Holland (PV);2015;14034;363;162;490;26;10812;67;122;563;146;173;50;88;972
39;Zuid-Holland (PV);2013;9119;300;117;444;16;5950;25;113;885;244;250;13;119;643
40;Zuid-Holland (PV);2014;9160;302;112;445;16;5991;25;113;885;244;249;13;120;645
41;Zuid-Holland (PV);2015;9159;303;116;446;16;5990;25;113;882;244;246;13;120;645
42;Zeeland (PV);2013;3690;78;207;189;7;2595;25;16;239;86;52;2;32;162
43;Zeeland (PV);2014;3679;78;189;193;7;2590;25;17;238;86;52;2;32;170
44;Zeeland (PV);2015;3675;78;189;193;7;2588;25;17;238;86;50;2;32;170
45;Noord-Brabant (PV);2013;5810;307;176;745;12;2738;8;35;826;138;74;27;84;640
46;Noord-Brabant (PV);2014;5806;307;173;745;12;2735;8;35;826;138;74;27;84;642
47;Noord-Brabant (PV);2015;5841;316;198;748;12;2732;9;35;827;138;72;27;83;644
48;Limburg (PV);2013;5344;138;149;577;27;2658;12;12;992;117;55;24;134;449
49;Limburg (PV);2014;5341;138;147;580;26;2652;12;12;993;117;55;24;134;451
50;Limburg (PV);2015;5339;138;146;582;25;2647;12;12;993;117;54;24;135;454
51;Aa en Hunze;2013;76;5;1;16;0;16;1;1;23;4;6;0;0;3
52;Aa en Hunze;2014;76;5;1;16;0;16;1;1;23;4;6;0;0;3
53;Aa en Hunze;2015;76;5;1;16;0;16;1;1;23;4;6;0;0;3
54;Aalburg;2013;47;1;0;8;0;2;0;0;31;4;0;0;0;1
55;Aalburg;2014;47;1;0;8;0;2;0;0;31;4;0;0;0;1
56;Aalburg;2015;47;1;0;8;0;2;0;0;31;4;0;0;0;1
57;Aalsmeer;2013;38;1;1;3;0;18;0;0;9;3;0;0;0;3
58;Aalsmeer;2014;37;1;1;3;0;17;0;0;9;3;0;0;0;3
59;Aalsmeer;2015;37;1;1;3;0;17;0;0;9;3;0;0;0;3
60;Aalten;2013;61;3;2;6;0;21;0;0;24;3;0;1;0;1
61;Aalten;2014;61;3;2;6;0;21;0;0;24;3;0;1;0;1
62;Aalten;2015;61;3;2;6;0;21;0;0;24;3;0;1;0;1
63;Achtkarspelen;2013;66;1;0;12;1;26;0;0;18;4;0;0;0;4
64;Achtkarspelen;2014;66;1;0;12;1;26;0;0;18;4;0;0;0;4
65;Achtkarspelen;2015;66;1;0;12;1;26;0;0;18;4;0;0;0;4
66;Alblasserdam;2013;20;0;0;2;0;10;0;0;4;3;1;0;0;0
