ID;Bedrijfsafvalstoffen;NuttigeToepassingEnEindverwerking;BedrijfstakkenBranchesSBI2008;Perioden;Bedrijfsafval_1
0;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;B-E Nijverheid (geen bouw) en energie;1994;
1;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;B-E Nijverheid (geen bouw) en energie;1996;
2;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;B-E Nijverheid (geen bouw) en energie;1998;
3;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;B-E Nijverheid (geen bouw) en energie;2000;
4;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;B-E Nijverheid (geen bouw) en energie;2001;
5;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;B-E Nijverheid (geen bouw) en energie;2002;
6;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;B-E Nijverheid (geen bouw) en energie;2003;
7;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;B-E Nijverheid (geen bouw) en energie;2004;
8;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;B-E Nijverheid (geen bouw) en energie;2005;
9;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;B-E Nijverheid (geen bouw) en energie;2006;
10;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;B-E Nijverheid (geen bouw) en energie;2007;26063.0
11;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;B-E Nijverheid (geen bouw) en energie;2008;26353.0
12;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;B-E Nijverheid (geen bouw) en energie;2009;24776.0
13;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;B-E Nijverheid (geen bouw) en energie;2010;24582.0
14;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;B-E Nijverheid (geen bouw) en energie;2011;25192.0
15;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;B-E Nijverheid (geen bouw) en energie;2012;24527.0
16;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;B-E Nijverheid (geen bouw) en energie;2013;24332.0
17;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;B-E Nijverheid (geen bouw) en energie;2014;24724.0
18;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;B-E Nijverheid (geen bouw) en energie;2015;25055.0
19;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;B-E Nijverheid (geen bouw) en energie;2016;25736.0
20;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;B-E Nijverheid (geen bouw) en energie;2017;26353.0
21;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;B-E Nijverheid (geen bouw) en energie;2018;25576.0
22;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;B-E Nijverheid (geen bouw) en energie;2019;24687.0
23;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;B-E Nijverheid (geen bouw) en energie;2020;24397.0
24;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;B-E Nijverheid (geen bouw) en energie;2021;24837.0
25;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;B Delfstoffenwinning;1994;179.0
26;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;B Delfstoffenwinning;1996;298.0
27;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;B Delfstoffenwinning;1998;268.0
28;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;B Delfstoffenwinning;2000;202.0
29;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;B Delfstoffenwinning;2001;183.0
30;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;B Delfstoffenwinning;2002;192.0
31;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;B Delfstoffenwinning;2003;302.0
32;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;B Delfstoffenwinning;2004;275.0
33;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;B Delfstoffenwinning;2005;230.0
34;Totaal naar verwerking;Totaal bedrijfsafvalstoffen;B Delfstoffenwinning;2006;203.0
