ID;Perioden;Ziektewet_1;Arbeidsongeschiktheid_2;WW_3;WWV_4;AOW_5;Anw_6;Gerechtigden_7;Telkinderen_8;AlgemeneBijstandsuitkeringen_9;IOAWUitkeringen_10;IOAZUitkeringen_11;BBZUitkeringen_12;BKRWIKWWIKUitkeringen_13;Arbeidsongeschiktheid_14;Werkloosheid_15;AOW_16;AKW_17;Ziektekostenverzekering_18;AlgemeneBijstandswetExclRWW_19;RechtstreekseBetalingen_20;Pensioenverzekeringen_21;OverigeSocialeVoorzieningen_22
0;1900;;;;;;;;;;;;;;;;;;;4.0;;;
1;1905;;1.0;;;;;;;;;;;;1.0;;;;;4.0;;;
2;1910;;6.0;;;;;;;;;;;;1.0;;;;;6.0;;;
3;1915;;10.0;;;;;;;;;;;;2.0;;;;;9.0;;;
4;1920;;13.0;;;;;;;;;;;;4.0;;;;;21.0;;;
5;1925;;26.0;;;;;;;;;;;;12.0;;;;;27.0;;;
6;1930;21.0;27.0;;;;;;;;;;;;25.0;;;;;34.0;;;
7;1935;17.0;48.0;;;;;;;;;;;;26.0;;;;;43.0;;;
8;1936;17.0;50.0;;;;;;;;;;;;27.0;;;;;45.0;;;
9;1937;18.0;52.0;;;;;;;;;;;;28.0;;;;;47.0;;;
10;1938;19.0;55.0;;;;;;;;;;;;29.0;;;;;50.0;;;
11;1939;21.0;64.0;;;;;;;;;;;;32.0;;;;;50.0;;;
12;1940;24.0;77.0;;;;;;;;;;;;34.0;;;;;52.0;;;
13;1941;33.0;84.0;;;;;168.0;363.0;;;;;;42.0;;;6.0;;54.0;;;
14;1942;47.0;88.0;;;;;166.0;363.0;;;;;;52.0;;;6.0;;57.0;;;
15;1943;;92.0;;;;;159.0;339.0;;;;;;16.0;;;6.0;;;;;
16;1944;;96.0;;;;;172.0;402.0;;;;;;63.0;;;7.0;;;;;
17;1945;;96.0;;;;;176.0;413.0;;;;;;;;;7.0;;60.0;;;
18;1946;49.0;88.0;;;;;197.0;499.0;;;;;;67.0;;;34.0;;88.0;;;
19;1947;55.0;95.0;;;250.0;;626.0;1475.0;;;;;;76.0;;;74.0;;81.0;;;
20;1948;58.0;93.0;;;297.0;;672.0;1579.0;;;;;;99.0;;60.0;86.0;77.0;60.0;68.0;137.0;36.0
21;1949;65.0;94.0;;;300.0;;706.0;1662.0;;;;;;113.0;;67.0;98.0;89.0;62.0;69.0;141.0;41.0
22;1950;61.0;98.0;;;309.0;;728.0;1717.0;;;;;;118.0;;73.0;109.0;105.0;68.0;68.0;159.0;56.0
23;1951;62.0;101.0;;;318.0;;752.0;1802.0;;;;;;131.0;;82.0;129.0;122.0;62.0;82.0;164.0;45.0
24;1952;60.0;104.0;44.0;;332.0;;766.0;1839.0;;;;;;134.0;20.0;88.0;134.0;129.0;60.0;89.0;170.0;64.0
25;1953;55.0;105.0;41.0;;343.0;;782.0;1881.0;;;;;;113.0;50.0;98.0;139.0;145.0;86.0;93.0;176.0;47.0
