ID;RegioS;Perioden;TotaleWoningvoorraad_1;AantalBewoondeWoningen_2;TotaalAantal_3;Leegstand_4;AnderGebruik_5;BewoondeWoningen_6;TotaalRelatief_7;Leegstand_8;AnderGebruik_9
0;Nederland;2008;7043212.0;6644755.0;398457.0;336983.0;61474.0;94.3;5.7;4.8;0.9
1;Nederland;2009;7104518.0;6699357.0;405161.0;338591.0;66570.0;94.3;5.7;4.8;0.9
2;Nederland;2010;7172436.0;6755864.0;416572.0;342569.0;74003.0;94.2;5.8;4.8;1.0
3;Nederland;2011;7217803.0;6800204.0;417599.0;343638.0;73961.0;94.2;5.8;4.8;1.0
4;Nederland;2012;7266295.0;6850792.0;415503.0;347668.0;67835.0;94.3;5.7;4.8;0.9
5;Noord-Nederland (LD);2008;733208.0;696609.0;36599.0;29555.0;7044.0;95.0;5.0;4.0;1.0
6;Noord-Nederland (LD);2009;738829.0;700684.0;38145.0;30669.0;7476.0;94.8;5.2;4.2;1.0
7;Noord-Nederland (LD);2010;743503.0;705421.0;38082.0;30227.0;7855.0;94.9;5.1;4.1;1.1
8;Noord-Nederland (LD);2011;745828.0;707459.0;38369.0;30460.0;7909.0;94.9;5.1;4.1;1.1
9;Noord-Nederland (LD);2012;748901.0;710818.0;38083.0;30650.0;7433.0;94.9;5.1;4.1;1.0
10;Oost-Nederland (LD);2008;1401571.0;1335932.0;65639.0;55260.0;10379.0;95.3;4.7;3.9;0.7
11;Oost-Nederland (LD);2009;1416488.0;1348786.0;67702.0;56474.0;11228.0;95.2;4.8;4.0;0.8
12;Oost-Nederland (LD);2010;1431956.0;1359355.0;72601.0;59481.0;13120.0;94.9;5.1;4.2;0.9
13;Oost-Nederland (LD);2011;1441975.0;1369264.0;72711.0;59257.0;13454.0;95.0;5.0;4.1;0.9
14;Oost-Nederland (LD);2012;1454607.0;1382661.0;71946.0;60303.0;11643.0;95.1;4.9;4.1;0.8
15;West-Nederland (LD);2008;3404702.0;3181023.0;223679.0;192215.0;31464.0;93.4;6.6;5.6;0.9
