ID;Vegetables;Periodes;GrossYield_1;CroppingArea_2
0;Vegetables;1998;3339.0;77566
1;Vegetables;1999;3950.9;82619
2;Vegetables;2000;3814.8;77690
3;Vegetables;2001;3748.9;75866
4;Vegetables;2002;3898.7;78444
5;Vegetables;2003;3970.9;81497
6;Vegetables;2004;4480.0;82658
7;Vegetables;2005;4255.0;77542
8;Vegetables;2006;4151.2;83517
9;Vegetables;2007;4401.0;86350
10;Vegetables;2008;4579.7;86754
11;Vegetables;2009;4696.9;83692
12;Vegetables;2010;4626.8;83647
13;Vegetables;2011;4964.6;85285
14;Vegetables;2012;4785.7;81123
15;Vegetables;2013;4748.4;82574
16;Vegetables;2014;4969.4;81232
17;Vegetables;2015;5095.3;84576
18;Vegetables;2016;5002.1;85414
19;Vegetables;2017;5552.5;91108
20;Vegetables;2018;4824.8;90729
21;Vegetables;2019;5501.3;95120
22;Vegetables;2020;5460.2;94258
23;Vegetables;2021;5781.1;101847
24;Vegetables;2022;4959.3;90917
25;Vegetables;2023;5066.1;92721
26;Vegetables;2024;5399.7;99055
27;Other vegetables;1998;32.0;1556
28;Other vegetables;1999;39.0;1591
29;Other vegetables;2000;35.0;1437
30;Other vegetables;2001;33.0;1378
31;Other vegetables;2002;33.0;1360
32;Other vegetables;2003;34.0;1363
33;Other vegetables;2004;36.0;1330
34;Other vegetables;2005;39.0;1440
35;Other vegetables;2006;42.0;1585
36;Other vegetables;2007;46.0;1750
37;Other vegetables;2008;48.0;1790
38;Other vegetables;2009;45.5;1700
39;Other vegetables;2010;42.0;1584
40;Other vegetables;2011;46.2;1744
41;Other vegetables;2012;46.2;1744
42;Other vegetables;2013;51.2;1933
43;Other vegetables;2014;53.6;2020
44;Other vegetables;2015;68.1;2570
45;Other vegetables;2016;60.0;2950
46;Other vegetables;2017;64.2;3553
47;Other vegetables;2018;62.1;3894
48;Other vegetables;2019;71.6;4043
49;Other vegetables;2020;79.8;4587
50;Other vegetables;2021;79.6;4964
51;Other vegetables;2022;75.0;4953
52;Other vegetables;2023;72.3;4614
53;Other vegetables;2024;74.4;5110
54;Vegetables under glass;1998;1340.0;4455
55;Vegetables under glass;1999;1393.4;4517
56;Vegetables under glass;2000;1330.8;4316
57;Vegetables under glass;2001;1382.9;4384
58;Vegetables under glass;2002;1409.7;4388
59;Vegetables under glass;2003;1455.7;4373
60;Vegetables under glass;2004;1522.2;4436
61;Vegetables under glass;2005;1559.9;4545
62;Vegetables under glass;2006;1551.3;4561
63;Vegetables under glass;2007;1550.0;4579
64;Vegetables under glass;2008;1607.5;4692
65;Vegetables under glass;2009;1724.6;4809
66;Vegetables under glass;2010;1734.4;4998
67;Vegetables under glass;2011;1741.0;4958
68;Vegetables under glass;2012;1679.0;4868
69;Vegetables under glass;2013;1696.0;4897
70;Vegetables under glass;2014;1803.0;4860
71;Vegetables under glass;2015;1777.0;4839
72;Vegetables under glass;2016;1755.0;4570
73;Vegetables under glass;2017;1804.7;4454
74;Vegetables under glass;2018;1803.0;4336
75;Vegetables under glass;2019;1879.8;4665
76;Vegetables under glass;2020;1923.4;4807
77;Vegetables under glass;2021;1921.9;4989
78;Vegetables under glass;2022;1770.5;4972
79;Vegetables under glass;2023;1721.1;4845
80;Vegetables under glass;2024;1804.0;4830
81;Vegetables open field;1998;1753.0;73013
82;Vegetables open field;1999;2299.5;78008
83;Vegetables open field;2000;2219.0;73279
84;Vegetables open field;2001;2091.0;71385
85;Vegetables open field;2002;2219.0;73963
86;Vegetables open field;2003;2252.2;77036
87;Vegetables open field;2004;2697.8;78137
88;Vegetables open field;2005;2455.1;72920
