ID;UitkomstenOnderzoek;RegioS;Perioden;AfgerondeDienstenOnderzoek_1;AfgerondeDienstenOnderzoekRelatief_2
0;Totaal afgeronde onderzoeken;Nederland;1e halfjaar 2019;2845.0;16.0
1;Totaal afgeronde onderzoeken;Nederland;2e halfjaar 2019;3255.0;19.0
2;Totaal afgeronde onderzoeken;Nederland;2019;6100.0;35.0
3;Totaal afgeronde onderzoeken;Nederland;1e halfjaar 2020;3590.0;21.0
4;Totaal afgeronde onderzoeken;Nederland;2e halfjaar 2020;3700.0;21.0
5;Totaal afgeronde onderzoeken;Nederland;2020;7305.0;42.0
6;Totaal afgeronde onderzoeken;Nederland;1e halfjaar 2021;3915.0;22.0
7;Totaal afgeronde onderzoeken;Nederland;2e halfjaar 2021;3700.0;21.0
8;Totaal afgeronde onderzoeken;Nederland;2021;7615.0;44.0
9;Totaal afgeronde onderzoeken;Nederland;1e halfjaar 2022;3805.0;22.0
10;Totaal afgeronde onderzoeken;Nederland;2e halfjaar 2022;3785.0;22.0
11;Totaal afgeronde onderzoeken;Nederland;2022;7585.0;43.0
12;Totaal afgeronde onderzoeken;Nederland;1e halfjaar 2023;3850.0;22.0
13;Totaal afgeronde onderzoeken;Nederland;2e halfjaar 2023;3680.0;21.0
14;Totaal afgeronde onderzoeken;Nederland;2023;7530.0;42.0
15;Totaal afgeronde onderzoeken;Nederland;1e halfjaar 2024;3910.0;22.0
16;Totaal afgeronde onderzoeken;Noord-Nederland (LD);1e halfjaar 2019;660.0;38.0
17;Totaal afgeronde onderzoeken;Noord-Nederland (LD);2e halfjaar 2019;550.0;32.0
18;Totaal afgeronde onderzoeken;Noord-Nederland (LD);2019;1210.0;70.0
19;Totaal afgeronde onderzoeken;Noord-Nederland (LD);1e halfjaar 2020;700.0;40.0
20;Totaal afgeronde onderzoeken;Noord-Nederland (LD);2e halfjaar 2020;640.0;37.0
21;Totaal afgeronde onderzoeken;Noord-Nederland (LD);2020;1340.0;77.0
22;Totaal afgeronde onderzoeken;Noord-Nederland (LD);1e halfjaar 2021;605.0;35.0
23;Totaal afgeronde onderzoeken;Noord-Nederland (LD);2e halfjaar 2021;520.0;30.0
24;Totaal afgeronde onderzoeken;Noord-Nederland (LD);2021;1125.0;65.0
25;Totaal afgeronde onderzoeken;Noord-Nederland (LD);1e halfjaar 2022;565.0;32.0
26;Totaal afgeronde onderzoeken;Noord-Nederland (LD);2e halfjaar 2022;535.0;31.0
27;Totaal afgeronde onderzoeken;Noord-Nederland (LD);2022;1100.0;63.0
28;Totaal afgeronde onderzoeken;Noord-Nederland (LD);1e halfjaar 2023;520.0;30.0
29;Totaal afgeronde onderzoeken;Noord-Nederland (LD);2e halfjaar 2023;465.0;26.0
30;Totaal afgeronde onderzoeken;Noord-Nederland (LD);2023;985.0;56.0
31;Totaal afgeronde onderzoeken;Noord-Nederland (LD);1e halfjaar 2024;500.0;28.0
32;Totaal afgeronde onderzoeken;Oost-Nederland (LD);1e halfjaar 2019;675.0;19.0
33;Totaal afgeronde onderzoeken;Oost-Nederland (LD);2e halfjaar 2019;545.0;15.0
34;Totaal afgeronde onderzoeken;Oost-Nederland (LD);2019;1220.0;33.0
35;Totaal afgeronde onderzoeken;Oost-Nederland (LD);1e halfjaar 2020;490.0;13.0
36;Totaal afgeronde onderzoeken;Oost-Nederland (LD);2e halfjaar 2020;515.0;14.0
37;Totaal afgeronde onderzoeken;Oost-Nederland (LD);2020;1005.0;27.0
38;Totaal afgeronde onderzoeken;Oost-Nederland (LD);1e halfjaar 2021;715.0;19.0
39;Totaal afgeronde onderzoeken;Oost-Nederland (LD);2e halfjaar 2021;750.0;20.0
40;Totaal afgeronde onderzoeken;Oost-Nederland (LD);2021;1465.0;40.0
41;Totaal afgeronde onderzoeken;Oost-Nederland (LD);1e halfjaar 2022;710.0;19.0
42;Totaal afgeronde onderzoeken;Oost-Nederland (LD);2e halfjaar 2022;680.0;18.0
43;Totaal afgeronde onderzoeken;Oost-Nederland (LD);2022;1390.0;37.0
44;Totaal afgeronde onderzoeken;Oost-Nederland (LD);1e halfjaar 2023;730.0;19.0
45;Totaal afgeronde onderzoeken;Oost-Nederland (LD);2e halfjaar 2023;820.0;22.0
46;Totaal afgeronde onderzoeken;Oost-Nederland (LD);2023;1550.0;41.0
47;Totaal afgeronde onderzoeken;Oost-Nederland (LD);1e halfjaar 2024;830.0;22.0
48;Totaal afgeronde onderzoeken;West-Nederland (LD);1e halfjaar 2019;990.0;12.0
49;Totaal afgeronde onderzoeken;West-Nederland (LD);2e halfjaar 2019;1490.0;18.0
50;Totaal afgeronde onderzoeken;West-Nederland (LD);2019;2480.0;30.0
51;Totaal afgeronde onderzoeken;West-Nederland (LD);1e halfjaar 2020;1685.0;20.0
52;Totaal afgeronde onderzoeken;West-Nederland (LD);2e halfjaar 2020;1900.0;23.0
53;Totaal afgeronde onderzoeken;West-Nederland (LD);2020;3595.0;43.0
54;Totaal afgeronde onderzoeken;West-Nederland (LD);1e halfjaar 2021;1905.0;23.0
55;Totaal afgeronde onderzoeken;West-Nederland (LD);2e halfjaar 2021;1770.0;21.0
56;Totaal afgeronde onderzoeken;West-Nederland (LD);2021;3675.0;44.0
57;Totaal afgeronde onderzoeken;West-Nederland (LD);1e halfjaar 2022;1870.0;22.0
58;Totaal afgeronde onderzoeken;West-Nederland (LD);2e halfjaar 2022;1840.0;22.0
59;Totaal afgeronde onderzoeken;West-Nederland (LD);2022;3710.0;44.0
60;Totaal afgeronde onderzoeken;West-Nederland (LD);1e halfjaar 2023;1945.0;23.0
61;Totaal afgeronde onderzoeken;West-Nederland (LD);2e halfjaar 2023;1775.0;21.0
62;Totaal afgeronde onderzoeken;West-Nederland (LD);2023;3720.0;44.0
63;Totaal afgeronde onderzoeken;West-Nederland (LD);1e halfjaar 2024;1900.0;22.0
64;Totaal afgeronde onderzoeken;Zuid-Nederland (LD);1e halfjaar 2019;525.0;14.0
65;Totaal afgeronde onderzoeken;Zuid-Nederland (LD);2e halfjaar 2019;665.0;18.0
66;Totaal afgeronde onderzoeken;Zuid-Nederland (LD);2019;1190.0;33.0
67;Totaal afgeronde onderzoeken;Zuid-Nederland (LD);1e halfjaar 2020;715.0;19.0
68;Totaal afgeronde onderzoeken;Zuid-Nederland (LD);2e halfjaar 2020;645.0;18.0
69;Totaal afgeronde onderzoeken;Zuid-Nederland (LD);2020;1365.0;37.0
70;Totaal afgeronde onderzoeken;Zuid-Nederland (LD);1e halfjaar 2021;690.0;19.0
71;Totaal afgeronde onderzoeken;Zuid-Nederland (LD);2e halfjaar 2021;660.0;18.0
72;Totaal afgeronde onderzoeken;Zuid-Nederland (LD);2021;1350.0;37.0
73;Totaal afgeronde onderzoeken;Zuid-Nederland (LD);1e halfjaar 2022;660.0;18.0
74;Totaal afgeronde onderzoeken;Zuid-Nederland (LD);2e halfjaar 2022;730.0;20.0
75;Totaal afgeronde onderzoeken;Zuid-Nederland (LD);2022;1390.0;37.0
76;Totaal afgeronde onderzoeken;Zuid-Nederland (LD);1e halfjaar 2023;655.0;17.0
77;Totaal afgeronde onderzoeken;Zuid-Nederland (LD);2e halfjaar 2023;615.0;16.0
78;Totaal afgeronde onderzoeken;Zuid-Nederland (LD);2023;1275.0;34.0
79;Totaal afgeronde onderzoeken;Zuid-Nederland (LD);1e halfjaar 2024;685.0;18.0
80;Totaal afgeronde onderzoeken;Groningen (PV);1e halfjaar 2019;215.0;37.0
81;Totaal afgeronde onderzoeken;Groningen (PV);2e halfjaar 2019;110.0;19.0
82;Totaal afgeronde onderzoeken;Groningen (PV);2019;320.0;55.0
83;Totaal afgeronde onderzoeken;Groningen (PV);1e halfjaar 2020;205.0;35.0
84;Totaal afgeronde onderzoeken;Groningen (PV);2e halfjaar 2020;160.0;27.0
85;Totaal afgeronde onderzoeken;Groningen (PV);2020;370.0;63.0
86;Totaal afgeronde onderzoeken;Groningen (PV);1e halfjaar 2021;175.0;30.0
87;Totaal afgeronde onderzoeken;Groningen (PV);2e halfjaar 2021;160.0;27.0
88;Totaal afgeronde onderzoeken;Groningen (PV);2021;330.0;56.0
89;Totaal afgeronde onderzoeken;Groningen (PV);1e halfjaar 2022;180.0;31.0
90;Totaal afgeronde onderzoeken;Groningen (PV);2e halfjaar 2022;165.0;28.0
91;Totaal afgeronde onderzoeken;Groningen (PV);2022;350.0;59.0
92;Totaal afgeronde onderzoeken;Groningen (PV);1e halfjaar 2023;150.0;26.0
93;Totaal afgeronde onderzoeken;Groningen (PV);2e halfjaar 2023;100.0;17.0
94;Totaal afgeronde onderzoeken;Groningen (PV);2023;255.0;42.0
95;Totaal afgeronde onderzoeken;Groningen (PV);1e halfjaar 2024;160.0;27.0
96;Totaal afgeronde onderzoeken;Fryslân (PV);1e halfjaar 2019;300.0;46.0
97;Totaal afgeronde onderzoeken;Fryslân (PV);2e halfjaar 2019;320.0;49.0
98;Totaal afgeronde onderzoeken;Fryslân (PV);2019;620.0;96.0
99;Totaal afgeronde onderzoeken;Fryslân (PV);1e halfjaar 2020;390.0;60.0
