ID;Generatie;HerkomstgroeperingVrouw;Huwelijksjaar;TotaalMannen_1;Autochtoon_2;TotaalNietWesters_3;Marokko_4;NederlandseAntillenAruba_5;Suriname_6;Turkije_7;OverigeNietWesters_8;Westers_9
0;Totaal echtparen;Totaal vrouwen;2002 (Twee jaar getrouwd);79910.0;61961.0;11074.0;2695.0;435.0;1349.0;3386.0;3209.0;6875.0
1;Totaal echtparen;Totaal vrouwen;2003 (Eén jaar getrouwd);75829.0;60018.0;9243.0;2146.0;416.0;1278.0;2618.0;2785.0;6568.0
2;Totaal echtparen;Totaal vrouwen;2004 (Nog geen jaar getrouwd);65793.0;55233.0;5036.0;935.0;392.0;976.0;1100.0;1633.0;5524.0
3;Totaal echtparen;Autochtoon;2002 (Twee jaar getrouwd);59143.0;53317.0;1624.0;199.0;189.0;289.0;266.0;681.0;4202.0
4;Totaal echtparen;Autochtoon;2003 (Eén jaar getrouwd);57219.0;51503.0;1573.0;198.0;182.0;291.0;266.0;636.0;4143.0
5;Totaal echtparen;Autochtoon;2004 (Nog geen jaar getrouwd);52552.0;47665.0;1208.0;139.0;168.0;253.0;176.0;472.0;3679.0
6;Totaal echtparen;Totaal niet-westers;2002 (Twee jaar getrouwd);12024.0;2611.0;8910.0;2427.0;201.0;994.0;2999.0;2289.0;503.0
7;Totaal echtparen;Totaal niet-westers;2003 (Eén jaar getrouwd);10157.0;2578.0;7130.0;1876.0;202.0;913.0;2225.0;1914.0;449.0
8;Totaal echtparen;Totaal niet-westers;2004 (Nog geen jaar getrouwd);6054.0;2268.0;3416.0;746.0;179.0;650.0;862.0;979.0;370.0
9;Totaal echtparen;Marokko;2002 (Twee jaar getrouwd);2693.0;142.0;2516.0;2373.0;5.0;16.0;16.0;106.0;35.0
10;Totaal echtparen;Marokko;2003 (Eén jaar getrouwd);2128.0;160.0;1935.0;1822.0;4.0;13.0;13.0;83.0;33.0
11;Totaal echtparen;Marokko;2004 (Nog geen jaar getrouwd);964.0;126.0;803.0;720.0;5.0;13.0;14.0;51.0;35.0
12;Totaal echtparen;Nederlandse Antillen + Aruba;2002 (Twee jaar getrouwd);469.0;235.0;202.0;7.0;152.0;18.0;2.0;23.0;32.0
13;Totaal echtparen;Nederlandse Antillen + Aruba;2003 (Eén jaar getrouwd);492.0;248.0;213.0;8.0;156.0;15.0;7.0;27.0;31.0
14;Totaal echtparen;Nederlandse Antillen + Aruba;2004 (Nog geen jaar getrouwd);450.0;249.0;172.0;4.0;136.0;19.0;1.0;12.0;29.0
15;Totaal echtparen;Suriname;2002 (Twee jaar getrouwd);1575.0;497.0;1000.0;15.0;19.0;908.0;14.0;44.0;78.0
16;Totaal echtparen;Suriname;2003 (Eén jaar getrouwd);1440.0;447.0;921.0;13.0;17.0;821.0;15.0;55.0;72.0
17;Totaal echtparen;Suriname;2004 (Nog geen jaar getrouwd);1168.0;452.0;652.0;6.0;20.0;586.0;7.0;33.0;64.0
18;Totaal echtparen;Turkije;2002 (Twee jaar getrouwd);3190.0;160.0;2969.0;8.0;1.0;4.0;2934.0;22.0;61.0
19;Totaal echtparen;Turkije;2003 (Eén jaar getrouwd);2390.0;123.0;2209.0;7.0;1.0;9.0;2168.0;24.0;58.0
20;Totaal echtparen;Turkije;2004 (Nog geen jaar getrouwd);988.0;105.0;841.0;2.0;0.0;3.0;819.0;17.0;42.0
21;Totaal echtparen;Overige niet-westers;2002 (Twee jaar getrouwd);4097.0;1577.0;2223.0;24.0;24.0;48.0;33.0;2094.0;297.0
22;Totaal echtparen;Overige niet-westers;2003 (Eén jaar getrouwd);3707.0;1600.0;1852.0;26.0;24.0;55.0;22.0;1725.0;255.0
23;Totaal echtparen;Overige niet-westers;2004 (Nog geen jaar getrouwd);2484.0;1336.0;948.0;14.0;18.0;29.0;21.0;866.0;200.0
24;Totaal echtparen;Westers;2002 (Twee jaar getrouwd);8743.0;6033.0;540.0;69.0;45.0;66.0;121.0;239.0;2170.0
25;Totaal echtparen;Westers;2003 (Eén jaar getrouwd);8453.0;5937.0;540.0;72.0;32.0;74.0;127.0;235.0;1976.0
26;Totaal echtparen;Westers;2004 (Nog geen jaar getrouwd);7187.0;5300.0;412.0;50.0;45.0;73.0;62.0;182.0;1475.0
27;Beiden autochtoon;Totaal vrouwen;2002 (Twee jaar getrouwd);53317.0;53317.0;;;;;;;
28;Beiden autochtoon;Totaal vrouwen;2003 (Eén jaar getrouwd);51503.0;51503.0;;;;;;;
29;Beiden autochtoon;Totaal vrouwen;2004 (Nog geen jaar getrouwd);47665.0;47665.0;;;;;;;
30;Beiden autochtoon;Autochtoon;2002 (Twee jaar getrouwd);53317.0;53317.0;;;;;;;
31;Beiden autochtoon;Autochtoon;2003 (Eén jaar getrouwd);51503.0;51503.0;;;;;;;
32;Beiden autochtoon;Autochtoon;2004 (Nog geen jaar getrouwd);47665.0;47665.0;;;;;;;
33;Beiden autochtoon;Totaal niet-westers;2002 (Twee jaar getrouwd);;;;;;;;;
34;Beiden autochtoon;Totaal niet-westers;2003 (Eén jaar getrouwd);;;;;;;;;
35;Beiden autochtoon;Totaal niet-westers;2004 (Nog geen jaar getrouwd);;;;;;;;;
36;Beiden autochtoon;Marokko;2002 (Twee jaar getrouwd);;;;;;;;;
37;Beiden autochtoon;Marokko;2003 (Eén jaar getrouwd);;;;;;;;;
38;Beiden autochtoon;Marokko;2004 (Nog geen jaar getrouwd);;;;;;;;;
39;Beiden autochtoon;Nederlandse Antillen + Aruba;2002 (Twee jaar getrouwd);;;;;;;;;
40;Beiden autochtoon;Nederlandse Antillen + Aruba;2003 (Eén jaar getrouwd);;;;;;;;;
41;Beiden autochtoon;Nederlandse Antillen + Aruba;2004 (Nog geen jaar getrouwd);;;;;;;;;
42;Beiden autochtoon;Suriname;2002 (Twee jaar getrouwd);;;;;;;;;
43;Beiden autochtoon;Suriname;2003 (Eén jaar getrouwd);;;;;;;;;
44;Beiden autochtoon;Suriname;2004 (Nog geen jaar getrouwd);;;;;;;;;
45;Beiden autochtoon;Turkije;2002 (Twee jaar getrouwd);;;;;;;;;
46;Beiden autochtoon;Turkije;2003 (Eén jaar getrouwd);;;;;;;;;
47;Beiden autochtoon;Turkije;2004 (Nog geen jaar getrouwd);;;;;;;;;
48;Beiden autochtoon;Overige niet-westers;2002 (Twee jaar getrouwd);;;;;;;;;
49;Beiden autochtoon;Overige niet-westers;2003 (Eén jaar getrouwd);;;;;;;;;
50;Beiden autochtoon;Overige niet-westers;2004 (Nog geen jaar getrouwd);;;;;;;;;
51;Beiden autochtoon;Westers;2002 (Twee jaar getrouwd);;;;;;;;;
52;Beiden autochtoon;Westers;2003 (Eén jaar getrouwd);;;;;;;;;
53;Beiden autochtoon;Westers;2004 (Nog geen jaar getrouwd);;;;;;;;;
54;Beiden 1e generatie allochtoon;Totaal vrouwen;2002 (Twee jaar getrouwd);8107.0;;6603.0;1795.0;183.0;730.0;1583.0;2312.0;1504.0
55;Beiden 1e generatie allochtoon;Totaal vrouwen;2003 (Eén jaar getrouwd);6591.0;;5236.0;1323.0;184.0;721.0;1093.0;1915.0;1355.0
56;Beiden 1e generatie allochtoon;Totaal vrouwen;2004 (Nog geen jaar getrouwd);3276.0;;2376.0;404.0;157.0;445.0;371.0;999.0;900.0
57;Beiden 1e generatie allochtoon;Autochtoon;2002 (Twee jaar getrouwd);;;;;;;;;
58;Beiden 1e generatie allochtoon;Autochtoon;2003 (Eén jaar getrouwd);;;;;;;;;
59;Beiden 1e generatie allochtoon;Autochtoon;2004 (Nog geen jaar getrouwd);;;;;;;;;
60;Beiden 1e generatie allochtoon;Totaal niet-westers;2002 (Twee jaar getrouwd);6501.0;;6312.0;1751.0;168.0;714.0;1514.0;2165.0;189.0
61;Beiden 1e generatie allochtoon;Totaal niet-westers;2003 (Eén jaar getrouwd);5111.0;;4919.0;1275.0;173.0;689.0;1034.0;1748.0;192.0
62;Beiden 1e generatie allochtoon;Totaal niet-westers;2004 (Nog geen jaar getrouwd);2268.0;;2151.0;376.0;140.0;425.0;346.0;864.0;117.0
63;Beiden 1e generatie allochtoon;Marokko;2002 (Twee jaar getrouwd);1851.0;;1838.0;1719.0;3.0;13.0;12.0;91.0;13.0
64;Beiden 1e generatie allochtoon;Marokko;2003 (Eén jaar getrouwd);1345.0;;1334.0;1243.0;2.0;10.0;9.0;70.0;11.0
65;Beiden 1e generatie allochtoon;Marokko;2004 (Nog geen jaar getrouwd);426.0;;419.0;366.0;2.0;7.0;4.0;40.0;7.0
66;Beiden 1e generatie allochtoon;Nederlandse Antillen + Aruba;2002 (Twee jaar getrouwd);183.0;;179.0;6.0;139.0;12.0;2.0;20.0;4.0
67;Beiden 1e generatie allochtoon;Nederlandse Antillen + Aruba;2003 (Eén jaar getrouwd);195.0;;187.0;7.0;144.0;10.0;5.0;21.0;8.0
68;Beiden 1e generatie allochtoon;Nederlandse Antillen + Aruba;2004 (Nog geen jaar getrouwd);141.0;;136.0;2.0;115.0;9.0;1.0;9.0;5.0
69;Beiden 1e generatie allochtoon;Suriname;2002 (Twee jaar getrouwd);734.0;;715.0;9.0;7.0;656.0;11.0;32.0;19.0
70;Beiden 1e generatie allochtoon;Suriname;2003 (Eén jaar getrouwd);707.0;;685.0;8.0;7.0;630.0;10.0;30.0;22.0
71;Beiden 1e generatie allochtoon;Suriname;2004 (Nog geen jaar getrouwd);438.0;;428.0;3.0;10.0;395.0;3.0;17.0;10.0
72;Beiden 1e generatie allochtoon;Turkije;2002 (Twee jaar getrouwd);1500.0;;1481.0;4.0;0.0;1.0;1464.0;12.0;19.0
73;Beiden 1e generatie allochtoon;Turkije;2003 (Eén jaar getrouwd);1031.0;;1010.0;1.0;0.0;2.0;995.0;12.0;21.0
74;Beiden 1e generatie allochtoon;Turkije;2004 (Nog geen jaar getrouwd);347.0;;332.0;1.0;0.0;0.0;324.0;7.0;15.0
75;Beiden 1e generatie allochtoon;Overige niet-westers;2002 (Twee jaar getrouwd);2233.0;;2099.0;13.0;19.0;32.0;25.0;2010.0;134.0
76;Beiden 1e generatie allochtoon;Overige niet-westers;2003 (Eén jaar getrouwd);1833.0;;1703.0;16.0;20.0;37.0;15.0;1615.0;130.0
