ID;Perioden;BenzineEuro95_1;Diesel_2;LPG_3;Frikandel_4;GlasBier_5;GlasRodeHuiswijn_6;KopjeKoffie_7;Pizza_8;Aardappelen_9;Appelmoes_10;Bananen_11;Bier_12;Boterhamworst_13;Brood_14;Champignons_15;Cornflakes_16;DiepvriesPatatesFrites_17;Eieren_18;Hagelslag_19;Hamlappen_20;Kaas_21;Kipfilet_22;Koffie_23;Komkommer_24;KoolzuurhoudendMineraalwater_25;Krentenbol_26;Macaroni_27;Margarine_28;Mayonaise_29;Melk_30;MineraalwaterZonderKoolzuur_31;Olijfolie_32;Pasta_33;PlantaardigeOlie_34;Riblappen_35;Rijst_36;Roomboter_37;Rundergehakt_38;Shampoo_39;Sinaasappelsap_40;SperziebonenInBlik_41;Suiker_42;Tandpasta_43;Thee_44;Toiletpapier_45;Tomatenketchup_46;TonijnInBlik_47;Vanillevla_48;ZelfrijzendBakmeel_49;APKKeuring_50;Autorijles_51;Bioscoopkaartje_52;CarWash_53;Dameskapper_54;Herenkapper_55;Krant_56;Testament_57;Zwemles_58
0;2000;1.16;0.85;0.45;0.89;1.28;1.83;1.18;6.25;0.63;0.41;1.51;1.17;6.31;1.29;0.89;2.39;1.06;1.4;1.17;7.63;7.01;7.65;6.16;0.81;0.25;0.25;1.09;0.64;0.77;0.51;0.29;5.39;1.49;1.03;8.65;2.12;1.09;5.87;1.72;0.84;0.55;0.88;2.39;1.02;2.9;1.55;1.09;0.84;0.99;58.98;29.53;6.72;7.15;25.61;13.37;1.03;217.46;5.23
1;2001;1.15;0.82;0.43;0.96;1.41;2.01;1.28;6.42;0.75;0.45;1.62;1.29;7.49;1.34;0.91;2.67;1.09;1.4;1.23;8.81;7.34;8.65;5.96;0.8;0.25;0.26;1.21;0.69;0.82;0.57;0.36;5.18;1.65;1.06;9.27;2.21;1.11;6.08;1.78;0.86;0.63;0.89;2.71;1.1;3.06;1.61;1.15;0.94;1.02;80.28;32.29;6.99;7.63;27.03;14.43;1.06;226.21;6.51
2;2002;1.14;0.79;0.43;1.04;1.54;2.18;1.41;6.85;0.87;0.53;1.74;1.38;7.81;1.38;0.98;2.85;1.18;1.4;1.3;8.12;7.58;8.59;5.76;0.91;0.25;0.27;1.22;0.72;0.85;0.61;0.36;5.04;1.66;1.19;9.4;2.27;1.12;6.02;1.84;0.87;0.63;0.88;2.81;1.15;3.18;1.64;1.25;0.99;1.12;80.34;34.47;8.1;8.17;28.9;15.26;1.11;247.74;7.43
3;2003;1.16;0.79;0.43;1.06;1.6;2.26;1.47;6.97;0.79;0.58;1.7;1.43;7.99;1.39;0.93;2.95;1.14;1.9;1.38;8.0;7.67;8.34;5.54;0.87;0.26;0.29;1.13;0.76;0.9;0.62;0.31;4.98;1.54;1.15;9.01;2.27;1.09;5.71;1.84;0.89;0.6;0.85;2.74;1.12;3.29;1.72;1.27;0.98;1.08;78.22;36.31;7.35;8.26;30.62;16.11;1.17;260.58;7.92
4;2004;1.25;0.89;0.46;1.08;1.62;2.31;1.51;7.02;0.73;0.53;1.54;1.29;7.69;1.41;0.9;2.97;1.06;1.6;1.22;7.75;7.34;7.67;4.94;0.75;0.21;0.29;0.88;0.73;0.87;0.6;0.29;4.75;1.2;1.05;8.59;1.81;1.05;5.05;1.62;0.8;0.6;0.82;2.46;0.97;3.05;1.8;1.21;0.92;1.07;60.92;37.48;7.56;8.49;31.26;16.88;1.22;276.39;7.88
5;2005;1.35;1.02;0.51;1.1;1.67;2.36;1.55;7.0;0.58;0.49;1.62;1.28;7.61;1.43;0.87;2.97;0.98;1.4;1.18;7.55;7.18;7.48;5.5;0.77;0.2;0.29;0.82;0.68;0.84;0.6;0.28;4.62;1.12;0.88;8.6;1.5;1.01;5.19;1.49;0.73;0.56;0.79;2.34;0.87;2.94;1.81;1.21;0.9;1.01;52.99;37.81;7.8;8.65;31.81;17.06;1.25;287.81;8.55
6;2006;1.41;1.09;0.57;1.12;1.71;2.38;1.57;7.16;0.86;0.47;1.52;1.31;7.45;1.37;0.88;3.25;1.02;1.4;1.15;7.93;7.24;7.32;5.8;0.89;0.31;0.3;0.88;0.68;0.8;0.6;0.27;5.37;1.2;0.87;9.0;1.39;1.01;5.18;2.05;0.74;0.52;0.78;2.31;0.85;3.0;1.84;1.23;0.86;1.07;49.39;37.73;7.99;8.83;32.66;16.98;1.22;294.3;9.05
7;2007;1.46;1.1;0.59;1.16;1.79;2.47;1.62;7.46;0.81;0.61;1.53;1.37;7.12;1.35;0.91;3.53;1.31;1.4;1.13;7.73;7.11;7.27;6.0;0.91;0.35;0.31;0.95;0.7;0.89;0.58;0.27;5.41;1.3;0.85;9.02;1.48;1.08;5.02;2.07;0.91;0.54;0.8;2.31;0.84;3.04;1.88;1.1;0.87;1.1;46.22;38.24;8.14;8.87;33.4;17.29;1.25;314.15;9.33
8;2008;1.54;1.29;0.68;1.21;1.86;2.64;1.7;7.99;0.77;0.75;1.57;1.46;7.17;1.48;0.93;3.75;1.33;1.5;1.21;7.84;8.39;7.44;6.6;0.83;0.37;0.32;1.1;0.78;1.09;0.7;0.29;5.24;1.51;1.22;9.19;1.73;1.22;5.22;2.17;0.95;0.73;0.78;2.34;0.9;3.16;2.07;1.2;0.95;1.14;42.86;39.83;8.28;9.25;33.81;18.69;1.26;335.08;9.43
9;2009;1.35;1.01;0.51;1.25;1.94;2.79;1.81;8.19;0.72;0.81;1.6;1.6;7.39;1.46;0.92;3.88;1.26;1.5;1.29;8.29;8.15;7.55;6.58;0.84;0.41;0.33;1.34;0.79;1.12;0.71;0.28;5.13;1.84;1.42;9.29;2.03;1.15;5.4;2.15;0.89;0.81;0.79;2.51;0.91;3.15;2.16;1.33;0.87;1.07;40.41;40.19;8.5;9.53;34.27;19.21;1.39;356.23;9.92
