ID;Landbouwmethode;Perioden;Oppervlakte_1;PercentageVanTotaal_2;Oppervlakte_3;PercentageVanTotaal_4;Oppervlakte_5;PercentageVanTotaal_6;Oppervlakte_7;PercentageVanTotaal_8;Oppervlakte_9;PercentageVanTotaal_10;Oppervlakte_11;PercentageVanTotaal_12;Oppervlakte_13;PercentageVanTotaal_14;Oppervlakte_15;PercentageVanTotaal_16;Oppervlakte_17;PercentageVanTotaal_18;Oppervlakte_19;PercentageVanTotaal_20;AantalDieren_21;PercentageVanTotaal_22;AantalDieren_23;PercentageVanTotaal_24;AantalDieren_25;PercentageVanTotaal_26;AantalDieren_27;PercentageVanTotaal_28
0;Totaal biologische landbouw;2011;14387;100;;;;;;;;;;;;;;;118;100;32914;100;49410;100;45170;100;57490;100;1832940;100
1;Totaal biologische landbouw;2012;14317;100;;;;;;;;;;;;;;;127;100;33962;100;51382;100;46037;100;60458;100;2212109;100
2;Totaal biologische landbouw;2013;15004;100;1479.0;100.0;4109.0;100.0;5585.0;100.0;504.0;100.0;2101.0;100.0;745.0;100.0;481.0;100.0;130;100;34261;100;53704;100;49557;100;63588;100;2229598;100
3;Totaal biologische landbouw;2014;14763;100;1556.0;100.0;3543.0;100.0;5812.0;100.0;484.0;100.0;2168.0;100.0;751.0;100.0;449.0;100.0;117;100;34453;100;53603;100;44215;100;68914;100;2405015;100
4;Totaal biologische landbouw;2015;15010;100;1514.0;100.0;3607.0;100.0;6172.0;100.0;429.0;100.0;2188.0;100.0;831.0;100.0;269.0;100.0;108;100;35268;100;59033;100;45379;100;69261;100;2754428;100
5;Totaal biologische landbouw;2016;15386;100;1519.0;100.0;3481.0;100.0;6612.0;100.0;494.0;100.0;2224.0;100.0;833.0;100.0;223.0;100.0;123;100;36873;100;69752;100;49449;100;73570;100;3055788;100
6;Totaal biologische landbouw;2017;16150;100;1615.0;100.0;3421.0;100.0;7122.0;100.0;564.0;100.0;2336.0;100.0;934.0;100.0;158.0;100.0;122;100;40115;100;78152;100;58525;100;91340;100;3310872;100
7;Gecertificeerd biologisch;2011;12926;90;;;;;;;;;;;;;;;114;96;30211;92;46060;93;43970;97;56790;99;1790420;98
8;Gecertificeerd biologisch;2012;13092;91;;;;;;;;;;;;;;;127;100;31268;92;48203;94;44586;97;59424;98;2110734;95
9;Gecertificeerd biologisch;2013;13846;92;1479.0;100.0;3530.0;86.0;5485.0;98.0;420.0;83.0;1859.0;88.0;685.0;84.0;438.0;91.0;130;100;31838;93;51813;96;47912;97;61034;96;2229598;100
10;Gecertificeerd biologisch;2014;13766;93;1545.0;99.0;3082.0;87.0;5767.0;99.0;454.0;94.0;1907.0;88.0;627.0;83.0;383.0;85.0;114;98;32462;94;52640;98;42889;97;68132;99;2373320;99
11;Gecertificeerd biologisch;2015;14153;94;1509.0;100.0;3225.0;89.0;6122.0;99.0;420.0;98.0;1943.0;89.0;675.0;81.0;259.0;96.0;102;94;32757;93;56417;96;43502;96;69100;100;2652089;96
12;Gecertificeerd biologisch;2016;14231;92;1519.0;100.0;3060.0;88.0;6570.0;99.0;470.0;95.0;1741.0;78.0;677.0;81.0;194.0;87.0;120;98;32452;88;60150;86;46900;95;70523;96;2959282;97
13;Gecertificeerd biologisch;2017;14886;92;1593.0;99.0;3101.0;91.0;7060.0;99.0;485.0;86.0;1746.0;75.0;749.0;80.0;152.0;96.0;117;96;35377;88;65189;83;55945;96;87542;96;3306422;100
14;In omschakeling;2011;1461;10;;;;;;;;;;;;;;;4;4;2703;8;3350;7;1200;3;700;1;42520;2
15;In omschakeling;2012;1224;9;;;;;;;;;;;;;;;0;0;2694;8;3179;6;1451;3;1034;2;101375;5
16;In omschakeling;2013;1158;8;1.0;0.0;579.0;14.0;100.0;2.0;84.0;17.0;242.0;12.0;110.0;16.0;43.0;9.0;0;0;2422;7;1891;4;1645;3;2554;4;0;0
17;In omschakeling;2014;997;7;11.0;1.0;461.0;13.0;45.0;1.0;29.0;6.0;260.0;12.0;126.0;17.0;66.0;15.0;3;2;1991;6;963;2;1326;3;782;1;31695;1
18;In omschakeling;2015;857;6;5.0;0.0;382.0;11.0;50.0;1.0;9.0;2.0;245.0;11.0;156.0;19.0;10.0;4.0;6;6;2511;7;2616;4;1877;4;161;0;102339;4
19;In omschakeling;2016;1155;8;0.0;0.0;421.0;12.0;42.0;1.0;24.0;5.0;483.0;22.0;156.0;19.0;29.0;13.0;3;2;4421;12;9602;14;2549;5;3047;4;96506;3
20;In omschakeling;2017;1264;8;22.0;1.0;320.0;9.0;62.0;1.0;79.0;14.0;590.0;25.0;185.0;20.0;6.0;4.0;5;4;4738;12;12963;17;2580;4;3798;4;4450;0
