ID;Perioden;TotaalVervoerdGewicht_1;LandbouwproductenLevendeDieren_2;AndereVoedingsproducten_3;VasteBrandstoffen_4;AardolieEnAardolieproducten_5;ErtsenEnMetaalresiduen_6;MetalenHalffabrikaten_7;RuweMineralenBouwmaterialen_8;Meststoffen_9;ChemischeProducten_10;OverigeGoederenEnFabrikaten_11;TotaalNederland_12;NoordNederland_13;OostNederland_14;ZuidNederland_15;TotaalWestNederland_16;TotaalRijnmond_17;WORotterdam_18;TotaalNoordzeekanaalgebied_19;WOAmsterdam_20;OverigeWestNederland_21;TotaalNederland_22;NoordNederland_23;OostNederland_24;ZuidNederland_25;TotaalWestNederland_26;TotaalRijnmond_27;WORotterdam_28;TotaalNoordzeekanaalgebied_29;WOAmsterdam_30;OverigeWestNederland_31
0;1996 januari;7498;214;1213;573;1145;98;54;3434;89;233;445;7498;181;478;1160;5680;3495;3038;1294;858;890;7498;205;903;1750;4641;2087;1501;635;534;1919
1;1996 februari;6905;204;1029;654;1082;66;54;3155;106;240;315;6905;136;405;1151;5212;3539;3045;909;675;764;6905;209;1113;1633;3950;1978;1497;388;281;1583
2;1996 maart;7879;177;766;687;1321;156;64;4065;167;226;250;7879;333;765;1243;5538;3567;3222;1131;721;839;7879;397;1402;1742;4337;1920;1662;518;404;1900
3;1996 1e kwartaal;22282;595;3008;1914;3548;320;172;10654;362;699;1010;22282;650;1648;3554;16430;10601;9305;3334;2254;2493;22282;811;3418;5125;12928;5985;4660;1541;1219;5402
4;1996 april;7447;163;741;165;1319;122;38;4238;144;196;320;7447;370;824;1361;4892;2657;2389;1238;841;997;7447;460;1347;1223;4416;1725;1510;562;416;2129
5;1996 mei;7876;205;762;174;1315;126;75;4517;132;199;371;7876;441;795;1354;5285;2828;2435;1286;833;1171;7876;444;1598;1433;4401;1621;1465;675;481;2105
6;1996 juni;7928;239;618;360;1238;101;40;4459;171;259;443;7928;580;815;1541;4991;2891;2480;1249;754;851;7928;521;1598;1502;4307;1666;1534;658;535;1983
7;1996 2e kwartaal;23251;607;2121;699;3872;349;153;13214;447;654;1134;23251;1391;2434;4256;15168;8376;7304;3773;2428;3019;23251;1425;4543;4158;13124;5012;4509;1895;1432;6217
8;1996 juli;6768;178;755;309;1166;128;22;3364;159;199;487;6768;366;678;1359;4365;2454;2246;1082;756;829;6768;470;1306;1365;3626;1479;1373;537;383;1610
9;1996 augustus;6700;186;632;348;1282;69;45;3285;167;282;404;6700;384;499;1225;4592;2538;2313;1147;730;907;6700;373;1346;1333;3648;1647;1539;542;416;1459
10;1996 september;7863;156;665;334;1171;82;89;4698;170;163;335;7863;432;680;1665;5086;2806;2509;1324;827;956;7863;387;1697;1306;4473;1887;1727;771;522;1816
11;1996 3e kwartaal;21331;520;2052;991;3619;279;156;11347;496;644;1226;21331;1182;1857;4249;14043;7798;7068;3553;2313;2692;21331;1230;4349;4004;11747;5013;4639;1850;1321;4885
12;1996 oktober;8420;185;731;331;1156;147;76;4915;143;196;541;8420;678;741;1902;5099;3054;2780;1286;716;759;8420;635;1682;1472;4631;1985;1812;788;499;1858
13;1996 november;7076;145;840;314;1171;117;40;3826;142;165;316;7076;249;694;1730;4402;2513;2207;1044;682;845;7076;282;1436;1262;4096;1676;1490;686;490;1733
14;1996 december;6056;141;1002;214;1113;50;51;2919;65;176;324;6056;259;545;973;4279;2492;2235;1080;697;708;6056;324;886;1132;3713;1372;1242;615;434;1727
15;1996 4e kwartaal;21552;471;2573;859;3440;314;167;11660;350;537;1181;21552;1186;1980;4605;13780;8059;7222;3410;2095;2312;21552;1241;4004;3866;12440;5033;4544;2089;1423;5318
16;1996;88416;2195;9752;4463;14478;1262;650;46875;1655;2534;4551;88416;4409;7920;16665;59422;34835;30899;14071;9090;10515;88416;4707;16315;17154;50240;21043;18352;7374;5394;21823
17;1997 januari;4034;151;652;259;1210;66;63;1007;71;258;297;4034;124;213;592;3105;1882;1763;720;635;504;4034;187;661;792;2394;1047;968;458;338;889
18;1997 februari;7283;101;551;265;1235;60;36;4342;96;267;330;7283;359;647;1690;4586;2384;2084;1346;763;856;7283;391;969;1282;4642;1508;1304;812;591;2322
19;1997 maart;8935;102;692;503;1406;61;65;5279;162;292;372;8935;381;814;2131;5609;2776;2450;1596;1028;1237;8935;518;1382;1768;5267;1698;1466;894;632;2675
20;1997 1e kwartaal;20252;354;1895;1027;3851;187;164;10628;329;817;999;20252;864;1674;4413;13300;7042;6297;3662;2426;2597;20252;1096;3012;3842;12303;4253;3738;2164;1561;5886
21;1997 april;9592;147;706;445;1332;79;49;5999;96;353;387;9592;549;1015;2309;5720;2790;2459;1618;918;1312;9592;705;1468;1814;5605;1867;1572;787;548;2951
22;1997 mei;9157;121;713;380;1320;87;67;5607;135;341;385;9157;574;880;2071;5633;2672;2433;1533;906;1428;9157;710;1386;1700;5360;1858;1553;722;494;2781
23;1997 juni;9137;111;574;408;1370;74;61;5699;140;317;385;9137;427;833;2207;5669;2578;2226;1570;962;1522;9137;637;1218;1859;5423;1885;1585;684;484;2854
24;1997 2e kwartaal;27886;379;1993;1233;4022;240;177;17305;371;1011;1157;27886;1550;2728;6587;17022;8040;7118;4721;2786;4262;27886;2052;4072;5373;16388;5610;4710;2193;1526;8586
25;1997 juli;7525;93;585;382;1439;56;73;3943;161;345;447;7525;377;648;1545;4955;2572;2294;1117;703;1266;7525;505;889;1606;4524;1902;1683;520;414;2102
26;1997 augustus;6764;96;479;373;1399;36;53;3526;129;290;383;6764;450;670;1284;4359;2244;2104;1065;604;1050;6764;605;889;1349;3921;1477;1330;677;490;1768
27;1997 september;8768;76;588;261;1326;24;56;5598;157;303;378;8768;459;1114;1934;5261;2506;2141;1530;849;1225;8768;611;1345;1762;5050;1705;1414;685;458;2660
28;1997 3e kwartaal;23057;265;1652;1016;4164;116;182;13067;447;938;1208;23057;1286;2432;4763;14575;7322;6539;3712;2156;3541;23057;1721;3123;4717;13495;5084;4427;1882;1362;6530
29;1997 oktober;9423;105;633;649;1553;10;55;5630;102;267;420;9423;438;1260;1989;5736;3143;2741;1468;859;1125;9423;608;1540;1964;5312;1811;1540;725;520;2775
