ID;Geslacht;Leeftijd;Sterftequotient_1;LevendenTafelbevolking_2;OverledenenTafelbevolking_3;LevensverwachtingInJaren_4
0;Jongens;0 dagen;0.00183;100000;183;75.05
1;Jongens;1 dag;0.00059;99817;59;75.19
2;Jongens;2 dagen;0.00032;99758;32;75.23
3;Jongens;3 dagen;0.00028;99726;28;75.25
4;Jongens;4 dagen;0.00016;99698;16;75.27
5;Jongens;5 dagen;0.00012;99682;12;75.28
6;Jongens;6 dagen;0.00011;99669;11;75.28
7;Jongens;7- 9 dagen;0.00025;99658;24;75.29
8;Jongens;10-13 dagen;0.00024;99634;23;75.3
9;Jongens;14-16 dagen;0.00012;99610;12;75.31
10;Jongens;17-20 dagen;0.00014;99599;14;75.31
11;Jongens;21-27 dagen;0.00016;99585;16;75.31
12;Jongens;28 dagen tot 2 maanden;0.0004;99568;40;75.3
13;Jongens;2 maanden;0.00019;99529;19;75.24
14;Jongens;3 maanden;0.00017;99510;17;75.17
15;Jongens;4 maanden;0.00016;99494;16;75.1
16;Jongens;5 maanden;0.00013;99478;13;75.03
17;Jongens;6 maanden;0.0001;99465;10;74.96
18;Jongens;7 maanden;0.00011;99454;11;74.88
19;Jongens;8 maanden;9e-05;99443;9;74.81
20;Jongens;9 maanden;7e-05;99434;7;74.73
21;Jongens;10 maanden;5e-05;99426;5;74.65
22;Jongens;11 maanden;6e-05;99422;6;74.57
23;Jongens;12 maanden;5e-05;99416;5;74.49
24;Jongens;13 maanden;6e-05;99411;6;74.41
25;Jongens;14 maanden;3e-05;99405;3;74.33
26;Jongens;15 maanden;4e-05;99402;4;74.25
27;Jongens;16 maanden;5e-05;99397;5;74.17
28;Jongens;17 maanden;3e-05;99392;3;74.09
29;Jongens;18 maanden;3e-05;99389;3;74.01
30;Jongens;19 maanden;2e-05;99386;2;73.93
31;Jongens;20 maanden;5e-05;99384;5;73.85
32;Jongens;21 maanden;4e-05;99379;4;73.77
33;Jongens;22 maanden;4e-05;99375;4;73.69
34;Jongens;23 maanden;5e-05;99371;5;73.61
35;Meisjes;0 dagen;0.0015;100000;150;80.47
36;Meisjes;1 dag;0.00044;99850;44;80.59
37;Meisjes;2 dagen;0.00027;99806;27;80.63
38;Meisjes;3 dagen;0.00023;99779;23;80.65
39;Meisjes;4 dagen;0.00015;99756;15;80.66
40;Meisjes;5 dagen;0.00012;99740;12;80.67
41;Meisjes;6 dagen;9e-05;99728;9;80.68
42;Meisjes;7- 9 dagen;0.00021;99719;21;80.68
43;Meisjes;10-13 dagen;0.00017;99698;17;80.69
44;Meisjes;14-16 dagen;9e-05;99681;9;80.7
45;Meisjes;17-20 dagen;0.0001;99672;10;80.7
46;Meisjes;21-27 dagen;0.00011;99663;11;80.69
47;Meisjes;28 dagen tot 2 maanden;0.0003;99651;30;80.68
48;Meisjes;2 maanden;0.00017;99621;17;80.62
49;Meisjes;3 maanden;0.00016;99604;16;80.55
50;Meisjes;4 maanden;0.00011;99589;11;80.48
51;Meisjes;5 maanden;0.0001;99577;10;80.4
52;Meisjes;6 maanden;8e-05;99567;8;80.33
53;Meisjes;7 maanden;7e-05;99559;7;80.25
54;Meisjes;8 maanden;7e-05;99552;7;80.17
55;Meisjes;9 maanden;6e-05;99545;6;80.09
56;Meisjes;10 maanden;4e-05;99539;4;80.02
57;Meisjes;11 maanden;4e-05;99535;4;79.94
58;Meisjes;12 maanden;3e-05;99531;3;79.86
59;Meisjes;13 maanden;4e-05;99528;4;79.77
60;Meisjes;14 maanden;4e-05;99525;4;79.69
61;Meisjes;15 maanden;4e-05;99521;4;79.61
62;Meisjes;16 maanden;6e-05;99517;6;79.53
63;Meisjes;17 maanden;2e-05;99511;2;79.45
64;Meisjes;18 maanden;4e-05;99509;4;79.37
65;Meisjes;19 maanden;3e-05;99505;3;79.29
66;Meisjes;20 maanden;3e-05;99503;3;79.21
67;Meisjes;21 maanden;4e-05;99500;4;79.13
68;Meisjes;22 maanden;3e-05;99496;3;79.05
69;Meisjes;23 maanden;4e-05;99493;4;78.97
