ID;SoortMisdrijf;Politieregio;Perioden;TotaalGeregistreerd_1;Per100000Inwoners1279Jaar_2;TotaalOpgehelderd_3;OpgehelderdInGeregistreerd_4;Totaal_5;Mannen_6;Vrouwen_7;Totaal_8;Mannen_9;Vrouwen_10
0;Totaal soort misdrijf;Totaal Nederland;1994;1313577.0;10415.0;236322.0;18.0;242749.0;212796.0;29953.0;1925.0;3384.0;474.0
1;Totaal soort misdrijf;Totaal Nederland;1995;1226677.0;9691.0;209938.0;17.1;246994.0;215885.0;31109.0;1951.0;3420.0;490.0
2;Totaal soort misdrijf;Totaal Nederland;1996;1186512.0;9340.0;204727.0;17.3;253006.0;221468.0;31538.0;1992.0;3495.0;495.0
3;Totaal soort misdrijf;Totaal Nederland;1997;1219935.0;9565.0;197036.0;16.2;263262.0;230147.0;33115.0;2064.0;3618.0;518.0
4;Totaal soort misdrijf;Totaal Nederland;1998;1234900.0;9631.0;210366.0;17.0;276119.0;244116.0;32003.0;2153.0;3817.0;498.0
5;Totaal soort misdrijf;Totaal Nederland;1999;1303446.0;10098.0;210236.0;16.1;279320.0;246619.0;32701.0;2164.0;3830.0;505.0
6;Totaal soort misdrijf;Totaal Nederland;2000;1328909.0;10230.0;206771.0;15.6;282215.0;249547.0;32668.0;2172.0;3850.0;502.0
7;Totaal soort misdrijf;Totaal Nederland;2001;1379454.0;10551.0;233102.0;16.9;294424.0;259238.0;35186.0;2252.0;3972.0;537.0
8;Totaal soort misdrijf;Totaal Nederland;2002;1401871.0;10654.0;255983.0;18.3;319310.0;279658.0;39652.0;2427.0;4256.0;602.0
9;Totaal soort misdrijf;Totaal Nederland;2003;1369271.0;10346.0;279986.0;20.4;345985.0;302041.0;43944.0;2614.0;4569.0;663.0
10;Totaal soort misdrijf;Totaal Nederland;2004;1319482.0;9928.0;288796.0;21.9;360853.0;314762.0;46091.0;2715.0;4742.0;693.0
11;Totaal soort misdrijf;Totaal Nederland;2005;1255079.0;9412.0;278611.0;22.2;349620.0;302140.0;47480.0;2622.0;4539.0;711.0
12;Totaal soort misdrijf;Totaal Nederland;2006;1218447.0;9115.0;278566.0;22.9;358349.0;307636.0;50713.0;2681.0;4611.0;757.0
13;Totaal soort misdrijf;Totaal Nederland;2007;1214503.0;9065.0;275880.0;22.7;353971.0;301825.0;52146.0;2642.0;4514.0;777.0
14;Totaal soort misdrijf;Groningen;1994;37067.0;8016.0;9000.0;24.3;8378.0;7352.0;1026.0;1812.0;3186.0;443.0
15;Totaal soort misdrijf;Groningen;1995;37988.0;8205.0;7475.0;19.7;8078.0;7055.0;1023.0;1745.0;3050.0;442.0
