ID;CPI;Periods;IndexFiguresTo1DecimalPlace_1;IndexFiguresIntegers_2;WeightingCoefficients_3
0;0      Total expenditure;1996 January;100.6;;100000
1;0      Total expenditure;1996 February;101.0;;100000
2;0      Total expenditure;1996 March;102.0;;100000
3;0      Total expenditure;1996 April;102.3;;100000
4;0      Total expenditure;1996 May;102.0;;100000
5;0      Total expenditure;1996 June;101.6;;100000
6;0      Total expenditure;1996 July;101.9;;100000
7;0      Total expenditure;1996 August;101.7;;100000
8;0      Total expenditure;1996 September;102.7;;100000
9;0      Total expenditure;1996 October;102.9;;100000
10;0      Total expenditure;1996 November;102.8;;100000
11;0      Total expenditure;1996 December;102.7;;100000
12;0      Total expenditure;1996;102.0;;100000
13;0      Total expenditure;1997 January;102.8;;100000
14;0      Total expenditure;1997 February;103.0;;100000
15;0      Total expenditure;1997 March;103.8;;100000
16;0      Total expenditure;1997 April;103.9;;100000
17;0      Total expenditure;1997 May;104.2;;100000
18;0      Total expenditure;1997 June;103.6;;100000
19;0      Total expenditure;1997 July;104.0;;100000
20;0      Total expenditure;1997 August;104.3;;100000
21;0      Total expenditure;1997 September;105.2;;100000
22;0      Total expenditure;1997 October;105.3;;100000
23;0      Total expenditure;1997 November;105.4;;100000
24;0      Total expenditure;1997 December;105.1;;100000
25;0      Total expenditure;1997;104.2;;100000
26;0      Total expenditure;1998 January;104.7;;100000
27;0      Total expenditure;1998 February;105.3;;100000
28;0      Total expenditure;1998 March;106.2;;100000
29;0      Total expenditure;1998 April;106.4;;100000
30;0      Total expenditure;1998 May;106.3;;100000
31;0      Total expenditure;1998 June;105.9;;100000
32;0      Total expenditure;1998 July;106.1;;100000
33;0      Total expenditure;1998 August;106.1;;100000
34;0      Total expenditure;1998 September;107.0;;100000
35;0      Total expenditure;1998 October;107.3;;100000
36;0      Total expenditure;1998 November;107.2;;100000
37;0      Total expenditure;1998 December;106.9;;100000
38;0      Total expenditure;1998;106.3;;100000
39;0      Total expenditure;1999 January;107.0;;100000
40;0      Total expenditure;1999 February;107.5;;100000
41;0      Total expenditure;1999 March;108.5;;100000
42;0      Total expenditure;1999 April;108.7;;100000
43;0      Total expenditure;1999 May;108.7;;100000
44;0      Total expenditure;1999 June;108.3;;100000
45;0      Total expenditure;1999 July;108.3;;100000
46;0      Total expenditure;1999 August;108.9;;100000
47;0      Total expenditure;1999 September;109.4;;100000
48;0      Total expenditure;1999 October;109.5;;100000
49;0      Total expenditure;1999 November;109.6;;100000
50;0      Total expenditure;1999 December;109.2;;100000
51;0      Total expenditure;1999;108.6;;100000
52;0      Total expenditure;2000 January;109.1;;100000
53;0      Total expenditure;2000 February;109.6;;100000
54;0      Total expenditure;2000 March;110.6;;100000
55;0      Total expenditure;2000 April;111.0;;100000
56;0      Total expenditure;2000 May;111.3;;100000
