ID;RegioS;GemeentelijkeHoofdfuncties;Perioden;Lasten_1;Baten_2;Saldo_3;Lasten_4;Baten_5;Saldo_6
0;Nederland;1;1999;468.8;27.6;-441.3;29.7;1.7;-28.0
1;Nederland;1;2000;485.7;25.0;-460.7;30.6;1.6;-29.0
2;Nederland;1;2001;538.5;28.9;-509.6;33.7;1.8;-31.9
3;Nederland;1;2002;667.4;33.5;-633.9;41.4;2.1;-39.4
4;Nederland;1;2003;731.4;39.3;-692.1;45.2;2.4;-42.7
5;Nederland;2;1999;1056.5;186.2;-870.3;67.0;11.8;-55.2
6;Nederland;2;2000;1321.8;243.8;-1078.0;83.3;15.4;-68.0
7;Nederland;2;2001;1388.3;334.9;-1053.4;86.8;20.9;-65.9
8;Nederland;2;2002;1539.9;392.8;-1147.1;95.6;24.4;-71.2
9;Nederland;2;2003;1490.9;358.5;-1132.4;92.1;22.1;-69.9
10;Nederland;3;1999;408.2;188.5;-219.7;25.9;12.0;-13.9
11;Nederland;3;2000;402.8;193.3;-209.6;25.4;12.2;-13.2
12;Nederland;3;2001;429.3;195.7;-233.6;26.9;12.2;-14.6
13;Nederland;3;2002;515.1;213.2;-301.9;32.0;13.2;-18.7
14;Nederland;3;2003;519.6;208.3;-311.3;32.1;12.9;-19.2
15;Nederland;0;1999;1933.5;402.2;-1531.2;122.7;25.5;-97.2
16;Nederland;0;2000;2210.4;462.1;-1748.2;139.3;29.1;-110.2
17;Nederland;0;2001;2356.1;559.5;-1796.6;147.4;35.0;-112.4
18;Nederland;0;2002;2722.3;639.4;-2082.9;169.0;39.7;-129.3
19;Nederland;0;2003;2741.9;606.1;-2135.8;169.3;37.4;-131.9
20;Nederland;110;1999;46.3;15.0;-31.3;2.9;1.0;-2.0
21;Nederland;110;2000;42.5;11.8;-30.7;2.7;0.7;-1.9
22;Nederland;110;2001;56.2;13.9;-42.3;3.5;0.9;-2.6
23;Nederland;110;2002;70.3;16.6;-53.8;4.4;1.0;-3.3
24;Nederland;110;2003;57.2;10.0;-47.2;3.5;0.6;-2.9
25;Nederland;120;1999;545.4;62.6;-482.8;34.6;4.0;-30.6
26;Nederland;120;2000;594.8;73.0;-521.8;37.5;4.6;-32.9
27;Nederland;120;2001;661.6;79.6;-582.0;41.4;5.0;-36.4
28;Nederland;120;2002;762.7;98.8;-663.9;47.4;6.1;-41.2
29;Nederland;120;2003;822.0;99.0;-723.0;50.8;6.1;-44.7
30;Nederland;140;1999;60.6;15.8;-44.8;3.8;1.0;-2.8
31;Nederland;140;2000;72.7;17.5;-55.2;4.6;1.1;-3.5
32;Nederland;140;2001;93.1;30.0;-63.1;5.8;1.9;-3.9
33;Nederland;140;2002;115.2;35.3;-79.9;7.2;2.2;-5.0
34;Nederland;140;2003;150.0;45.9;-104.1;9.3;2.8;-6.4
35;Nederland;100;1999;652.2;93.4;-558.9;41.4;5.9;-35.5
36;Nederland;100;2000;709.9;102.3;-607.6;44.7;6.4;-38.3
37;Nederland;100;2001;811.0;123.5;-687.4;50.7;7.7;-43.0
38;Nederland;100;2002;948.3;150.7;-797.6;58.9;9.4;-49.5
39;Nederland;100;2003;1029.2;154.9;-874.3;63.6;9.6;-54.0
40;Nederland;210;1999;1792.8;308.0;-1484.7;113.8;19.5;-94.2
41;Nederland;210;2000;1950.4;308.8;-1641.6;122.9;19.5;-103.5
42;Nederland;210;2001;2097.8;358.7;-1739.1;131.2;22.4;-108.8
