ID;Perioden;BeeindigdeEchtscheidingsprocedures_1;TotaalMetPartneralimentatie_2;MaandelijkseBijdrage400Euro_3;MaandelijkseBijdrage400Tot800Euro_4;MaandelijkseBijdrage800Tot1200Euro_5;MaandelijkseBijdrage1200Tot1600Euro_6;MaandelijkseBijdrage1600EuroOfMeer_7;PartneralimentatieMediaan_8;PartneralimentatieGemiddelde_9;ProceduresZonderPartneralimentatie_10
0;2001;36897;6620;45;29;11;6;10;450;715;30275
1;2003;31886;6140;41;30;11;6;12;500;795;25745
2;2005;32607;6410;33;31;15;9;11;540;825;26195
3;2007;32641;6415;30;31;16;9;14;600;885;26225
4;2009;31677;5275;30;27;17;7;19;650;1035;26405
5;2011;33240;5165;33;24;16;10;16;650;985;28075
6;2013;35244;5710;32;28;15;8;18;600;980;29530
