ID;RegioS;SamenstellingVanHetHuishouden;AantalHuishoudens_1;GemiddBesteedbInkomenPerHuishouden_2
0;Nederland;Totaal particulier huishouden;6718.6;30.3
1;Nederland;Eenpersoonshuishouden;2188.7;18.4
2;Nederland;Meerpers. huishouden met minderj. kind.;1886.3;36.6
3;Nederland;Meerpers. huishouden z. minderj. kind.;2643.7;35.7
4;Noord-Nederland (LD);Totaal particulier huishouden;699.6;27.9
5;Noord-Nederland (LD);Eenpersoonshuishouden;219.3;17.0
6;Noord-Nederland (LD);Meerpers. huishouden met minderj. kind.;190.6;33.8
7;Noord-Nederland (LD);Meerpers. huishouden z. minderj. kind.;289.7;32.2
8;Oost-Nederland (LD);Totaal particulier huishouden;1343.1;30.4
9;Oost-Nederland (LD);Eenpersoonshuishouden;386.6;17.7
10;Oost-Nederland (LD);Meerpers. huishouden met minderj. kind.;409.3;36.2
11;Oost-Nederland (LD);Meerpers. huishouden z. minderj. kind.;547.2;34.9
12;West-Nederland (LD);Totaal particulier huishouden;3236.7;30.7
13;West-Nederland (LD);Eenpersoonshuishouden;1171.2;19.0
14;West-Nederland (LD);Meerpers. huishouden met minderj. kind.;877.5;37.6
15;West-Nederland (LD);Meerpers. huishouden z. minderj. kind.;1188.0;37.2
16;Zuid-Nederland (LD);Totaal particulier huishouden;1439.3;30.5
17;Zuid-Nederland (LD);Eenpersoonshuishouden;411.6;17.9
18;Zuid-Nederland (LD);Meerpers. huishouden met minderj. kind.;408.9;36.3
19;Zuid-Nederland (LD);Meerpers. huishouden z. minderj. kind.;618.8;35.2
20;Groningen (PV);Totaal particulier huishouden;241.2;27.0
21;Groningen (PV);Eenpersoonshuishouden;84.7;17.0
22;Groningen (PV);Meerpers. huishouden met minderj. kind.;60.9;33.5
23;Groningen (PV);Meerpers. huishouden z. minderj. kind.;95.6;31.7
24;Friesland (PV);Totaal particulier huishouden;262.6;27.8
25;Friesland (PV);Eenpersoonshuishouden;80.8;16.8
26;Friesland (PV);Meerpers. huishouden met minderj. kind.;73.4;33.7
27;Friesland (PV);Meerpers. huishouden z. minderj. kind.;108.3;32.1
