ID;UitgescheidenMest;Perioden;TotaalUitscheiding_1;UitscheidingInDeStal_2;UitscheidingInDeWei_3;TotaalStikstofverliezenN_4;AmmoniakemissieN_5;OverigeGasvorrigeVerliezenN_6;SpuiwaterLuchtwassersN_7;OpgeslagenMestEnWeidemest_8;VanLandbouwbedrijvenAfgevoerdeMest_9;OpLandbouwbedrijvenAangevoerdeMest_10;VerwerkteMestExclusiefExport_11;NettoMestexport_12;PlaatsingsruimteDierlijkeMest_13;GebruikDierlijkeMestInDeLandbouw_14
0;Totaal mestsoorten;1950;49019.0;;;;;;;49019.0;;;;;;
1;Totaal mestsoorten;1960;60696.0;;;;;;;60696.0;;;;;;
2;Totaal mestsoorten;1965;64115.0;;;;;;;64115.0;;;;;;
3;Totaal mestsoorten;1970;68192.0;;;;;;;68192.0;;;;;;
4;Totaal mestsoorten;1974;85688.0;;;;;;;85688.0;;;;;;
5;Totaal mestsoorten;1976;79477.0;;;;;;;79477.0;;;;;;
6;Totaal mestsoorten;1978;82123.0;;;;;;;82123.0;;;;;;
7;Totaal mestsoorten;1980;85634.0;;;;;;;85634.0;;;;;;
8;Totaal mestsoorten;1982;87393.0;;;;;;;87393.0;;;;;;
9;Totaal mestsoorten;1984;99739.0;;;;;;;99739.0;;;;;;
10;Totaal mestsoorten;1986;94648.0;;;;;;;94648.0;8738.0;8501.0;;;;94411.0
11;Totaal mestsoorten;1988;87511.0;;;;;;;87511.0;;;;;;
12;Totaal mestsoorten;1990;87445.0;64965.0;22480.0;;;;;87445.0;;;;;;
13;Totaal mestsoorten;1991;88700.0;;;;;;;88700.0;;;;;;
14;Totaal mestsoorten;1992;86700.0;;;;;;;86700.0;;;;;;
15;Totaal mestsoorten;1993;85700.0;;;;;;;85700.0;;;;;;
16;Totaal mestsoorten;1994;83003.0;61863.0;21140.0;;;;;83003.0;16991.0;15534.0;;;;81545.0
17;Totaal mestsoorten;1995;82554.0;61388.0;21166.0;;;;;82554.0;16983.0;15418.0;;;;80989.0
18;Totaal mestsoorten;1996;81192.0;60386.0;20805.0;;;;;81192.0;16310.0;14822.0;;;;79703.0
19;Totaal mestsoorten;1997;77872.0;57829.0;20044.0;;;;;77872.0;15801.0;14818.0;;;;76889.0
20;Totaal mestsoorten;1998;76931.0;57238.0;19693.0;;;;;76931.0;13289.0;11510.0;;;;75152.0
21;Totaal mestsoorten;1999;75445.0;56096.0;19348.0;;;;;75445.0;15269.0;13923.0;;;;74099.0
22;Totaal mestsoorten;2000;75558.0;56940.0;18618.0;;;;;75558.0;13209.0;11484.0;;;;73833.0
23;Totaal mestsoorten;2001;74987.0;56406.0;18582.0;;;;;74987.0;13941.0;12192.0;;;;73238.0
24;Totaal mestsoorten;2002;71527.0;55892.0;15635.0;;;;;71527.0;12816.0;11371.0;;;;70082.0
25;Totaal mestsoorten;2003;69246.0;53888.0;15358.0;;;;;69246.0;11899.0;10006.0;;;;67353.0
26;Totaal mestsoorten;2004;70389.0;55128.0;15260.0;;;;;70389.0;11554.0;9618.0;;;;68453.0
27;Totaal mestsoorten;2005;70117.0;54970.0;15147.0;;;;;70117.0;11926.0;10171.0;;;;68362.0
28;Totaal mestsoorten;2006;69284.0;55078.0;14206.0;;;;;69284.0;15184.0;12813.0;;;;66914.0
29;Totaal mestsoorten;2007;69236.0;55804.0;13432.0;;;;;69236.0;17276.0;14062.0;;;;66022.0
30;Totaal mestsoorten;2008;71277.0;56781.0;14496.0;;;;;71277.0;18383.0;15002.0;;;;67895.0
31;Totaal mestsoorten;2009;72703.0;62679.0;10023.0;;;;;72703.0;19014.0;14583.0;;;;68272.0
32;Totaal mestsoorten;2010;72172.0;62708.0;9464.0;;;;;72172.0;18909.0;14489.0;;;;67752.0
33;Totaal mestsoorten;2011;71434.0;62577.0;8857.0;;;;;71434.0;19702.0;15434.0;;;;67166.0
34;Totaal mestsoorten;2012;71207.0;62444.0;8763.0;;;;;71207.0;20392.0;15924.0;;;;66739.0
35;Totaal mestsoorten;2013;73155.0;64571.0;8584.0;;;;;73155.0;20521.0;15764.0;;;;68399.0
36;Totaal mestsoorten;2014;74089.0;65111.0;8978.0;;;;;74089.0;21891.0;17188.0;;;;69387.0
37;Totaal mestsoorten;2015;76326.0;67640.0;8686.0;;;;;76326.0;24530.0;18785.0;;;;70580.0
38;Totaal mestsoorten;2016;78211.0;70136.0;8075.0;;;;;78211.0;25624.0;19251.0;;;;71837.0
39;Totaal mestsoorten;2017;77878.0;69620.0;8258.0;;;;;77878.0;25922.0;19724.0;;;;71680.0
40;Totaal mestsoorten;2018;75163.0;67130.0;8033.0;;;;;75163.0;25259.0;19813.0;;;;69718.0
41;Totaal mestsoorten;2019;74602.0;66190.0;8412.0;;;;;74602.0;25519.0;20054.0;;;;69137.0
42;Totaal mestsoorten;2020;74328.0;65983.0;8346.0;;;;;74328.0;25816.0;20524.0;;;;69037.0
43;Totaal mestsoorten;2021;73462.0;65774.0;7688.0;;;;;73462.0;25490.0;20728.0;;;;68701.0
44;Totaal mestsoorten;2022;73538.0;65706.0;7832.0;;;;;73538.0;26191.0;21568.0;;;;68916.0
45;Totaal mestsoorten;2023;74651.0;66506.0;8146.0;;;;;74651.0;25453.0;20924.0;;;;70123.0
46;Totaal mestsoorten;2024;73329.0;65522.0;7807.0;;;;;;;;;;;
47;Stikstof (N);1950;;;;;;;;;;;;;;
