ID;TypeWoning;Perioden;PrijsindexVerkoopprijzen_1;OntwikkelingTOVVoorgaandePeriode_2;OntwikkelingTOVEenJaarEerder_3;VerkochteWoningen_4;OntwikkelingTOVVoorgaandePeriode_5;OntwikkelingTOVEenJaarEerder_6;GemiddeldeVerkoopprijs_7;TotaleWaardeVerkoopprijzen_8
0;Totaal woningen;1995 1e kwartaal;28.9;;;30734;;;89792;2760
1;Totaal woningen;1995 2e kwartaal;29.3;1.4;;37054;20.6;;92094;3412
2;Totaal woningen;1995 3e kwartaal;30.0;2.3;;40498;9.3;;95819;3880
3;Totaal woningen;1995 4e kwartaal;30.4;1.4;;46282;14.3;;95892;4438
4;Totaal woningen;1995;29.6;;;154568;;;93750;14491
5;Totaal woningen;1996 1e kwartaal;31.2;2.5;7.8;35669;-22.9;16.1;97224;3468
6;Totaal woningen;1996 2e kwartaal;32.1;3.1;9.6;43810;22.8;18.2;100280;4393
7;Totaal woningen;1996 3e kwartaal;33.1;3.2;10.5;46582;6.3;15.0;104754;4880
8;Totaal woningen;1996 4e kwartaal;34.0;2.5;11.7;49690;6.7;7.4;106508;5292
9;Totaal woningen;1996;32.6;10.0;10.0;175751;13.7;13.7;102607;18033
10;Totaal woningen;1997 1e kwartaal;34.9;2.7;11.9;35763;-28.0;0.3;107138;3832
11;Totaal woningen;1997 2e kwartaal;35.9;2.8;11.6;47160;31.9;7.6;110934;5232
12;Totaal woningen;1997 3e kwartaal;36.9;2.8;11.3;49619;5.2;6.5;115563;5734
13;Totaal woningen;1997 4e kwartaal;37.7;2.3;11.1;53092;7.0;6.8;116960;6210
14;Totaal woningen;1997;36.3;11.5;11.5;185634;5.6;5.6;113163;21007
15;Totaal woningen;1998 1e kwartaal;38.5;1.9;10.3;38128;-28.2;6.6;118873;4532
16;Totaal woningen;1998 2e kwartaal;39.5;2.6;10.0;47410;24.3;0.5;121358;5754
17;Totaal woningen;1998 3e kwartaal;40.8;3.3;10.6;51153;7.9;3.1;127361;6515
18;Totaal woningen;1998 4e kwartaal;41.9;2.6;11.0;55931;9.3;5.3;128521;7188
19;Totaal woningen;1998;40.1;10.5;10.5;192622;3.8;3.8;124540;23989
20;Totaal woningen;1999 1e kwartaal;43.4;3.6;12.8;42223;-24.5;10.7;131800;5565
21;Totaal woningen;1999 2e kwartaal;45.3;4.4;14.8;50211;18.9;5.9;139546;7007
22;Totaal woningen;1999 3e kwartaal;47.6;5.1;16.7;55575;10.7;8.6;148759;8267
23;Totaal woningen;1999 4e kwartaal;49.7;4.4;18.8;56529;1.7;1.1;155204;8774
24;Totaal woningen;1999;46.5;15.8;15.8;204538;6.2;6.2;144778;29613
25;Totaal woningen;2000 1e kwartaal;51.8;4.3;19.5;39643;-29.9;-6.1;159365;6318
26;Totaal woningen;2000 2e kwartaal;53.8;3.8;18.9;47098;18.8;-6.2;167599;7894
