ID;RegioS;BronEnTechniek;Perioden;OpgesteldElektrischVermogen_1;NietGenormaliseerdeProductie_2;GenormaliseerdeProductie_3
0;Nederland;Zonnestroom, totaal;2018;4609.0;3693.0;3693.0
1;Nederland;Zonnestroom, totaal;2019;7226.0;5399.0;5399.0
2;Nederland;Zonnestroom, totaal;2020;11108.0;8567.0;8567.0
3;Nederland;Zonnestroom, totaal;2021;14823.0;11304.0;11304.0
4;Nederland;Zonnestroom, totaal;2022;19536.0;16659.0;16659.0
5;Nederland;Zonnestroom, totaal;2023;24302.0;19580.0;19580.0
6;Nederland;Zonnestroom, klein vermogen;2018;2480.0;2154.0;2154.0
7;Nederland;Zonnestroom, klein vermogen;2019;3473.0;2806.0;2806.0
8;Nederland;Zonnestroom, klein vermogen;2020;4677.0;3931.0;3931.0
9;Nederland;Zonnestroom, klein vermogen;2021;6069.0;4831.0;4831.0
10;Nederland;Zonnestroom, klein vermogen;2022;8336.0;7032.0;7032.0
11;Nederland;Zonnestroom, klein vermogen;2023;10847.0;8803.0;8803.0
12;Nederland;Zonnestroom, groot vermogen;2018;2129.0;1539.0;1539.0
13;Nederland;Zonnestroom, groot vermogen;2019;3753.0;2593.0;2593.0
14;Nederland;Zonnestroom, groot vermogen;2020;6431.0;4636.0;4636.0
15;Nederland;Zonnestroom, groot vermogen;2021;8754.0;6473.0;6473.0
16;Nederland;Zonnestroom, groot vermogen;2022;11200.0;9626.0;9626.0
17;Nederland;Zonnestroom, groot vermogen;2023;13455.0;10776.0;10776.0
18;Nederland;Windenergie op land;2018;3436.0;6918.0;6578.0
19;Nederland;Windenergie op land;2019;3527.0;7935.0;7429.0
20;Nederland;Windenergie op land;2020;4188.0;9794.0;8962.0
21;Nederland;Windenergie op land;2021;5186.0;10058.0;10454.0
22;Nederland;Windenergie op land;2022;6131.0;13440.0;12957.0
23;Nederland;Windenergie op land;2023;6757.0;17814.0;15767.0
24;Groningen (PV);Zonnestroom, totaal;2018;272.0;233.0;233.0
25;Groningen (PV);Zonnestroom, totaal;2019;492.0;304.0;304.0
26;Groningen (PV);Zonnestroom, totaal;2020;943.0;594.0;594.0
27;Groningen (PV);Zonnestroom, totaal;2021;1156.0;901.0;901.0
28;Groningen (PV);Zonnestroom, totaal;2022;1335.0;1182.0;1182.0
29;Groningen (PV);Zonnestroom, totaal;2023;1631.0;1328.0;1328.0
30;Groningen (PV);Zonnestroom, klein vermogen;2018;127.0;111.0;111.0
31;Groningen (PV);Zonnestroom, klein vermogen;2019;161.0;130.0;130.0
32;Groningen (PV);Zonnestroom, klein vermogen;2020;213.0;171.0;171.0
33;Groningen (PV);Zonnestroom, klein vermogen;2021;276.0;211.0;211.0
34;Groningen (PV);Zonnestroom, klein vermogen;2022;359.0;288.0;288.0
35;Groningen (PV);Zonnestroom, klein vermogen;2023;448.0;358.0;358.0
36;Groningen (PV);Zonnestroom, groot vermogen;2018;146.0;122.0;122.0
37;Groningen (PV);Zonnestroom, groot vermogen;2019;330.0;175.0;175.0
38;Groningen (PV);Zonnestroom, groot vermogen;2020;730.0;423.0;423.0
39;Groningen (PV);Zonnestroom, groot vermogen;2021;881.0;689.0;689.0
40;Groningen (PV);Zonnestroom, groot vermogen;2022;976.0;894.0;894.0
41;Groningen (PV);Zonnestroom, groot vermogen;2023;1184.0;969.0;969.0
42;Groningen (PV);Windenergie op land;2018;447.0;975.0;927.0
43;Groningen (PV);Windenergie op land;2019;450.0;1054.0;986.0
44;Groningen (PV);Windenergie op land;2020;620.0;1154.0;1056.0
45;Groningen (PV);Windenergie op land;2021;731.0;1563.0;1624.0
46;Groningen (PV);Windenergie op land;2022;839.0;2043.0;1970.0
47;Groningen (PV);Windenergie op land;2023;868.0;2315.0;2049.0
48;Fryslân (PV);Zonnestroom, totaal;2018;325.0;247.0;247.0
49;Fryslân (PV);Zonnestroom, totaal;2019;441.0;345.0;345.0
50;Fryslân (PV);Zonnestroom, totaal;2020;702.0;513.0;513.0
51;Fryslân (PV);Zonnestroom, totaal;2021;865.0;690.0;690.0
52;Fryslân (PV);Zonnestroom, totaal;2022;1040.0;917.0;917.0
53;Fryslân (PV);Zonnestroom, totaal;2023;1249.0;1014.0;1014.0
54;Fryslân (PV);Zonnestroom, klein vermogen;2018;140.0;117.0;117.0
55;Fryslân (PV);Zonnestroom, klein vermogen;2019;193.0;153.0;153.0
56;Fryslân (PV);Zonnestroom, klein vermogen;2020;257.0;217.0;217.0
57;Fryslân (PV);Zonnestroom, klein vermogen;2021;323.0;257.0;257.0
58;Fryslân (PV);Zonnestroom, klein vermogen;2022;427.0;360.0;360.0
59;Fryslân (PV);Zonnestroom, klein vermogen;2023;540.0;439.0;439.0
60;Fryslân (PV);Zonnestroom, groot vermogen;2018;185.0;130.0;130.0
61;Fryslân (PV);Zonnestroom, groot vermogen;2019;248.0;192.0;192.0
62;Fryslân (PV);Zonnestroom, groot vermogen;2020;444.0;296.0;296.0
63;Fryslân (PV);Zonnestroom, groot vermogen;2021;542.0;433.0;433.0
64;Fryslân (PV);Zonnestroom, groot vermogen;2022;613.0;557.0;557.0
65;Fryslân (PV);Zonnestroom, groot vermogen;2023;709.0;575.0;575.0
66;Fryslân (PV);Windenergie op land;2018;196.0;408.0;388.0
67;Fryslân (PV);Windenergie op land;2019;197.0;444.0;415.0
68;Fryslân (PV);Windenergie op land;2020;198.0;495.0;453.0
69;Fryslân (PV);Windenergie op land;2021;576.0;946.0;983.0
70;Fryslân (PV);Windenergie op land;2022;619.0;1679.0;1619.0
71;Fryslân (PV);Windenergie op land;2023;619.0;1915.0;1695.0
72;Drenthe (PV);Zonnestroom, totaal;2018;249.0;192.0;192.0
73;Drenthe (PV);Zonnestroom, totaal;2019;372.0;281.0;281.0
74;Drenthe (PV);Zonnestroom, totaal;2020;603.0;450.0;450.0
75;Drenthe (PV);Zonnestroom, totaal;2021;897.0;692.0;692.0
76;Drenthe (PV);Zonnestroom, totaal;2022;1374.0;1072.0;1072.0
77;Drenthe (PV);Zonnestroom, totaal;2023;1642.0;1322.0;1322.0
78;Drenthe (PV);Zonnestroom, klein vermogen;2018;139.0;121.0;121.0
79;Drenthe (PV);Zonnestroom, klein vermogen;2019;184.0;150.0;150.0
80;Drenthe (PV);Zonnestroom, klein vermogen;2020;232.0;193.0;193.0
81;Drenthe (PV);Zonnestroom, klein vermogen;2021;284.0;224.0;224.0
82;Drenthe (PV);Zonnestroom, klein vermogen;2022;364.0;293.0;293.0
83;Drenthe (PV);Zonnestroom, klein vermogen;2023;468.0;371.0;371.0
84;Drenthe (PV);Zonnestroom, groot vermogen;2018;111.0;70.0;70.0
85;Drenthe (PV);Zonnestroom, groot vermogen;2019;189.0;132.0;132.0
86;Drenthe (PV);Zonnestroom, groot vermogen;2020;371.0;257.0;257.0
87;Drenthe (PV);Zonnestroom, groot vermogen;2021;614.0;468.0;468.0
88;Drenthe (PV);Zonnestroom, groot vermogen;2022;1010.0;780.0;780.0
89;Drenthe (PV);Zonnestroom, groot vermogen;2023;1174.0;951.0;951.0
