ID;BedrijfstakkenBranchesSBI2008;Perioden;NajaarsenqueteJaarT1_1;VoorjaarsenqueteJaarT_2;NajaarsenqueteJaarT_3;NajaarsenqueteJaarT1_4;NajaarsenqueteJaarT_5;NajaarsenqueteJaarT1_6;NajaarsenqueteJaarT_7;NajaarsenqueteJaarT1_8;NajaarsenqueteJaarT_9;NajaarsenqueteJaarT1_10;NajaarsenqueteJaarT_11
0;C Industrie;2010;;;-21.0;;38.0;;32.0;;14.0;;17.0
1;C Industrie;2011;24.0;25.0;26.0;40.0;37.0;34.0;35.0;16.0;17.0;10.0;11.0
2;C Industrie;2012;5.0;7.0;5.0;43.0;36.0;32.0;34.0;14.0;19.0;10.0;11.0
3;C Industrie;2013;1.0;7.0;-3.0;37.0;39.0;32.0;28.0;20.0;19.0;11.0;15.0
4;C Industrie;2014;2.0;9.0;1.0;42.0;44.0;30.0;30.0;19.0;18.0;10.0;9.0
5;C Industrie;2015;15.0;16.0;9.0;44.0;40.0;30.0;33.0;18.0;16.0;8.0;11.0
6;C Industrie;2016;4.0;-3.0;4.0;40.0;43.0;34.0;33.0;17.0;15.0;10.0;10.0
7;C Industrie;2017;13.0;15.0;19.0;42.0;40.0;32.0;35.0;16.0;15.0;10.0;10.0
8;C Industrie;2018;16.0;25.0;44.0;35.0;33.0;43.0;41.0;14.0;16.0;8.0;10.0
9;C Industrie;2019;-7.0;8.0;3.0;36.0;35.0;33.0;42.0;19.0;13.0;12.0;9.0
10;C Industrie;2020;-2.0;-11.0;-11.0;40.0;36.0;32.0;34.0;14.0;17.0;13.0;12.0
11;C Industrie;2021;-3.0;6.0;;39.0;;31.0;;17.0;;14.0;
12;10-12 Voedings-, genotmiddelenindustrie;2010;;;-24.0;;37.0;;35.0;;18.0;;10.0
13;10-12 Voedings-, genotmiddelenindustrie;2011;15.0;8.0;13.0;32.0;35.0;43.0;37.0;15.0;18.0;9.0;10.0
14;10-12 Voedings-, genotmiddelenindustrie;2012;13.0;23.0;20.0;36.0;35.0;34.0;33.0;19.0;20.0;11.0;12.0
