ID;Geslacht;Migratieachtergrond;Perioden;Immigratie_1;EmigratieInclusiefCorrecties_2;MigratiesaldoInclusiefCorrecties_3
0;Totaal mannen en vrouwen;Totaal;2017;232700;150929;81771
1;Totaal mannen en vrouwen;Totaal;2018;218097;157741;60356
2;Totaal mannen en vrouwen;Totaal;2019;215043;163090;51953
3;Totaal mannen en vrouwen;Totaal;2020;214187;167713;46474
4;Totaal mannen en vrouwen;Totaal;2021;214488;171870;42618
5;Totaal mannen en vrouwen;Totaal;2022;215882;175751;40131
6;Totaal mannen en vrouwen;Totaal;2023;217431;179332;38099
7;Totaal mannen en vrouwen;Totaal;2024;218775;182517;36258
8;Totaal mannen en vrouwen;Totaal;2025;220520;185256;35264
9;Totaal mannen en vrouwen;Totaal;2026;221301;187619;33682
10;Totaal mannen en vrouwen;Totaal;2027;221856;189760;32096
11;Totaal mannen en vrouwen;Totaal;2028;222115;191039;31076
12;Totaal mannen en vrouwen;Totaal;2029;222144;192096;30048
13;Totaal mannen en vrouwen;Totaal;2030;222326;192992;29334
14;Totaal mannen en vrouwen;Totaal;2031;222393;193727;28666
15;Totaal mannen en vrouwen;Totaal;2032;222505;194347;28158
16;Totaal mannen en vrouwen;Totaal;2033;222498;194863;27635
17;Totaal mannen en vrouwen;Totaal;2034;222573;195340;27233
18;Totaal mannen en vrouwen;Totaal;2035;222587;195765;26822
19;Totaal mannen en vrouwen;Totaal;2036;222555;196116;26439
20;Totaal mannen en vrouwen;Totaal;2037;222488;196383;26105
21;Totaal mannen en vrouwen;Totaal;2038;222439;196604;25835
22;Totaal mannen en vrouwen;Totaal;2039;222467;196746;25721
23;Totaal mannen en vrouwen;Totaal;2040;222388;196873;25515
24;Totaal mannen en vrouwen;Totaal;2041;222286;196997;25289
25;Totaal mannen en vrouwen;Totaal;2042;222256;197130;25126
26;Totaal mannen en vrouwen;Totaal;2043;222324;197314;25010
27;Totaal mannen en vrouwen;Totaal;2044;222382;197477;24905
28;Totaal mannen en vrouwen;Totaal;2045;222246;197626;24620
29;Totaal mannen en vrouwen;Totaal;2046;222345;197759;24586
30;Totaal mannen en vrouwen;Totaal;2047;222458;197880;24578
31;Totaal mannen en vrouwen;Totaal;2048;222534;198038;24496
32;Totaal mannen en vrouwen;Totaal;2049;222558;198226;24332
33;Totaal mannen en vrouwen;Totaal;2050;222648;198431;24217
34;Totaal mannen en vrouwen;Totaal;2051;222711;198635;24076
35;Totaal mannen en vrouwen;Totaal;2052;222828;198833;23995
36;Totaal mannen en vrouwen;Totaal;2053;222840;199036;23804
37;Totaal mannen en vrouwen;Totaal;2054;222982;199228;23754
38;Totaal mannen en vrouwen;Totaal;2055;223122;199418;23704
39;Totaal mannen en vrouwen;Totaal;2056;223232;199595;23637
40;Totaal mannen en vrouwen;Totaal;2057;223268;199764;23504
41;Totaal mannen en vrouwen;Totaal;2058;223425;199919;23506
42;Totaal mannen en vrouwen;Totaal;2059;223436;200064;23372
43;Totaal mannen en vrouwen;1e generatie migratieachtergrond;2017;198079;107147;90932
44;Totaal mannen en vrouwen;1e generatie migratieachtergrond;2018;185767;113728;72039
45;Totaal mannen en vrouwen;1e generatie migratieachtergrond;2019;184131;118610;65520
46;Totaal mannen en vrouwen;1e generatie migratieachtergrond;2020;183903;122425;61478
47;Totaal mannen en vrouwen;1e generatie migratieachtergrond;2021;184398;125556;58842
48;Totaal mannen en vrouwen;1e generatie migratieachtergrond;2022;185528;128334;57194
49;Totaal mannen en vrouwen;1e generatie migratieachtergrond;2023;186532;130907;55626
50;Totaal mannen en vrouwen;1e generatie migratieachtergrond;2024;187409;133294;54115
51;Totaal mannen en vrouwen;1e generatie migratieachtergrond;2025;188767;135615;53153
52;Totaal mannen en vrouwen;1e generatie migratieachtergrond;2026;189460;137808;51652
53;Totaal mannen en vrouwen;1e generatie migratieachtergrond;2027;189967;139815;50152
