ID;BedrijfstakkenBranchesSBI2008;Perioden;Waarde_1;Prijs_2;Volume_3;Waarde_4;Prijs_5;Volume_6
0;Detailhandel geen apotheken;2005 januari;82.7;94.5;87.5;-6.9;-2.3;-4.7
1;Detailhandel geen apotheken;2005 februari;79.5;95.9;82.9;-2.4;-1.8;-0.6
2;Detailhandel geen apotheken;2005 maart;94.1;97.8;96.2;1.3;-1.5;2.9
3;Detailhandel geen apotheken;2005 1e kwartaal;85.4;96.1;88.9;-2.6;-1.9;-0.8
4;Detailhandel geen apotheken;2005 april;94.4;97.8;96.6;-2.4;-1.7;-0.7
5;Detailhandel geen apotheken;2005 mei;92.8;97.6;95.1;-3.9;-1.9;-2.0
6;Detailhandel geen apotheken;2005 juni;98.0;96.5;101.6;2.1;-1.4;3.6
7;Detailhandel geen apotheken;2005 2e kwartaal;95.1;97.3;97.7;-1.4;-1.7;0.3
8;Detailhandel geen apotheken;2005 juli;94.1;94.8;99.3;-1.9;-1.3;-0.6
9;Detailhandel geen apotheken;2005 augustus;89.7;95.5;94.0;3.8;-1.2;5.1
10;Detailhandel geen apotheken;2005 september;96.0;97.7;98.2;3.2;-1.0;4.3
11;Detailhandel geen apotheken;2005 3e kwartaal;93.3;96.0;97.2;1.6;-1.2;2.8
12;Detailhandel geen apotheken;2005 oktober;97.6;97.6;100.0;1.6;-1.0;2.7
13;Detailhandel geen apotheken;2005 november;96.8;97.2;99.6;5.2;-0.9;6.1
14;Detailhandel geen apotheken;2005 december;113.5;96.0;118.3;4.4;-0.1;4.5
15;Detailhandel geen apotheken;2005 4e kwartaal;102.6;96.9;105.9;3.7;-0.7;4.4
16;Detailhandel geen apotheken;2005;94.1;96.6;97.4;0.4;-1.4;1.8
17;Detailhandel geen apotheken;2006 januari;87.7;94.7;92.6;6.1;0.2;5.8
18;Detailhandel geen apotheken;2006 februari;83.2;95.8;86.8;4.6;-0.1;4.7
19;Detailhandel geen apotheken;2006 maart;99.1;97.9;101.3;5.3;0.0;5.3
20;Detailhandel geen apotheken;2006 1e kwartaal;90.0;96.1;93.6;5.3;0.0;5.3
21;Detailhandel geen apotheken;2006 april;98.9;98.6;100.4;4.7;0.8;3.9
22;Detailhandel geen apotheken;2006 mei;104.1;98.5;105.7;12.2;0.9;11.2
23;Detailhandel geen apotheken;2006 juni;104.1;97.4;106.9;6.2;0.9;5.2
24;Detailhandel geen apotheken;2006 2e kwartaal;102.4;98.1;104.3;7.7;0.9;6.7
25;Detailhandel geen apotheken;2006 juli;96.3;95.2;101.2;2.3;0.4;1.9
26;Detailhandel geen apotheken;2006 augustus;98.1;96.5;101.6;9.3;1.0;8.1
27;Detailhandel geen apotheken;2006 september;99.8;97.9;101.9;4.0;0.2;3.7
28;Detailhandel geen apotheken;2006 3e kwartaal;98.0;96.6;101.5;5.1;0.6;4.5
29;Detailhandel geen apotheken;2006 oktober;99.6;97.6;102.0;2.0;0.0;2.0
30;Detailhandel geen apotheken;2006 november;101.9;97.4;104.6;5.3;0.2;5.1
31;Detailhandel geen apotheken;2006 december;115.4;96.3;119.9;1.7;0.3;1.3
32;Detailhandel geen apotheken;2006 4e kwartaal;105.6;97.1;108.8;2.9;0.2;2.7
33;Detailhandel geen apotheken;2006;99.0;97.0;102.1;5.2;0.4;4.8
34;Detailhandel geen apotheken;2007 januari;90.9;94.5;96.2;3.7;-0.2;3.9
35;Detailhandel geen apotheken;2007 februari;86.7;95.5;90.8;4.3;-0.3;4.6
36;Detailhandel geen apotheken;2007 maart;105.7;98.3;107.6;6.6;0.4;6.2
37;Detailhandel geen apotheken;2007 1e kwartaal;94.5;96.1;98.3;5.0;0.0;5.0
38;Detailhandel geen apotheken;2007 april;102.4;99.1;103.4;3.6;0.5;3.0
39;Detailhandel geen apotheken;2007 mei;106.3;98.9;107.5;2.1;0.4;1.7
40;Detailhandel geen apotheken;2007 juni;109.2;97.4;112.1;4.9;0.1;4.8
41;Detailhandel geen apotheken;2007 2e kwartaal;105.9;98.5;107.6;3.5;0.3;3.2
42;Detailhandel geen apotheken;2007 juli;99.8;95.8;104.2;3.6;0.6;3.0
43;Detailhandel geen apotheken;2007 augustus;100.2;96.2;104.2;2.2;-0.4;2.5
44;Detailhandel geen apotheken;2007 september;101.7;97.9;103.9;2.0;0.0;2.0
45;Detailhandel geen apotheken;2007 3e kwartaal;100.6;96.6;104.1;2.6;0.1;2.5
46;Detailhandel geen apotheken;2007 oktober;105.6;98.3;107.4;6.0;0.7;5.3
47;Detailhandel geen apotheken;2007 november;106.2;98.6;107.7;4.2;1.2;3.0
48;Detailhandel geen apotheken;2007 december;118.9;97.3;122.2;3.1;1.1;1.9
49;Detailhandel geen apotheken;2007 4e kwartaal;110.2;98.1;112.4;4.4;1.0;3.3
50;Detailhandel geen apotheken;2007;102.8;97.3;105.6;3.8;0.3;3.5
51;Detailhandel geen apotheken;2008 januari;95.4;96.1;99.3;4.9;1.7;3.2
52;Detailhandel geen apotheken;2008 februari;95.2;97.7;97.5;9.7;2.2;7.3
53;Detailhandel geen apotheken;2008 maart;102.9;100.3;102.6;-2.6;2.1;-4.7
54;Detailhandel geen apotheken;2008 1e kwartaal;97.9;98.0;99.8;3.6;2.0;1.5
55;Detailhandel geen apotheken;2008 april;106.3;100.7;105.6;3.8;1.6;2.2
56;Detailhandel geen apotheken;2008 mei;114.6;101.1;113.4;7.9;2.3;5.5
57;Detailhandel geen apotheken;2008 juni;106.3;100.0;106.2;-2.7;2.7;-5.2
58;Detailhandel geen apotheken;2008 2e kwartaal;109.1;100.6;108.4;3.0;2.2;0.8
