ID;LeeftijdMoeder;Perioden;TotaalLevendgeborenen_1;k_1eKind_2;k_2eKind_3;k_3eKind_4;k_4eOfVolgendeKinderen_5;TotaalUitGehuwdeMoeders_6;k_1eKind_7;k_2eKind_8;k_3eKind_9;k_4eOfVolgendeKinderen_10;TotaalUitNietGehuwdeMoeders_11;k_1eKind_12;k_2eKind_13;k_3eKind_14;k_4eOfVolgendeKinderen_15;TotaalDoodgeborenen24_16;k_1eKind_17;k_2eKind_18;k_3eKind_19;k_4eOfVolgendeKinderen_20
0;Totaal (leeftijden moeders);1950;229718;62373;56399;39183;71763;226289;59974;55980;38947;71388;3429;2399;419;236;375;;;;;
1;Totaal (leeftijden moeders);1951;228407;64301;54907;38459;70740;225174;62070;54475;38240;70389;3233;2231;432;219;351;;;;;
2;Totaal (leeftijden moeders);1952;231888;67992;54982;38141;70773;228709;65785;54541;37942;70441;3179;2207;441;199;332;;;;;
3;Totaal (leeftijden moeders);1953;227964;65933;55623;37664;68744;224998;63831;55260;37484;68423;2966;2102;363;180;321;;;;;
4;Totaal (leeftijden moeders);1954;228173;66458;56692;37338;67685;225232;64413;56330;37127;67362;2941;2045;362;211;323;;;;;
5;Totaal (leeftijden moeders);1955;229222;68443;56654;37823;66302;226451;66529;56301;37647;65974;2771;1914;353;176;328;;;;;
6;Totaal (leeftijden moeders);1956;231492;70117;58050;37347;65978;228621;68136;57697;37145;65643;2871;1981;353;202;335;;;;;
7;Totaal (leeftijden moeders);1957;233892;72540;59466;37828;64058;230975;70484;59111;37647;63733;2917;2056;355;181;325;;;;;
8;Totaal (leeftijden moeders);1958;236859;74821;60882;38041;63115;233926;72775;60540;37818;62793;2933;2046;342;223;322;;;;;
9;Totaal (leeftijden moeders);1959;242518;76420;64416;39073;62609;239185;74104;63994;38847;62240;3333;2316;422;226;369;;;;;
10;Totaal (leeftijden moeders);1960;239128;74486;64779;39735;60128;235899;72184;64389;39549;59777;3229;2302;390;186;351;;;;;
11;Totaal (leeftijden moeders);1961;247407;77577;67152;41793;60885;243874;75083;66746;41551;60494;3533;2494;406;242;391;;;;;
12;Totaal (leeftijden moeders);1962;246150;79152;66954;41503;58541;242440;76511;66508;41292;58129;3710;2641;446;211;412;;;;;
13;Totaal (leeftijden moeders);1963;249879;80776;69214;42269;57620;245888;77937;68772;42013;57166;3991;2839;442;256;454;;;;;
14;Totaal (leeftijden moeders);1964;250914;83512;70157;42748;54497;246553;80306;69656;42487;54104;4361;3206;501;261;393;;;;;
15;Totaal (leeftijden moeders);1965;245216;86598;69786;40497;48335;240705;83316;69277;40217;47895;4511;3282;509;280;440;;;;;
16;Totaal (leeftijden moeders);1966;239611;89397;70477;38199;41538;234915;85915;69909;37961;41130;4696;3482;568;238;408;;;;;
17;Totaal (leeftijden moeders);1967;238678;93373;72096;36448;36761;233725;89691;71500;36183;36351;4953;3682;596;265;410;;;;;
18;Totaal (leeftijden moeders);1968;237112;94222;74292;35484;33114;232293;90625;73729;35217;32722;4819;3597;563;267;392;;;;;
19;Totaal (leeftijden moeders);1969;247588;96717;80305;38099;32467;242210;92713;79707;37771;32019;5378;4004;598;328;448;;;;;
20;Totaal (leeftijden moeders);1970;238912;93167;80090;36879;28776;233944;89511;79536;36589;28308;4968;3656;554;290;468;;;;;
21;Totaal (leeftijden moeders);1971;227180;91766;77838;33441;24135;222708;88582;77273;33142;23711;4472;3184;565;299;424;;;;;
22;Totaal (leeftijden moeders);1972;214133;90338;76593;28500;18702;210056;87371;76108;28249;18328;4077;2967;485;251;374;;;;;
23;Totaal (leeftijden moeders);1973;194993;84363;72954;23310;14366;191304;81763;72462;23054;14025;3689;2600;492;256;341;;;;;
24;Totaal (leeftijden moeders);1974;185982;81122;72589;20948;11323;182296;78531;72029;20699;11037;3686;2591;560;249;286;;;;;
25;Totaal (leeftijden moeders);1975;177876;77995;70411;19457;10013;174056;75460;69743;19151;9702;3820;2535;668;306;311;;;;;
26;Totaal (leeftijden moeders);1976;177090;76465;70789;20136;9700;172735;73615;70022;19772;9326;4355;2850;767;364;374;;;;;
27;Totaal (leeftijden moeders);1977;173296;74026;69289;20475;9506;168549;70807;68459;20091;9192;4747;3219;830;384;314;;;;;
28;Totaal (leeftijden moeders);1978;175550;74971;69222;21923;9434;170191;71391;68257;21471;9072;5359;3580;965;452;362;;;;;
29;Totaal (leeftijden moeders);1979;174979;75894;66510;22753;9822;168976;71886;65388;22237;9465;6003;4008;1122;516;357;;;;;
30;Totaal (leeftijden moeders);1980;181294;78103;67228;24985;10978;173840;73140;65761;24350;10589;7454;4963;1467;635;389;;;;;
31;Totaal (leeftijden moeders);1981;178569;76368;65497;25169;11535;169910;70565;63747;24499;11099;8659;5803;1750;670;436;;;;;
32;Totaal (leeftijden moeders);1982;172071;73445;62512;24364;11750;161924;66589;60483;23567;11285;10147;6856;2029;797;465;;;;;
33;Totaal (leeftijden moeders);1983;170246;74602;60638;23426;11580;158389;66546;58259;22485;11099;11857;8056;2379;941;481;;;;;
34;Totaal (leeftijden moeders);1984;174436;78076;60727;23866;11767;161082;69194;57765;22890;11233;13354;8882;2962;976;534;;;;;
35;Totaal (leeftijden moeders);1985;178136;78392;63184;24507;12053;163370;68763;59823;23342;11442;14766;9629;3361;1165;611;;;;;
36;Totaal (leeftijden moeders);1986;184513;80380;66218;25560;12355;168293;69994;62346;24280;11673;16220;10386;3872;1280;682;;;;;
37;Totaal (leeftijden moeders);1987;186667;81712;66588;25731;12636;169282;70599;62478;24262;11943;17385;11113;4110;1469;693;;;;;
38;Totaal (leeftijden moeders);1988;186647;83209;65216;25601;12621;167696;71060;60711;24031;11894;18951;12149;4505;1570;727;;;;;
39;Totaal (leeftijden moeders);1989;188979;83684;66292;26247;12756;168802;71017;61303;24541;11941;20177;12667;4989;1706;815;;;;;
40;Totaal (leeftijden moeders);1990;197965;89237;68193;27474;13061;175440;74614;62883;25696;12247;22525;14623;5310;1778;814;;;;;
41;Totaal (leeftijden moeders);1991;198665;90011;68892;26965;12797;174839;74902;63021;25017;11899;23826;15109;5871;1948;898;;;;;
42;Totaal (leeftijden moeders);1992;196734;87147;69696;27007;12884;172251;71963;63318;24996;11974;24483;15184;6378;2011;910;;;;;
43;Totaal (leeftijden moeders);1993;195748;86888;70237;26396;12227;170100;70948;63588;24236;11328;25648;15940;6649;2160;899;;;;;
44;Totaal (leeftijden moeders);1994;195611;86999;69798;26652;12162;167712;69591;62648;24352;11121;27899;17408;7150;2300;1041;;;;;
45;Totaal (leeftijden moeders);1995;190513;85030;69611;24861;11011;160952;67236;61573;22241;9902;29561;17794;8038;2620;1109;1222.0;821.0;190.0;57.0;49.0
46;Totaal (leeftijden moeders);1996;189521;85792;68334;24631;10764;157329;65300;60025;22268;9736;32192;20492;8309;2363;1028;1221.0;803.0;265.0;94.0;59.0
47;Totaal (leeftijden moeders);1997;192443;89322;68173;24238;10710;155580;65912;58592;21526;9550;36863;23410;9581;2712;1160;1279.0;853.0;238.0;119.0;69.0
48;Totaal (leeftijden moeders);1998;199408;93876;69877;24970;10685;157969;67185;59190;22095;9499;41439;26691;10687;2875;1186;1271.0;791.0;290.0;130.0;60.0
49;Totaal (leeftijden moeders);1999;200445;93815;71289;24840;10501;154853;64650;59257;21732;9214;45592;29165;12032;3108;1287;1263.0;765.0;309.0;102.0;87.0
50;Totaal (leeftijden moeders);2000;206619;95972;74014;25685;10948;155080;63607;59970;22088;9415;51539;32365;14044;3597;1533;1253.0;735.0;315.0;125.0;78.0
51;Totaal (leeftijden moeders);2001;202603;93695;73533;24896;10479;147495;59510;58114;20923;8948;55108;34185;15419;3973;1531;1258.0;701.0;325.0;135.0;97.0
52;Totaal (leeftijden moeders);2002;202083;92199;74403;25312;10169;143558;56741;57303;20953;8561;58525;35458;17100;4359;1608;1185.0;753.0;260.0;111.0;61.0
53;Totaal (leeftijden moeders);2003;200297;91120;73952;25299;9926;138858;54522;55287;20759;8290;61439;36598;18665;4540;1636;1124.0;561.0;359.0;126.0;78.0
54;Totaal (leeftijden moeders);2004;194007;88432;71462;24518;9595;130978;51304;52013;19738;7923;63029;37128;19449;4780;1672;1013.0;547.0;276.0;122.0;68.0
55;Totaal (leeftijden moeders);2005;187910;84928;69668;23980;9334;122347;46965;48977;18769;7636;65563;37963;20691;5211;1698;983.0;525.0;282.0;113.0;63.0
56;Totaal (leeftijden moeders);2006;185057;82877;69127;23680;9373;116482;43958;46728;18238;7558;68575;38919;22399;5442;1815;856.0;469.0;228.0;99.0;60.0
57;Totaal (leeftijden moeders);2007;181336;81905;66842;23456;9133;109777;41299;43545;17625;7308;71559;40606;23297;5831;1825;781.0;395.0;224.0;100.0;62.0
58;Totaal (leeftijden moeders);2008;184634;83335;68144;24021;9134;108497;40497;43240;17617;7143;76137;42838;24904;6404;1991;774.0;339.0;280.0;92.0;63.0
59;Totaal (leeftijden moeders);2009;184915;85242;66819;23810;9044;104879;40310;40544;17079;6946;80036;44932;26275;6731;2098;648.0;337.0;177.0;91.0;43.0
60;Totaal (leeftijden moeders);2010;184397;85466;66412;23604;8915;108645;42921;41658;17078;6988;75752;42545;24754;6526;1927;648.0;321.0;187.0;87.0;53.0
61;Totaal (leeftijden moeders);2011;180060;83538;65423;22436;8663;104864;41524;40643;16012;6685;75196;42014;24780;6424;1978;620.0;321.0;176.0;74.0;49.0
62;Totaal (leeftijden moeders);2012;175959;81617;64343;21616;8383;100929;39902;39339;15301;6387;75030;41715;25004;6315;1996;594.0;299.0;173.0;83.0;39.0
63;Totaal (leeftijden moeders);2013;171341;79460;62905;20930;8046;97342;38458;38251;14629;6004;73999;41002;24654;6301;2042;510.0;268.0;138.0;69.0;35.0
64;Totaal (leeftijden moeders);2014;175181;80744;64013;21754;8670;97933;38542;38153;14791;6447;77248;42202;25860;6963;2223;487.0;264.0;135.0;57.0;31.0
65;15;1950;42;42;0;0;0;7;7;0;0;0;35;35;0;0;0;;;;;
66;15;1951;52;52;0;0;0;12;12;0;0;0;40;40;0;0;0;;;;;
67;15;1952;36;36;0;0;0;6;6;0;0;0;30;30;0;0;0;;;;;
68;15;1953;45;45;0;0;0;7;7;0;0;0;38;38;0;0;0;;;;;
69;15;1954;47;47;0;0;0;9;9;0;0;0;38;38;0;0;0;;;;;
70;15;1955;49;49;0;0;0;9;9;0;0;0;40;40;0;0;0;;;;;
71;15;1956;50;50;0;0;0;6;6;0;0;0;44;44;0;0;0;;;;;
72;15;1957;83;83;0;0;0;12;12;0;0;0;71;71;0;0;0;;;;;
73;15;1958;88;88;0;0;0;15;15;0;0;0;73;73;0;0;0;;;;;
74;15;1959;99;98;1;0;0;18;18;0;0;0;81;80;1;0;0;;;;;
75;15;1960;96;96;0;0;0;18;18;0;0;0;78;78;0;0;0;;;;;
76;15;1961;128;128;0;0;0;20;20;0;0;0;108;108;0;0;0;;;;;
77;15;1962;148;148;0;0;0;40;40;0;0;0;108;108;0;0;0;;;;;
