ID;LeeftijdReferentiepersoon;Perioden;ReferentiepersonenMetKinderen_1;JongsteKind02Jaar_2;JongsteKind35Jaar_3;JongsteKind611Jaar_4;JongsteKind1217Jaar_5;JongsteKind18JaarEnOuder_6
0;Totaal over alle leeftijden;2005;2538298;533900;346695;558556.0;511290.0;587859.0
1;Totaal over alle leeftijden;2006;2547662;522918;351781;561752.0;521206.0;590009.0
2;Totaal over alle leeftijden;2007;2555669;510000;350063;572208.0;531592.0;591805.0
3;Totaal over alle leeftijden;2008;2562115;499962;346134;583338.0;536472.0;596211.0
4;Totaal over alle leeftijden;2009;2567937;491562;338439;597039.0;534327.0;606570.0
5;Totaal over alle leeftijden;2010;2572247;485215;328255;609959.0;531627.0;617192.0
6;Totaal over alle leeftijden;2011;2575047;481162;320293;612371.0;534983.0;626238.0
7;Totaal over alle leeftijden;2012;2576222;478434;313509;611185.0;537745.0;635350.0
8;Totaal over alle leeftijden;2013;2575713;476403;308395;600287.0;547493.0;643135.0
9;Totaal over alle leeftijden;2014;2573432;475232;305127;589273.0;558907.0;644894.0
10;Totaal over alle leeftijden;2015;2570094;475014;302647;575312.0;573271.0;643849.0
11;Totaal over alle leeftijden;2016;2566263;475847;300410;560251.0;586641.0;643111.0
12;Totaal over alle leeftijden;2017;2562632;477447;298688;549170.0;589290.0;648042.0
13;Totaal over alle leeftijden;2018;2558982;479648;297610;539888.0;588223.0;653615.0
14;Totaal over alle leeftijden;2019;2555730;482324;297323;532379.0;577563.0;666140.0
15;Totaal over alle leeftijden;2020;2551672;485290;297600;527172.0;566681.0;674930.0
16;Totaal over alle leeftijden;2021;2547052;488359;298409;523261.0;552873.0;684150.0
17;Totaal over alle leeftijden;2022;2541533;491317;299727;520265.0;538021.0;692203.0
18;Totaal over alle leeftijden;2023;2534415;494069;301427;518258.0;527057.0;693604.0
19;Totaal over alle leeftijden;2024;2526538;496538;303343;517345.0;517890.0;691420.0
20;Totaal over alle leeftijden;2025;2518286;498712;305284;517717.0;510465.0;686109.0
21;Totaal over alle leeftijden;2026;2510185;500592;307178;519043.0;505273.0;678101.0
22;Totaal over alle leeftijden;2027;2502739;502135;308975;521151.0;501324.0;669156.0
23;Totaal over alle leeftijden;2028;2496308;503337;310619;523861.0;498243.0;660249.0
24;Totaal over alle leeftijden;2029;2491146;504209;312059;526990.0;496121.0;651768.0
25;Totaal over alle leeftijden;2030;2487239;504756;313215;530327.0;495063.0;643877.0
26;Totaal over alle leeftijden;2031;2484571;504960;314092;533625.0;495262.0;636630.0
27;Totaal over alle leeftijden;2032;2483004;504777;314714;536752.0;496405.0;630354.0
28;Totaal over alle leeftijden;2033;2482330;504202;315122;539560.0;498335.0;625114.0
29;Totaal over alle leeftijden;2034;2482364;503204;315366;541967.0;500882.0;620942.0
30;Totaal over alle leeftijden;2035;2482894;501764;315485;543932.0;503873.0;617835.0
31;Totaal over alle leeftijden;2036;2483762;499923;315490;545432.0;507095.0;615821.0
32;Totaal over alle leeftijden;2037;2484827;497774;315314;546525.0;510300.0;614912.0
33;Totaal over alle leeftijden;2038;2485930;495452;314873;547297.0;513343.0;614966.0
34;Totaal over alle leeftijden;2039;2486960;493081;314131;547835.0;516065.0;615850.0
35;Totaal over alle leeftijden;2040;2487808;490788;313107;548132.0;518383.0;617398.0
36;Totaal over alle leeftijden;2041;2488396;488688;311866;548143.0;520267.0;619431.0
37;Totaal over alle leeftijden;2042;2488691;486892;310463;547823.0;521703.0;621811.0
38;Totaal over alle leeftijden;2043;2488653;485452;308987;547099.0;522757.0;624360.0
39;Totaal over alle leeftijden;2044;2488290;484433;307510;545909.0;523520.0;626919.0
40;Totaal over alle leeftijden;2045;2487628;483846;306134;544236.0;524073.0;629341.0
41;Totaal over alle leeftijden;2046;2486717;483711;304895;542147.0;524421.0;631544.0
42;Totaal over alle leeftijden;2047;2485615;483983;303867;539766.0;524510.0;633490.0
43;Totaal over alle leeftijden;2048;2484366;484587;303097;537225.0;524290.0;635166.0
44;Totaal over alle leeftijden;2049;2483000;485434;302636;534644.0;523680.0;636605.0
45;Totaal over alle leeftijden;2050;2481581;486463;302470;532194.0;522618.0;637840.0
46;100;2005;49947;41349;7929;669.0;;
47;100;2006;49752;40571;8366;816.0;;
48;100;2007;49315;40016;8319;980.0;;
