ID;Omzetklassen;Perioden;Bedrijven_1;Bedrijfsopbrengsten_2;TotaalNettoOmzet_3;VerleendeDiensten_4;Handelsgoederen_5;OverigeOpbrengsten_6;TotaalBedrijfslasten_7;KostprijsVanDeOmzet_8;Personeelskosten_9;Afschrijvingen_10;OverigeBedrijfslasten_11;TotaalOverigeBedrijfslasten_12;Huisvestingskosten_13;InventarisEnMachinekosten_14;Autokosten_15;Verkoopkosten_16;AndereKosten_17;Bedrijfsresultaat_18;SaldoFinancieleResultaten_19;ResultaatVoorBelastingen_20;BrutoWinstmarge_21;OperationeleWinstmarge_22;WinstmargeVoorBelastingen_23;Investeringsquote_24;NettoOmzetPerFte_25;LoonkostenPerFte_26;NettoOmzet_27;MediaOmzetTotaal_28;Pers_29;RtvZendtijd_30;Buitenreclame_31;Bioscoopreclame_32;OverigeMedia_33;OverigeReclamedienstenTotaal_34;CreatiefWerk_35;Reproduktiematerialen_36;Drukwerk_37;Verspreiden_38;Fees_39;PromotieActiviteiten_40;VerzorgenVanShowroomsEnStands_41;OverigeDienstverlening_42;TotaalVerleendeDiensten_43;TotaalHandel_44;OntvangstenVoorUitleenEnSubsidie_45;TotaalPersoneelskosten_46;BrutoLonenEnSalarissen_47;SocialeLasten_48;Pensioenpremies_49;KostenUitzendkrachten_50;KostenIngeleendPersoneel_51;OverigePersoneelskosten_52;TotaalOverigeBedrijfslasten_53;TotaalHuisvestingskosten_54;BetaaldeHurenPachtenEDVanLeasing_55;OnroerendeZaakbelastingMilieuheffing_56;Energiekosten_57;ReparatieEnOnderhoudskosten_58;Verzekeringen_59;OverigeHuisvestingskosten_60;TotaalInventarisEnMachinekosten_61;BetaaldeHurenEnKostenVanOperLease_62;Onderhoudskosten_63;OverigeInventarisEnMachinekosten_64;TotaalAutokosten_65;BetaaldeHurenEnKostenVanOperLease_66;Brandstof_67;OverigeAutokosten_68;TotaalVerkoopkosten_69;ReclameEnAdvertentiekosten_70;ReisVerblijfsEnRepresentatiekosten_71;OverigeVerkoopkosten_72;TotaalAndereKosten_73;AccountantsEnAdviesdiensten_74;KantoorbenodigdhDrukwerkVakliteratuur_75;OverigeVerzekeringen_76;OverigeKostprijsverhogendeBelastingen_77;Communicatiekosten_78;Beheerskosten_79;OverigeAutomatiseringskosten_80;NogNietEerderGenoemdeBedrijfskosten_81;TotaalAantalWerkzamePersonen_82;WerknemersOpDeLoonlijst_83;WerknemersNietOpLoonlijst_84;OverigPersoneel_85;AantalVte_86;TotaalInvesteringen_87;TotaalMaterieleVasteActiva_88;Bedrijfsruimten_89;Vervoermiddelen_90;Computers_91;OverigeMachinesApparatenED_92;OverigeMaterieleVasteActiva_93;TotaalImmaterieleVasteActiva_94
0;Totaal SBI 744;1996;105.1;5003;4985;4982;3;18;4491;71.1;15.0;2.7;11.1;500;103;26;75;87;208;512;-22;490;35.9;9.8;9.8;3.0;164.7;32.5;4985;50.0;24.5;21.4;2.7;0.2;1.1;50.0;15.5;2.6;8.9;2.9;2.6;2.9;4.7;9.9;99.9;0.1;0.3;674;79.2;5.6;3.7;2.8;3.3;5.7;500;103;60.0;0.9;8.4;6.4;0.8;6.6;26;29.4;29.3;19.3;75;38.3;19.1;27.7;87;29.8;31.3;27.9;208;17.8;11.7;2.3;0.2;10.8;25.1;2.7;12.9;370;71.1;27.5;1.5;303;151;86.8;12.0;18.7;25.3;15.5;15.3;13.2
1;Totaal SBI 744;1997;114.2;5223;5205;5201;4;18;4690;71.5;14.8;2.6;11.1;520;108;23;81;83;225;533;-23;510;35.5;9.8;9.8;2.7;161.5;33.6;5205;50.2;24.8;21.3;2.9;0.2;1.0;49.7;15.2;2.4;8.5;2.9;2.9;2.8;5.2;9.8;99.9;0.1;0.4;692;79.9;5.8;3.6;2.8;2.7;5.8;520;108;72.5;0.9;10.5;6.8;1.0;8.3;23;34.9;36.4;28.7;81;54.7;19.1;26.2;83;36.1;33.9;30.0;225;24.5;13.1;2.6;0.1;12.6;31.6;3.3;12.3;402;68.5;29.4;2.1;322;142;97.6;16.7;20.4;23.3;20.0;17.3;2.4
2;Totaal SBI 744;1998;122.4;5734;5712;5707;5;22;5110;71.2;15.2;2.6;11.0;563;117;25;86;102;234;624;-23;601;36.3;10.5;10.5;3.3;165.1;33.2;5712;49.7;24.5;21.4;2.5;0.3;0.9;50.2;15.0;2.6;8.9;3.6;2.5;3.3;5.3;9.1;99.9;0.1;0.4;777;76.4;8.2;3.6;2.6;3.1;6.4;563;117;;;;;;;25;;;;86;;;;102;;;;234;;;;;;;;;430;71.1;27.5;1.5;346;191;88.9;18.6;19.4;19.1;11.6;20.1;11.1
3;Totaal SBI 744;1999;128.7;6103;6078;6029;13;25;5420;70.6;15.8;2.7;10.9;593;129;28;92;103;242;684;-17;667;37.0;11.0;10.9;3.4;;;6078;49.0;22.8;20.7;2.8;0.9;1.8;50.2;16.4;2.1;8.5;3.6;2.4;3.0;5.2;8.9;99.2;0.2;0.5;855;75.1;8.3;3.5;2.7;4.2;6.7;593;129;;;;;;;28;;;;92;;;;103;;;;242;;;;;;;;;435;69.7;27.0;3.3;353;206;93.7;16.1;18.2;20.1;14.0;25.4;6.3
4;Tot 250 000 euro;1996;84.2;503;500;498;1;3;386;54.1;13.1;7.7;25.0;97;22;5;19;11;40;117;-1;116;58.2;22.9;23.0;7.0;;;500;18.1;14.0;1.8;1.3;0.1;1.0;81.7;39.0;1.6;10.7;1.7;0.4;3.6;4.1;20.5;99.7;0.3;0.0;51;79.6;6.3;3.8;0.6;4.3;5.5;97;22;65.7;0.7;6.4;1.9;0.8;3.1;5;37.8;14.7;22.1;19;23.5;21.0;31.3;11;30.7;38.7;10.5;40;28.1;16.3;1.3;0.0;10.8;1.9;1.2;17.1;125;27.5;72.3;0.3;114;35;93.2;8.5;37.2;29.7;9.2;8.6;6.8
5;Tot 250 000 euro;1997;93.7;538;534;533;1;4;407;53.9;13.3;7.3;25.4;104;25;5;22;13;40;130;-3;127;58.8;23.6;23.6;7.0;;;534;14.6;10.7;2.6;1.0;0.0;0.4;85.3;39.8;2.1;12.1;2.5;1.1;4.5;4.0;19.1;99.8;0.2;0.0;54;79.4;5.1;6.4;0.8;5.2;3.2;104;25;83.5;0.7;8.0;3.4;0.9;3.6;5;40.4;23.7;35.9;22;50.8;20.5;28.7;13;44.5;41.4;14.1;40;36.3;20.0;2.1;0.0;14.5;8.9;2.6;15.6;136;22.0;77.4;0.5;127;38;99.1;12.5;36.2;27.3;16.2;6.9;0.9
6;Tot 250 000 euro;1998;98.6;551;547;546;1;4;406;52.7;13.7;7.2;26.5;107;24;5;23;13;42;146;-4;142;60.9;25.8;25.7;10.0;;;547;12.1;9.6;1.6;0.8;0.0;0.1;87.7;39.2;2.8;12.3;3.5;1.0;4.4;4.1;20.4;99.8;0.2;0.1;55;83.1;6.4;5.8;0.5;1.0;3.3;107;24;;;;;;;5;;;;23;;;;13;;;;42;;;;;;;;;141;26.2;73.6;0.3;133;55;99.5;10.6;34.0;19.4;9.4;26.1;0.5
7;Tot 250 000 euro;1999;104.0;579;573;572;1;6;415;50.6;14.4;7.1;27.9;116;26;6;24;15;45;165;-3;162;63.4;27.9;28.0;8.6;;;573;14.6;9.1;1.7;1.8;0.0;1.9;85.2;41.5;2.1;9.9;4.8;0.5;3.7;4.8;17.8;99.7;0.1;0.1;60;77.7;5.8;5.9;0.4;7.4;3.0;116;26;;;;;;;6;;;;24;;;;15;;;;45;;;;;;;;;148;29.5;70.2;0.3;138;50;97.7;22.7;32.4;16.4;14.5;11.6;2.3
8;250 000 tot 2 000 000 euro;1996;18.1;1263;1258;1257;1;5;1165;59.6;21.6;4.1;14.7;171;37;11;26;23;74;98;-11;87;44.8;7.0;6.9;4.9;;;1258;25.7;21.5;2.8;0.8;0.0;0.6;74.2;23.7;3.4;12.9;3.3;0.7;6.1;8.1;16.0;99.9;0.1;0.4;251;80.5;6.0;3.9;1.9;3.1;5.0;171;37;53.6;0.8;8.5;7.4;0.4;5.0;11;24.8;26.6;17.8;26;21.9;21.5;36.9;23;28.8;32.8;13.8;74;14.3;10.4;2.7;0.2;9.2;26.1;1.8;11.4;133;90.1;8.3;1.6;96;62;92.4;14.7;18.1;20.5;23.7;15.3;7.6
9;250 000 tot 2 000 000 euro;1997;17.8;1291;1286;1284;2;5;1169;59.2;20.6;4.4;15.8;185;39;9;26;22;90;122;-11;111;46.2;8.8;8.6;5.5;;;1286;27.7;23.7;2.3;1.0;0.0;0.7;72.1;23.3;3.1;11.6;3.1;1.1;5.0;8.3;16.6;99.8;0.2;0.6;241;81.5;6.4;3.5;1.6;1.8;5.8;185;39;70.7;0.7;12.0;7.8;0.8;7.9;9;36.4;31.7;31.8;26;46.3;20.6;33.1;22;43.8;34.8;21.3;90;31.3;11.9;3.0;0.1;11.3;30.5;2.3;9.6;144;88.9;8.3;2.7;95;71;98.8;22.3;16.7;18.9;23.1;17.8;1.2
