ID;Perioden;TotaalLevendgeborenen_1;AutochtoneMoedersIncl2eGeneratie_2;Totaal1eGeneratieMoeders_3;TotaalNietWesters_4;Afrika_5;Azie_6;LatijnsAmerika_7;Marokko_8;NederlandseAntillenEnAruba_9;Suriname_10;Turkije_11;TotaalWesters_12;k_26EULanden_13;OverigEuropa_14;Indonesie_15;OverigBuitenEuropa_16
0;2006;184354;151969;32384;24513;3350;4720;1167;6778;1388;2637;4473;7871;5069;1765;530;506
1;2007;181630;149939;31691;23747;3227;4753;1185;6535;1354;2477;4217;7945;5168;1761;519;497
2;2008;179634;148555;31079;23015;3105;4795;1201;6276;1336;2332;3969;8065;5301;1764;510;490
3;2009;178205;147681;30524;22302;2984;4829;1212;6005;1337;2202;3732;8222;5459;1771;506;486
4;2010;176979;146977;30002;21600;2866;4845;1220;5726;1350;2087;3506;8402;5631;1782;505;484
5;2011;175914;146411;29503;20903;2750;4843;1225;5438;1367;1984;3295;8600;5815;1793;507;485
6;2012;175288;146270;29019;20217;2641;4825;1228;5144;1385;1894;3100;8802;5999;1803;512;488
7;2013;175080;146512;28568;19564;2540;4804;1230;4850;1402;1811;2926;9004;6182;1810;520;492
8;2014;175285;147130;28155;18955;2450;4782;1233;4564;1418;1735;2773;9200;6359;1813;530;497
9;2015;175792;148014;27778;18388;2368;4762;1237;4285;1434;1664;2639;9389;6528;1816;542;504
10;2016;176539;149103;27436;17865;2295;4737;1242;4020;1448;1601;2523;9571;6688;1817;555;511
11;2017;177413;150284;27130;17386;2229;4710;1247;3769;1463;1546;2420;9744;6841;1816;569;518
12;2018;178515;151656;26859;16952;2172;4683;1254;3534;1478;1500;2331;9907;6985;1814;582;526
13;2019;179626;153007;26619;16559;2120;4657;1262;3317;1493;1458;2252;10060;7120;1811;595;534
14;2020;180697;154285;26412;16207;2075;4632;1272;3116;1509;1421;2183;10205;7247;1807;608;543
15;2021;181686;155441;26244;15901;2036;4610;1282;2935;1524;1389;2124;10343;7371;1801;620;552
16;2022;182525;156415;26110;15636;2004;4592;1294;2773;1540;1361;2073;10474;7487;1795;630;561
17;2023;183227;157219;26008;15412;1977;4580;1307;2628;1555;1335;2029;10596;7596;1789;640;571
18;2024;183838;157896;25941;15228;1956;4574;1320;2502;1571;1312;1993;10713;7703;1782;648;581
19;2025;184293;158385;25908;15082;1940;4574;1335;2392;1586;1293;1962;10827;7806;1775;655;591
20;2026;184613;158708;25905;14968;1929;4579;1350;2296;1600;1277;1938;10937;7906;1768;661;601
21;2027;184836;158898;25938;14889;1921;4591;1367;2214;1614;1263;1919;11049;8008;1763;666;612
22;2028;184893;158893;26000;14839;1918;4608;1385;2144;1626;1253;1905;11161;8109;1758;671;624
23;2029;184881;158793;26088;14816;1918;4633;1404;2084;1639;1246;1893;11272;8208;1755;675;635
24;2030;184640;158435;26205;14815;1921;4662;1423;2033;1651;1240;1885;11391;8312;1753;679;646
25;2031;184277;157934;26344;14834;1926;4698;1443;1989;1662;1237;1880;11509;8415;1754;683;658
26;2032;183718;157214;26503;14870;1934;4737;1463;1950;1674;1235;1877;11633;8521;1755;686;670
27;2033;182958;156278;26680;14923;1944;4783;1484;1916;1686;1235;1874;11757;8625;1760;690;682
28;2034;182075;155200;26875;14988;1956;4832;1505;1886;1699;1236;1873;11887;8733;1766;693;695
29;2035;181101;154016;27085;15065;1969;4885;1526;1860;1712;1239;1873;12019;8843;1773;696;707
30;2036;180022;152722;27300;15149;1984;4940;1547;1836;1725;1242;1874;12151;8950;1782;699;720
31;2037;178991;151464;27527;15241;2000;4996;1569;1815;1739;1247;1875;12286;9060;1791;702;732
32;2038;177980;150220;27759;15337;2017;5052;1590;1796;1753;1251;1877;12423;9171;1801;706;745
33;2039;177106;149108;27998;15438;2035;5110;1611;1779;1767;1257;1879;12559;9282;1812;708;757
34;2040;176371;148132;28239;15540;2054;5166;1632;1765;1781;1262;1882;12700;9396;1823;711;770
35;2041;175792;147314;28478;15643;2073;5220;1652;1752;1794;1266;1884;12835;9505;1834;714;782
36;2042;175427;146710;28718;15745;2093;5273;1672;1741;1807;1271;1887;12973;9618;1844;717;794
37;2043;175242;146290;28951;15846;2114;5325;1691;1732;1819;1276;1889;13105;9726;1853;720;806
38;2044;175218;146031;29187;15946;2134;5374;1710;1724;1831;1281;1891;13242;9838;1864;722;817
39;2045;175411;145995;29416;16042;2154;5421;1728;1718;1843;1285;1892;13374;9949;1872;724;828
40;2046;175697;146055;29642;16136;2174;5467;1746;1714;1853;1289;1894;13506;10059;1881;727;839
41;2047;176151;146295;29856;16223;2194;5508;1762;1711;1863;1292;1894;13632;10166;1888;729;849
42;2048;176682;146616;30066;16307;2213;5547;1776;1709;1872;1295;1893;13759;10275;1895;731;858
43;2049;177300;147032;30268;16386;2232;5584;1790;1709;1881;1298;1891;13883;10382;1901;732;868
