ID;InstitutioneleBeleggers;LanglopendeBeleggingen;Perioden;StandBeginKwartaal_1;Aankopen_2;Verkopen_3;Herwaarderingen_4;OverigeMutaties_5;StandEindKwartaal_6
0;Totaal institutionele beleggers;Onr.goed.niet in eigen gebruik, woningen;2002, 1e kwartaal;21529.5;237.0;1489.0;69.1;0.0;20346.6
1;Totaal institutionele beleggers;Onr.goed.niet in eigen gebruik, woningen;2002, 2e kwartaal;20346.6;349.4;596.4;76.6;6.2;20182.4
2;Totaal institutionele beleggers;Onr.goed.niet in eigen gebruik, woningen;2002, 3e kwartaal;20182.4;103.3;633.6;184.8;-14.1;19822.8
3;Totaal institutionele beleggers;Onr.goed.niet in eigen gebruik, woningen;2002, 4e kwartaal;19822.8;327.9;1067.5;361.5;-10.1;19434.6
4;Totaal institutionele beleggers;Onr.goed.niet in eigen gebruik, woningen;2003, 1e kwartaal;19434.6;158.4;1067.3;66.6;274.6;18866.9
5;Totaal institutionele beleggers;Onr.goed.niet in eigen gebruik, woningen;2003, 2e kwartaal;18866.9;154.1;295.0;291.0;27.2;19044.2
6;Totaal institutionele beleggers;Onr.goed.niet in eigen gebruik, woningen;2003, 3e kwartaal;19044.2;110.3;182.0;102.5;-114.1;18960.9
7;Totaal institutionele beleggers;Onr.goed.niet in eigen gebruik, woningen;2003, 4e kwartaal;18960.9;257.4;704.8;81.9;170.0;18765.4
8;Totaal institutionele beleggers;Onr.goed.niet in eigen gebruik, woningen;2004, 1e kwartaal;18765.4;57.5;61.2;116.5;-383.0;18495.2
9;Totaal institutionele beleggers;Onr.goed.niet in eigen gebruik, woningen;2004, 2e kwartaal;18495.2;161.0;287.9;90.6;-82.1;18376.8
10;Totaal institutionele beleggers;Onr.goed.niet in eigen gebruik, woningen;2004, 3e kwartaal;18376.8;147.5;197.8;27.9;154.0;18508.4
11;Totaal institutionele beleggers;Onr.goed.niet in eigen gebruik, woningen;2004, 4e kwartaal;18508.4;215.5;612.8;211.8;-26.0;18296.9
12;Totaal institutionele beleggers;Onr.goed.niet in eigen gebruik, woningen;2005, 1e kwartaal;18296.9;426.7;276.3;182.9;-1105.8;17524.4
13;Totaal institutionele beleggers;Onr.goed.niet in eigen gebruik, woningen;2005, 2e kwartaal;17524.4;337.4;311.6;20.5;-2.9;17567.8
14;Totaal institutionele beleggers;Onr.goed.niet in eigen gebruik, woningen;2005, 3e kwartaal;17567.8;366.4;935.1;119.5;15.2;17133.8
15;Totaal institutionele beleggers;Onr.goed.niet in eigen gebruik, woningen;2005, 4e kwartaal;17133.8;453.4;460.6;370.5;24.0;17521.1
16;Totaal institutionele beleggers;Onr.goed.niet in eigen gebruik, overige;2002, 1e kwartaal;14377.0;354.2;340.5;239.4;0.0;14630.1
17;Totaal institutionele beleggers;Onr.goed.niet in eigen gebruik, overige;2002, 2e kwartaal;14630.1;289.2;588.7;317.3;-4.2;14643.7
18;Totaal institutionele beleggers;Onr.goed.niet in eigen gebruik, overige;2002, 3e kwartaal;14643.7;185.4;166.3;18.7;0.5;14682.0
19;Totaal institutionele beleggers;Onr.goed.niet in eigen gebruik, overige;2002, 4e kwartaal;14682.0;359.9;817.8;133.4;14.7;14372.2
20;Totaal institutionele beleggers;Onr.goed.niet in eigen gebruik, overige;2003, 1e kwartaal;14372.2;594.1;623.4;91.7;603.9;15038.5
21;Totaal institutionele beleggers;Onr.goed.niet in eigen gebruik, overige;2003, 2e kwartaal;15038.5;121.8;691.4;-29.7;73.7;14512.9
22;Totaal institutionele beleggers;Onr.goed.niet in eigen gebruik, overige;2003, 3e kwartaal;14512.9;207.7;194.1;-52.7;377.5;14851.3
23;Totaal institutionele beleggers;Onr.goed.niet in eigen gebruik, overige;2003, 4e kwartaal;14851.3;644.3;1882.2;256.3;271.1;14140.8
24;Totaal institutionele beleggers;Onr.goed.niet in eigen gebruik, overige;2004, 1e kwartaal;14140.8;145.3;185.1;32.4;52.0;14185.4
25;Totaal institutionele beleggers;Onr.goed.niet in eigen gebruik, overige;2004, 2e kwartaal;14185.4;553.7;464.2;57.1;-184.2;14147.8
26;Totaal institutionele beleggers;Onr.goed.niet in eigen gebruik, overige;2004, 3e kwartaal;14147.8;159.9;142.4;96.4;-14.4;14247.3
27;Totaal institutionele beleggers;Onr.goed.niet in eigen gebruik, overige;2004, 4e kwartaal;14247.3;546.7;463.7;-149.7;-34.0;14146.6
28;Totaal institutionele beleggers;Onr.goed.niet in eigen gebruik, overige;2005, 1e kwartaal;14146.6;312.6;150.7;88.6;-697.7;13699.4
29;Totaal institutionele beleggers;Onr.goed.niet in eigen gebruik, overige;2005, 2e kwartaal;13699.4;487.4;227.0;9.8;137.6;14107.2
30;Totaal institutionele beleggers;Onr.goed.niet in eigen gebruik, overige;2005, 3e kwartaal;14107.2;220.8;225.2;123.0;-0.8;14225.0
31;Totaal institutionele beleggers;Onr.goed.niet in eigen gebruik, overige;2005, 4e kwartaal;14225.0;432.6;378.3;78.0;53.9;14411.2
32;Totaal institutionele beleggers;Obligaties;2002, 1e kwartaal;232178.9;86409.0;83802.7;-2315.8;0.0;232469.4
