ID;Opleidingsniveau;Herkomstgroepering;Perioden;TotaalAantalBanen_1;Voltijdbanen_2;BrutoUurloonAlleBanen_3;BrutoMaandloonAlleBanen_4;BrutoJaarloonAlleBanen_5;BrutoJaarloonVoltijdbanen_6
0;Totaal opleidingsniveau;Totaal herkomstgroepering;2002;6996.3;3887.2;17.24;1958;26.2;35.5
1;Totaal opleidingsniveau;Autochtoon;2002;5882.8;3290.9;17.47;1985;26.6;35.9
2;Totaal opleidingsniveau;Westers allochtoon;2002;583.0;328.8;18.18;2094;27.9;37.8
3;Totaal opleidingsniveau;Niet-westers allochtoon;2002;530.5;267.5;13.61;1509;19.2;27.9
4;Basisonderwijs;Totaal herkomstgroepering;2002;659.7;317.1;12.66;1292;17.1;27.6
5;Basisonderwijs;Autochtoon;2002;464.6;229.3;13.01;1340;18.0;28.5
6;Basisonderwijs;Westers allochtoon;2002;72.2;31.6;12.64;1236;15.8;26.2
7;Basisonderwijs;Niet-westers allochtoon;2002;123.0;56.2;11.33;1144;14.6;24.7
8;Mavo;Totaal herkomstgroepering;2002;631.1;234.1;12.66;1158;15.3;28.1
9;Mavo;Autochtoon;2002;530.1;198.8;12.66;1141;15.3;28.4
10;Mavo;Westers allochtoon;2002;45.9;18.7;13.86;1505;18.5;29.2
11;Mavo;Niet-westers allochtoon;2002;55.2;16.6;11.43;1034;12.0;23.0
12;Vbo;Totaal herkomstgroepering;2002;903.9;534.1;13.52;1555;21.0;28.5
13;Vbo;Autochtoon;2002;751.5;445.4;13.61;1567;21.2;28.5
14;Vbo;Westers allochtoon;2002;62.3;36.3;14.45;1758;24.1;33.0
15;Vbo;Niet-westers allochtoon;2002;90.1;52.4;11.97;1313;17.3;24.8
16;Havo/Vwo;Totaal herkomstgroepering;2002;480.5;218.1;15.11;1554;20.0;30.8
17;Havo/Vwo;Autochtoon;2002;379.5;164.7;15.28;1524;19.6;31.0
18;Havo/Vwo;Westers allochtoon;2002;43.8;22.8;15.54;1777;23.8;32.2
19;Havo/Vwo;Niet-westers allochtoon;2002;57.2;30.6;13.77;1580;19.7;28.7
20;Mbo;Totaal herkomstgroepering;2002;2528.7;1500.8;16.21;1910;25.6;32.5
21;Mbo;Autochtoon;2002;2242.0;1342.3;16.36;1929;25.8;32.7
22;Mbo;Westers allochtoon;2002;176.8;106.1;15.97;1862;25.3;32.9
23;Mbo;Niet-westers allochtoon;2002;109.9;52.4;13.46;1610;20.3;27.2
24;Hbo;Totaal herkomstgroepering;2002;1211.4;708.6;21.38;2554;34.4;43.8
25;Hbo;Autochtoon;2002;1028.5;603.8;21.51;2577;34.8;44.2
26;Hbo;Westers allochtoon;2002;121.8;69.1;22.86;2640;35.4;46.8
27;Hbo;Niet-westers allochtoon;2002;61.1;35.7;16.54;2003;26.5;32.7
28;Wo;Totaal herkomstgroepering;2002;581.0;374.3;27.85;3505;47.0;56.1
29;Wo;Autochtoon;2002;486.7;306.5;28.21;3528;47.7;57.8
30;Wo;Westers allochtoon;2002;60.3;44.2;28.56;3728;48.7;54.0
31;Wo;Niet-westers allochtoon;2002;34.0;23.6;21.62;2782;35.0;38.9
