ID;PrognoseWaarneming;Perioden;Bevolkingsomvang_1;Bevolkingsgroei_2;k_0Tot20Jaar_3;k_20Tot65Jaar_4;k_65JaarOfOuder_5;k_0Tot20Jaar_6;k_20Tot65Jaar_7;k_65JaarOfOuder_8;TotaleDruk_9;GroeneDruk_10;GrijzeDruk_11;LevendGeborenKinderen_12;TotaalVruchtbaarheidscijfer_13;Overledenen_14;Mannen_15;Vrouwen_16;Immigratie_17;EmigratieInclusiefCorrecties_18;MigratiesaldoInclusiefCorrecties_19
0;Waarneming;1950;10026773.0;173507.0;3742499.0;5513680.0;770594.0;37.3;55.0;7.7;81.9;67.9;14.0;229718.0;3.1;75929.0;70.29;72.58;70602.0;50697.0;19905.0
1;Waarneming;1951;10200280.0;128063.0;3805617.0;5600172.0;794491.0;37.3;54.9;7.8;82.1;68.0;14.2;228407.0;3.05;77560.0;70.24;72.75;45016.0;67449.0;-22433.0
2;Waarneming;1952;10328343.0;107288.0;3853988.0;5655836.0;818519.0;37.3;54.8;7.9;82.6;68.1;14.5;231888.0;3.09;76346.0;70.96;73.29;33666.0;81347.0;-47681.0
3;Waarneming;1953;10435631.0;115106.0;3894738.0;5697475.0;843418.0;37.3;54.6;8.1;83.2;68.4;14.8;227964.0;3.03;80901.0;70.41;72.98;35449.0;67080.0;-31631.0
4;Waarneming;1954;10550737.0;129286.0;3945330.0;5738629.0;866778.0;37.4;54.4;8.2;83.9;68.8;15.1;228173.0;3.03;79623.0;70.96;73.83;42418.0;61368.0;-18950.0
5;Waarneming;1955;10680023.0;141638.0;4000883.0;5789169.0;889971.0;37.5;54.2;8.3;84.5;69.1;15.4;229222.0;3.03;81708.0;70.94;74.08;52069.0;57267.0;-5198.0
6;Waarneming;1956;10821661.0;135379.0;4063634.0;5845529.0;912498.0;37.6;54.0;8.4;85.1;69.5;15.6;231492.0;3.05;84809.0;70.97;74.1;51756.0;62737.0;-10981.0
7;Waarneming;1957;10957040.0;138686.0;4124465.0;5896509.0;936066.0;37.6;53.8;8.5;85.8;69.9;15.9;233892.0;3.08;82961.0;71.38;74.58;50143.0;62644.0;-12501.0
8;Waarneming;1958;11095726.0;182298.0;4188105.0;5947249.0;960372.0;37.7;53.6;8.7;86.6;70.4;16.1;236859.0;3.11;84491.0;71.46;74.84;67957.0;55861.0;12096.0
9;Waarneming;1959;11278024.0;139230.0;4270455.0;6016505.0;991064.0;37.9;53.3;8.8;87.5;71.0;16.5;242518.0;3.17;86072.0;71.24;75.16;37185.0;54076.0;-16891.0
10;Waarneming;1960;11417254.0;138754.0;4331042.0;6067390.0;1018822.0;37.9;53.1;8.9;88.2;71.4;16.8;239128.0;3.12;87825.0;71.39;75.3;45407.0;58226.0;-12819.0
11;Waarneming;1961;11556008.0;165408.0;4386744.0;6120680.0;1048584.0;38.0;53.0;9.1;88.8;71.7;17.1;247407.0;3.22;88321.0;71.45;75.74;55082.0;48670.0;6412.0
12;Waarneming;1962;11721416.0;168546.0;4461142.0;6180221.0;1080053.0;38.1;52.7;9.2;89.7;72.2;17.5;246150.0;3.18;93969.0;70.95;75.56;66035.0;49082.0;16953.0
13;Waarneming;1963;11889962.0;152008.0;4532162.0;6250368.0;1107432.0;38.1;52.6;9.3;90.2;72.5;17.7;249879.0;3.19;95734.0;71.02;75.77;55127.0;46691.0;8436.0
14;Waarneming;1964;12041970.0;170299.0;4583772.0;6325493.0;1132705.0;38.1;52.5;9.4;90.4;72.5;17.9;250914.0;3.17;93437.0;71.28;76.27;67079.0;53419.0;13660.0
15;Waarneming;1965;12212269.0;164925.0;4631281.0;6418454.0;1162534.0;37.9;52.6;9.5;90.3;72.2;18.1;245216.0;3.04;98026.0;71.11;76.14;76572.0;57808.0;18764.0
16;Waarneming;1966;12377194.0;158113.0;4685535.0;6502011.0;1189648.0;37.9;52.5;9.6;90.4;72.1;18.3;239611.0;2.9;100516.0;71.03;76.11;81842.0;61892.0;19950.0
17;Waarneming;1967;12535307.0;125788.0;4659556.0;6656926.0;1218825.0;37.2;53.1;9.7;88.3;70.0;18.3;238678.0;2.81;99792.0;71.17;76.57;55784.0;67292.0;-11508.0
18;Waarneming;1968;12661095.0;137251.0;4640156.0;6768800.0;1252139.0;36.6;53.5;9.9;87.1;68.6;18.5;237112.0;2.72;104989.0;70.92;76.44;64486.0;58479.0;6007.0
19;Waarneming;1969;12798346.0;159275.0;4637626.0;6879747.0;1280973.0;36.2;53.8;10.0;86.0;67.4;18.6;247588.0;2.75;107615.0;70.92;76.29;76359.0;56176.0;20183.0
20;Waarneming;1970;12957621.0;161809.0;4657606.0;6989040.0;1310975.0;35.9;53.9;10.1;85.4;66.6;18.8;238912.0;2.57;109619.0;70.81;76.5;90829.0;57375.0;33454.0
