ID;SBI2008;Perioden;Vacaturegraad_1
0;A-U Alle economische activiteiten;1997 1e kwartaal;14.0
1;A-U Alle economische activiteiten;1997 2e kwartaal;15.0
2;A-U Alle economische activiteiten;1997 3e kwartaal;14.0
3;A-U Alle economische activiteiten;1997 4e kwartaal;17.0
4;A-U Alle economische activiteiten;1998 1e kwartaal;20.0
5;A-U Alle economische activiteiten;1998 2e kwartaal;22.0
6;A-U Alle economische activiteiten;1998 3e kwartaal;18.0
7;A-U Alle economische activiteiten;1998 4e kwartaal;20.0
8;A-U Alle economische activiteiten;1999 1e kwartaal;23.0
9;A-U Alle economische activiteiten;1999 2e kwartaal;27.0
10;A-U Alle economische activiteiten;1999 3e kwartaal;23.0
11;A-U Alle economische activiteiten;1999 4e kwartaal;25.0
12;A-U Alle economische activiteiten;2000 1e kwartaal;30.0
13;A-U Alle economische activiteiten;2000 2e kwartaal;30.0
14;A-U Alle economische activiteiten;2000 3e kwartaal;25.0
15;A-U Alle economische activiteiten;2000 4e kwartaal;27.0
16;A-U Alle economische activiteiten;2001 1e kwartaal;29.0
17;A-U Alle economische activiteiten;2001 2e kwartaal;29.0
18;A-U Alle economische activiteiten;2001 3e kwartaal;22.0
19;A-U Alle economische activiteiten;2001 4e kwartaal;22.0
20;A-U Alle economische activiteiten;2002 1e kwartaal;24.0
21;A-U Alle economische activiteiten;2002 2e kwartaal;21.0
22;A-U Alle economische activiteiten;2002 3e kwartaal;15.0
23;A-U Alle economische activiteiten;2002 4e kwartaal;16.0
24;A-U Alle economische activiteiten;2003 1e kwartaal;17.0
25;A-U Alle economische activiteiten;2003 2e kwartaal;17.0
26;A-U Alle economische activiteiten;2003 3e kwartaal;11.0
27;A-U Alle economische activiteiten;2003 4e kwartaal;13.0
28;A-U Alle economische activiteiten;2004 1e kwartaal;16.0
29;A-U Alle economische activiteiten;2004 2e kwartaal;18.0
30;A-U Alle economische activiteiten;2004 3e kwartaal;15.0
31;A-U Alle economische activiteiten;2004 4e kwartaal;16.0
32;A-U Alle economische activiteiten;2005 1e kwartaal;21.0
33;A-U Alle economische activiteiten;2005 2e kwartaal;21.0
34;A-U Alle economische activiteiten;2005 3e kwartaal;20.0
35;A-U Alle economische activiteiten;2005 4e kwartaal;21.0
36;A-U Alle economische activiteiten;2006 1e kwartaal;26.0
37;A-U Alle economische activiteiten;2006 2e kwartaal;29.0
38;A-U Alle economische activiteiten;2006 3e kwartaal;29.0
39;A-U Alle economische activiteiten;2006 4e kwartaal;29.0
40;A-U Alle economische activiteiten;2007 1e kwartaal;31.0
41;A-U Alle economische activiteiten;2007 2e kwartaal;32.0
42;A-U Alle economische activiteiten;2007 3e kwartaal;30.0
43;A-U Alle economische activiteiten;2007 4e kwartaal;30.0
44;A-U Alle economische activiteiten;2008 1e kwartaal;32.0
45;A-U Alle economische activiteiten;2008 2e kwartaal;32.0
46;A-U Alle economische activiteiten;2008 3e kwartaal;30.0
47;A-U Alle economische activiteiten;2008 4e kwartaal;24.0
48;A-U Alle economische activiteiten;2009 1e kwartaal;20.0
49;A-U Alle economische activiteiten;2009 2e kwartaal;17.0
50;A-U Alle economische activiteiten;2009 3e kwartaal;16.0
51;A-U Alle economische activiteiten;2009 4e kwartaal;15.0
52;A-U Alle economische activiteiten;2010 1e kwartaal;15.0
53;A-U Alle economische activiteiten;2010 2e kwartaal;16.0
54;A-U Alle economische activiteiten;2010 3e kwartaal;16.0
55;A-U Alle economische activiteiten;2010 4e kwartaal;16.0
56;A-U Alle economische activiteiten;2011 1e kwartaal;17.0
57;A-U Alle economische activiteiten;2011 2e kwartaal;18.0
58;A-U Alle economische activiteiten;2011 3e kwartaal;16.0
59;A-U Alle economische activiteiten;2011 4e kwartaal;15.0
60;A-U Alle economische activiteiten;2012 1e kwartaal;15.0
61;A-U Alle economische activiteiten;2012 2e kwartaal;15.0
62;A-U Alle economische activiteiten;2012 3e kwartaal;13.0
63;A-U Alle economische activiteiten;2012 4e kwartaal;12.0
64;A-U Alle economische activiteiten;2013 1e kwartaal;13.0
65;A-U Alle economische activiteiten;2013 2e kwartaal;12.0
66;A-U Alle economische activiteiten;2013 3e kwartaal;12.0
67;A-U Alle economische activiteiten;2013 4e kwartaal;12.0
68;A-U Alle economische activiteiten;2014 1e kwartaal;14.0
69;A-U Alle economische activiteiten;2014 2e kwartaal;15.0
70;A-U Alle economische activiteiten;2014 3e kwartaal;14.0
71;A-U Alle economische activiteiten;2014 4e kwartaal;15.0
72;A-U Alle economische activiteiten;2015 1e kwartaal;17.0
73;A-U Alle economische activiteiten;2015 2e kwartaal;17.0
74;A-U Alle economische activiteiten;2015 3e kwartaal;17.0
75;A-U Alle economische activiteiten;2015 4e kwartaal;17.0
76;A-U Alle economische activiteiten;2016 1e kwartaal;20.0
77;A-U Alle economische activiteiten;2016 2e kwartaal;20.0
78;A-U Alle economische activiteiten;2016 3e kwartaal;20.0
79;A-U Alle economische activiteiten;2016 4e kwartaal;20.0
80;A-U Alle economische activiteiten;2017 1e kwartaal;24.0
81;A-U Alle economische activiteiten;2017 2e kwartaal;26.0
82;A-U Alle economische activiteiten;2017 3e kwartaal;26.0
83;A-U Alle economische activiteiten;2017 4e kwartaal;27.0
84;A-U Alle economische activiteiten;2018 1e kwartaal;29.0
85;A-U Alle economische activiteiten;2018 2e kwartaal;31.0
86;A-U Alle economische activiteiten;2018 3e kwartaal;31.0
87;A-U Alle economische activiteiten;2018 4e kwartaal;30.0
88;A-U Alle economische activiteiten;2019 1e kwartaal;33.0
89;A-U Alle economische activiteiten;2019 2e kwartaal;34.0
90;A-U Alle economische activiteiten;2019 3e kwartaal;33.0
91;A-U Alle economische activiteiten;2019 4e kwartaal;33.0
92;A-U Alle economische activiteiten;2020 1e kwartaal;26.0
93;A-U Alle economische activiteiten;2020 2e kwartaal;24.0
94;A-U Alle economische activiteiten;2020 3e kwartaal;26.0
95;A-U Alle economische activiteiten;2020 4e kwartaal;25.0
96;A-U Alle economische activiteiten;2021 1e kwartaal;30.0
97;A-U Alle economische activiteiten;2021 2e kwartaal;39.0
98;A-U Alle economische activiteiten;2021 3e kwartaal;43.0
99;A-U Alle economische activiteiten;2021 4e kwartaal;43.0
100;A-U Alle economische activiteiten;2022 1e kwartaal;51.0
101;A-U Alle economische activiteiten;2022 2e kwartaal;54.0
102;A-U Alle economische activiteiten;2022 3e kwartaal;51.0
103;A-U Alle economische activiteiten;2022 4e kwartaal;47.0
104;A-U Alle economische activiteiten;2023 1e kwartaal;49.0
105;A-U Alle economische activiteiten;2023 2e kwartaal;49.0
106;A-U Alle economische activiteiten;2023 3e kwartaal;46.0
107;A-U Alle economische activiteiten;2023 4e kwartaal;43.0
108;A-U Alle economische activiteiten;2024 1e kwartaal;46.0
109;A-U Alle economische activiteiten;2024 2e kwartaal;46.0
110;A-U Alle economische activiteiten;2024 3e kwartaal;44.0
111;A-U Alle economische activiteiten;2024 4e kwartaal;42.0
112;A Landbouw, bosbouw en visserij;1997 1e kwartaal;7.0
113;A Landbouw, bosbouw en visserij;1997 2e kwartaal;13.0
114;A Landbouw, bosbouw en visserij;1997 3e kwartaal;11.0
115;A Landbouw, bosbouw en visserij;1997 4e kwartaal;10.0
116;A Landbouw, bosbouw en visserij;1998 1e kwartaal;18.0
117;A Landbouw, bosbouw en visserij;1998 2e kwartaal;12.0
118;A Landbouw, bosbouw en visserij;1998 3e kwartaal;12.0
119;A Landbouw, bosbouw en visserij;1998 4e kwartaal;14.0
120;A Landbouw, bosbouw en visserij;1999 1e kwartaal;18.0
121;A Landbouw, bosbouw en visserij;1999 2e kwartaal;20.0
122;A Landbouw, bosbouw en visserij;1999 3e kwartaal;13.0
123;A Landbouw, bosbouw en visserij;1999 4e kwartaal;16.0
124;A Landbouw, bosbouw en visserij;2000 1e kwartaal;24.0
125;A Landbouw, bosbouw en visserij;2000 2e kwartaal;26.0
126;A Landbouw, bosbouw en visserij;2000 3e kwartaal;16.0
127;A Landbouw, bosbouw en visserij;2000 4e kwartaal;24.0
128;A Landbouw, bosbouw en visserij;2001 1e kwartaal;29.0
129;A Landbouw, bosbouw en visserij;2001 2e kwartaal;20.0
130;A Landbouw, bosbouw en visserij;2001 3e kwartaal;14.0
131;A Landbouw, bosbouw en visserij;2001 4e kwartaal;16.0
132;A Landbouw, bosbouw en visserij;2002 1e kwartaal;31.0
133;A Landbouw, bosbouw en visserij;2002 2e kwartaal;23.0
134;A Landbouw, bosbouw en visserij;2002 3e kwartaal;7.0
135;A Landbouw, bosbouw en visserij;2002 4e kwartaal;12.0
136;A Landbouw, bosbouw en visserij;2003 1e kwartaal;20.0
137;A Landbouw, bosbouw en visserij;2003 2e kwartaal;17.0
138;A Landbouw, bosbouw en visserij;2003 3e kwartaal;6.0
139;A Landbouw, bosbouw en visserij;2003 4e kwartaal;9.0
140;A Landbouw, bosbouw en visserij;2004 1e kwartaal;26.0
141;A Landbouw, bosbouw en visserij;2004 2e kwartaal;25.0
142;A Landbouw, bosbouw en visserij;2004 3e kwartaal;14.0
143;A Landbouw, bosbouw en visserij;2004 4e kwartaal;16.0
144;A Landbouw, bosbouw en visserij;2005 1e kwartaal;35.0
145;A Landbouw, bosbouw en visserij;2005 2e kwartaal;27.0
146;A Landbouw, bosbouw en visserij;2005 3e kwartaal;22.0
147;A Landbouw, bosbouw en visserij;2005 4e kwartaal;20.0
148;A Landbouw, bosbouw en visserij;2006 1e kwartaal;33.0
149;A Landbouw, bosbouw en visserij;2006 2e kwartaal;43.0
150;A Landbouw, bosbouw en visserij;2006 3e kwartaal;32.0
151;A Landbouw, bosbouw en visserij;2006 4e kwartaal;29.0
152;A Landbouw, bosbouw en visserij;2007 1e kwartaal;36.0
153;A Landbouw, bosbouw en visserij;2007 2e kwartaal;39.0
154;A Landbouw, bosbouw en visserij;2007 3e kwartaal;27.0
155;A Landbouw, bosbouw en visserij;2007 4e kwartaal;25.0
156;A Landbouw, bosbouw en visserij;2008 1e kwartaal;30.0
157;A Landbouw, bosbouw en visserij;2008 2e kwartaal;30.0
158;A Landbouw, bosbouw en visserij;2008 3e kwartaal;22.0
159;A Landbouw, bosbouw en visserij;2008 4e kwartaal;17.0
160;A Landbouw, bosbouw en visserij;2009 1e kwartaal;16.0
161;A Landbouw, bosbouw en visserij;2009 2e kwartaal;16.0
162;A Landbouw, bosbouw en visserij;2009 3e kwartaal;15.0
163;A Landbouw, bosbouw en visserij;2009 4e kwartaal;12.0
164;A Landbouw, bosbouw en visserij;2010 1e kwartaal;11.0
165;A Landbouw, bosbouw en visserij;2010 2e kwartaal;14.0
166;A Landbouw, bosbouw en visserij;2010 3e kwartaal;10.0
167;A Landbouw, bosbouw en visserij;2010 4e kwartaal;11.0
168;A Landbouw, bosbouw en visserij;2011 1e kwartaal;13.0
169;A Landbouw, bosbouw en visserij;2011 2e kwartaal;14.0
170;A Landbouw, bosbouw en visserij;2011 3e kwartaal;11.0
171;A Landbouw, bosbouw en visserij;2011 4e kwartaal;9.0
172;A Landbouw, bosbouw en visserij;2012 1e kwartaal;14.0
173;A Landbouw, bosbouw en visserij;2012 2e kwartaal;14.0
