ID;Periode;BasisIndexcijfers193839100_1;ReeksInclusiefBTW_2;ReeksExclusiefBTW_3;ReeksInclusiefBTW_4;ReeksExclusiefBTW_5;ReeksInclusiefBTW_6;ReeksExclusiefBTW_7
0;1914;85.0;;;;;;
1;1915;90.0;;;;;;
2;1916;115.0;;;;;;
3;1917;160.0;;;;;;
4;1918;220.0;;;;;;
5;1919;250.0;;;;;;
6;1920;265.0;;;;;;
7;1921;235.0;;;;;;
8;1922;180.0;;;;;;
9;1923;145.0;;;;;;
10;1924;140.0;;;;;;
11;1925;135.0;;;;;;
12;1926;135.0;;;;;;
13;1927;130.0;;;;;;
14;1928;130.0;;;;;;
15;1929;130.0;;;;;;
16;1930;125.0;;;;;;
17;1931;115.0;;;;;;
18;1932;105.0;;;;;;
19;1933;105.0;;;;;;
20;1934;100.0;;;;;;
21;1935;90.0;;;;;;
22;1936;85.0;;;;;;
23;1937;100.0;;;;;;
24;1938;95.0;;;;;;
25;1939;105.0;;;;;;
26;1940;150.0;;;;;;
27;1941;210.0;;;;;;
28;1942;250.0;;;;;;
29;1943;280.0;;;;;;
30;1944;300.0;;;;;;
31;1945;320.0;;;;;;
32;1946;320.0;;;;;;
33;1947;350.0;;;;;;
34;1948;355.0;;;;;;
35;1949;350.0;;;;;;
36;1950;360.0;;;;;;
37;1951;415.0;;;;;;
38;1952;420.0;;;;;;
39;1953;415.0;;;;;;
40;1954;445.0;;;;;;
41;1955;500.0;;;;;;
42;1956;555.0;;;;;;
43;1957;590.0;;;;;;
44;1958;565.0;;;;;;
45;1959;555.0;;;;;;
46;1960;570.0;;;;;;
47;1961;590.0;;;;;;
48;1962;635.0;;;;;;
49;1963;675.0;;;;;;
50;1964;735.0;;;;;;
51;1965;770.0;;;;;;
52;1966;815.0;;;;;;
53;1967;815.0;;;;;;
54;1968;865.0;;;;;;
55;1969;970.0;;;;;;
56;1970;1080.0;;;;;;
57;1971;1225.0;;;;;;
58;1972;1325.0;;;;;;
59;1973;1480.0;;;;;;
60;1974;1685.0;;;;;;
61;1975;1815.0;;;;;;
62;1976;1970.0;;;;;;
63;1977;2160.0;;;;;;
64;1978;2360.0;;;;;;
65;1979;2590.0;;;;;;
66;1980 1e kwartaal;;98.0;98.0;;;;
67;1980 2e kwartaal;;100.0;100.0;;;;
68;1980 3e kwartaal;;101.0;101.0;;;;
69;1980 4e kwartaal;;102.0;102.0;;;;
70;1980;2790.0;100.0;100.0;;;;
71;1981 1e kwartaal;;103.0;103.0;;;;
72;1981 2e kwartaal;;103.0;103.0;;;;
73;1981 3e kwartaal;;104.0;104.0;;;;
74;1981 4e kwartaal;;103.0;103.0;;;;
75;1981;2880.0;103.0;103.0;;;;
76;1982 1e kwartaal;;102.0;102.0;;;;
77;1982 2e kwartaal;;101.0;101.0;;;;
78;1982 3e kwartaal;;99.0;99.0;;;;
79;1982 4e kwartaal;;102.0;102.0;;;;
80;1982;2810.0;101.0;101.0;;;;
81;1983 1e kwartaal;;101.0;101.0;;;;
82;1983 2e kwartaal;;101.0;101.0;;;;
83;1983 3e kwartaal;;99.0;99.0;;;;
84;1983 4e kwartaal;;101.0;101.0;;;;
85;1983;2800.0;100.0;100.0;;;;
86;1984 1e kwartaal;;100.0;99.0;;;;
87;1984 2e kwartaal;;100.0;99.0;;;;
88;1984 3e kwartaal;;100.0;99.0;;;;
89;1984 4e kwartaal;;100.0;99.0;;;;
90;1984;2790.0;100.0;99.0;;;;
91;1985 1e kwartaal;;98.0;97.0;;;;
92;1985 2e kwartaal;;99.0;98.0;;;;
93;1985 3e kwartaal;;99.0;98.0;;;;
94;1985 4e kwartaal;;100.0;99.0;;;;
95;1985;2750.0;99.0;98.0;;;;
96;1986 1e kwartaal;;98.0;97.0;;;;
97;1986 2e kwartaal;;100.0;99.0;;;;
98;1986 3e kwartaal;;103.0;103.0;;;;
99;1986 4e kwartaal;;101.0;100.0;;;;
100;1986;2810.0;101.0;100.0;;;;
101;1987 1e kwartaal;;102.0;101.0;;;;
102;1987 2e kwartaal;;104.0;102.0;;;;
103;1987 3e kwartaal;;106.0;104.0;;;;
104;1987 4e kwartaal;;107.0;105.0;;;;
105;1987;2920.0;105.0;103.0;;;;
106;1988 1e kwartaal;;107.0;105.0;;;;
107;1988 2e kwartaal;;107.0;105.0;;;;
108;1988 3e kwartaal;;108.0;106.0;;;;
