ID;Perioden;Volumemutaties_1;VolumeIndexcijfers_2
0;1995 januari;;78.9
1;1995 februari;;82.0
2;1995 maart;;84.7
3;1995 1e kwartaal;;81.9
4;1995 april;;66.8
5;1995 mei;;104.2
6;1995 juni;;104.7
7;1995 2e kwartaal;;91.9
8;1995 juli;;70.4
9;1995 augustus;;65.0
10;1995 september;;112.8
11;1995 3e kwartaal;;82.7
12;1995 oktober;;112.1
13;1995 november;;112.5
14;1995 december;;60.1
15;1995 4e kwartaal;;94.9
16;1995;;87.8
17;1996 januari;-14.6;67.3
18;1996 februari;-27.0;59.9
19;1996 maart;-2.9;82.3
20;1996 1e kwartaal;-14.7;69.8
21;1996 april;16.3;77.7
22;1996 mei;0.9;105.1
23;1996 juni;-1.7;102.9
24;1996 2e kwartaal;3.6;95.3
25;1996 juli;1.7;71.6
26;1996 augustus;2.2;66.4
27;1996 september;-0.1;112.7
28;1996 3e kwartaal;1.0;83.6
29;1996 oktober;4.1;116.7
30;1996 november;0.0;112.5
31;1996 december;10.4;66.3
32;1996 4e kwartaal;3.8;98.5
33;1996;-1.2;86.8
34;1997 januari;5.0;70.7
35;1997 februari;39.5;83.5
36;1997 maart;4.6;86.0
37;1997 1e kwartaal;14.7;80.1
38;1997 april;5.2;81.7
39;1997 mei;-5.3;99.6
40;1997 juni;-1.0;101.9
41;1997 2e kwartaal;-0.9;94.4
42;1997 juli;-2.7;69.7
43;1997 augustus;-2.3;64.9
44;1997 september;-0.3;112.3
45;1997 3e kwartaal;-1.5;82.3
46;1997 oktober;-1.6;114.8
47;1997 november;-1.2;111.1
48;1997 december;-0.4;66.0
49;1997 4e kwartaal;-1.2;97.3
50;1997;2.0;88.5
51;1998 januari;25.4;88.6
52;1998 februari;6.4;88.9
53;1998 maart;9.4;94.1
54;1998 1e kwartaal;13.1;90.6
55;1998 april;0.9;82.5
56;1998 mei;0.8;100.4
57;1998 juni;-0.2;101.7
58;1998 2e kwartaal;0.5;94.9
59;1998 juli;5.2;73.4
60;1998 augustus;-1.5;63.9
61;1998 september;1.6;114.1
62;1998 3e kwartaal;1.8;83.8
63;1998 oktober;-2.0;112.5
64;1998 november;0.7;111.9
65;1998 december;-0.9;65.5
66;1998 4e kwartaal;-0.7;96.6
67;1998;3.3;91.4
68;1999 januari;4.6;92.7
69;1999 februari;0.9;89.7
70;1999 maart;6.4;100.2
71;1999 1e kwartaal;4.0;94.2
72;1999 april;3.1;85.0
73;1999 mei;3.6;104.0
74;1999 juni;10.4;112.3
75;1999 2e kwartaal;5.9;100.4
76;1999 juli;6.7;78.3
77;1999 augustus;-1.9;62.6
78;1999 september;5.1;119.9
79;1999 3e kwartaal;3.8;87.0
80;1999 oktober;2.8;115.7
81;1999 november;9.4;122.4
82;1999 december;18.1;77.3
83;1999 4e kwartaal;8.8;105.1
84;1999;5.7;96.7
85;2000 januari;-3.2;89.7
86;2000 februari;20.2;107.9
87;2000 maart;5.2;105.4
88;2000 1e kwartaal;7.2;101.0
89;2000 april;3.7;88.2
90;2000 mei;14.4;119.0
91;2000 juni;-1.6;110.5
92;2000 2e kwartaal;5.4;105.9
93;2000 juli;-5.7;73.8
