ID;HerkomstBestemming;Perioden;CO2_1;N2O_2;CH4_3;BroeikasgasEquivalent_4;NOx_5;SO2_6;NH3_7;ZuurEquivalent_8;CFK12Equivalent_9;CO_10;NMVOS_11;PM10_12;FijnStofEquivalent_13
0;Totaal particuliere huishoudens;1990;36741.0;0.4;28.1;37466.0;173.9;5.9;17.4;5.0;678.7;758.4;207.8;15.4;15.4
1;Totaal particuliere huishoudens;1991;39464.0;0.5;28.3;40223.0;168.1;5.8;17.8;4.9;571.8;687.4;184.7;14.7;14.7
2;Totaal particuliere huishoudens;1992;37921.0;0.6;26.7;38680.0;157.6;5.7;18.3;4.7;464.9;672.7;175.4;14.4;14.4
3;Totaal particuliere huishoudens;1993;39301.0;0.7;27.0;40099.0;148.0;5.6;18.5;4.5;358.0;646.2;166.5;14.2;14.2
4;Totaal particuliere huishoudens;1994;38769.0;0.8;26.2;39579.0;138.0;5.2;18.5;4.3;251.2;630.1;158.9;13.6;13.6
5;Totaal particuliere huishoudens;1995;40068.0;0.9;26.7;40977.0;130.5;4.8;15.6;3.9;144.3;634.0;152.5;14.0;14.0
6;Totaal particuliere huishoudens;1996;43542.0;1.0;28.9;44524.0;124.8;3.6;15.7;3.7;58.5;613.6;144.3;13.5;13.5
7;Totaal particuliere huishoudens;1997;40068.0;1.0;25.7;40986.0;113.4;2.2;16.0;3.5;48.8;603.7;135.6;13.2;13.2
8;Totaal particuliere huishoudens;1998;39075.0;1.0;24.6;39975.0;103.2;2.2;16.2;3.3;42.1;579.2;122.6;12.9;12.9
9;Totaal particuliere huishoudens;1999;39525.0;1.0;24.0;40379.0;97.8;2.3;16.4;3.2;45.1;565.2;114.8;12.7;12.7
10;Totaal particuliere huishoudens;2000;39520.0;1.0;23.5;40565.0;88.5;1.8;14.9;2.9;39.1;544.0;103.6;12.3;12.3
11;Totaal particuliere huishoudens;2001;40834.0;0.9;23.4;41824.0;83.9;1.1;16.6;2.8;34.7;522.2;94.9;12.6;12.6
12;Totaal particuliere huishoudens;2002;39796.0;0.9;22.2;40738.0;76.4;1.1;16.4;2.7;30.9;500.3;87.0;12.4;12.4
13;Totaal particuliere huishoudens;2003;40469.0;0.9;22.3;41436.0;71.1;0.9;16.2;2.5;27.6;482.5;80.2;12.2;12.2
14;Totaal particuliere huishoudens;2004;40539.0;0.9;21.9;41550.0;65.5;0.9;16.0;2.4;24.2;470.7;73.8;11.9;11.9
15;Totaal particuliere huishoudens;2005;39630.0;0.9;21.3;40628.0;59.5;0.8;16.5;2.3;21.3;455.7;70.6;11.5;11.5
16;Totaal particuliere huishoudens;2006;38964.0;0.9;20.5;39969.0;54.3;0.8;16.3;2.2;18.3;442.3;68.2;11.4;11.4
