ID;Plaatsnamen;Code_1;Naam_2;Code_3;Naam_4;Code_5;NaamAfkorting_6;PTTWoonplaatsnaam_7;Gemeentenaam_8
0;Aa en Hunze;1680;Aa en Hunze                ;16;Overige gemeenten Drentse Veenkoloniën  ;22;D.  ;nee;ja 
1;Aa, De;1724;Bergeijk                   ;116;Kempenland                              ;30;NB. ;nee;nee
2;Aadorp;186;Vriezenveen                ;24;Overige gemeenten in Twente             ;23;O.  ;ja ;nee
3;Aagtdorp;444;Schoorl                    ;55;Noord-Kennemerland                      ;27;NH. ;nee;nee
4;Aagtekerke;717;Veere                      ;96;Overige gemeenten Walcheren             ;29;Z.  ;ja ;nee
5;Aalbeek;951;Nuth                       ;125;Oostelijke Mijnstreek                   ;31;L.  ;nee;nee
6;Aalburg;738;Aalburg                    ;105;Land van Altena                         ;30;NB. ;nee;ja 
7;890;109;Coevorden                  ;18;Zuiddrents randgebied                   ;22;D.  ;ja ;nee
8;Aalderinkshoek;141;Almelo                     ;24;Overige gemeenten in Twente             ;23;O.  ;nee;nee
9;Aaldonk;907;Gennep                     ;120;Noord-Limburg                           ;31;L.  ;nee;nee
10;Aalsmeer;358;Aalsmeer                   ;62;Noordhollandse Meerlanden               ;27;NH. ;ja ;ja 
11;Aalsmeerderbrug;394;Haarlemmermeer             ;62;Noordhollandse Meerlanden               ;27;NH. ;ja ;nee
12;Aalst;297;Zaltbommel                 ;42;Bommelerwaard                           ;25;Gld.;ja ;nee
13;Aalst;866;Waalre                     ;114;Randgebied Eindhoven                    ;30;NB. ;nee;nee
14;Aalst;214;Buren                      ;37;Oostelijke Betuwe                       ;25;Gld.;nee;nee
15;Aalst, Ter;826;Oosterhout                 ;104;Gebied om Breda                         ;30;NB. ;nee;nee
16;501;58;Dongeradeel                ;12;Friese bouwstreek                       ;21;F.  ;ja ;nee
17;473;56;Zuidhorn                   ;1;Groninger Hoogeland en N. Westerkwartier;20;Gr. ;nee;nee
18;Aalten;197;Aalten                     ;30;Overige gemeenten oostelijke Achterhoek ;25;Gld.;ja ;ja 
19;Aam;231;Elst                       ;37;Oostelijke Betuwe                       ;25;Gld.;nee;nee
20;Aanschot;848;Son en Breugel             ;114;Randgebied Eindhoven                    ;30;NB. ;nee;nee
21;Aanwas;873;Woensdrecht                ;102;Bergen op Zoom, Roosendaal en omgeving  ;30;NB. ;nee;nee
22;Aar, Ter;480;Ter Aar                    ;72;Noordelijke veenstreek in Zuid-Holland  ;28;ZH. ;ja ;ja 
23;876;106;Assen                      ;17;Drentse zandgronden                     ;22;D.  ;ja ;nee
24;Aardam;480;Ter Aar                    ;72;Noordelijke veenstreek in Zuid-Holland  ;28;ZH. ;nee;nee
25;Aardenburg;1698;Sluis-Aardenburg           ;98;West-Zeeuwsch-Vlaanderen                ;29;Z.  ;ja ;nee
26;Aardhuis;200;Apeldoorn                  ;33;Apeldoorn                               ;25;Gld.;nee;nee
27;Aardswoud;432;Opmeer                     ;54;Midden- en Oostelijk West-Friesland     ;27;NH. ;ja ;nee
28;Aarlanderveen;484;Alphen aan den Rijn        ;73;Rijnstreek Zuid-Holland                 ;28;ZH. ;ja ;nee
29;Aarle;1659;Laarbeek                   ;115;Industriegebied Helmond                 ;30;NB. ;nee;nee
30;Aarle;753;Best                       ;114;Randgebied Eindhoven                    ;30;NB. ;nee;nee
31;Aarle-Rixtel;1659;Laarbeek                   ;115;Industriegebied Helmond                 ;30;NB. ;ja ;nee
32;Aast;912;Grubbenvorst               ;120;Noord-Limburg                           ;31;L.  ;nee;nee
33;Aasterberg;902;Echt                       ;122;Overig Midden-Limburg ten oosten v. Maas;31;L.  ;nee;nee
34;Abbega;683;Wymbritseradiel            ;10;Fries weidegebied                       ;21;F.  ;ja ;nee
35;Abbegaesterketting;683;Wymbritseradiel            ;10;Fries weidegebied                       ;21;F.  ;nee;nee
36;Abbekerk;529;Noorder-Koggenland         ;54;Midden- en Oostelijk West-Friesland     ;27;NH. ;ja ;nee
37;Abbekinderen;664;Goes                       ;97;Noord- en Zuid-Beveland                 ;29;Z.  ;nee;nee
38;Abbenbroek;568;Bernisse                   ;91;Voorne-Putten en Rozenburg              ;28;ZH. ;ja ;nee
39;Abbenes;394;Haarlemmermeer             ;62;Noordhollandse Meerlanden               ;27;NH. ;ja ;nee
40;Abbestede;476;Zijpe                      ;52;Overige gemeenten Kop van Noord-Holland ;27;NH. ;nee;nee
41;Abcoude;305;Abcoude                    ;48;Vechtstreek en Plassengebied in Utrecht ;26;U.  ;ja ;ja 
42;Abcoven;785;Goirle                     ;108;Gebied om Tilburg                       ;30;NB. ;nee;nee
43;Abdissenbosch;882;Landgraaf                  ;125;Oostelijke Mijnstreek                   ;31;L.  ;nee;nee
44;Absdale;677;Hulst                      ;100;Overige gem. in Oost-Zeeuwsch-Vlaanderen;29;Z.  ;nee;nee
45;Absdalepolder;677;Hulst                      ;100;Overige gem. in Oost-Zeeuwsch-Vlaanderen;29;Z.  ;nee;nee
46;Abtswoude;503;Delft                      ;82;Delft                                   ;28;ZH. ;nee;nee
47;596;70;Franekeradeel              ;12;Friese bouwstreek                       ;21;F.  ;ja ;nee
48;Acht;772;Eindhoven                  ;113;Eindhoven                               ;30;NB. ;nee;nee
49;Achter-Lindt;642;Zwijndrecht                ;87;Oostelijk IJsselmonde                   ;28;ZH. ;nee;nee
50;43;9;Ten Boer                   ;1;Groninger Hoogeland en N. Westerkwartier;20;Gr. ;nee;nee
51;Achterberg;340;Rhenen                     ;44;Utrechtse Heuvelrug                     ;26;U.  ;nee;nee
52;Achterbos;736;De Ronde Venen             ;48;Vechtstreek en Plassengebied in Utrecht ;26;U.  ;nee;nee
53;Achterbosch;1659;Laarbeek                   ;115;Industriegebied Helmond                 ;30;NB. ;nee;nee
54;Achterbosch;743;Asten                      ;118;Brabantse Peel                          ;30;NB. ;nee;nee
55;Achterbroek;847;Someren                    ;118;Brabantse Peel                          ;30;NB. ;nee;nee
56;Achterbroek;491;Bergambacht                ;75;Krimpenerwaard                          ;28;ZH. ;nee;nee
57;154;18;Hoogezand-Sappemeer        ;4;Groninger Veenkoloniën                  ;20;Gr. ;nee;nee
58;Achterdijk;1709;Moerdijk                   ;101;Zeekleigebied in Noord-Brabant          ;30;NB. ;nee;nee
59;Achterdrempt;256;Hummelo en Keppel          ;27;Oude-IJsselgebied (westelijk deel)      ;25;Gld.;nee;nee
60;Achtereind;866;Waalre                     ;114;Randgebied Eindhoven                    ;30;NB. ;nee;nee
61;Achterhoek;840;Rucphen                    ;102;Bergen op Zoom, Roosendaal en omgeving  ;30;NB. ;nee;nee
62;969;118;Hoogeveen                  ;18;Zuiddrents randgebied                   ;22;D.  ;nee;nee
63;Achterschaijk;828;Oss                        ;111;Maaskant                                ;30;NB. ;nee;nee
