ID;Woningkenmerken;WijkenEnBuurten;Gemeentenaam_1;SoortRegio_2;Codering_3;GemiddeldAardgasverbruik_4;GemiddeldElektriciteitsverbruik_5;Stadsverwarming_6;IndelingswijzigingWijkenEnBuurten_7
0;Totaal woningen;Nederland;Nederland                               ;Land      ;NL00      ;1200.0;3050.0;4.8;.
1;Totaal woningen;Appingedam;Appingedam                              ;Gemeente  ;GM0003    ;1350.0;2700.0;;.
2;Totaal woningen;Wijk 00;Appingedam                              ;Wijk      ;WK000300  ;1350.0;2700.0;;1
3;Totaal woningen;Appingedam-Centrum;Appingedam                              ;Buurt     ;BU00030000;1300.0;2350.0;;1
4;Totaal woningen;Appingedam-West;Appingedam                              ;Buurt     ;BU00030001;1450.0;3150.0;;1
5;Totaal woningen;Appingedam-Oost;Appingedam                              ;Buurt     ;BU00030002;1300.0;2600.0;;1
6;Totaal woningen;Verspr.h. Damsterdiep en Eemskanaal;Appingedam                              ;Buurt     ;BU00030007;1700.0;3950.0;;1
7;Totaal woningen;Verspr.h. ten zuiden van Eemskanaal;Appingedam                              ;Buurt     ;BU00030008;1900.0;4350.0;;1
8;Totaal woningen;Verspr.h. ten N. van het Damsterdiep;Appingedam                              ;Buurt     ;BU00030009;2250.0;3800.0;;1
9;Totaal woningen;Bedum;Bedum                                   ;Gemeente  ;GM0005    ;1550.0;3000.0;;.
10;Totaal woningen;Wijk 00;Bedum                                   ;Wijk      ;WK000500  ;1550.0;3000.0;;1
11;Totaal woningen;Bedum;Bedum                                   ;Buurt     ;BU00050000;1450.0;2950.0;;1
12;Totaal woningen;Verspreide huizen Bedum;Bedum                                   ;Buurt     ;BU00050001;1650.0;3500.0;;1
13;Totaal woningen;Zuidwolde;Bedum                                   ;Buurt     ;BU00050002;1800.0;3100.0;;1
14;Totaal woningen;Verspreide huizen Zuidwolde;Bedum                                   ;Buurt     ;BU00050003;2450.0;4900.0;;1
15;Totaal woningen;Onderdendam;Bedum                                   ;Buurt     ;BU00050004;1750.0;3000.0;;1
16;Totaal woningen;Verspreide huizen Onderdendam;Bedum                                   ;Buurt     ;BU00050005;2050.0;4550.0;;1
17;Totaal woningen;Noordwolde;Bedum                                   ;Buurt     ;BU00050006;1800.0;2900.0;;1
18;Totaal woningen;Verspreide huizen Noordwolde;Bedum                                   ;Buurt     ;BU00050007;2000.0;3650.0;;1
19;Totaal woningen;Bellingwedde;Bellingwedde                            ;Gemeente  ;GM0007    ;1800.0;3400.0;;.
