ID;Kenmerken;Marges;Perioden;ScoreGeluk_1;Ongelukkig_2;NietGelukkigNietOngelukkig_3;Gelukkig_4;ScoreTevredenheidMetHetLeven_5;Ontevreden_6;NietTevredenNietOntevreden_7;Tevreden_8;ScoreTevredenheidMetWoning_9;Ontevreden_10;NietTevredenNietOntevreden_11;Tevreden_12;ScoreTevredenheidMetWoonomgeving_13;Ontevreden_14;NietTevredenNietOntevreden_15;Tevreden_16;ScoreOnveiligheidsgevoelens_17;Veilig_18;NietVeiligNietOnveilig_19;Onveilig_20
0;Totaal;Waarde;2013;7.7;2.5;10.0;87.5;7.5;3.4;13.0;83.6;8.0;3.9;8.1;88.0;7.9;3.4;10.3;86.3;3.5;69.2;16.9;13.9
1;Totaal;Waarde;2014;7.7;2.4;9.7;87.9;7.6;3.3;12.1;84.6;8.0;3.8;8.4;87.9;7.8;3.9;10.7;85.4;3.5;70.1;16.1;13.8
2;Totaal;Waarde;2015;7.7;2.8;9.8;87.4;7.5;3.9;12.2;83.9;8.0;3.5;9.6;86.9;7.9;3.8;10.3;85.9;3.5;69.2;16.7;14.1
3;Totaal;Waarde;2016;7.7;2.6;9.1;88.3;7.6;3.0;11.8;85.2;8.0;3.9;8.5;87.6;7.8;4.0;10.0;86.0;3.6;68.5;17.3;14.3
4;Totaal;Waarde;2017;7.7;2.8;9.8;87.5;7.6;3.5;11.1;85.4;8.0;4.3;8.6;87.1;7.9;3.7;10.1;86.1;3.5;69.8;16.3;13.9
5;Totaal;Waarde;2018;7.7;2.8;9.4;87.7;7.6;2.4;11.8;85.7;7.9;4.4;9.1;86.5;7.8;4.1;10.1;85.8;3.3;73.7;14.8;11.4
6;Totaal;Waarde;2019;7.7;2.6;8.5;88.9;7.7;2.4;10.3;87.3;8.0;4.5;8.0;87.5;7.9;4.1;10.0;85.9;3.3;73.7;14.7;11.6
7;Totaal;Waarde;2020;7.7;2.7;10.5;86.8;7.6;2.7;12.4;84.8;8.0;4.1;8.4;87.5;7.8;4.2;9.9;85.9;3.3;74.4;13.9;11.7
8;Totaal;Waarde;2021;7.6;3.3;10.3;86.4;7.5;3.3;13.0;83.6;7.9;5.3;9.1;85.6;7.9;4.7;9.0;86.3;3.2;75.6;12.8;11.6
9;Totaal;Waarde;2022;7.6;2.8;11.1;86.1;7.5;3.1;13.5;83.4;7.9;4.2;9.4;86.3;7.9;3.1;9.8;87.1;3.3;75.2;13.7;11.1
