ID;GewassenTeeltsector;Gewasbeschermingsmiddelen;Perioden;AantalBedrijven_1;PercentageBedrijven_2;GrootteOppervlakte_3;PercentageOppervlakte_4;TotaalGebruikPerJaarInKilogram_5;GebruikPerJaarPerHectare_6;DoseringPerJaarPerHectare_7
0;Totaal gewassen/teeltsectoren;Totaal van alle werkzame stoffen;2012;;;720103.0;96.5;5762203.0;7.7;8.0
1;Totaal gewassen/teeltsectoren;Totaal van alle werkzame stoffen;2016;;;687235.0;96.2;5615588.0;7.9;8.2
2;Totaal gewassen/teeltsectoren;Totaal van alle werkzame stoffen;2020;;;701900.0;98.5;4982064.0;7.0;7.1
3;Totaal gewassen/teeltsectoren;F Schimmel-en bacteriënbestrijding;2012;;;456046.0;61.1;2796369.0;3.7;6.1
4;Totaal gewassen/teeltsectoren;F Schimmel-en bacteriënbestrijding;2016;;;457310.0;64.0;2738400.0;3.8;6.0
5;Totaal gewassen/teeltsectoren;F Schimmel-en bacteriënbestrijding;2020;;;449326.0;63.1;2193633.0;3.1;4.9
6;Totaal gewassen/teeltsectoren;H Onkruidbestrijding en loofdoding;2012;;;692082.0;92.8;1690078.0;2.3;2.4
7;Totaal gewassen/teeltsectoren;H Onkruidbestrijding en loofdoding;2016;;;643886.0;90.1;1452372.0;2.0;2.3
8;Totaal gewassen/teeltsectoren;H Onkruidbestrijding en loofdoding;2020;;;666428.0;93.5;1248586.0;1.8;1.9
9;Totaal gewassen/teeltsectoren;I Insecten- en mijtenbestrijding;2012;;;305778.0;41.0;1083290.0;1.5;3.5
10;Totaal gewassen/teeltsectoren;I Insecten- en mijtenbestrijding;2016;;;305523.0;42.8;1198068.0;1.7;3.9
11;Totaal gewassen/teeltsectoren;I Insecten- en mijtenbestrijding;2020;;;315192.0;44.2;1334489.0;1.9;4.2
12;Totaal gewassen/teeltsectoren;M Slakkenbestrijding;2012;;;8257.0;1.1;5452.0;0.0;0.7
13;Totaal gewassen/teeltsectoren;M Slakkenbestrijding;2016;;;14803.0;2.1;4124.0;0.0;0.3
14;Totaal gewassen/teeltsectoren;M Slakkenbestrijding;2020;;;5223.0;0.7;1266.0;0.0;0.2
15;Totaal gewassen/teeltsectoren;PGR Plantengroeiregulatie,kiemremming;2012;;;160274.0;21.5;175374.0;0.2;1.1
16;Totaal gewassen/teeltsectoren;PGR Plantengroeiregulatie,kiemremming;2016;;;158894.0;22.2;190753.0;0.3;1.2
17;Totaal gewassen/teeltsectoren;PGR Plantengroeiregulatie,kiemremming;2020;;;150123.0;21.1;183444.0;0.3;1.2
18;Totaal gewassen/teeltsectoren;ZR Andere gewasbeschermingsmiddelen;2012;;;16397.0;2.2;11634.0;0.0;0.7
19;Totaal gewassen/teeltsectoren;ZR Andere gewasbeschermingsmiddelen;2016;;;52399.0;7.3;31845.0;0.0;0.6
20;Totaal gewassen/teeltsectoren;ZR Andere gewasbeschermingsmiddelen;2020;;;18908.0;2.7;20647.0;0.0;1.1
21;Totaal gewassen/teeltsectoren;F010201 Zwavel;2012;;;15237.0;2.0;91491.0;0.1;6.0
22;Totaal gewassen/teeltsectoren;F010201 Zwavel;2016;;;12309.0;1.7;90108.0;0.1;7.3
23;Totaal gewassen/teeltsectoren;F010201 Zwavel;2020;;;3897.0;0.5;16057.0;0.0;4.1
24;Totaal gewassen/teeltsectoren;F019901 Calcium(poly)sulfide;2012;;;144.0;0.0;675.0;0.0;4.7
25;Totaal gewassen/teeltsectoren;F019901 Calcium(poly)sulfide;2016;;;0.0;0.0;0.0;0.0;0.0
26;Totaal gewassen/teeltsectoren;F019901 Calcium(poly)sulfide;2020;;;;;;;
27;Totaal gewassen/teeltsectoren;F019902 Kaliumjodide;2012;;;679.0;0.1;109.0;0.0;0.2
28;Totaal gewassen/teeltsectoren;F019902 Kaliumjodide;2016;;;0.0;0.0;0.0;0.0;0.0
29;Totaal gewassen/teeltsectoren;F019902 Kaliumjodide;2020;;;0.0;0.0;0.0;0.0;
30;Totaal gewassen/teeltsectoren;F019903 Kaliumfosfonaten;2012;;;0.0;0.0;0.0;0.0;0.0
31;Totaal gewassen/teeltsectoren;F019903 Kaliumfosfonaten;2016;;;1061.0;0.1;2224.0;0.0;2.1
32;Totaal gewassen/teeltsectoren;F019903 Kaliumfosfonaten;2020;;;6452.0;0.9;15236.0;0.0;2.4
33;Totaal gewassen/teeltsectoren;F019904 Kaliumthiocyanaat;2012;;;679.0;0.1;46.0;0.0;0.1
34;Totaal gewassen/teeltsectoren;F019904 Kaliumthiocyanaat;2016;;;0.0;0.0;0.0;0.0;0.0
35;Totaal gewassen/teeltsectoren;F019904 Kaliumthiocyanaat;2020;;;0.0;0.0;0.0;0.0;
36;Totaal gewassen/teeltsectoren;F019907 Kalium waterstofcarbonaat;2012;;;144.0;0.0;979.0;0.0;6.8
37;Totaal gewassen/teeltsectoren;F019907 Kalium waterstofcarbonaat;2016;;;851.0;0.1;5370.0;0.0;6.3
38;Totaal gewassen/teeltsectoren;F019907 Kalium waterstofcarbonaat;2020;;;2332.0;0.3;10150.0;0.0;4.4
39;Totaal gewassen/teeltsectoren;F019999 Pentakalium bis(peroxymomosul...;2012;;;0.0;0.0;0.0;0.0;0.0
40;Totaal gewassen/teeltsectoren;F019999 Pentakalium bis(peroxymomosul...;2016;;;0.0;0.0;0.0;0.0;0.0
41;Totaal gewassen/teeltsectoren;F019999 Pentakalium bis(peroxymomosul...;2020;;;45.0;0.0;82.0;0.0;1.8
42;Totaal gewassen/teeltsectoren;F020101 Diethofencarb;2012;;;10.0;0.0;1.0;0.0;0.1
43;Totaal gewassen/teeltsectoren;F020101 Diethofencarb;2016;;;0.0;0.0;0.0;0.0;0.0
44;Totaal gewassen/teeltsectoren;F020101 Diethofencarb;2020;;;0.0;0.0;0.0;0.0;
45;Totaal gewassen/teeltsectoren;F020201 Benthiavalicarb-isopropyl;2012;;;30163.0;4.0;4471.0;0.0;0.1
46;Totaal gewassen/teeltsectoren;F020201 Benthiavalicarb-isopropyl;2016;;;60646.0;8.5;6395.0;0.0;0.1
47;Totaal gewassen/teeltsectoren;F020201 Benthiavalicarb-isopropyl;2020;;;58928.0;8.3;6003.0;0.0;0.1
48;Totaal gewassen/teeltsectoren;F020203 Propamocarb;2012;;;88134.0;11.8;257480.0;0.3;2.9
49;Totaal gewassen/teeltsectoren;F020203 Propamocarb;2016;;;116194.0;16.3;271499.0;0.4;2.3
50;Totaal gewassen/teeltsectoren;F020203 Propamocarb;2020;;;51490.0;7.2;92911.0;0.1;1.8
51;Totaal gewassen/teeltsectoren;F020301 Mancozeb;2012;;;128838.0;17.3;1191869.0;1.6;9.3
52;Totaal gewassen/teeltsectoren;F020301 Mancozeb;2016;;;167574.0;23.5;1388529.0;1.9;8.3
53;Totaal gewassen/teeltsectoren;F020301 Mancozeb;2020;;;158582.0;22.3;1308826.0;1.8;8.3
54;Totaal gewassen/teeltsectoren;F020302 Maneb;2012;;;8611.0;1.2;95448.0;0.1;11.1
55;Totaal gewassen/teeltsectoren;F020302 Maneb;2016;;;130.0;0.0;1154.0;0.0;8.9
56;Totaal gewassen/teeltsectoren;F020302 Maneb;2020;;;0.0;0.0;0.0;0.0;
57;Totaal gewassen/teeltsectoren;F020303 Metiram;2012;;;1795.0;0.2;2339.0;0.0;1.3
58;Totaal gewassen/teeltsectoren;F020303 Metiram;2016;;;0.0;0.0;0.0;0.0;0.0
59;Totaal gewassen/teeltsectoren;F020303 Metiram;2020;;;2232.0;0.3;559.0;0.0;0.3
60;Totaal gewassen/teeltsectoren;F020305 Thiram;2012;;;3009.0;0.4;8033.0;0.0;2.7
61;Totaal gewassen/teeltsectoren;F020305 Thiram;2016;;;853.0;0.1;1675.0;0.0;2.0
62;Totaal gewassen/teeltsectoren;F020305 Thiram;2020;;;29.0;0.0;11.0;0.0;0.4
63;Totaal gewassen/teeltsectoren;F030103 Thiabendazool;2012;;;9169.0;1.2;6888.0;0.0;0.8
64;Totaal gewassen/teeltsectoren;F030103 Thiabendazool;2016;;;0.0;0.0;0.0;0.0;0.0
65;Totaal gewassen/teeltsectoren;F030103 Thiabendazool;2020;;;0.0;0.0;0.0;0.0;
66;Totaal gewassen/teeltsectoren;F030104 Thiofanaat-methyl;2012;;;13730.0;1.8;61866.0;0.1;4.5
67;Totaal gewassen/teeltsectoren;F030104 Thiofanaat-methyl;2016;;;9754.0;1.4;23933.0;0.0;2.5
68;Totaal gewassen/teeltsectoren;F030104 Thiofanaat-methyl;2020;;;15992.0;2.2;38549.0;0.1;2.4
69;Totaal gewassen/teeltsectoren;F040101 Bitertanol;2012;;;675.0;0.1;271.0;0.0;0.4
70;Totaal gewassen/teeltsectoren;F040101 Bitertanol;2016;;;0.0;0.0;0.0;0.0;0.0
71;Totaal gewassen/teeltsectoren;F040101 Bitertanol;2020;;;0.0;0.0;0.0;0.0;
72;Totaal gewassen/teeltsectoren;F040102 Bromuconazool;2012;;;0.0;0.0;0.0;0.0;0.0
73;Totaal gewassen/teeltsectoren;F040102 Bromuconazool;2016;;;2814.0;0.4;340.0;0.0;0.1
74;Totaal gewassen/teeltsectoren;F040102 Bromuconazool;2020;;;10589.0;1.5;1652.0;0.0;0.2
75;Totaal gewassen/teeltsectoren;F040103 Cyproconazool;2012;;;27219.0;3.6;2144.0;0.0;0.1
76;Totaal gewassen/teeltsectoren;F040103 Cyproconazool;2016;;;16105.0;2.3;1238.0;0.0;0.1
77;Totaal gewassen/teeltsectoren;F040103 Cyproconazool;2020;;;34211.0;4.8;2471.0;0.0;0.1
78;Totaal gewassen/teeltsectoren;F040104 Difenoconazool;2012;;;42131.0;5.6;6355.0;0.0;0.2
79;Totaal gewassen/teeltsectoren;F040104 Difenoconazool;2016;;;124307.0;17.4;31892.0;0.0;0.3
80;Totaal gewassen/teeltsectoren;F040104 Difenoconazool;2020;;;139242.0;19.5;27608.0;0.0;0.2
81;Totaal gewassen/teeltsectoren;F040105 Epoxiconazool;2012;;;126328.0;16.9;15092.0;0.0;0.1
82;Totaal gewassen/teeltsectoren;F040105 Epoxiconazool;2016;;;157226.0;22.0;17015.0;0.0;0.1
83;Totaal gewassen/teeltsectoren;F040105 Epoxiconazool;2020;;;94285.0;13.2;6846.0;0.0;0.1
84;Totaal gewassen/teeltsectoren;F040106 Etridiazool;2012;;;1867.0;0.3;7930.0;0.0;4.2
85;Totaal gewassen/teeltsectoren;F040106 Etridiazool;2016;;;2085.0;0.3;5394.0;0.0;2.6
86;Totaal gewassen/teeltsectoren;F040106 Etridiazool;2020;;;1001.0;0.1;526.0;0.0;0.5
87;Totaal gewassen/teeltsectoren;F040111 Imazalil;2012;;;19142.0;2.6;6614.0;0.0;0.3
88;Totaal gewassen/teeltsectoren;F040111 Imazalil;2016;;;3011.0;0.4;685.0;0.0;0.2
89;Totaal gewassen/teeltsectoren;F040111 Imazalil;2020;;;15247.0;2.1;2016.0;0.0;0.1
90;Totaal gewassen/teeltsectoren;F040113 Metconazool;2012;;;5873.0;0.8;324.0;0.0;0.1
91;Totaal gewassen/teeltsectoren;F040113 Metconazool;2016;;;5823.0;0.8;210.0;0.0;0.0
92;Totaal gewassen/teeltsectoren;F040113 Metconazool;2020;;;3163.0;0.4;118.0;0.0;0.0
93;Totaal gewassen/teeltsectoren;F040115 Penconazool;2012;;;4543.0;0.6;301.0;0.0;0.1
94;Totaal gewassen/teeltsectoren;F040115 Penconazool;2016;;;4964.0;0.7;287.0;0.0;0.1
95;Totaal gewassen/teeltsectoren;F040115 Penconazool;2020;;;5228.0;0.7;223.0;0.0;0.0
96;Totaal gewassen/teeltsectoren;F040116 Propiconazool;2012;;;2182.0;0.3;1356.0;0.0;0.6
