ID;Perioden;TotaleBevolking_1;k_0Tot20Jaar_2;k_20Tot65Jaar_3;k_65JaarEnOuder_4;k_0Tot20Jaar_5;k_20Tot65Jaar_6;k_65JaarEnOuder_7;DemografischeDruk_8;Levendgeborenen_9;TotaalVruchtbaarheidscijfer_10;Overledenen_11;LevensverwachtingMannen_12;LevensverwachtingVrouwen_13;Immigratie_14;EmigratieInclusiefCorrecties_15;MigratiesaldoInclusiefCorrecties_16
0;2009;;;;;;;;;182794.0;1.77;135052.0;78.51;82.52;145624.0;111559.0;34065.0
1;2010;16571685.0;3926895.0;10107153.0;2537637.0;23.7;61.0;15.3;0.64;178671.0;1.74;137090.0;78.7;82.58;127368.0;113786.0;13582.0
2;2011;16631123.0;3904458.0;10133847.0;2592818.0;23.5;60.9;15.6;0.641;178262.0;1.74;139095.0;78.89;82.65;125390.0;116490.0;8900.0
3;2012;16683708.0;3881934.0;10091378.0;2710396.0;23.3;60.5;16.2;0.653;178115.0;1.75;141085.0;79.07;82.71;123349.0;117262.0;6087.0
4;2013;16731407.0;3861664.0;10052423.0;2817320.0;23.1;60.1;16.8;0.664;178401.0;1.75;143084.0;79.23;82.79;123592.0;116867.0;6724.0
5;2014;16777995.0;3844188.0;10024441.0;2909366.0;22.9;59.7;17.3;0.674;178222.0;1.75;145067.0;79.39;82.87;123211.0;115739.0;7473.0
6;2015;16823065.0;3826237.0;10004947.0;2991881.0;22.7;59.5;17.8;0.681;178730.0;1.75;147046.0;79.54;82.95;122757.0;114907.0;7850.0
7;2016;16866931.0;3813946.0;9984591.0;3068394.0;22.6;59.2;18.2;0.689;;;;;;;;
